,open,high,low,close,volume
2015-05-15,149.49,156.94,149.0,154.89,269436.0
2015-05-18,155.89,158.81,153.35,156.03,193040.0
2015-05-19,157.08,158.32,152.97,155.78,82582.0
2015-05-20,156.48,157.67,153.02,154.14,77026.0
2015-05-21,154.14,156.1,152.39,153.25,43758.0
2015-05-22,155.05,156.71,153.04,154.7,87852.0
2015-05-25,151.83,156.45,151.83,152.62,37164.0
2015-05-26,151.81,155.45,151.81,153.14,43070.0
2015-05-27,154.07,154.7,148.21,149.4,53622.0
2015-05-28,149.47,149.96,144.96,146.18,89336.0
2015-05-29,148.07,150.31,145.73,148.37,400760.0
2015-06-01,145.27,148.05,145.06,146.46,51812.0
2015-06-02,145.8,147.93,145.66,146.57,61274.0
2015-06-03,147.11,147.11,143.96,145.13,51294.0
2015-06-04,147.11,147.13,143.4,143.7,34902.0
2015-06-05,144.8,151.55,143.49,150.15,64000.0
2015-06-08,149.47,151.67,148.07,148.37,49322.0
2015-06-09,147.23,150.22,147.13,148.16,49612.0
2015-06-10,148.54,155.54,147.84,154.89,173678.0
2015-06-11,156.69,156.94,147.13,147.34,86956.0
2015-06-12,147.58,151.53,146.85,147.32,55930.0
2015-06-15,146.76,151.64,146.67,151.46,49130.0
2015-06-16,149.49,152.27,148.54,150.94,57700.0
2015-06-17,151.34,153.53,148.61,149.31,65920.0
2015-06-18,149.47,152.04,148.23,150.85,35060.0
2015-06-19,152.74,153.21,150.4,151.27,28290.0
2015-06-22,150.89,153.16,149.42,151.5,35116.0
2015-06-23,151.71,162.32,150.64,159.09,447996.0
2015-06-24,161.19,165.82,157.08,159.3,319094.0
2015-06-25,158.06,160.68,156.48,160.31,67208.0
2015-06-26,158.81,159.72,156.66,158.65,40458.0
2015-06-29,154.14,158.84,147.23,157.01,135264.0
2015-06-30,156.9,160.54,155.15,158.91,343560.0
2015-07-01,160.12,161.1,154.87,158.88,73866.0
2015-07-02,160.87,163.34,158.98,161.94,64840.0
2015-07-03,161.43,163.95,160.73,161.19,196800.0
2015-07-06,158.81,160.84,156.97,159.12,53384.0
2015-07-07,160.45,162.08,159.28,160.35,156408.0
2015-07-08,157.88,163.41,155.15,157.48,295420.0
2015-07-09,160.17,160.17,156.48,157.32,43204.0
2015-07-10,156.85,163.02,154.79,161.89,135618.0
2015-07-13,162.97,173.67,162.32,171.4,302494.0
2015-07-14,172.71,178.8,171.35,175.98,335140.0
2015-07-15,177.17,179.74,174.53,175.25,154310.0
2015-07-16,174.23,176.98,170.56,172.01,69614.0
2015-07-17,170.98,177.5,170.98,175.84,87302.0
2015-07-20,175.84,179.83,175.84,178.97,81828.0
2015-07-21,178.97,179.83,175.16,176.96,77532.0
2015-07-22,176.96,183.92,175.86,181.75,80456.0
2015-07-23,182.4,191.39,179.9,186.44,616842.0
2015-07-24,186.84,190.46,183.59,184.62,81538.0
2015-07-27,184.08,185.44,179.83,183.05,65942.0
2015-07-28,184.04,187.3,182.21,186.23,45476.0
2015-07-29,188.24,188.71,183.59,185.13,49478.0
2015-07-30,186.84,195.25,185.93,190.36,148002.0
2015-07-31,191.98,197.58,189.2,195.15,168668.0
2015-08-03,196.65,198.49,194.66,195.15,125892.0
2015-08-04,196.51,196.51,179.88,181.82,301818.0
2015-08-05,183.52,188.71,176.21,177.54,376406.0
2015-08-06,178.45,195.29,178.45,190.5,1613346.0
2015-08-07,191.04,204.59,191.04,199.43,1034290.0
2015-08-10,200.9,211.27,200.9,209.26,575330.0
2015-08-11,210.61,212.99,204.12,206.46,556590.0
2015-08-12,205.9,205.9,191.77,197.46,270138.0
2015-08-13,198.47,203.54,195.71,197.77,119382.0
2015-08-14,197.88,204.59,197.58,201.04,88462.0
2015-08-17,201.32,206.46,197.49,202.25,152124.0
2015-08-18,203.19,204.35,197.58,199.89,98778.0
2015-08-19,199.05,204.07,199.05,201.18,87964.0
2015-08-20,200.85,202.13,196.74,197.6,135934.0
2015-08-21,196.2,201.76,192.0,200.73,350546.0
2015-08-24,195.34,199.17,184.97,192.91,272250.0
2015-08-25,199.68,199.68,186.84,196.23,164946.0
2015-08-26,193.94,198.52,193.24,194.29,77674.0
2015-08-27,196.65,200.38,196.65,198.84,86018.0
2015-08-28,199.5,203.19,198.98,199.92,522330.0
2015-08-31,200.85,201.67,196.18,197.98,53490.0
2015-09-01,196.18,198.87,192.91,194.68,90824.0
2015-09-02,192.72,195.74,188.26,190.34,52252.0
2015-09-03,192.68,197.02,192.68,196.09,50540.0
2015-09-04,194.78,196.18,187.3,188.99,47938.0
