,open,high,low,close,volume
2015-05-15,3704.84,3774.94,3665.64,3676.48,2925.0
2015-05-18,3706.04,3707.86,3643.57,3667.46,2057.0
2015-05-19,3693.37,3779.83,3675.33,3713.52,4738.0
2015-05-20,3771.15,3771.15,3694.43,3718.08,982.0
2015-05-21,3740.92,3768.32,3682.96,3698.75,1622.0
2015-05-22,3692.56,3713.62,3678.26,3683.06,1169.0
2015-05-25,3672.5,3713.67,3672.5,3681.95,663.0
2015-05-26,3678.31,3722.26,3665.64,3698.94,1582.0
2015-05-27,3682.1,3755.84,3682.05,3719.95,1321.0
2015-05-28,3771.67,3830.21,3750.52,3807.66,6923.0
2015-05-29,3852.76,3976.55,3731.85,3877.42,10365.0
2015-06-01,3881.55,3905.54,3799.93,3852.52,3375.0
2015-06-02,3795.23,3900.74,3795.23,3840.81,5068.0
2015-06-03,3838.8,3838.85,3742.41,3816.54,3169.0
2015-06-04,3814.33,3819.17,3747.21,3778.68,1399.0
2015-06-05,3756.94,3838.27,3752.0,3783.09,2426.0
2015-06-08,3780.84,3790.29,3636.85,3664.54,1617.0
2015-06-09,3664.54,3664.54,3560.61,3601.01,5973.0
2015-06-10,3609.07,3670.44,3598.42,3649.33,1863.0
2015-06-11,3651.39,3802.57,3651.34,3739.86,4490.0
2015-06-12,3713.67,3766.4,3670.39,3746.49,814.0
2015-06-15,3742.41,3749.22,3698.79,3712.85,567.0
2015-06-16,3694.43,3765.44,3671.49,3735.16,1454.0
2015-06-17,3770.48,3785.59,3560.61,3667.56,11034.0
2015-06-18,3674.32,3718.42,3674.32,3701.38,706.0
2015-06-19,3736.55,3736.55,3688.67,3711.75,618.0
2015-06-22,3778.82,3778.82,3676.2,3761.12,2462.0
2015-06-23,3808.57,3828.77,3735.45,3810.15,1889.0
2015-06-24,3808.72,3824.93,3780.79,3802.53,685.0
2015-06-25,3800.03,3823.92,3751.81,3765.05,722.0
2015-06-26,3825.51,3825.89,3752.0,3791.78,538.0
2015-06-29,3876.75,3876.75,3676.2,3732.95,882.0
2015-06-30,3742.41,3773.79,3724.27,3737.27,630.0
2015-07-01,3775.03,3790.24,3742.5,3764.91,808.0
2015-07-02,3783.96,3798.11,3742.41,3748.07,778.0
2015-07-03,3771.15,3800.03,3747.21,3763.52,1161.0
2015-07-06,3776.95,3799.98,3742.31,3781.94,1472.0
2015-07-07,3832.56,3910.29,3777.0,3874.69,4017.0
2015-07-08,3909.38,3910.34,3843.16,3883.8,2738.0
2015-07-09,3817.26,3895.94,3817.26,3870.22,1527.0
2015-07-10,3870.08,3886.3,3792.02,3838.94,1967.0
2015-07-13,3879.82,3881.5,3819.17,3868.16,3927.0
2015-07-14,3887.31,3912.21,3790.39,3840.29,1661.0
2015-07-15,3840.38,3871.9,3838.32,3865.57,4008.0
2015-07-16,3865.33,3880.59,3838.46,3864.32,2634.0
2015-07-17,3864.37,3958.32,3842.2,3943.63,3018.0
2015-07-20,3972.66,4168.47,3942.96,4129.94,11381.0
2015-07-21,4145.48,4212.61,4145.44,4179.69,5298.0
2015-07-22,4208.98,4230.09,4119.05,4200.52,1373.0
2015-07-23,4194.43,4310.41,4179.98,4203.9,4047.0
2015-07-24,4281.41,4281.46,4107.5,4125.42,1206.0
2015-07-27,4133.93,4222.36,4133.74,4154.27,7876.0
2015-07-28,4251.84,4251.84,4125.91,4211.92,2823.0
2015-07-29,4211.92,4552.07,4211.88,4386.52,21204.0
2015-07-30,4450.59,4450.59,4300.79,4374.53,3944.0
2015-07-31,4300.84,4407.1,4265.95,4309.2,3292.0
2015-08-03,4349.07,4425.47,4325.0,4349.6,3258.0
2015-08-04,4358.83,4557.15,4358.78,4536.37,8756.0
2015-08-05,4532.74,4595.61,4518.25,4526.95,4701.0
2015-08-06,4560.72,4688.78,4534.92,4636.16,5616.0
2015-08-07,4636.21,4704.68,4628.38,4647.27,2302.0
2015-08-10,4639.1,4678.59,4369.41,4389.42,7536.0
2015-08-11,4453.49,4453.49,4300.79,4337.32,5380.0
2015-08-12,4253.58,4421.94,4253.58,4382.12,3317.0
2015-08-13,4534.68,4658.39,4534.68,4645.14,11928.0
2015-08-14,4641.96,4717.05,4503.36,4645.58,4529.0
2015-08-17,4619.77,4702.55,4561.79,4596.1,1409.0
2015-08-18,4685.45,4685.45,4526.66,4550.04,1229.0
2015-08-19,4587.78,4609.1,4518.25,4591.41,4788.0
2015-08-20,4528.64,4782.09,4518.29,4679.94,5814.0
2015-08-21,4639.06,4677.71,4564.69,4655.1,3431.0
2015-08-24,4518.25,4617.79,4373.28,4522.11,6798.0
2015-08-25,4610.83,4615.81,4387.77,4504.86,3593.0
2015-08-26,4397.44,4566.52,4392.51,4496.02,3988.0
2015-08-27,4528.35,4668.0,4494.09,4625.67,3128.0
2015-08-28,4721.21,4721.21,4601.99,4620.93,2757.0
2015-08-31,4686.41,4686.41,4554.05,4640.31,62568.0
2015-09-01,4637.12,4675.25,4445.76,4554.25,3188.0
2015-09-02,4600.45,4909.67,4542.41,4836.55,18384.0
2015-09-03,4879.71,5064.3,4793.88,4938.32,15781.0
2015-09-04,4976.35,5073.97,4772.48,5038.69,8762.0
2015-09-07,5092.33,5197.63,5035.31,5168.44,11443.0
2015-09-08,5102.96,5212.17,4986.98,5070.2,10064.0
2015-09-09,5169.6,5247.93,5036.28,5206.81,11437.0
2015-09-10,5146.45,5320.42,5083.63,5258.08,9649.0
2015-09-11,5313.65,5362.99,5177.43,5205.07,7066.0
