,open,high,low,close,volume
2015-05-15,326.73,329.46,318.17,320.07,1663198.0
2015-05-18,321.82,331.31,320.56,330.14,1370344.0
2015-05-19,329.12,335.54,326.25,330.63,1685421.0
2015-05-20,331.55,335.1,329.36,333.74,1660453.0
2015-05-21,334.66,341.47,334.22,338.94,2609479.0
2015-05-22,339.19,346.26,338.46,340.55,2369700.0
2015-05-25,339.28,341.87,332.16,334.65,1420555.0
2015-05-26,334.8,341.82,334.75,336.94,1576396.0
2015-05-27,334.75,336.6,328.01,330.75,2585896.0
2015-05-28,331.72,332.4,312.84,324.99,3394601.0
2015-05-29,325.08,326.65,314.79,316.06,3711024.0
2015-06-01,317.96,317.96,300.83,304.05,3889157.0
2015-06-02,310.45,313.28,298.83,301.71,7395219.0
2015-06-03,303.52,304.3,281.07,290.1,24022178.0
2015-06-04,293.76,308.74,293.76,303.71,6343813.0
2015-06-05,303.52,308.05,301.27,303.81,2533852.0
2015-06-08,304.25,306.35,291.07,294.88,2647500.0
2015-06-09,296.15,303.86,293.95,299.17,2724447.0
2015-06-10,299.61,306.69,298.69,305.42,2282770.0
2015-06-11,312.3,312.59,295.27,296.93,3718393.0
2015-06-12,295.71,305.52,292.78,304.54,2854243.0
2015-06-15,302.64,309.37,300.69,302.59,3154460.0
2015-06-16,302.54,307.42,295.95,305.66,4130581.0
2015-06-17,304.49,307.42,300.98,303.52,4251580.0
2015-06-18,304.79,306.15,301.91,303.52,2616024.0
2015-06-19,304.44,305.71,295.71,297.27,3438440.0
2015-06-22,298.64,306.93,296.78,303.57,3121416.0
2015-06-23,303.57,310.74,303.57,308.45,2683470.0
2015-06-24,309.27,310.35,302.3,304.05,2241106.0
2015-06-25,303.32,308.84,300.69,305.03,5190167.0
2015-06-26,303.52,307.76,301.56,303.71,2127770.0
2015-06-29,299.22,300.1,293.61,299.27,1890624.0
2015-06-30,297.66,301.96,297.66,300.49,2632153.0
2015-07-01,301.37,305.18,299.12,303.81,2854143.0
2015-07-02,304.93,311.32,304.39,308.45,8669541.0
2015-07-03,312.25,317.91,311.32,313.08,5189498.0
2015-07-06,309.32,313.37,308.64,312.4,2853145.0
2015-07-07,314.06,326.65,313.86,325.04,7877450.0
2015-07-08,321.47,321.47,311.23,312.93,6546522.0
2015-07-09,315.62,315.62,305.08,307.57,3521086.0
2015-07-10,311.08,313.81,307.62,309.47,2531442.0
2015-07-13,311.32,314.25,306.05,313.67,1890469.0
2015-07-14,314.54,314.98,306.44,308.3,1960113.0
2015-07-15,308.3,313.03,307.52,311.96,2112588.0
2015-07-16,317.18,321.08,314.98,319.03,3075862.0
2015-07-17,321.77,322.74,312.4,321.38,2556255.0
2015-07-20,320.11,322.55,317.77,320.89,1847655.0
2015-07-21,322.55,323.28,313.28,314.89,1927178.0
2015-07-22,314.64,317.57,312.3,316.69,1703725.0
2015-07-23,317.86,325.33,317.18,323.38,3000343.0
2015-07-24,322.45,322.45,314.25,316.11,2337434.0
2015-07-27,314.45,314.94,305.22,306.4,2359169.0
2015-07-28,306.35,309.47,304.69,305.91,2415757.0
2015-07-29,307.13,308.69,305.96,307.13,2000338.0
2015-07-30,308.4,312.25,307.52,310.69,3092912.0
2015-07-31,312.1,318.64,309.86,317.18,3265863.0
2015-08-03,318.16,323.91,316.2,322.74,2834386.0
2015-08-04,324.26,332.11,321.67,330.99,4458398.0
