,open,high,low,close,volume
2015-05-15,67.19,67.47,66.02,66.2,83950.0
2015-05-18,66.6,68.31,65.83,66.25,438780.0
2015-05-19,66.37,68.26,66.37,67.1,557190.0
2015-05-20,67.87,68.16,66.37,66.69,247490.0
2015-05-21,66.96,67.85,66.03,66.69,117710.0
2015-05-22,67.01,67.38,66.09,66.18,105580.0
2015-05-25,66.32,70.1,65.93,67.62,1441370.0
2015-05-26,68.13,68.99,67.19,68.55,347630.0
2015-05-27,68.74,69.9,67.97,69.16,446780.0
2015-05-28,69.13,69.71,67.29,68.05,212380.0
2015-05-29,69.91,71.28,67.77,68.62,587480.0
2015-06-01,68.94,68.94,66.56,66.9,146820.0
2015-06-02,67.54,67.54,64.67,65.25,149630.0
2015-06-03,65.21,66.99,64.29,66.22,906080.0
2015-06-04,66.76,69.62,66.02,68.3,1265000.0
2015-06-05,68.3,74.76,67.58,70.98,2256870.0
2015-06-08,70.98,72.24,69.06,69.52,825080.0
2015-06-09,69.06,70.14,67.06,68.71,384460.0
2015-06-10,68.94,70.3,68.14,69.92,218870.0
2015-06-11,70.44,71.85,69.94,70.24,579900.0
2015-06-12,69.23,72.43,69.23,71.29,463190.0
2015-06-15,70.87,73.79,70.78,72.17,520240.0
2015-06-16,71.84,72.62,70.01,70.38,207300.0
2015-06-17,70.78,72.24,70.06,70.43,207430.0
2015-06-18,71.06,72.38,70.41,70.54,415270.0
2015-06-19,70.88,71.62,70.39,70.48,147470.0
2015-06-22,71.06,71.75,70.46,70.57,133400.0
2015-06-23,70.77,71.41,69.81,70.84,403630.0
2015-06-24,70.98,71.17,70.2,70.48,187140.0
2015-06-25,70.78,78.15,70.34,76.4,3050350.0
2015-06-26,77.68,81.9,77.68,79.32,3736970.0
2015-06-29,77.01,78.55,74.18,77.62,900870.0
2015-06-30,77.1,79.5,76.75,77.23,584310.0
2015-07-01,76.8,79.9,76.8,77.62,549680.0
2015-07-02,78.35,80.27,77.68,79.84,709270.0
2015-07-03,79.62,83.34,78.15,80.05,1665460.0
2015-07-06,77.68,84.28,77.19,83.56,1095290.0
2015-07-07,83.99,85.29,80.75,82.16,804920.0
2015-07-08,81.53,83.31,79.07,81.85,554150.0
2015-07-09,83.5,85.31,81.57,82.16,676850.0
2015-07-10,82.91,82.91,80.15,80.52,166450.0
