,open,high,low,close,volume
2015-05-15,1096.27,1127.28,1076.54,1121.4,49553.0
2015-05-18,1121.87,1133.25,1102.9,1128.94,29030.0
2015-05-19,1135.62,1166.44,1121.3,1125.76,128476.0
2015-05-20,1109.54,1135.72,1072.6,1079.95,85657.0
2015-05-21,1081.19,1090.58,1001.43,1010.92,97278.0
2015-05-22,1011.01,1019.45,939.79,987.02,332691.0
2015-05-25,991.0,1013.1,975.35,993.8,126020.0
2015-05-26,992.9,996.69,964.45,983.32,57476.0
2015-05-27,986.26,986.26,950.79,960.8,423419.0
2015-05-28,971.09,981.52,950.32,955.72,178735.0
2015-05-29,969.43,975.83,955.91,964.83,103203.0
2015-06-01,972.03,976.78,948.37,950.98,95018.0
2015-06-02,956.86,963.5,940.55,946.43,79067.0
2015-06-03,949.32,949.32,912.72,916.98,99614.0
2015-06-04,916.98,947.85,900.91,937.85,74288.0
2015-06-05,937.89,947.28,905.08,925.38,34039.0
2015-06-08,928.32,928.32,877.68,889.34,156779.0
2015-06-09,889.77,927.18,889.77,913.76,32752.0
2015-06-10,919.88,931.26,917.79,928.7,23939.0
2015-06-11,943.49,943.49,920.92,927.98,131699.0
2015-06-12,927.46,938.84,909.45,921.35,55641.0
2015-06-15,924.62,942.64,920.83,938.42,73767.0
2015-06-16,939.08,943.58,915.23,922.58,188581.0
2015-06-17,919.88,927.75,911.34,917.98,155083.0
2015-06-18,921.77,948.33,921.77,935.76,241244.0
2015-06-19,930.69,976.73,924.62,960.61,373610.0
2015-06-22,969.19,983.65,955.15,964.73,221177.0
2015-06-23,957.81,967.29,943.58,951.12,105064.0
2015-06-24,953.02,964.4,939.89,947.09,73927.0
2015-06-25,947.38,970.14,938.84,949.04,93579.0
2015-06-26,962.55,972.08,925.0,932.44,183284.0
2015-06-29,929.36,933.58,910.39,922.86,47709.0
2015-06-30,915.18,967.34,915.18,955.25,171446.0
2015-07-01,961.51,966.82,941.12,955.91,52862.0
2015-07-02,966.3,966.3,955.91,962.03,32864.0
2015-07-03,967.29,994.79,961.6,981.76,146869.0
2015-07-06,980.57,980.57,960.51,967.01,83030.0
2015-07-07,979.62,986.26,953.07,963.26,49491.0
2015-07-08,953.35,957.62,924.62,939.98,54996.0
2015-07-09,939.98,967.34,938.8,949.46,86149.0
2015-07-10,952.12,961.46,945.39,952.64,28060.0
2015-07-13,948.33,960.23,944.11,948.61,31771.0
2015-07-14,949.32,959.71,947.43,952.97,16348.0
2015-07-15,958.76,962.55,945.1,950.37,43841.0
2015-07-16,950.46,962.36,945.72,949.13,156656.0
2015-07-17,949.42,957.53,948.52,951.79,34271.0
2015-07-20,953.07,954.21,938.32,942.35,161563.0
2015-07-21,943.54,953.07,940.27,943.82,21227.0
2015-07-22,943.59,943.59,929.55,931.83,18895.0
2015-07-23,933.72,944.53,923.67,930.59,86066.0
2015-07-24,931.49,957.71,925.28,948.28,52395.0
2015-07-27,948.04,948.04,915.8,930.02,23486.0
2015-07-28,927.51,942.45,920.92,925.0,16567.0
2015-07-29,927.46,958.0,926.52,950.51,33075.0
2015-07-30,953.54,966.34,938.84,941.93,26445.0
2015-07-31,941.64,952.78,929.12,943.16,69633.0
2015-08-03,976.78,1026.09,961.6,967.44,257315.0
2015-08-04,974.31,975.54,942.68,948.14,139131.0
2015-08-05,956.29,967.29,914.28,927.94,107578.0
2015-08-06,930.31,950.22,928.41,940.74,48742.0
2015-08-07,945.48,953.07,933.25,943.92,46809.0
2015-08-10,944.06,963.5,943.92,956.86,50392.0
2015-08-11,954.06,960.65,934.1,946.24,46706.0
2015-08-12,946.24,947.05,925.57,929.74,194087.0
2015-08-13,929.74,937.9,918.17,924.67,36458.0
2015-08-14,937.85,943.49,924.62,930.74,21869.0
2015-08-17,938.37,938.51,925.66,930.78,13061.0
2015-08-18,937.66,937.71,924.62,927.75,10334.0
2015-08-19,927.56,948.33,912.24,941.64,78470.0
2015-08-20,943.59,943.59,930.4,934.01,26800.0
2015-08-21,931.26,931.26,910.39,917.98,34452.0
2015-08-24,900.91,923.67,873.41,893.18,194462.0
2015-08-25,891.43,909.3,855.44,868.81,85330.0
