,open,high,low,close,volume
2015-05-15,1240.19,1268.86,1230.57,1247.89,95384.0
2015-05-18,1251.83,1274.83,1247.89,1264.05,94501.0
2015-05-19,1265.2,1303.69,1265.2,1285.31,139152.0
2015-05-20,1289.35,1323.89,1289.35,1308.4,71115.0
2015-05-21,1311.39,1326.78,1271.07,1320.19,73086.0
2015-05-22,1323.12,1366.28,1308.98,1357.76,98518.0
2015-05-25,1365.27,1385.47,1355.5,1362.04,85583.0
2015-05-26,1366.18,1415.3,1333.61,1393.22,221150.0
2015-05-27,1382.58,1437.09,1381.62,1399.33,151242.0
2015-05-28,1404.71,1425.88,1385.47,1396.34,100715.0
2015-05-29,1403.75,1535.95,1399.9,1519.83,667333.0
2015-06-01,1520.17,1608.69,1483.8,1559.71,514636.0
2015-06-02,1553.84,1583.43,1484.33,1499.2,354461.0
2015-06-03,1510.55,1523.06,1425.01,1488.13,185444.0
2015-06-04,1496.02,1537.49,1463.45,1499.1,434077.0
2015-06-05,1495.15,1527.87,1491.98,1503.96,170004.0
2015-06-08,1510.55,1513.43,1406.97,1430.6,271541.0
2015-06-09,1430.69,1457.63,1410.58,1428.53,133340.0
2015-06-10,1438.87,1476.87,1433.58,1451.76,143973.0
2015-06-11,1458.59,1483.13,1415.39,1422.18,170809.0
2015-06-12,1419.15,1438.1,1380.66,1400.58,173094.0
2015-06-15,1399.95,1422.03,1363.34,1371.28,217147.0
2015-06-16,1368.15,1368.15,1332.6,1347.8,272891.0
2015-06-17,1348.53,1398.6,1325.58,1390.47,315412.0
2015-06-18,1404.71,1462.25,1404.71,1448.35,332426.0
2015-06-19,1457.15,1472.06,1433.58,1446.57,258886.0
2015-06-22,1457.53,1476.78,1449.21,1465.33,167204.0
2015-06-23,1476.68,1493.66,1463.4,1484.09,221132.0
2015-06-24,1485.53,1524.88,1484.76,1497.13,246120.0
2015-06-25,1501.71,1501.71,1458.44,1468.05,150767.0
2015-06-26,1466.27,1518.62,1448.79,1510.41,229854.0
2015-06-29,1484.52,1486.45,1440.09,1472.5,178774.0
2015-06-30,1472.93,1519.97,1472.93,1515.43,226854.0
2015-07-01,1515.91,1557.83,1515.91,1529.92,254581.0
2015-07-02,1535.66,1560.83,1523.16,1535.47,212502.0
2015-07-03,1537.64,1558.99,1524.12,1533.06,179045.0
2015-07-06,1515.43,1562.76,1507.9,1557.59,219130.0
2015-07-07,1565.85,1579.08,1548.75,1557.25,226254.0
2015-07-08,1546.34,1559.86,1531.66,1539.09,147700.0
2015-07-09,1545.37,1567.59,1538.61,1547.21,175828.0
2015-07-10,1550.68,1559.57,1532.77,1544.7,136086.0
2015-07-13,1554.93,1564.69,1543.44,1548.8,235234.0
2015-07-14,1554.16,1559.76,1539.48,1546.24,92131.0
2015-07-15,1547.93,1566.43,1542.47,1547.45,128592.0
2015-07-16,1554.84,1563.82,1546.87,1557.64,112972.0
2015-07-17,1557.83,1631.33,1557.83,1615.88,447737.0
2015-07-20,1631.82,1632.01,1605.54,1611.73,188129.0
2015-07-21,1612.98,1613.37,1565.65,1579.47,122300.0
2015-07-22,1579.47,1598.49,1550.88,1590.62,88629.0
2015-07-23,1590.81,1603.03,1547.4,1556.09,109162.0
2015-07-24,1552.13,1555.71,1498.04,1505.87,124478.0
2015-07-27,1509.63,1540.45,1490.03,1517.51,180271.0
2015-07-28,1530.4,1538.61,1508.86,1515.43,98083.0
2015-07-29,1520.16,1546.48,1511.57,1537.4,134736.0
2015-07-30,1546.34,1556.86,1477.95,1496.21,177569.0
2015-07-31,1501.91,1525.09,1480.37,1510.5,158306.0
2015-08-03,1511.66,1539.96,1490.75,1498.53,153135.0
2015-08-04,1506.16,1593.08,1494.81,1573.38,441664.0
2015-08-05,1593.52,1626.5,1587.1,1604.82,252793.0
2015-08-06,1603.81,1622.45,1593.66,1606.03,107358.0
2015-08-07,1610.76,1617.81,1579.32,1602.94,104952.0
2015-08-10,1603.32,1612.98,1583.04,1589.37,135301.0
2015-08-11,1598.3,1658.04,1590.77,1652.1,307833.0
2015-08-12,1656.44,1661.27,1517.36,1610.71,241593.0
2015-08-13,1622.78,1652.92,1593.66,1626.65,324510.0
2015-08-14,1640.51,1641.86,1590.28,1597.87,232635.0
2015-08-17,1611.92,1612.98,1583.57,1603.85,208717.0
2015-08-18,1609.12,1627.23,1586.9,1591.64,93154.0
2015-08-19,1598.49,1635.68,1565.75,1616.84,176758.0
2015-08-20,1619.69,1638.09,1570.48,1581.2,201147.0
2015-08-21,1579.18,1587.77,1526.2,1581.01,182929.0
2015-08-24,1530.88,1550.1,1343.89,1399.04,322551.0
2015-08-25,1382.38,1444.97,1235.04,1386.29,368004.0
2015-08-26,1381.18,1429.47,1329.84,1392.19,181931.0
2015-08-27,1433.33,1448.79,1361.86,1383.4,287470.0
2015-08-28,1409.19,1421.4,1361.96,1380.31,197168.0
2015-08-31,1397.35,1462.31,1386.0,1448.59,350277.0
2015-09-01,1442.94,1492.25,1402.57,1471.39,318937.0
2015-09-02,1487.42,1498.04,1452.94,1463.76,130449.0
2015-09-03,1469.07,1481.62,1439.13,1450.19,111069.0
2015-09-04,1453.61,1453.61,1378.66,1387.5,244545.0
2015-09-07,1375.38,1381.22,1303.91,1327.18,270948.0
2015-09-08,1324.24,1349.79,1270.97,1330.32,246550.0
2015-09-09,1347.37,1381.18,1342.69,1353.5,157107.0
2015-09-10,1342.54,1388.23,1302.51,1364.8,174949.0
2015-09-11,1366.88,1398.75,1349.4,1361.81,193206.0
2015-09-14,1371.23,1387.36,1347.37,1372.39,94951.0
2015-09-15,1371.52,1433.33,1367.36,1427.54,273474.0
2015-09-16,1437.29,1443.96,1382.14,1388.81,175576.0
2015-09-18,1410.78,1414.01,1360.41,1400.73,169678.0
2015-09-21,1386.97,1412.86,1366.69,1397.98,101787.0
2015-09-22,1421.74,1425.61,1368.57,1375.96,165066.0
2015-09-23,1367.27,1394.7,1342.59,1383.64,104174.0
2015-09-24,1390.83,1414.01,1366.69,1377.41,144959.0
2015-09-28,1390.93,1407.25,1376.35,1394.55,99824.0
2015-09-29,1381.18,1405.32,1362.92,1388.47,90015.0
2015-09-30,1405.32,1438.89,1394.89,1429.23,181713.0
2015-10-01,1446.71,1476.7,1439.13,1459.31,215837.0
2015-10-05,1477.71,1481.33,1425.85,1448.64,129960.0
2015-10-06,1458.44,1484.72,1453.9,1471.1,138090.0
2015-10-07,1466.17,1479.45,1448.79,1459.31,97812.0
2015-10-08,1458.93,1467.91,1429.47,1447.58,70614.0
2015-10-09,1458.44,1466.51,1430.43,1440.91,63719.0
2015-10-12,1442.99,1461.29,1417.44,1425.17,73632.0
2015-10-13,1423.67,1439.13,1410.63,1432.17,63700.0
