,open,high,low,close,volume
2015-05-15,136.58,137.35,135.24,135.95,37212.0
2015-05-18,137.68,141.37,136.6,138.25,141856.0
2015-05-19,138.54,140.4,136.58,138.51,77180.0
2015-05-20,140.16,141.39,138.32,140.78,84208.0
2015-05-21,141.26,144.68,140.86,144.29,217484.0
2015-05-22,143.91,155.0,139.96,145.08,1799176.0
2015-05-25,145.78,147.08,141.48,143.06,97784.0
2015-05-26,144.68,144.68,140.78,142.4,76880.0
2015-05-27,143.81,150.17,143.15,144.77,853154.0
2015-05-28,145.52,146.66,141.37,142.18,123390.0
2015-05-29,143.41,144.9,141.83,143.15,107072.0
2015-06-01,143.96,145.78,142.38,142.69,120694.0
2015-06-02,143.74,143.83,139.33,139.85,141008.0
2015-06-03,139.98,139.98,131.29,135.37,123932.0
2015-06-04,135.35,137.88,134.36,137.37,86002.0
2015-06-05,137.37,143.59,134.8,138.56,160004.0
2015-06-08,139.19,140.89,136.56,137.68,82944.0
2015-06-09,136.34,140.51,135.31,139.7,105418.0
2015-06-10,138.76,141.61,138.43,140.42,58556.0
2015-06-11,141.68,141.83,138.03,139.7,82570.0
2015-06-12,140.51,140.95,136.8,140.27,73544.0
2015-06-15,142.2,145.67,139.26,139.96,95442.0
2015-06-16,139.46,142.58,139.19,140.84,65046.0
2015-06-17,141.61,142.14,139.24,140.34,369464.0
2015-06-18,139.83,141.39,139.33,139.81,54546.0
2015-06-19,140.51,140.95,138.93,139.79,33932.0
2015-06-22,140.95,142.0,139.85,140.58,36062.0
2015-06-23,141.32,142.22,139.74,140.97,45554.0
2015-06-24,141.35,142.49,138.76,139.68,39082.0
2015-06-25,139.0,141.35,138.82,140.18,35418.0
2015-06-26,141.26,144.22,138.82,140.51,45548.0
2015-06-29,139.15,139.15,135.59,136.1,42038.0
2015-06-30,136.1,137.86,134.19,136.3,45746.0
2015-07-01,136.65,142.16,136.65,139.11,57342.0
2015-07-02,140.07,141.87,138.76,139.35,38386.0
2015-07-03,140.49,141.28,137.66,138.07,41506.0
2015-07-06,136.56,138.25,133.95,136.47,57442.0
2015-07-07,137.0,140.51,136.12,136.87,258798.0
2015-07-08,136.87,138.76,133.6,134.17,125754.0
2015-07-09,134.36,136.08,131.27,132.13,164306.0
2015-07-10,134.06,134.8,128.22,129.31,171354.0
2015-07-13,130.63,130.63,125.19,126.11,181550.0
2015-07-14,127.34,131.12,126.48,128.66,203174.0
2015-07-15,129.29,130.41,127.34,127.84,96920.0
2015-07-16,129.05,129.05,127.56,128.11,59864.0
2015-07-17,128.22,129.53,126.9,127.29,100034.0
2015-07-20,129.1,129.71,127.36,128.48,221638.0
2015-07-21,129.49,132.61,128.26,129.51,234228.0
2015-07-22,128.66,135.9,128.66,134.25,323496.0
2015-07-23,134.25,137.88,133.93,134.32,118864.0
2015-07-24,134.32,135.68,130.85,131.75,73654.0
2015-07-27,132.52,133.49,125.98,126.68,134408.0
2015-07-28,128.57,129.86,124.7,125.91,62464.0
2015-07-29,127.21,128.46,126.46,126.79,54422.0
2015-07-30,130.41,133.44,129.14,130.35,202558.0
2015-07-31,132.54,135.64,130.55,132.87,158296.0
2015-08-03,132.1,135.36,132.1,133.76,128320.0
2015-08-04,134.91,141.36,133.89,139.35,401086.0
2015-08-05,139.63,143.84,138.99,141.54,457684.0
2015-08-06,140.96,145.13,140.96,143.0,236482.0
2015-08-07,143.45,148.45,141.89,144.71,342056.0
2015-08-10,145.37,153.33,144.55,149.96,1736610.0
2015-08-11,152.16,153.86,145.62,149.25,774490.0
2015-08-12,148.68,153.11,145.64,146.26,378050.0
2015-08-13,147.17,149.83,135.78,137.53,273380.0
2015-08-14,139.52,143.62,138.08,141.43,135856.0
2015-08-17,142.71,143.76,138.59,142.65,114598.0
2015-08-18,144.51,147.17,143.18,146.73,151278.0
2015-08-19,147.17,148.19,145.11,146.02,85306.0
2015-08-20,147.1,147.1,138.81,140.76,82762.0
2015-08-21,136.33,139.17,136.33,137.9,88004.0
2015-08-24,135.16,135.16,125.01,126.42,159548.0
2015-08-25,126.78,135.27,113.48,122.52,133508.0
2015-08-26,123.59,130.7,119.69,127.33,111984.0
2015-08-27,129.44,131.83,126.6,130.97,85914.0
2015-08-28,132.54,140.34,131.28,135.24,221318.0
2015-08-31,133.67,139.61,133.43,135.75,91652.0
2015-09-01,134.42,136.66,128.88,129.95,184096.0
2015-09-02,131.3,133.69,128.82,129.17,79090.0
2015-09-03,129.9,132.32,126.33,131.65,100468.0
2015-09-04,131.83,131.83,126.33,128.53,55246.0
2015-09-07,128.97,129.44,125.27,126.18,59130.0
2015-09-08,126.36,132.05,125.49,128.35,135630.0
2015-09-09,131.54,133.74,130.32,132.63,100596.0
2015-09-10,132.32,136.53,129.88,135.6,216604.0
