,open,high,low,close,volume
2015-05-15,220.38,222.26,217.95,220.15,688530.0
2015-05-18,220.85,227.84,219.12,225.78,1454344.0
2015-05-19,226.72,227.89,222.4,224.18,1281230.0
2015-05-20,224.46,226.81,222.78,224.0,1327514.0
2015-05-21,224.0,226.62,220.81,226.25,1900169.0
2015-05-22,226.25,229.48,225.21,226.62,1215616.0
2015-05-25,226.53,226.72,216.87,217.9,1474372.0
2015-05-26,218.79,219.4,212.08,212.74,2058074.0
2015-05-27,211.71,216.16,211.05,213.49,1051814.0
2015-05-28,214.01,217.71,211.8,215.69,1925339.0
2015-05-29,216.16,224.93,215.51,222.87,3367891.0
2015-06-01,222.87,226.11,222.82,225.03,896412.0
2015-06-02,224.23,225.21,214.85,216.96,1281246.0
2015-06-03,215.93,216.54,210.35,211.8,1280160.0
2015-06-04,211.8,215.55,207.39,214.8,1682455.0
2015-06-05,214.24,214.71,206.55,208.05,2306031.0
2015-06-08,207.49,211.38,206.55,209.22,1452746.0
2015-06-09,208.8,212.69,207.67,211.75,1635006.0
2015-06-10,211.61,213.77,208.71,211.85,1326034.0
2015-06-11,213.11,218.46,206.55,208.14,2285209.0
2015-06-12,206.36,207.77,201.48,204.91,2071964.0
2015-06-15,204.95,206.17,201.76,202.28,1311042.0
2015-06-16,202.28,207.3,201.01,205.94,1211923.0
2015-06-17,205.52,210.11,203.08,208.28,1548357.0
2015-06-18,207.96,210.58,206.83,208.38,1018469.0
2015-06-19,208.75,213.86,207.86,212.55,1392473.0
2015-06-22,213.72,216.54,211.33,214.29,1162719.0
2015-06-23,214.29,217.01,212.93,216.35,1256867.0
2015-06-24,215.65,218.18,211.8,212.93,1613338.0
2015-06-25,212.93,214.43,210.49,212.55,2082661.0
2015-06-26,212.46,215.55,211.1,212.93,1388968.0
2015-06-29,210.11,214.1,206.6,213.35,980547.0
2015-06-30,212.93,216.54,211.05,215.65,1597249.0
2015-07-01,215.74,224.93,214.8,223.39,2913864.0
2015-07-02,223.48,226.9,221.18,224.98,2573710.0
2015-07-03,224.23,227.94,224.18,227.33,1396131.0
2015-07-06,222.4,231.41,222.31,230.51,1515391.0
2015-07-07,230.28,232.34,228.5,230.56,2317825.0
2015-07-08,229.48,229.48,222.4,226.06,1262638.0
2015-07-09,224.65,229.48,224.65,227.14,634397.0
2015-07-10,227.14,229.34,223.81,226.95,1117210.0
2015-07-13,226.06,233.0,225.68,232.48,882744.0
2015-07-14,233.0,238.11,231.17,236.71,1491806.0
2015-07-15,236.99,241.35,234.69,239.38,1257139.0
2015-07-16,239.19,240.08,235.3,238.53,821358.0
2015-07-17,240.69,240.69,234.55,235.06,6722087.0
2015-07-20,234.5,236.75,230.19,235.77,2520171.0
2015-07-21,235.44,237.5,226.2,227.09,1874950.0
2015-07-22,226.34,232.02,224.23,231.26,928326.0
2015-07-23,232.16,232.25,227.84,229.3,609596.0
2015-07-24,227.56,230.47,224.18,225.26,1229746.0
2015-07-27,222.4,226.67,217.76,219.54,2260013.0
2015-07-28,215.51,222.96,213.96,215.93,3148609.0
2015-07-29,216.02,220.34,212.69,219.07,1599267.0
2015-07-30,219.02,221.18,215.46,216.73,2314400.0
2015-07-31,218.66,221.4,218.1,219.42,1135189.0
2015-08-03,218.43,219.7,215.83,216.87,1027084.0
2015-08-04,217.72,218.57,213.47,216.4,985064.0
2015-08-05,217.25,219.61,216.21,216.91,741013.0
2015-08-06,217.43,220.22,215.31,217.58,1552864.0
2015-08-07,218.47,218.8,215.31,215.83,1059600.0
2015-08-10,216.21,217.62,212.52,214.08,833181.0
2015-08-11,213.51,213.94,208.93,210.26,1663784.0
2015-08-12,209.74,212.33,207.09,210.87,1937108.0
2015-08-13,211.39,213.28,193.63,209.78,1686056.0
2015-08-14,210.3,214.6,208.79,213.75,754609.0
2015-08-17,213.33,215.07,209.17,213.75,1935464.0
2015-08-18,213.56,216.02,212.62,214.51,930090.0
2015-08-19,213.99,219.42,212.81,218.19,2290638.0
2015-08-20,215.45,217.72,209.69,211.53,1763388.0
2015-08-21,208.93,224.71,208.65,214.46,3353922.0
2015-08-24,211.06,211.06,197.88,200.39,3420210.0
2015-08-25,201.19,204.02,190.89,196.09,5337022.0
2015-08-26,195.52,195.99,186.45,187.21,13203158.0
2015-08-27,192.69,199.3,189.19,198.26,9588672.0
2015-08-28,200.24,201.09,193.49,194.67,2305680.0
2015-08-31,194.58,199.77,191.18,195.71,2519792.0
2015-09-01,195.52,198.02,192.26,196.09,2862960.0
2015-09-02,197.46,202.6,196.61,198.26,3979719.0
2015-09-03,200.48,209.22,200.48,206.34,3757279.0
2015-09-04,204.82,206.01,197.98,199.77,4209879.0
2015-09-07,200.24,201.71,195.05,195.43,2205149.0
2015-09-08,196.04,197.98,193.68,196.98,2767023.0
2015-09-09,199.3,204.49,197.93,200.39,2977388.0
2015-09-10,198.31,201.28,194.81,199.58,3337613.0
2015-09-11,202.04,202.04,194.91,195.52,3237366.0
2015-09-14,196.37,200.24,194.39,199.54,3455014.0
2015-09-15,199.35,199.87,191.84,193.07,5716055.0
2015-09-16,196.18,199.68,194.58,198.78,3528310.0
2015-09-18,200.24,200.67,196.61,198.12,3986002.0
2015-09-21,197.13,198.97,192.26,198.26,2320677.0
2015-09-22,198.59,200.01,193.73,196.32,2351761.0
2015-09-23,192.73,197.74,192.73,197.13,2097301.0
2015-09-24,194.86,197.32,193.21,195.52,4214954.0
2015-09-28,195.47,195.47,190.89,191.79,816802.0
2015-09-29,189.38,196.13,185.37,191.74,2655447.0
2015-09-30,192.69,195.05,192.36,194.39,1873748.0
2015-10-01,195.71,199.3,195.33,198.31,3720910.0
2015-10-05,199.3,200.81,197.6,198.31,2664054.0
2015-10-06,200.24,201.05,196.09,198.17,2279449.0
2015-10-07,198.45,198.5,196.13,197.55,1205766.0
2015-10-08,197.41,199.63,196.61,198.26,2837012.0
2015-10-09,199.44,200.05,194.81,197.55,4634135.0
2015-10-12,197.79,198.83,196.8,198.31,1486928.0
2015-10-13,198.35,199.06,197.88,198.31,2682919.0
2015-10-14,198.45,199.06,197.41,198.31,2170530.0
2015-10-15,198.83,199.49,197.5,198.02,2993217.0
2015-10-16,199.25,202.84,197.74,200.39,3865670.0
2015-10-19,202.6,202.6,197.93,198.4,3187045.0
2015-10-20,198.73,198.73,197.32,198.31,2407020.0
2015-10-21,196.61,198.4,196.61,197.6,1299281.0
2015-10-23,198.83,199.77,196.47,197.36,1604359.0
2015-10-26,198.21,198.21,194.86,197.08,874211.0
2015-10-27,197.03,198.35,192.78,194.01,4472757.0
2015-10-28,192.69,197.88,191.84,197.17,3866274.0
