,open,high,low,close,volume
2015-05-15,1217.89,1231.5,1197.34,1218.52,184809.0
2015-05-18,1224.08,1245.16,1215.79,1241.6,158100.0
2015-05-19,1247.5,1263.7,1221.74,1244.09,223496.0
2015-05-20,1248.48,1285.22,1242.62,1274.97,195341.0
2015-05-21,1288.1,1300.78,1258.09,1265.31,237550.0
2015-05-22,1268.53,1286.19,1255.02,1277.51,117761.0
2015-05-25,1270.63,1277.46,1240.09,1246.14,110271.0
2015-05-26,1253.06,1253.36,1200.27,1210.08,223883.0
2015-05-27,1200.27,1208.57,1191.49,1197.2,149441.0
2015-05-28,1199.83,1220.76,1162.51,1192.71,438239.0
2015-05-29,1190.51,1208.52,1174.9,1183.24,417282.0
2015-06-01,1183.39,1203.2,1174.9,1195.73,181381.0
2015-06-02,1194.42,1194.42,1172.27,1177.83,112464.0
2015-06-03,1178.85,1191.49,1122.21,1183.49,277102.0
2015-06-04,1182.46,1195.39,1161.04,1184.56,152960.0
2015-06-05,1194.76,1194.76,1161.24,1166.85,90148.0
2015-06-08,1173.05,1190.32,1166.85,1181.44,111351.0
2015-06-09,1184.66,1184.66,1137.38,1143.62,251965.0
2015-06-10,1135.87,1186.61,1135.87,1175.05,134566.0
2015-06-11,1185.63,1200.56,1172.17,1189.78,297957.0
2015-06-12,1184.66,1188.37,1142.7,1149.87,129271.0
2015-06-15,1128.06,1219.79,1127.08,1157.09,111299.0
2015-06-16,1144.65,1185.63,1144.65,1163.53,200631.0
2015-06-17,1171.92,1177.63,1152.11,1159.14,174430.0
2015-06-18,1161.29,1174.41,1153.43,1160.65,185924.0
2015-06-19,1165.53,1228.57,1164.56,1222.72,453935.0
2015-06-22,1225.64,1273.36,1211.93,1266.97,409342.0
2015-06-23,1268.58,1274.92,1237.35,1244.92,265053.0
2015-06-24,1247.6,1263.41,1236.47,1253.02,113545.0
2015-06-25,1253.94,1278.24,1247.99,1269.65,295158.0
2015-06-26,1266.97,1292.98,1262.04,1277.9,283454.0
2015-06-29,1266.63,1271.7,1235.55,1252.23,163259.0
2015-06-30,1252.23,1293.95,1248.97,1284.14,273137.0
2015-07-01,1283.02,1325.08,1275.41,1298.54,402115.0
2015-07-02,1299.81,1322.64,1284.19,1287.66,153699.0
2015-07-03,1284.19,1302.73,1258.92,1269.65,143567.0
2015-07-06,1258.82,1289.07,1251.41,1267.9,294876.0
2015-07-07,1271.51,1291.02,1263.75,1271.85,135604.0
2015-07-08,1254.92,1301.76,1249.65,1282.29,336702.0
2015-07-09,1285.17,1315.42,1284.19,1291.8,310982.0
2015-07-10,1291.02,1303.32,1278.34,1296.44,158863.0
2015-07-13,1295.9,1314.44,1290.05,1305.66,175378.0
2015-07-14,1312.93,1323.03,1303.66,1316.59,144436.0
2015-07-15,1319.32,1345.43,1307.61,1330.64,211459.0
2015-07-16,1331.91,1350.45,1328.54,1336.5,104971.0
2015-07-17,1335.91,1348.31,1320.88,1326.5,107946.0
2015-07-20,1336.3,1336.89,1311.13,1317.76,80054.0
2015-07-21,1317.37,1331.62,1307.22,1312.2,100383.0
2015-07-22,1307.61,1336.79,1292.98,1334.16,103101.0
2015-07-23,1333.96,1364.21,1323.23,1346.4,818251.0
