,open,high,low,close,volume
2015-05-15,106.13,110.03,105.52,108.48,1024756.0
2015-05-18,108.13,108.9,104.33,107.23,209398.0
2015-05-19,107.71,110.67,106.16,106.97,310357.0
2015-05-20,107.45,109.64,107.45,109.06,173577.0
2015-05-21,110.03,110.48,108.48,109.19,553246.0
2015-05-22,109.99,110.03,106.71,109.16,136603.0
2015-05-25,109.54,112.02,108.09,108.35,135880.0
2015-05-26,111.6,111.6,108.48,109.74,94945.0
2015-05-27,108.74,113.24,107.84,109.35,270018.0
2015-05-28,110.35,111.63,108.45,111.05,145161.0
2015-05-29,110.89,116.65,110.38,115.59,300414.0
2015-06-01,114.46,115.53,113.24,114.5,224200.0
2015-06-02,114.66,115.82,111.31,114.79,293841.0
2015-06-03,114.05,114.69,103.59,110.25,194110.0
2015-06-04,109.86,112.44,109.7,111.25,98082.0
2015-06-05,111.47,111.83,107.77,108.9,271911.0
2015-06-08,108.67,110.28,105.33,107.97,118183.0
2015-06-09,106.55,109.99,104.56,106.81,131739.0
2015-06-10,107.42,109.7,106.2,106.94,95152.0
2015-06-11,107.97,108.03,103.69,104.17,44716.0
2015-06-12,104.04,105.71,103.59,104.46,56055.0
2015-06-15,105.2,106.07,103.08,104.27,62238.0
2015-06-16,104.11,104.97,101.63,102.69,35485.0
2015-06-17,102.27,104.72,101.69,102.4,121680.0
2015-06-18,103.59,107.52,102.98,106.87,201954.0
2015-06-19,107.97,114.46,107.97,113.11,275058.0
2015-06-22,112.05,117.01,111.57,115.88,634939.0
2015-06-23,116.2,119.03,115.01,118.0,201469.0
2015-06-24,118.0,118.0,112.76,113.89,707632.0
2015-06-25,113.24,118.39,112.6,114.56,181335.0
2015-06-26,113.31,115.94,112.05,113.92,69469.0
2015-06-29,111.96,114.5,109.38,113.08,77220.0
2015-06-30,112.57,114.53,111.99,113.92,101215.0
2015-07-01,117.1,120.35,115.98,117.62,331864.0
2015-07-02,118.07,118.9,116.46,116.88,144646.0
2015-07-03,117.52,123.38,116.23,118.39,687843.0
2015-07-06,115.75,119.68,114.08,118.55,336447.0
2015-07-07,119.23,120.13,117.75,119.0,1066027.0
2015-07-08,117.75,120.09,116.04,117.26,292501.0
2015-07-09,118.2,119.29,117.68,118.45,235867.0
2015-07-10,118.26,119.0,117.78,118.36,425358.0
2015-07-13,118.39,118.39,113.37,115.91,124144.0
2015-07-14,114.79,120.26,114.79,119.0,547254.0
2015-07-15,122.41,142.2,119.68,122.02,544804.0
2015-07-16,122.09,125.27,120.03,123.12,441004.0
2015-07-17,123.38,126.75,121.25,125.24,592333.0
2015-07-20,124.82,130.58,121.19,123.31,1237878.0
2015-07-21,123.18,125.27,121.67,122.31,122332.0
2015-07-22,121.9,123.54,120.96,122.25,93348.0
2015-07-23,122.54,124.82,121.61,123.86,80455.0
2015-07-24,124.12,125.4,121.96,123.6,154453.0
2015-07-27,124.18,124.18,120.32,121.16,118483.0
2015-07-28,121.51,123.34,121.0,121.54,27388.0
2015-07-29,122.09,122.57,117.42,118.74,83380.0
2015-07-30,120.13,123.41,117.42,121.99,119865.0
2015-07-31,122.22,122.25,117.1,119.13,144312.0
2015-08-03,118.71,120.32,113.24,114.72,148593.0
2015-08-04,117.1,120.9,115.17,118.2,158889.0
2015-08-05,118.71,120.96,116.14,117.01,86346.0
2015-08-06,118.87,120.26,115.2,115.88,141150.0
