,open,high,low,close,volume
2015-05-15,769.25,784.6,752.95,758.03,1503598.0
2015-05-18,764.31,784.6,730.89,735.44,6759860.0
2015-05-19,727.05,747.48,719.38,743.12,3903935.0
2015-05-20,743.98,746.19,732.95,739.71,1793967.0
2015-05-21,738.56,747.96,734.77,745.47,1678041.0
2015-05-22,743.36,747.96,739.71,743.74,1039136.0
2015-05-25,744.27,746.95,723.6,730.79,1282826.0
2015-05-26,730.98,737.6,724.7,732.33,906103.0
2015-05-27,730.89,730.94,723.6,728.25,792609.0
2015-05-28,729.11,739.52,727.53,736.02,1051538.0
2015-05-29,737.12,762.54,736.64,754.91,2583950.0
2015-06-01,755.63,762.25,754.2,757.5,713447.0
2015-06-02,756.88,761.87,725.13,728.2,1014316.0
2015-06-03,731.85,735.68,719.38,731.56,867736.0
2015-06-04,732.71,734.72,721.1,728.59,820596.0
2015-06-05,728.01,734.34,721.3,727.82,830300.0
2015-06-08,728.01,728.97,714.58,717.46,795683.0
2015-06-09,714.39,720.53,700.19,705.66,998511.0
2015-06-10,705.95,714.68,704.61,708.97,803748.0
2015-06-11,709.02,713.33,673.82,679.48,1453089.0
2015-06-12,680.05,693.29,673.34,676.84,1168519.0
2015-06-15,685.57,690.03,667.97,670.03,1244078.0
2015-06-16,672.33,677.17,664.7,676.17,2765685.0
2015-06-17,679.09,689.84,676.21,681.63,2215497.0
2015-06-18,689.6,704.37,689.6,699.19,1908157.0
2015-06-19,703.84,714.49,699.95,709.79,1783890.0
2015-06-22,714.25,720.86,702.59,717.17,1350579.0
2015-06-23,719.38,728.97,711.37,725.61,980083.0
2015-06-24,725.32,732.94,713.07,727.01,2982650.0
2015-06-25,726.38,732.94,718.76,723.68,1858338.0
2015-06-26,717.8,728.22,717.51,723.73,764357.0
2015-06-29,716.74,716.74,701.79,710.66,1100309.0
2015-06-30,710.95,732.65,710.95,728.65,1348105.0
2015-07-01,730.68,738.54,728.41,733.91,1025215.0
2015-07-02,736.13,745.19,734.2,735.93,973819.0
2015-07-03,735.07,750.89,731.59,745.39,1068877.0
2015-07-06,737.96,758.36,735.07,755.85,652931.0
2015-07-07,764.97,798.64,762.12,795.45,2464459.0
2015-07-08,790.82,805.49,769.17,773.89,1933525.0
2015-07-09,781.37,786.1,766.9,768.78,613555.0
2015-07-10,777.51,777.51,754.07,767.19,1027281.0
2015-07-13,776.74,792.17,774.91,788.75,1275702.0
2015-07-14,793.91,798.54,781.66,793.62,780973.0
2015-07-15,797.29,810.79,794.15,808.23,1095558.0
2015-07-16,822.85,824.1,813.49,818.07,1169553.0
2015-07-17,821.69,822.27,794.63,796.22,1089597.0
2015-07-20,800.66,825.69,798.01,822.17,1437246.0
2015-07-21,822.85,838.96,782.43,787.21,4611552.0
2015-07-22,791.02,815.13,791.02,813.49,2035530.0
2015-07-23,816.1,821.69,806.55,816.58,1188579.0
2015-07-24,821.88,825.74,815.13,818.99,1132540.0
2015-07-27,817.06,829.22,806.45,822.99,1153262.0
2015-07-28,826.71,827.87,795.84,805.63,1009835.0
2015-07-29,804.91,822.66,797.04,816.92,1010065.0
2015-07-30,818.03,835.82,817.54,827.24,1318726.0
2015-07-31,833.94,853.72,824.92,851.6,1842105.0
2015-08-03,848.89,856.61,844.07,846.48,763822.0
2015-08-04,852.75,876.72,847.11,873.69,2178289.0
2015-08-05,873.01,894.04,854.44,890.66,2003128.0
2015-08-06,887.48,891.82,877.93,883.72,923303.0
2015-08-07,878.8,891.73,863.56,866.89,1416068.0
2015-08-10,871.56,883.86,863.75,870.26,732357.0
2015-08-11,873.01,874.89,849.86,852.17,1091087.0
2015-08-12,858.54,863.85,836.35,840.55,721554.0
2015-08-13,841.32,855.6,831.87,843.44,1251179.0
2015-08-14,848.89,868.19,848.46,863.61,880842.0
2015-08-17,871.56,875.18,863.36,868.24,577133.0
2015-08-18,874.89,882.56,860.37,869.49,622790.0
2015-08-19,866.74,870.7,850.44,867.95,618923.0
2015-08-20,873.01,881.93,848.46,851.98,1404599.0
2015-08-21,844.07,861.44,833.46,855.41,905933.0
2015-08-24,827.67,846.19,796.32,807.9,1176140.0
