,open,high,low,close,volume
2015-05-15,892.14,904.83,882.74,894.68,3311.0
2015-05-18,889.49,899.48,881.99,890.99,1266.0
2015-05-19,890.49,901.48,880.89,884.64,1424.0
2015-05-20,884.24,892.34,870.75,875.35,1446.0
2015-05-21,870.5,879.49,857.81,859.7,4422.0
2015-05-22,859.5,876.49,859.5,863.1,1705.0
2015-05-25,874.0,874.0,851.51,857.56,3957.0
2015-05-26,864.5,869.5,849.51,854.86,3350.0
2015-05-27,897.48,897.48,839.57,855.06,3074.0
2015-05-28,957.45,1015.61,939.56,975.14,420230.0
2015-05-29,979.34,987.78,949.45,961.5,66716.0
2015-06-01,968.44,998.32,955.85,959.25,43616.0
2015-06-02,967.64,976.44,922.42,944.51,18578.0
2015-06-03,926.47,956.9,902.83,928.12,14113.0
2015-06-04,929.46,944.16,910.48,918.87,9490.0
2015-06-05,904.53,944.41,904.53,916.37,17732.0
2015-06-08,909.63,925.37,894.68,903.38,7091.0
2015-06-09,899.98,948.45,899.98,930.36,24286.0
2015-06-10,919.47,997.13,919.47,954.05,100289.0
2015-06-11,956.45,1144.84,956.45,1144.84,495717.0
2015-06-12,1149.34,1188.32,1079.38,1098.22,226927.0
2015-06-15,1087.32,1281.46,1075.58,1255.88,659192.0
2015-06-16,1240.29,1298.05,1220.45,1262.02,465538.0
2015-06-17,1267.17,1289.21,1227.29,1238.89,172674.0
2015-06-18,1250.18,1270.27,1235.29,1242.43,76989.0
2015-06-19,1249.28,1254.23,1184.62,1201.01,49738.0
2015-06-22,1207.1,1207.2,1163.33,1170.03,24668.0
2015-06-23,1178.02,1278.26,1164.33,1241.93,223153.0
2015-06-24,1245.68,1251.28,1195.41,1203.06,46360.0
2015-06-25,1194.31,1242.63,1194.31,1201.71,36605.0
2015-06-26,1205.21,1231.29,1184.42,1188.86,26954.0
2015-06-29,1167.33,1197.31,1125.35,1184.02,42741.0
2015-06-30,1191.31,1219.25,1181.42,1191.31,20909.0
2015-07-01,1197.21,1227.29,1194.56,1199.26,19342.0
2015-07-02,1210.0,1211.7,1174.32,1178.62,13829.0
2015-07-03,1189.21,1209.3,1149.49,1166.68,15171.0
2015-07-06,1154.38,1209.3,1154.38,1175.97,27823.0
2015-07-07,1186.47,1227.29,1180.32,1202.46,60501.0
2015-07-08,1204.31,1215.9,1174.37,1185.77,20226.0
2015-07-09,1186.32,1214.3,1175.42,1180.37,14847.0
2015-07-10,1195.66,1196.36,1165.33,1169.58,10160.0
2015-07-13,1178.27,1189.31,1164.33,1175.12,10381.0
2015-07-14,1187.02,1187.97,1164.33,1169.03,12543.0
2015-07-15,1174.32,1189.16,1159.48,1166.88,20252.0
2015-07-16,1169.43,1178.32,1160.33,1165.23,15006.0
2015-07-17,1171.97,1224.29,1164.33,1189.16,104759.0
2015-07-20,1197.81,1247.28,1189.76,1224.04,112469.0
2015-07-21,1228.19,1233.79,1179.32,1191.21,22757.0
2015-07-22,1169.43,1209.3,1169.43,1198.91,13848.0
2015-07-23,1204.26,1214.3,1179.42,1185.17,9018.0
2015-07-24,1195.01,1209.2,1164.33,1173.52,18222.0
2015-07-27,1178.27,1186.32,1150.34,1164.73,13552.0
2015-07-28,1187.22,1198.31,1160.33,1169.48,11010.0
2015-07-29,1172.47,1187.32,1162.33,1167.08,9291.0
2015-07-30,1168.33,1179.22,1157.43,1164.33,10960.0
2015-07-31,1177.32,1216.05,1164.48,1179.62,51519.0
2015-08-03,1192.31,1206.3,1180.67,1187.57,20527.0
2015-08-04,1198.16,1228.29,1185.22,1191.21,60054.0
2015-08-05,1193.31,1197.31,1149.29,1174.02,82467.0
2015-08-06,1179.32,1239.29,1177.32,1209.9,102070.0
2015-08-07,1215.3,1274.17,1194.31,1217.7,165965.0
2015-08-10,1228.19,1229.34,1184.32,1191.11,122868.0
2015-08-11,1194.31,1224.19,1167.33,1208.1,65754.0
2015-08-12,1215.8,1216.2,1158.28,1178.52,31083.0
2015-08-13,1190.26,1209.25,1142.44,1154.88,61642.0
2015-08-14,1159.33,1206.3,1154.88,1163.68,136182.0
2015-08-17,1175.22,1187.32,1165.78,1172.27,11042.0
2015-08-18,1179.32,1188.22,1165.33,1169.63,9215.0
2015-08-19,1183.32,1183.32,1149.34,1169.58,16612.0
2015-08-20,1166.33,1179.32,1164.33,1171.72,19757.0
2015-08-21,1151.34,1198.31,1134.4,1186.12,23812.0
2015-08-24,1149.34,1197.31,1101.47,1151.49,64750.0
2015-08-25,1150.34,1177.32,1141.54,1159.43,108477.0
2015-08-26,1152.84,1172.32,1149.44,1154.43,10726.0
2015-08-27,1169.28,1198.31,1152.99,1183.92,139283.0
2015-08-28,1203.31,1203.31,1179.32,1183.77,8589.0
2015-08-31,1170.38,1189.31,1164.33,1164.83,127542.0
2015-09-01,1151.34,1173.72,1115.91,1126.9,11215.0
2015-09-02,1138.09,1186.32,1131.35,1149.84,25085.0
2015-09-03,1161.48,1243.28,1159.33,1196.26,166471.0
2015-09-04,1200.31,1218.65,1160.33,1197.86,25180.0
2015-09-07,1194.86,1203.36,1164.38,1173.47,13215.0
2015-09-08,1174.37,1194.31,1155.68,1189.31,16801.0
2015-09-09,1194.26,1202.31,1179.32,1185.52,20114.0
2015-09-10,1172.87,1196.31,1164.33,1176.07,9637.0
2015-09-11,1193.86,1267.27,1173.32,1190.26,161580.0
