,open,high,low,close,volume
2015-05-15,85.7,85.7,81.03,83.26,61485.0
2015-05-18,83.52,84.0,81.75,83.29,49725.0
2015-05-19,83.25,84.3,82.01,83.35,70230.0
2015-05-20,83.28,84.4,82.95,83.3,31290.0
2015-05-21,84.0,84.0,80.5,80.89,52650.0
2015-05-22,82.99,82.99,80.5,80.92,39825.0
2015-05-25,81.83,82.49,78.5,79.31,43980.0
2015-05-26,79.75,82.92,78.5,79.99,53955.0
2015-05-27,82.19,82.2,79.01,79.69,20550.0
2015-05-28,80.45,80.45,79.0,79.39,16005.0
2015-05-29,79.35,81.95,78.6,79.59,28050.0
2015-06-01,79.7,81.19,78.72,80.07,49080.0
2015-06-02,79.61,80.5,79.01,79.17,15240.0
2015-06-03,78.76,79.43,76.5,77.94,63405.0
2015-06-04,77.94,78.5,77.26,77.62,29460.0
2015-06-05,76.51,78.85,76.51,77.53,33945.0
2015-06-08,78.6,79.5,77.0,77.57,54450.0
2015-06-09,77.5,78.74,76.55,77.17,24195.0
2015-06-10,78.78,78.79,76.76,77.17,37275.0
2015-06-11,77.5,77.75,75.0,75.43,120270.0
2015-06-12,75.0,75.0,73.95,74.55,57435.0
2015-06-15,75.5,75.94,74.45,74.99,43815.0
2015-06-16,75.0,75.75,74.13,75.47,31215.0
2015-06-17,75.55,77.85,75.0,76.56,34245.0
2015-06-18,76.03,79.95,75.8,78.75,47250.0
2015-06-19,78.91,80.5,78.62,79.03,25815.0
2015-06-22,82.45,82.45,78.35,78.81,33090.0
2015-06-23,79.52,81.44,77.72,77.99,42900.0
2015-06-24,78.06,79.0,78.0,78.01,22410.0
2015-06-25,78.3,79.52,76.8,77.92,21255.0
2015-06-26,79.2,79.5,77.4,78.05,64320.0
2015-06-29,77.5,77.5,75.0,76.69,67035.0
2015-06-30,77.7,77.7,75.9,77.03,28425.0
2015-07-01,76.5,77.49,75.13,76.73,50970.0
2015-07-02,76.62,80.32,76.31,78.84,70575.0
2015-07-03,78.85,85.48,78.11,83.91,248415.0
2015-07-06,84.0,89.88,82.8,89.51,258090.0
2015-07-07,89.25,93.48,87.85,89.08,142275.0
2015-07-08,87.85,97.5,86.25,96.09,404250.0
2015-07-09,98.0,102.75,98.0,101.13,664530.0
2015-07-10,102.2,107.45,101.0,104.01,502155.0
2015-07-13,106.85,113.25,105.05,111.83,549510.0
2015-07-14,113.75,117.45,111.0,112.09,327480.0
2015-07-15,111.25,113.2,106.8,110.05,268620.0
2015-07-16,110.07,115.5,108.16,114.21,282945.0
2015-07-17,114.95,116.2,111.63,112.84,121995.0
2015-07-20,112.84,113.18,108.11,108.93,124545.0
2015-07-21,110.0,111.12,105.5,106.1,46365.0
2015-07-22,106.1,107.0,103.75,104.58,90765.0
2015-07-23,104.48,108.0,102.56,103.21,77490.0
2015-07-24,103.22,108.0,102.88,106.92,111690.0
2015-07-27,109.35,112.4,107.75,110.26,134370.0
2015-07-28,110.51,112.5,109.5,110.06,58485.0
2015-07-29,111.15,116.08,109.9,115.44,126390.0
2015-07-30,141.24,147.21,140.51,142.37,163275.0
2015-07-31,144.89,148.24,142.46,146.46,145770.0
2015-08-03,148.58,153.72,148.24,152.79,226770.0
2015-08-04,153.54,157.68,152.81,156.34,199875.0
2015-08-05,158.1,163.28,155.85,155.96,265470.0
2015-08-06,155.97,157.79,146.17,147.98,151980.0
2015-08-07,147.93,156.07,142.52,155.16,250725.0
2015-08-10,171.68,186.19,171.37,178.76,2019870.0
2015-08-11,179.59,179.84,169.24,170.12,257295.0
2015-08-12,170.1,174.54,164.37,167.44,231495.0
2015-08-13,167.44,170.77,161.33,163.67,131685.0
2015-08-14,166.2,184.14,164.37,174.74,219120.0
2015-08-17,180.63,185.6,177.55,184.21,395415.0
2015-08-18,185.74,194.51,185.74,193.47,300270.0
2015-08-19,194.08,197.73,186.29,189.88,279795.0
2015-08-20,190.73,192.38,182.64,184.63,106080.0
2015-08-21,182.64,187.81,173.12,186.12,197295.0
2015-08-24,176.55,180.2,154.69,160.25,356370.0
2015-08-25,156.52,167.48,138.8,160.14,380895.0
2015-08-26,161.33,164.19,152.2,155.31,194460.0
2015-08-27,161.82,163.82,155.85,157.55,142470.0
2015-08-28,161.33,166.5,158.28,162.11,263565.0
2015-08-31,163.16,163.16,158.28,159.54,63030.0
2015-09-01,157.19,157.62,152.56,153.77,114330.0
2015-09-02,155.24,161.33,150.68,152.69,75375.0
2015-09-03,155.2,165.59,153.41,163.03,292830.0
2015-09-04,166.8,170.18,162.79,164.07,338580.0
2015-09-07,167.11,171.98,157.86,161.95,192810.0
2015-09-08,162.24,164.01,155.85,159.74,109140.0
2015-09-09,166.76,168.93,161.94,166.28,115965.0
2015-09-10,165.47,167.42,162.85,166.26,72225.0
2015-09-11,168.39,173.81,167.66,172.34,133275.0
2015-09-14,176.24,178.71,170.83,175.26,141210.0
2015-09-15,176.49,176.49,170.4,172.29,79035.0
2015-09-16,174.22,175.64,171.53,173.07,79065.0
2015-09-18,173.07,178.08,173.07,177.51,124110.0
2015-09-21,177.46,177.46,172.9,174.92,83250.0
2015-09-22,177.16,178.05,173.57,175.39,55770.0
2015-09-23,173.51,178.68,169.37,176.97,73755.0
2015-09-24,177.77,180.8,177.76,179.63,75510.0
2015-09-28,180.32,187.88,179.29,186.02,201945.0
2015-09-29,183.55,200.29,182.64,192.35,327915.0
