,open,high,low,close,volume
2015-05-15,542.9,551.45,541.44,546.35,5825462.0
2015-05-18,547.56,553.93,543.04,551.65,3944770.0
2015-05-19,550.19,554.95,542.99,545.76,6047850.0
2015-05-20,547.03,551.01,540.95,542.65,4763209.0
2015-05-21,544.36,556.02,544.36,554.51,6157883.0
2015-05-22,555.34,560.54,548.0,552.76,4265332.0
2015-05-25,552.23,553.83,544.55,546.4,3426379.0
2015-05-26,547.27,550.97,542.61,548.49,2475418.0
2015-05-27,546.3,563.31,545.57,561.66,4120709.0
2015-05-28,562.78,569.43,554.46,558.6,8272414.0
2015-05-29,559.42,570.89,558.64,569.05,3421723.0
2015-06-01,570.5,572.45,560.98,562.29,3142413.0
2015-06-02,565.74,566.13,533.08,537.65,6978299.0
2015-06-03,537.79,538.52,523.5,535.51,5114150.0
2015-06-04,544.36,544.36,530.75,540.86,7432416.0
2015-06-05,540.47,541.68,530.79,533.08,7028734.0
2015-06-08,531.72,541.92,528.8,538.13,6286247.0
2015-06-09,536.63,548.24,535.07,543.09,5252618.0
2015-06-10,543.29,551.84,543.24,548.73,7919473.0
2015-06-11,552.03,554.27,529.82,531.48,7608358.0
2015-06-12,531.72,537.06,525.69,536.04,5518696.0
2015-06-15,538.43,539.49,530.11,534.68,5896234.0
2015-06-16,534.63,538.47,524.96,535.75,6283177.0
2015-06-17,537.65,541.83,532.3,533.91,4522392.0
2015-06-18,536.29,539.3,532.11,534.68,5579425.0
2015-06-19,538.52,539.88,532.93,536.14,6783585.0
2015-06-22,541.0,559.81,541.0,556.17,7325101.0
2015-06-23,559.52,563.31,550.48,555.34,6608481.0
2015-06-24,556.02,561.27,551.35,555.53,5427984.0
2015-06-25,552.23,561.75,551.21,554.12,5953158.0
2015-06-26,552.23,553.78,544.36,549.7,4432487.0
2015-06-29,538.52,551.45,530.75,546.98,5390158.0
2015-06-30,545.38,550.19,537.55,543.33,5479844.0
2015-07-01,543.19,564.28,541.29,562.48,7663185.0
2015-07-02,563.89,570.26,560.01,567.68,9886455.0
2015-07-03,565.59,572.06,564.77,569.58,4422432.0
2015-07-06,559.42,569.43,557.48,567.88,4973984.0
2015-07-07,568.95,574.25,565.11,569.82,4969526.0
2015-07-08,561.85,568.66,558.84,560.54,6414143.0
2015-07-09,564.26,565.78,555.0,560.2,3602432.0
2015-07-10,562.65,571.27,559.32,566.47,6853759.0
2015-07-13,566.47,571.71,558.68,570.24,5161182.0
2015-07-14,570.88,575.83,567.25,572.15,4566647.0
2015-07-15,572.79,577.59,569.8,572.25,3307716.0
2015-07-16,575.58,601.11,575.19,596.4,14142842.0
2015-07-17,592.34,597.63,586.46,589.99,5847889.0
2015-07-20,587.93,591.26,578.42,587.83,4688323.0
