,open,high,low,close,volume
2015-05-15,1863.12,1886.36,1851.94,1881.62,175574.0
2015-05-18,1886.36,1917.25,1873.23,1911.06,275731.0
2015-05-19,1910.45,1930.89,1889.15,1895.48,212926.0
2015-05-20,1901.85,1913.03,1838.17,1851.38,399901.0
2015-05-21,1845.14,1991.35,1827.24,1979.56,2610990.0
2015-05-22,1970.69,2014.5,1940.57,1985.71,920884.0
2015-05-25,1979.3,1999.91,1962.69,1978.31,414481.0
2015-05-26,1987.9,2005.12,1966.48,1997.63,275643.0
2015-05-27,1982.27,2010.92,1982.27,1989.97,504244.0
2015-05-28,1989.84,2009.42,1957.78,1981.84,418946.0
2015-05-29,1990.7,2005.98,1967.29,1993.15,549255.0
2015-06-01,1995.26,2023.19,1984.72,2011.78,284450.0
2015-06-02,2015.44,2019.79,1946.73,1954.08,516279.0
2015-06-03,1937.13,1971.42,1918.41,1927.66,231100.0
2015-06-04,1931.8,1945.74,1885.11,1908.73,193842.0
2015-06-05,1896.43,1924.22,1885.8,1891.95,187374.0
2015-06-08,1893.24,1928.09,1893.24,1914.07,372632.0
2015-06-09,1909.33,1921.21,1873.79,1885.24,296262.0
2015-06-10,1877.75,1950.25,1875.17,1938.98,409711.0
2015-06-11,1950.04,1959.85,1899.27,1904.9,350425.0
2015-06-12,1910.45,1976.72,1894.45,1967.51,575268.0
2015-06-15,1967.51,2012.99,1946.25,2007.14,501630.0
2015-06-16,2004.25,2068.07,1991.52,2057.7,457467.0
2015-06-17,2061.05,2072.67,2032.65,2041.26,366641.0
2015-06-18,2039.54,2076.03,2038.76,2061.91,308116.0
2015-06-19,2073.92,2086.87,2056.92,2072.02,327523.0
2015-06-22,2069.7,2096.72,2062.95,2086.91,244573.0
2015-06-23,2086.91,2098.06,2067.33,2077.66,291949.0
2015-06-24,2078.22,2078.22,2055.54,2058.99,263531.0
2015-06-25,2065.36,2177.23,2056.75,2155.11,927513.0
2015-06-26,2146.25,2197.88,2126.46,2189.96,662174.0
2015-06-29,2151.41,2215.14,2134.59,2202.06,579466.0
2015-06-30,2196.55,2223.7,2178.18,2187.51,629086.0
2015-07-01,2187.51,2198.74,2165.18,2174.0,251469.0
2015-07-02,2194.44,2225.59,2175.51,2208.38,338991.0
2015-07-03,2220.26,2245.21,2215.95,2227.14,346267.0
2015-07-06,2213.37,2240.01,2211.22,2233.47,254273.0
2015-07-07,2239.19,2248.57,2224.56,2240.65,184985.0
2015-07-08,2228.04,2244.35,2203.05,2212.9,184524.0
2015-07-09,2233.57,2244.98,2194.21,2203.95,239855.0
2015-07-10,2211.54,2214.61,2153.4,2164.94,332514.0
2015-07-13,2176.52,2201.05,2141.06,2191.31,295109.0
2015-07-14,2194.07,2212.5,2181.39,2192.93,341879.0
2015-07-15,2185.3,2229.18,2185.3,2222.38,350064.0
2015-07-16,2229.18,2247.61,2227.25,2234.31,224838.0
2015-07-17,2242.34,2253.4,2180.91,2219.92,259098.0
2015-07-20,2223.04,2238.13,2205.18,2212.46,131942.0
2015-07-21,2201.09,2258.1,2201.09,2231.77,226485.0
2015-07-22,2236.2,2306.41,2236.2,2298.42,493192.0
2015-07-23,2308.17,2330.98,2176.52,2184.46,1651767.0
2015-07-24,2187.84,2210.57,2174.02,2191.75,399738.0
2015-07-27,2188.81,2219.53,2159.63,2201.97,405369.0
2015-07-28,2208.99,2215.93,2168.89,2178.28,248738.0
2015-07-29,2180.56,2207.02,2169.41,2192.19,220012.0
2015-07-30,2194.07,2223.91,2194.07,2217.99,332527.0
2015-07-31,2223.04,2242.87,2206.58,2216.28,245751.0
2015-08-03,2216.01,2250.77,2182.93,2198.37,294753.0
2015-08-04,2215.93,2215.93,2174.02,2204.52,276076.0
2015-08-05,2199.34,2270.3,2199.34,2261.34,577916.0
2015-08-06,2260.77,2288.86,2247.57,2262.84,369433.0
2015-08-07,2262.84,2266.04,2219.09,2226.9,191394.0
2015-08-10,2233.52,2258.71,2230.67,2241.99,226672.0
2015-08-11,2246.73,2252.88,2216.19,2229.09,184804.0
2015-08-12,2224.79,2235.15,2151.42,2160.9,243929.0
2015-08-13,2167.75,2202.85,2125.62,2182.53,195819.0
2015-08-14,2189.69,2257.97,2172.79,2245.5,255379.0
2015-08-17,2254.63,2255.51,2220.36,2225.1,157272.0
2015-08-18,2229.18,2254.63,2211.63,2217.59,154551.0
2015-08-19,2210.75,2242.34,2191.13,2231.86,176926.0
2015-08-20,2198.51,2234.66,2177.93,2186.88,209161.0
2015-08-21,2172.18,2201.62,2093.15,2111.75,604347.0
2015-08-24,2053.39,2067.43,1903.58,1923.37,524739.0
2015-08-25,1946.14,1971.07,1880.63,1929.21,622800.0
2015-08-26,1925.91,1992.22,1872.55,1969.97,436233.0
2015-08-27,1992.22,1992.31,1909.9,1920.03,777058.0
2015-08-28,1943.91,2013.15,1932.58,2000.6,568948.0
2015-08-31,1984.32,1992.22,1949.3,1959.48,459532.0
2015-09-01,1942.06,1982.48,1940.48,1974.58,570898.0
2015-09-02,1970.28,2003.15,1924.2,1933.86,396461.0
2015-09-03,1946.71,1987.74,1941.76,1973.26,324122.0
2015-09-04,1961.59,1961.59,1916.22,1940.44,288883.0
2015-09-07,1952.73,1952.73,1910.78,1923.85,201054.0
2015-09-08,1927.36,1947.46,1909.33,1935.74,264656.0
2015-09-09,1948.51,2001.0,1948.51,1992.22,218609.0
2015-09-10,1965.89,2036.01,1943.64,2020.92,280684.0
2015-09-11,2042.24,2048.56,1994.85,2041.19,311139.0
2015-09-14,2058.04,2058.04,2015.08,2031.14,155057.0
2015-09-15,2031.71,2031.71,2001.96,2015.39,188695.0
2015-09-16,2023.02,2079.1,2017.32,2062.56,340725.0
2015-09-18,2084.37,2087.49,1994.85,2016.35,406288.0
2015-09-21,1996.61,2027.24,1983.75,2020.83,165733.0
2015-09-22,2047.42,2047.51,1966.2,1982.7,241130.0
2015-09-23,1967.65,1980.02,1939.69,1965.23,344990.0
2015-09-24,1972.91,2013.19,1963.26,2003.58,403540.0
2015-09-28,2018.55,2027.32,1985.59,1996.08,177328.0
2015-09-29,1981.69,2012.58,1935.17,1975.24,265626.0
2015-09-30,1988.71,2038.25,1976.16,2029.17,306730.0
2015-10-01,2028.2,2042.55,2004.59,2031.8,182986.0
2015-10-05,2040.49,2110.7,2028.77,2096.44,226860.0
2015-10-06,2101.92,2105.26,2055.54,2085.91,214337.0
2015-10-07,2080.95,2163.36,2065.98,2151.77,297092.0
2015-10-08,2176.43,2176.43,2111.71,2133.43,215467.0
2015-10-09,2148.44,2181.79,2140.36,2149.84,226253.0
2015-10-12,2150.63,2158.05,2111.31,2125.84,109815.0
2015-10-13,2132.64,2175.42,2128.25,2160.81,240921.0
2015-10-14,2155.72,2175.47,2133.56,2140.49,110664.0
2015-10-15,2150.19,2158.97,2141.77,2150.76,132541.0
2015-10-16,2156.12,2183.32,2137.95,2160.29,187013.0
2015-10-19,2160.28,2176.74,2132.73,2163.71,202855.0
2015-10-20,2167.75,2172.13,2106.31,2140.58,243441.0
2015-10-21,2144.93,2227.51,2137.03,2210.79,1213789.0
2015-10-23,2222.9,2250.42,2199.38,2207.81,497453.0
2015-10-26,2220.4,2265.95,2220.4,2260.42,521901.0
2015-10-27,2252.04,2277.45,2242.39,2266.17,380147.0
2015-10-28,2264.37,2268.67,2245.24,2255.86,317563.0
2015-10-29,2257.26,2281.84,2249.06,2261.91,395616.0
2015-10-30,2259.98,2266.92,2229.14,2238.35,167715.0
2015-11-02,2230.93,2259.9,2099.29,2134.97,535525.0
2015-11-03,2145.76,2150.32,2116.05,2127.86,192324.0
2015-11-04,2137.03,2171.26,2137.03,2149.36,261171.0
2015-11-05,2150.15,2166.21,2110.96,2118.86,201885.0
2015-11-06,2116.05,2149.18,2116.05,2132.16,178321.0
2015-11-09,2101.75,2132.64,2091.0,2114.3,157878.0
2015-11-10,2107.19,2172.13,2090.21,2156.73,273391.0
2015-11-11,2107.19,2172.13,2090.21,2156.73,273391.0
2015-11-13,2141.42,2167.74,2077.39,2089.15,255389.0
2015-11-16,2083.49,2114.08,2057.3,2082.26,285955.0
2015-11-17,2092.27,2121.93,2066.82,2075.86,254396.0
2015-11-18,2079.1,2092.49,2050.58,2056.2,245945.0
