,open,high,low,close,volume
2015-05-15,391.74,402.38,386.87,399.9,65197.0
2015-05-18,399.81,402.82,392.45,393.87,55896.0
2015-05-19,396.17,396.17,385.89,386.78,47749.0
2015-05-20,393.83,393.83,383.54,387.58,38866.0
2015-05-21,385.98,390.77,385.36,389.13,24998.0
2015-05-22,386.07,391.26,383.59,385.8,24844.0
2015-05-25,390.86,390.86,379.38,380.53,24088.0
2015-05-26,384.56,384.56,376.32,378.71,19961.0
2015-05-27,375.79,390.59,374.02,387.05,59251.0
2015-05-28,387.31,398.83,387.31,396.79,134910.0
2015-05-29,396.88,415.67,395.33,409.96,166894.0
2015-06-01,407.96,415.14,403.66,411.64,45691.0
2015-06-02,411.64,412.13,398.79,398.97,174489.0
2015-06-03,396.57,412.13,385.49,401.94,85099.0
2015-06-04,398.83,405.92,391.88,396.31,54271.0
2015-06-05,396.17,400.65,392.63,395.33,43188.0
2015-06-08,397.33,397.46,383.32,386.91,39340.0
2015-06-09,389.79,389.79,376.68,378.98,40696.0
2015-06-10,377.56,385.1,376.9,380.18,51920.0
2015-06-11,383.23,383.23,370.96,376.01,31944.0
2015-06-12,376.68,378.45,367.86,369.54,31279.0
2015-06-15,374.37,374.37,357.27,359.3,73587.0
2015-06-16,356.65,362.5,343.97,352.66,213217.0
2015-06-17,354.7,362.45,349.82,352.92,232370.0
2015-06-18,356.29,377.56,356.29,374.68,120682.0
2015-06-19,377.12,382.88,372.91,374.73,106846.0
2015-06-22,380.22,384.21,375.57,380.44,353563.0
2015-06-23,382.88,385.54,380.09,384.12,129322.0
2015-06-24,384.48,386.87,381.99,383.01,36005.0
2015-06-25,383.77,383.77,367.28,378.76,154294.0
2015-06-26,379.33,382.35,370.03,371.36,116454.0
2015-06-29,365.15,378.89,359.44,374.55,30598.0
2015-06-30,376.68,396.84,376.14,385.36,138328.0
2015-07-01,388.37,390.95,386.11,388.24,40735.0
2015-07-02,393.87,393.87,377.12,382.35,384204.0
2015-07-03,386.43,392.63,386.43,391.52,245592.0
2015-07-06,389.0,406.68,385.18,404.64,303289.0
2015-07-07,404.64,412.84,402.78,406.46,256089.0
2015-07-08,401.49,408.58,397.42,404.33,75756.0
2015-07-09,405.92,411.86,370.47,375.88,660434.0
2015-07-10,388.2,398.21,377.56,395.73,273334.0
2015-07-13,398.83,403.8,393.91,400.56,101525.0
2015-07-14,404.11,404.11,397.55,402.02,114380.0
2015-07-15,405.04,408.14,400.83,402.2,95193.0
2015-07-16,403.89,403.89,394.4,398.61,76184.0
2015-07-17,399.1,412.04,394.18,410.98,186090.0
2015-07-20,412.97,419.13,412.97,414.57,59773.0
2015-07-21,414.74,417.36,398.7,413.68,64642.0
2015-07-22,415.67,416.56,406.81,414.21,32994.0
2015-07-23,417.8,417.8,404.46,407.52,41149.0
2015-07-24,409.82,412.13,400.83,408.85,97603.0
2015-07-27,408.85,409.47,392.23,396.13,102237.0
2015-07-28,399.72,408.58,396.17,402.73,169281.0
2015-07-29,402.73,406.1,398.83,401.67,48359.0
2015-07-30,404.95,407.78,401.76,406.99,51535.0
2015-07-31,407.7,407.7,394.84,404.28,69172.0
2015-08-03,399.01,404.86,390.9,398.92,26635.0
2015-08-04,394.89,399.68,391.3,392.81,44190.0
2015-08-05,391.88,407.7,391.88,404.46,71150.0
2015-08-06,407.16,420.99,405.04,416.47,187216.0
2015-08-07,416.56,419.79,400.34,407.16,50910.0
2015-08-10,404.15,420.1,401.49,416.07,124048.0
2015-08-11,418.33,424.09,415.27,419.13,74998.0
2015-08-12,414.08,421.88,409.47,415.72,31271.0
2015-08-13,415.67,420.99,411.02,414.57,36627.0
2015-08-14,419.57,419.57,403.44,413.37,28539.0
2015-08-17,409.65,417.45,409.65,415.67,48413.0
2015-08-18,418.24,442.26,411.24,439.96,452862.0
2015-08-19,444.79,453.78,433.44,436.28,231914.0
2015-08-20,436.28,449.13,429.94,440.62,196978.0
2015-08-21,441.38,452.01,427.42,447.89,184624.0
2015-08-24,437.83,452.01,416.56,432.2,593042.0
2015-08-25,438.72,448.47,401.23,421.17,227200.0
2015-08-26,412.13,421.88,404.37,415.36,113286.0
2015-08-27,425.42,434.2,421.88,430.78,39247.0
2015-08-28,435.97,462.65,430.74,439.78,285738.0
2015-08-31,442.17,450.24,425.6,448.33,119878.0
2015-09-01,449.35,449.35,429.81,436.19,55862.0
2015-09-02,437.52,442.57,421.35,422.23,63974.0
2015-09-03,419.22,433.4,419.22,427.28,31999.0
2015-09-04,427.19,427.19,400.83,418.64,102588.0
2015-09-07,416.56,417.45,403.26,406.5,48754.0
2015-09-08,411.46,411.46,391.79,397.28,88272.0
2015-09-09,397.06,411.24,397.06,399.23,43061.0
2015-09-10,394.31,402.38,390.99,400.07,21413.0
2015-09-11,413.01,424.89,405.79,408.85,320090.0
2015-09-14,408.54,417.0,407.87,413.86,174148.0
