,open,high,low,close,volume
2015-05-15,223.09,225.84,221.22,224.07,66500.0
2015-05-18,223.98,227.76,222.34,225.56,50552.0
2015-05-19,226.36,235.23,226.13,230.37,226862.0
2015-05-20,232.71,237.79,230.56,233.83,154050.0
2015-05-21,233.45,242.93,232.61,240.45,267850.0
2015-05-22,241.99,251.89,241.76,246.29,526242.0
2015-05-25,243.16,247.22,235.6,236.44,131946.0
2015-05-26,236.16,239.61,232.52,234.15,87174.0
2015-05-27,233.36,247.73,231.63,245.96,283517.0
2015-05-28,248.11,266.78,238.12,251.56,2358587.0
2015-05-29,252.77,261.36,252.26,257.95,544936.0
2015-06-01,257.63,272.47,256.69,268.6,752355.0
2015-06-02,267.9,275.13,266.08,270.14,558302.0
2015-06-03,270.42,270.42,247.41,253.66,224864.0
2015-06-04,256.32,258.8,247.36,253.66,124626.0
2015-06-05,253.66,260.43,252.49,254.64,147882.0
2015-06-08,255.67,255.67,244.79,247.13,80443.0
2015-06-09,246.43,253.52,242.69,250.86,95838.0
2015-06-10,250.86,265.47,250.86,261.22,433616.0
2015-06-11,266.03,272.1,259.59,262.58,497671.0
2015-06-12,261.36,277.04,260.43,274.48,479425.0
2015-06-15,275.74,283.67,273.68,274.9,497676.0
2015-06-16,276.11,279.05,269.67,276.02,220523.0
2015-06-17,278.16,285.63,277.23,279.61,321784.0
2015-06-18,281.06,287.5,279.8,280.82,156689.0
2015-06-19,285.49,287.22,271.72,274.34,392448.0
2015-06-22,273.5,279.84,272.56,275.36,215227.0
2015-06-23,277.04,279.28,269.81,271.44,221882.0
2015-06-24,271.63,273.96,262.48,265.42,187922.0
2015-06-25,267.62,267.62,255.76,256.74,146279.0
2015-06-26,258.42,262.3,252.73,254.45,230655.0
2015-06-29,249.32,251.47,244.56,247.22,148224.0
2015-06-30,247.36,256.6,247.36,254.78,160111.0
2015-07-01,256.6,264.96,254.5,262.06,248738.0
2015-07-02,263.18,264.91,256.69,257.11,220372.0
2015-07-03,257.63,264.63,257.63,258.0,249880.0
2015-07-06,252.03,261.36,252.03,258.7,324052.0
2015-07-07,259.49,262.3,253.15,254.22,228980.0
2015-07-08,252.03,264.63,250.53,263.37,407756.0
2015-07-09,265.84,274.43,262.62,272.61,445286.0
2015-07-10,275.08,275.27,267.94,270.0,152866.0
2015-07-13,268.83,279.05,267.76,276.2,208412.0
2015-07-14,278.4,278.63,268.83,270.42,264693.0
2015-07-15,271.86,274.1,258.75,259.82,255179.0
2015-07-16,261.92,265.84,260.29,263.42,131193.0
2015-07-17,265.28,269.67,259.96,261.13,318561.0
2015-07-20,262.67,263.14,257.63,258.65,108890.0
2015-07-21,257.63,263.51,253.05,253.99,125098.0
2015-07-22,255.2,257.44,252.96,254.27,121551.0
2015-07-23,255.62,267.34,254.03,261.74,541409.0
2015-07-24,262.53,267.62,256.74,258.14,237234.0
2015-07-27,259.49,260.8,252.03,253.05,141950.0
2015-07-28,255.2,257.53,247.36,247.78,240050.0
2015-07-29,250.59,253.31,240.35,241.34,278851.0
2015-07-30,242.42,244.86,237.49,240.68,158488.0
2015-07-31,242.51,247.67,239.98,242.65,242704.0
2015-08-03,244.11,247.86,242.23,246.13,179951.0
2015-08-04,246.78,247.77,240.59,243.83,244321.0
2015-08-05,245.56,248.8,244.3,245.19,267264.0
2015-08-06,248.8,262.7,248.8,256.97,2638738.0
2015-08-07,259.6,265.7,259.03,262.42,742369.0
2015-08-10,264.2,264.2,258.42,259.79,254424.0
2015-08-11,261.95,262.37,253.5,255.8,238409.0
2015-08-12,255.8,259.13,248.8,249.98,188990.0
2015-08-13,252.46,255.33,243.4,244.34,159069.0
2015-08-14,247.86,248.66,236.78,243.12,393233.0
2015-08-17,251.62,251.71,245.05,247.77,250211.0
2015-08-18,249.18,249.18,243.68,247.06,146033.0
2015-08-19,246.78,251.99,244.48,248.28,200060.0
2015-08-20,248.05,248.05,239.51,241.34,192305.0
2015-08-21,241.1,241.1,233.87,235.09,220414.0
2015-08-24,229.08,229.08,216.88,219.93,386324.0
2015-08-25,220.82,227.16,199.04,215.0,273229.0
2015-08-26,215.0,215.94,206.88,215.47,136468.0
2015-08-27,218.66,228.85,214.63,225.42,326986.0
2015-08-28,230.96,241.57,229.08,233.26,417842.0
2015-08-31,233.69,240.26,233.64,238.8,187300.0
2015-09-01,236.55,237.54,225.47,228.62,128123.0
2015-09-02,231.34,234.44,224.39,225.33,211972.0
2015-09-03,225.8,233.59,225.8,231.34,191741.0
2015-09-04,230.16,231.01,216.88,222.14,155330.0
2015-09-07,220.73,228.15,218.99,220.45,225810.0
2015-09-08,223.17,223.45,215.99,221.25,133142.0
2015-09-09,222.98,232.09,222.98,230.45,214551.0
2015-09-10,225.33,228.15,221.62,226.93,112874.0
2015-09-11,228.15,236.6,228.15,232.32,437679.0
2015-09-14,234.62,236.88,234.06,236.03,82120.0
2015-09-15,236.97,237.44,232.98,235.14,129909.0
2015-09-16,237.44,237.54,234.25,234.81,81407.0
2015-09-18,235.8,242.23,235.47,239.32,172119.0
2015-09-21,237.44,237.96,234.06,235.05,70784.0
2015-09-22,234.34,239.23,233.78,235.66,85876.0
2015-09-23,231.9,236.45,230.02,234.34,86755.0
2015-09-24,233.17,235.66,232.84,233.59,38291.0
2015-09-28,231.01,233.59,230.02,232.18,49841.0
2015-09-29,226.36,238.0,226.36,232.75,77036.0
2015-09-30,234.44,236.41,233.59,234.95,41779.0
2015-10-01,237.63,239.41,232.98,234.44,69752.0
2015-10-05,235.33,238.0,232.0,232.98,82296.0
2015-10-06,235.47,236.17,231.9,232.89,72486.0
2015-10-07,234.15,234.15,230.96,231.9,113455.0
2015-10-08,233.4,234.06,228.9,228.9,55777.0
2015-10-09,232.51,232.51,226.22,226.6,104516.0
2015-10-12,227.21,235.47,226.79,230.87,270789.0
2015-10-13,230.02,234.95,229.23,230.92,207084.0
2015-10-14,231.2,234.34,230.02,230.87,176492.0
2015-10-15,232.61,245.84,232.61,237.02,958486.0
2015-10-16,239.37,241.24,236.69,238.38,293189.0
2015-10-19,238.19,242.7,236.6,237.02,226039.0
2015-10-20,237.07,241.29,237.07,238.33,182749.0
2015-10-21,237.58,242.23,234.81,236.5,141569.0
2015-10-23,238.85,242.23,235.66,236.27,95214.0
2015-10-26,238.29,238.99,235.19,236.13,64514.0
2015-10-27,235.28,237.11,231.9,232.47,87381.0
2015-10-28,231.9,237.44,230.96,234.06,82992.0
2015-10-29,234.06,235.89,231.95,232.61,56454.0
2015-10-30,232.89,236.45,229.55,230.63,62487.0
2015-11-02,231.43,236.45,230.96,233.69,72291.0
2015-11-03,234.72,238.57,234.72,235.52,92752.0
2015-11-04,237.3,240.3,235.84,239.04,139365.0
2015-11-05,239.04,243.87,223.59,225.75,1003067.0
2015-11-06,228.05,229.23,222.51,224.48,139928.0
2015-11-09,219.7,223.92,215.75,221.67,67264.0
2015-11-10,221.15,224.39,218.76,219.32,51336.0
2015-11-11,221.15,224.39,218.76,219.32,51336.0
2015-11-13,218.52,221.48,214.67,215.57,75165.0
2015-11-16,215.0,221.48,214.11,219.23,64038.0
2015-11-17,220.4,221.43,217.35,218.01,41325.0
2015-11-18,216.97,220.73,214.49,215.28,72362.0
2015-11-19,216.55,217.44,212.65,213.41,145483.0
2015-11-20,214.49,219.51,213.12,215.24,412685.0
2015-11-23,217.54,220.64,209.04,210.68,524806.0
2015-11-24,211.72,212.84,210.31,210.96,120080.0
2015-11-26,211.25,213.41,209.28,210.03,107097.0
2015-11-27,210.4,211.25,208.66,209.46,116817.0
2015-11-30,211.34,211.76,204.77,205.52,217168.0
2015-12-01,206.18,207.96,203.97,204.44,189605.0
2015-12-02,205.33,206.74,203.41,204.49,160798.0
2015-12-03,202.94,205.33,202.42,203.83,118324.0
2015-12-04,203.45,203.74,200.64,201.25,157265.0
2015-12-07,203.17,204.67,199.09,200.21,107017.0
2015-12-08,200.59,201.76,196.46,197.82,95694.0
2015-12-09,198.29,198.34,189.65,190.87,181188.0
2015-12-10,191.95,193.69,188.34,191.81,129686.0
2015-12-11,191.53,197.07,190.26,190.97,185037.0
2015-12-14,191.06,193.31,189.65,190.97,97457.0
2015-12-15,191.39,192.19,185.15,186.37,154958.0
2015-12-16,187.96,188.24,184.77,185.38,201703.0
2015-12-17,187.21,190.12,186.46,189.0,95336.0
2015-12-18,188.2,197.35,188.2,192.0,262724.0
2015-12-21,192.19,197.07,192.0,196.08,145192.0
2015-12-22,197.16,203.27,196.08,199.89,328427.0
2015-12-23,202.61,204.21,200.36,201.34,121091.0
2015-12-24,202.47,203.69,199.98,200.26,96374.0
2015-12-28,200.36,204.67,199.51,200.68,172980.0
2015-12-29,201.34,203.22,197.35,197.96,104930.0
2015-12-30,198.76,201.39,196.69,197.16,97868.0
2015-12-31,198.1,199.93,195.19,197.16,84603.0
2016-01-01,197.45,199.46,195.29,196.74,106835.0
2016-01-04,196.88,199.23,192.94,194.63,143378.0
2016-01-05,197.16,197.16,191.53,192.09,219124.0
2016-01-06,192.47,193.78,189.65,190.17,144762.0
2016-01-07,188.62,189.7,184.96,185.43,206726.0
2016-01-08,186.84,189.37,185.52,186.46,261590.0
2016-01-11,185.43,189.65,184.02,186.37,198138.0
2016-01-12,186.93,188.53,182.56,183.92,159962.0
2016-01-13,186.65,186.84,175.62,178.34,188965.0
2016-01-14,174.63,179.0,172.85,177.82,104523.0
2016-01-15,178.39,180.17,169.19,170.5,109903.0
2016-01-18,169.0,169.94,160.64,161.3,130438.0
2016-01-19,160.12,167.82,160.12,166.56,97922.0
2016-01-20,164.3,167.12,162.52,165.15,81833.0
2016-01-21,166.18,168.11,164.3,166.09,56457.0
2016-01-22,168.06,173.22,166.65,170.5,91272.0
2016-01-25,171.81,176.98,171.53,176.09,82352.0
2016-01-27,176.51,177.4,165.8,174.11,181854.0
2016-01-28,174.63,174.68,169.94,170.22,65641.0
2016-01-29,170.88,172.52,169.28,170.5,69622.0
2016-02-01,170.97,176.98,170.97,174.25,178695.0
2016-02-02,174.63,177.26,166.65,167.49,140730.0
2016-02-03,166.18,167.12,161.11,164.4,83306.0
2016-02-04,165.57,167.12,162.89,163.88,76017.0
