,open,high,low,close,volume
2015-05-15,1424.79,1448.7,1418.27,1438.99,25467.0
2015-05-18,1444.72,1458.47,1435.35,1454.23,26362.0
2015-05-19,1456.63,1467.69,1439.74,1460.91,17324.0
2015-05-20,1472.87,1479.54,1417.62,1445.07,57779.0
2015-05-21,1448.7,1460.66,1434.76,1455.23,47255.0
2015-05-22,1462.06,1475.61,1459.81,1465.89,15989.0
2015-05-25,1449.7,1487.56,1449.7,1476.1,19768.0
2015-05-26,1466.64,1486.57,1465.64,1476.6,22930.0
2015-05-27,1463.65,1544.35,1461.66,1527.27,51794.0
2015-05-28,1536.63,1569.26,1519.45,1524.28,57713.0
2015-05-29,1522.44,1524.48,1508.09,1521.54,35195.0
2015-06-01,1534.39,1534.59,1476.2,1499.32,17029.0
2015-06-02,1496.03,1519.45,1443.62,1499.82,249153.0
2015-06-03,1478.6,1528.81,1438.74,1511.08,531267.0
2015-06-04,1519.45,1543.36,1499.67,1524.63,95455.0
2015-06-05,1510.83,1534.39,1493.49,1509.63,71969.0
2015-06-08,1510.48,1510.48,1474.61,1496.28,55377.0
2015-06-09,1512.82,1600.8,1458.17,1557.41,37137.0
2015-06-10,1564.28,1571.75,1534.39,1545.55,55562.0
2015-06-11,1559.25,1559.25,1524.53,1534.24,65930.0
2015-06-12,1495.63,1524.48,1485.57,1495.73,32053.0
2015-06-15,1496.58,1519.4,1473.51,1493.79,10161.0
2015-06-16,1494.59,1509.28,1469.58,1489.56,14396.0
2015-06-17,1504.5,1511.23,1480.19,1494.84,399073.0
2015-06-18,1504.5,1539.37,1494.54,1511.92,15750.0
2015-06-19,1518.8,1522.34,1502.51,1512.12,16405.0
2015-06-22,1521.44,1521.44,1504.5,1511.48,223991.0
2015-06-23,1512.47,1543.11,1510.48,1520.04,105378.0
2015-06-24,1539.27,1544.35,1493.54,1496.43,21099.0
2015-06-25,1491.2,1511.48,1478.6,1505.7,56305.0
2015-06-26,1495.68,1517.65,1482.28,1495.13,139871.0
2015-06-29,1429.92,1544.26,1429.92,1509.03,66320.0
2015-06-30,1495.58,1534.39,1495.58,1526.52,15791.0
2015-07-01,1522.09,1554.32,1522.09,1551.93,27578.0
2015-07-02,1554.32,1618.09,1554.32,1596.46,74155.0
2015-07-03,1599.15,1703.77,1599.15,1675.87,69680.0
2015-07-06,1668.9,1780.69,1649.97,1712.99,87565.0
2015-07-07,1718.92,1778.5,1713.74,1759.57,84481.0
2015-07-08,1751.6,1777.4,1728.68,1752.74,39600.0
2015-07-09,1752.34,1775.18,1695.74,1704.22,25564.0
2015-07-10,1698.49,1734.19,1686.47,1720.63,40691.0
2015-07-13,1710.56,1734.19,1710.56,1724.07,14487.0
2015-07-14,1720.43,1755.34,1717.04,1733.84,16382.0
2015-07-15,1750.35,1776.78,1740.63,1763.22,31351.0
2015-07-16,1774.19,1778.28,1725.42,1736.19,16759.0
2015-07-17,1735.44,1741.17,1700.68,1715.29,20290.0
2015-07-20,1718.43,1742.62,1659.44,1698.79,49296.0
2015-07-21,1711.05,1720.43,1667.77,1681.73,12983.0
2015-07-22,1686.52,1719.43,1660.84,1672.56,39046.0
2015-07-23,1725.42,1755.34,1710.46,1725.02,178823.0
2015-07-24,1740.38,1785.26,1714.44,1722.32,77428.0
2015-07-27,1715.44,1734.39,1701.33,1712.0,31180.0
2015-07-28,1715.59,1739.38,1711.45,1725.67,44953.0
2015-07-29,1725.81,1830.14,1725.81,1808.84,167630.0
2015-07-30,1825.0,1852.78,1810.19,1828.29,91745.0
2015-07-31,1840.11,1865.04,1828.14,1840.81,79009.0
2015-08-03,1854.07,1917.61,1841.16,1900.0,94503.0
2015-08-04,1916.91,2154.28,1903.94,2021.28,256964.0
2015-08-05,2041.58,2044.57,1964.68,1985.77,82037.0
2015-08-06,1986.82,2002.63,1900.45,1920.8,65897.0
2015-08-07,1939.75,2030.6,1934.86,2004.72,144193.0
2015-08-10,2005.67,2019.68,1986.97,1998.04,49589.0
2015-08-11,1997.69,2033.6,1963.68,2000.53,46782.0
2015-08-12,1999.69,2008.66,1958.4,1981.59,61326.0
2015-08-13,1980.74,2047.41,1914.91,1930.22,191726.0
2015-08-14,1964.73,1984.73,1932.86,1967.12,25047.0
2015-08-17,1951.66,1984.73,1924.89,1937.65,31682.0
2015-08-18,1944.63,1945.83,1909.93,1915.51,19794.0
2015-08-19,1918.9,1927.88,1870.03,1878.96,30928.0
2015-08-20,1875.07,1921.89,1856.07,1874.37,231540.0
2015-08-21,1856.97,1889.98,1820.16,1873.02,34214.0
2015-08-24,1845.05,1845.05,1676.2,1710.16,103171.0
2015-08-25,1713.45,1745.21,1657.6,1703.72,84903.0
2015-08-26,1697.49,1779.27,1697.49,1709.46,38691.0
2015-08-27,1720.53,1790.24,1720.38,1740.03,33103.0
2015-08-28,1750.35,1842.06,1750.35,1810.24,99814.0
2015-08-31,1800.22,1873.02,1765.31,1805.0,29319.0
2015-09-01,1795.23,1841.11,1759.38,1767.9,52979.0
2015-09-02,1778.28,1814.98,1757.38,1780.52,62082.0
2015-09-03,1790.44,1866.04,1785.21,1845.3,43243.0
2015-09-04,1850.83,1904.94,1816.32,1823.9,51729.0
2015-09-07,1825.15,1839.91,1728.41,1745.86,66150.0
2015-09-08,1749.95,1760.27,1672.61,1745.36,91688.0
2015-09-09,1775.28,1835.02,1775.28,1806.35,28598.0
2015-09-10,1750.4,1810.19,1719.43,1800.47,55623.0
2015-09-11,1808.3,1829.29,1778.28,1785.51,14574.0
2015-09-14,1790.24,1887.98,1790.24,1876.56,76721.0
2015-09-15,1893.42,1893.42,1855.07,1857.37,30597.0
2015-09-16,1894.92,1910.03,1826.15,1837.57,27918.0
2015-09-18,1869.98,1876.02,1781.27,1829.64,184944.0
2015-09-21,1845.1,1849.59,1754.24,1781.22,103215.0
2015-09-22,1795.18,1825.15,1770.6,1780.02,55333.0
2015-09-23,1761.37,1791.04,1739.43,1758.98,33116.0
2015-09-24,1756.33,1783.26,1735.39,1740.28,31610.0
2015-09-28,1745.36,1755.34,1722.42,1726.21,24964.0
2015-09-29,1717.34,1750.35,1689.26,1719.38,97837.0
2015-09-30,1731.4,1753.34,1720.43,1724.92,538395.0
2015-10-01,1744.32,1792.24,1738.93,1757.93,61089.0
2015-10-05,1781.27,1812.09,1761.37,1794.63,67208.0
2015-10-06,1811.19,1812.98,1744.37,1777.23,80207.0
2015-10-07,1787.35,1800.22,1762.32,1768.55,40564.0
2015-10-08,1765.31,1790.19,1755.59,1765.91,22651.0
2015-10-09,1770.35,1795.23,1765.31,1789.69,71838.0
2015-10-12,1805.2,1810.19,1782.26,1786.7,47872.0
2015-10-13,1785.26,1794.08,1743.37,1753.54,23249.0
2015-10-14,1755.29,1772.29,1745.36,1751.4,13441.0
2015-10-15,1767.25,1767.3,1711.65,1742.07,17937.0
2015-10-16,1746.36,1774.78,1746.36,1765.61,151353.0
2015-10-19,1783.26,1793.24,1770.3,1783.76,52242.0
2015-10-20,1785.26,1858.06,1785.26,1819.32,103155.0
2015-10-21,1844.1,1884.99,1836.12,1844.4,106967.0
2015-10-23,1855.32,1874.02,1815.13,1824.5,30599.0
2015-10-26,1843.1,1913.82,1826.75,1900.5,92407.0
2015-10-27,1904.94,1989.71,1904.94,1979.59,256950.0
2015-10-28,1972.76,2003.58,1956.85,1973.61,141670.0
2015-10-29,1982.73,1993.35,1929.37,1958.9,88641.0
2015-10-30,1944.83,1969.67,1936.95,1962.79,90236.0
2015-11-02,1964.78,1984.93,1928.43,1970.17,35865.0
2015-11-03,1969.77,1985.87,1950.02,1974.16,70275.0
2015-11-04,1974.75,1983.68,1937.1,1949.07,58029.0
2015-11-05,1944.83,1989.71,1899.95,1953.76,93272.0
2015-11-06,1952.81,1978.69,1936.11,1972.81,73831.0
2015-11-09,1944.83,1972.76,1927.93,1955.9,33117.0
