,open,high,low,close,volume
2015-05-15,1183.92,1188.79,1180.6,1184.42,72933.0
2015-05-18,1188.24,1193.52,1180.64,1187.83,41722.0
2015-05-19,1191.66,1193.34,1178.78,1184.83,37807.0
2015-05-20,1182.42,1190.61,1179.69,1185.69,47121.0
2015-05-21,1170.58,1201.3,1170.58,1186.65,21935.0
2015-05-22,1170.67,1217.92,1170.67,1206.54,14696.0
2015-05-25,1184.33,1209.72,1184.33,1196.62,3496.0
2015-05-26,1183.37,1207.31,1183.37,1190.02,3571.0
2015-05-27,1174.22,1223.38,1174.22,1212.41,6637.0
2015-05-28,1217.55,1219.51,1195.16,1205.22,2540.0
2015-05-29,1206.77,1225.2,1201.8,1212.04,4717.0
2015-06-01,1187.88,1210.63,1179.96,1203.9,4642.0
2015-06-02,1203.81,1215.19,1200.58,1208.13,5407.0
2015-06-03,1193.57,1210.63,1187.01,1202.03,9297.0
2015-06-04,1201.67,1237.94,1194.25,1215.23,16377.0
2015-06-05,1198.89,1228.79,1187.88,1191.61,32066.0
2015-06-08,1201.67,1218.46,1201.67,1207.72,5309.0
2015-06-09,1207.68,1227.93,1192.43,1217.01,5421.0
2015-06-10,1203.03,1248.73,1202.44,1226.38,4350.0
2015-06-11,1228.02,1232.53,1188.79,1208.63,3721.0
2015-06-12,1201.58,1224.29,1197.84,1218.05,3103.0
2015-06-15,1228.79,1228.79,1204.26,1208.77,2306.0
2015-06-16,1214.78,1217.78,1193.89,1201.67,2188.0
2015-06-17,1195.16,1220.46,1195.16,1212.82,3405.0
2015-06-18,1217.01,1223.38,1211.59,1215.05,2447.0
2015-06-19,1211.64,1219.69,1198.03,1205.13,39982.0
2015-06-22,1210.77,1242.49,1206.08,1232.57,8438.0
2015-06-23,1230.2,1280.91,1229.79,1275.58,118942.0
2015-06-24,1283.45,1360.01,1278.17,1318.77,49240.0
2015-06-25,1314.08,1337.8,1297.11,1328.47,20779.0
2015-06-26,1299.84,1319.82,1286.18,1305.48,8368.0
2015-06-29,1301.66,1319.86,1262.52,1295.33,211165.0
2015-06-30,1308.94,1341.71,1290.19,1328.56,15348.0
2015-07-01,1319.86,1334.43,1310.62,1324.64,20881.0
2015-07-02,1319.86,1351.72,1319.86,1345.67,9193.0
