,open,high,low,close,volume
2015-05-15,405.75,415.4,405.52,414.0,178080.0
2015-05-18,415.49,420.02,409.96,411.85,152920.0
2015-05-19,415.39,419.36,409.73,413.79,140720.0
2015-05-20,417.78,418.72,405.57,415.38,827630.0
2015-05-21,417.33,424.72,413.0,422.6,484280.0
2015-05-22,423.62,424.52,414.57,416.14,164530.0
2015-05-25,415.49,420.08,410.09,415.8,205000.0
2015-05-26,418.21,423.34,410.88,413.95,372020.0
2015-05-27,412.38,416.69,397.55,407.33,427300.0
2015-05-28,407.33,415.49,402.1,408.49,199350.0
2015-05-29,415.4,423.71,380.01,389.32,2363130.0
2015-06-01,395.18,407.37,392.18,404.4,403820.0
2015-06-02,410.04,410.04,392.18,395.61,267240.0
2015-06-03,389.64,403.09,385.02,399.32,259330.0
2015-06-04,399.73,404.41,388.55,401.85,172170.0
2015-06-05,403.49,415.03,397.03,410.93,329400.0
2015-06-08,416.4,416.4,406.73,412.97,242550.0
2015-06-09,407.32,426.48,406.27,423.09,561100.0
2015-06-10,420.48,424.26,415.95,420.4,227980.0
2015-06-11,424.72,440.61,417.93,430.75,859420.0
2015-06-12,430.73,435.26,416.32,431.78,389000.0
2015-06-15,432.23,436.99,429.71,435.37,267870.0
2015-06-16,435.34,435.8,427.97,433.97,223360.0
2015-06-17,434.19,442.27,433.66,440.99,981500.0
2015-06-18,440.99,454.09,440.99,452.69,810390.0
2015-06-19,452.79,483.89,452.79,476.25,786300.0
2015-06-22,480.12,503.11,474.77,497.32,1295610.0
2015-06-23,500.25,500.25,484.28,491.12,540040.0
2015-06-24,491.66,495.82,482.43,485.08,1069200.0
2015-06-25,485.48,498.59,476.43,497.2,744580.0
2015-06-26,497.11,507.73,489.36,501.89,672250.0
2015-06-29,482.9,505.05,482.07,503.7,593430.0
2015-06-30,499.14,504.13,496.74,502.6,285560.0
2015-07-01,503.21,513.83,501.36,507.66,575100.0
2015-07-02,507.82,515.39,499.61,503.26,494890.0
2015-07-03,503.68,516.13,503.68,513.46,521990.0
2015-07-06,508.84,519.37,504.12,513.76,506300.0
2015-07-07,518.76,522.6,510.79,513.18,511240.0
2015-07-08,512.9,514.28,478.05,482.51,1227300.0
2015-07-09,497.92,503.93,475.31,480.17,1885020.0
2015-07-10,478.41,485.64,473.46,480.49,669150.0
2015-07-13,482.91,491.51,481.97,487.24,957370.0
2015-07-14,487.8,489.98,478.13,485.99,664530.0
2015-07-15,486.49,495.24,485.99,493.21,479200.0
2015-07-16,494.38,505.16,493.9,501.93,721680.0
2015-07-17,501.25,507.67,493.43,495.23,808410.0
2015-07-20,499.14,503.8,488.95,494.53,294170.0
2015-07-21,494.38,500.07,485.97,488.33,427520.0
2015-07-22,494.38,498.21,475.78,490.68,1854060.0
2015-07-23,494.38,499.64,487.69,491.53,916790.0
2015-07-24,492.47,498.21,491.13,494.39,306640.0
2015-07-27,494.38,502.08,487.76,499.95,716810.0
2015-07-28,500.12,512.43,499.64,510.58,806260.0
2015-07-29,513.46,525.94,510.75,520.16,551780.0
2015-07-30,520.68,525.89,513.21,520.26,361680.0
2015-07-31,516.85,530.46,514.52,527.02,629650.0
2015-08-03,528.32,545.06,521.63,543.38,417080.0
2015-08-04,545.06,545.83,526.07,538.07,456380.0
2015-08-05,540.28,546.99,528.89,531.87,559690.0
2015-08-06,532.63,535.5,515.62,522.16,316380.0
2015-08-07,523.55,533.1,520.2,524.28,406280.0
2015-08-10,528.81,533.11,517.94,520.08,428530.0
2015-08-11,520.2,524.59,516.74,521.38,353060.0
2015-08-12,525.94,525.94,503.94,507.95,440400.0
2015-08-13,508.73,517.52,507.95,512.17,389170.0
2015-08-14,516.27,520.87,508.61,517.5,653990.0
2015-08-17,519.23,519.23,503.95,516.37,836250.0
2015-08-18,516.38,518.29,514.49,516.14,368080.0
2015-08-19,516.14,517.33,512.56,515.51,617800.0
2015-08-20,514.99,516.38,504.91,507.56,531600.0
2015-08-21,498.4,516.22,497.92,511.05,497090.0
2015-08-24,483.38,502.03,454.34,465.77,1446990.0
2015-08-25,469.95,486.04,464.65,470.05,2491020.0
2015-08-26,473.25,484.34,467.8,474.99,1104030.0
2015-08-27,478.27,492.09,478.27,487.68,620110.0
2015-08-28,488.19,490.45,467.32,483.15,2069490.0
2015-08-31,484.09,484.77,478.03,480.15,448440.0
2015-09-01,480.15,485.3,467.13,471.91,640640.0
2015-09-02,475.35,483.38,475.07,480.22,420150.0
2015-09-03,484.89,501.23,484.89,497.46,1417740.0
2015-09-04,502.4,502.4,479.3,485.35,673630.0
2015-09-07,493.62,493.62,476.67,481.86,527780.0
2015-09-08,483.48,487.67,473.9,479.23,385870.0
2015-09-09,487.68,489.29,478.13,482.9,551250.0
2015-09-10,480.03,489.18,472.24,483.36,563880.0
2015-09-11,490.84,490.84,477.99,481.65,206780.0
2015-09-14,481.57,495.43,481.57,492.36,616730.0
2015-09-15,494.88,503.85,490.08,500.6,696730.0
2015-09-16,502.26,503.47,492.47,497.26,419160.0
2015-09-18,499.16,504.33,470.95,474.84,3440150.0
2015-09-21,473.25,480.28,465.69,472.0,706980.0
2015-09-22,474.59,474.77,457.42,461.05,1257370.0
2015-09-23,460.98,466.55,447.24,463.29,1431930.0
2015-09-24,463.32,467.67,457.86,465.51,284680.0
2015-09-28,461.97,470.12,459.96,461.18,226220.0
2015-09-29,455.19,492.37,452.51,488.74,1047510.0
2015-09-30,489.12,497.25,480.23,490.68,843840.0
2015-10-01,491.51,496.29,485.45,488.41,519760.0
2015-10-05,496.25,500.45,488.65,497.97,435880.0
2015-10-06,499.64,501.31,491.78,493.94,746500.0
2015-10-07,493.9,497.26,486.46,489.61,590060.0
2015-10-08,489.61,489.61,480.67,482.09,404160.0
2015-10-09,483.03,495.15,472.39,477.78,502770.0
2015-10-12,477.79,481.93,472.05,474.63,493520.0
2015-10-13,469.81,477.65,469.81,475.89,358370.0
2015-10-14,475.89,476.69,470.48,472.38,205470.0
2015-10-15,472.39,482.91,470.67,476.63,341150.0
2015-10-16,478.13,480.22,473.25,477.93,237590.0
2015-10-19,479.94,482.47,475.89,479.6,413050.0
2015-10-20,484.72,511.5,480.9,507.85,3775620.0
2015-10-21,518.77,519.02,501.65,512.36,1504140.0
2015-10-23,513.98,514.63,502.66,504.24,470760.0
2015-10-26,505.76,511.08,502.99,507.57,432960.0
2015-10-27,506.82,512.55,505.64,508.8,262160.0
2015-10-28,509.3,509.74,495.53,498.04,568720.0
2015-10-29,502.02,502.02,489.08,493.63,1072700.0
2015-10-30,497.15,501.84,496.1,499.39,413920.0
2015-11-02,500.41,502.04,494.87,499.47,249310.0
2015-11-03,505.47,505.76,498.8,502.36,208140.0
2015-11-04,502.87,511.59,502.87,511.11,405530.0
2015-11-05,511.59,513.51,504.59,509.27,595030.0
2015-11-06,509.78,509.78,502.19,506.56,403400.0
2015-11-09,502.46,516.38,497.25,511.23,316260.0
2015-11-10,511.22,516.16,506.81,510.85,347390.0
2015-11-11,511.22,516.16,506.81,510.85,347390.0
2015-11-13,514.93,514.93,501.08,507.83,608740.0
2015-11-16,506.81,508.53,498.39,504.15,544910.0
2015-11-17,504.71,508.34,496.36,500.16,415520.0
2015-11-18,503.84,507.77,494.88,504.5,591080.0
2015-11-19,504.9,518.77,502.04,518.0,350730.0
2015-11-20,518.53,524.69,515.49,520.99,386100.0
2015-11-23,521.97,525.94,519.34,525.63,403590.0
