,open,high,low,close,volume
2015-05-15,346.11,353.88,343.13,348.68,189710.0
2015-05-18,349.21,349.7,340.98,344.29,122902.0
2015-05-19,347.02,348.54,344.08,344.78,28538.0
2015-05-20,345.04,347.81,345.02,346.18,71044.0
2015-05-21,346.42,346.42,343.43,344.13,329592.0
2015-05-22,346.3,346.32,341.75,343.73,149948.0
2015-05-25,346.88,347.81,340.35,342.2,130604.0
2015-05-26,342.94,350.78,340.84,342.71,269368.0
2015-05-27,344.53,344.53,330.1,333.78,233386.0
2015-05-28,335.23,340.82,331.5,335.34,458992.0
2015-05-29,339.42,344.97,335.69,340.12,86112.0
2015-06-01,342.45,343.15,333.36,335.48,20096.0
2015-06-02,335.69,342.2,333.36,335.18,134124.0
2015-06-03,335.69,345.02,328.3,331.94,207844.0
2015-06-04,338.49,338.49,326.37,331.82,35230.0
2015-06-05,331.03,331.96,326.37,327.09,27272.0
2015-06-08,334.69,334.69,325.04,326.18,31220.0
2015-06-09,328.7,328.7,323.1,325.78,52166.0
2015-06-10,327.3,327.86,325.9,326.37,97702.0
2015-06-11,329.16,329.16,325.9,326.34,132886.0
2015-06-12,324.97,327.11,322.29,326.3,141548.0
2015-06-15,327.3,327.67,324.97,326.16,123412.0
2015-06-16,327.3,328.7,325.44,327.67,181346.0
2015-06-17,327.77,328.23,324.5,326.23,22946.0
2015-06-18,327.74,331.87,321.71,330.56,156784.0
2015-06-19,331.4,337.56,330.56,331.05,88712.0
2015-06-22,332.89,338.37,331.71,333.31,66074.0
2015-06-23,327.77,343.15,327.77,336.62,159552.0
2015-06-24,338.02,344.53,333.59,338.79,203866.0
2015-06-25,339.89,344.81,338.02,339.12,68164.0
2015-06-26,333.83,344.53,333.83,342.43,264598.0
2015-06-29,333.36,341.43,329.72,334.97,19180.0
2015-06-30,338.0,340.35,328.93,332.52,34122.0
2015-07-01,338.23,353.78,329.86,343.87,110692.0
2015-07-02,347.32,348.28,336.62,338.05,218512.0
2015-07-03,341.26,341.26,335.65,336.72,47618.0
2015-07-06,338.01,341.69,334.18,335.33,97656.0
2015-07-07,339.82,339.82,330.9,333.06,83026.0
2015-07-08,324.33,331.72,307.52,314.92,266916.0
2015-07-09,313.06,320.57,303.65,306.02,169962.0
2015-07-10,308.84,311.79,306.09,307.45,257692.0
2015-07-13,314.45,321.04,308.91,320.1,186078.0
2015-07-14,323.29,323.29,315.39,318.91,70732.0
2015-07-15,320.1,328.2,313.6,314.68,209052.0
2015-07-16,316.82,320.34,314.47,317.78,77022.0
2015-07-17,320.06,320.1,314.45,316.44,53942.0
2015-07-20,319.09,319.12,310.95,312.19,453264.0
2015-07-21,315.48,317.29,310.27,313.67,220918.0
2015-07-22,312.59,321.96,312.59,320.03,56988.0
2015-07-23,322.9,331.84,291.05,320.45,253908.0
2015-07-24,323.41,329.96,323.36,327.24,255220.0
2015-07-27,320.1,328.55,320.1,323.97,143680.0
2015-07-28,321.51,323.97,316.79,316.86,186732.0
2015-07-29,321.11,323.86,316.84,318.41,50116.0
2015-07-30,320.99,323.83,317.52,319.14,72830.0
2015-07-31,320.03,322.45,317.45,319.12,171288.0
2015-08-03,321.35,324.33,318.74,321.65,69114.0
2015-08-04,324.35,331.3,323.88,326.23,184966.0
2015-08-05,329.49,336.53,325.27,328.27,203478.0
2015-08-06,326.7,333.24,321.04,323.15,58342.0
2015-08-07,322.92,330.59,322.92,325.45,74950.0
2015-08-10,329.02,329.87,321.14,324.37,166456.0
2015-08-11,324.33,331.37,318.32,323.01,165948.0
2015-08-12,319.73,323.88,315.41,317.83,106224.0
2015-08-13,318.27,319.63,306.02,310.88,133266.0
2015-08-14,316.98,321.04,309.26,313.51,228342.0
2015-08-17,314.02,315.69,306.73,308.56,263922.0
2015-08-18,309.75,313.98,309.17,309.96,152344.0
2015-08-19,313.72,319.94,307.9,311.33,176122.0
2015-08-20,313.11,313.77,304.75,307.1,225822.0
2015-08-21,304.59,309.78,304.14,306.05,173560.0
2015-08-24,300.39,305.11,294.22,298.93,163898.0
2015-08-25,298.07,301.91,295.6,299.85,288846.0
2015-08-26,299.85,299.85,291.47,295.81,203548.0
2015-08-27,297.81,300.86,293.82,295.7,48506.0
2015-08-28,295.7,304.14,293.4,295.79,840782.0
2015-08-31,298.07,304.94,294.76,301.23,35196.0
2015-09-01,302.64,305.08,298.04,300.46,30538.0
2015-09-02,300.46,305.88,300.39,302.71,66258.0
2015-09-03,304.9,313.53,304.87,311.04,41150.0
2015-09-04,309.96,310.72,295.86,308.32,49684.0
2015-09-07,305.08,310.65,305.08,307.57,76728.0
2015-09-08,305.55,309.21,302.74,307.99,30348.0
2015-09-09,312.59,319.12,309.57,317.03,21286.0
2015-09-10,317.29,325.64,310.15,320.24,47850.0
