,open,high,low,close,volume
2015-05-15,43.65,44.29,43.51,43.69,131676.0
2015-05-18,43.67,45.59,43.67,45.17,122142.0
2015-05-19,45.17,46.4,44.74,46.24,175254.0
2015-05-20,46.29,46.7,46.03,46.31,85902.0
2015-05-21,45.83,46.51,45.46,46.22,56052.0
2015-05-22,45.91,46.68,45.91,46.29,47640.0
2015-05-25,46.52,46.52,45.28,45.4,45426.0
2015-05-26,45.96,47.06,45.5,46.18,100836.0
2015-05-27,46.13,46.55,45.69,45.89,40938.0
2015-05-28,46.28,46.91,45.8,45.88,146904.0
2015-05-29,46.28,46.28,45.48,45.62,74220.0
2015-06-01,46.11,46.11,45.34,45.86,47754.0
2015-06-02,46.28,46.28,45.08,45.89,53934.0
2015-06-03,45.17,45.88,43.74,44.01,218808.0
2015-06-04,45.31,45.31,43.97,44.74,139830.0
2015-06-05,44.66,45.08,44.13,44.8,40110.0
2015-06-08,45.61,45.61,43.77,43.9,29574.0
2015-06-09,44.01,44.24,43.61,43.76,34056.0
2015-06-10,43.73,45.24,43.65,44.97,52242.0
2015-06-11,45.48,45.48,43.78,44.0,172752.0
2015-06-12,44.28,44.84,43.78,44.0,31110.0
2015-06-15,44.2,44.36,43.5,43.9,63840.0
2015-06-16,44.05,44.28,43.85,44.1,47274.0
2015-06-17,44.36,45.1,44.05,44.91,71010.0
2015-06-18,45.08,45.16,44.71,44.8,48456.0
2015-06-19,45.15,45.36,44.68,44.84,81054.0
2015-06-22,45.64,46.1,45.32,45.53,104544.0
2015-06-23,45.86,46.04,44.55,44.78,135528.0
2015-06-24,44.76,45.08,44.11,44.49,128010.0
2015-06-25,44.52,45.88,43.91,44.5,180420.0
2015-06-26,44.56,44.69,44.13,44.23,88182.0
2015-06-29,43.89,45.03,43.73,44.64,50826.0
2015-06-30,45.06,45.06,44.37,44.64,87138.0
2015-07-01,44.92,45.24,44.15,44.26,367584.0
2015-07-02,44.88,45.72,44.41,45.44,138300.0
2015-07-03,45.71,46.91,45.33,45.95,240426.0
2015-07-06,45.64,46.75,45.34,46.57,100116.0
2015-07-07,46.6,47.64,46.52,47.13,154770.0
2015-07-08,46.84,47.47,45.88,46.67,87870.0
2015-07-09,46.68,46.95,45.88,45.99,46950.0
2015-07-10,46.2,46.76,45.72,46.04,48528.0
2015-07-13,46.66,46.66,45.65,45.89,51360.0
2015-07-14,45.89,46.6,45.26,46.13,83856.0
2015-07-15,46.67,46.68,45.96,46.07,98838.0
2015-07-16,46.07,47.48,46.07,47.13,171060.0
2015-07-17,47.13,49.98,46.68,48.82,969918.0
2015-07-20,49.23,50.27,48.84,49.24,359610.0
2015-07-21,49.54,49.64,47.58,47.84,105822.0
2015-07-22,47.96,48.75,47.1,48.29,104742.0
2015-07-23,48.57,49.15,48.15,48.4,120690.0
2015-07-24,48.59,49.23,48.28,48.59,80976.0
2015-07-27,48.43,48.43,47.4,47.97,91548.0
2015-07-28,47.88,48.65,47.56,48.45,67572.0
2015-07-29,48.75,52.19,47.09,51.04,1001958.0
2015-07-30,51.52,52.12,50.39,51.08,382530.0
2015-07-31,51.47,51.71,50.36,50.44,196032.0
2015-08-03,50.44,54.26,50.44,53.7,1103166.0
2015-08-04,54.42,54.42,51.96,52.94,438804.0
2015-08-05,53.21,53.94,51.95,52.29,354084.0
2015-08-06,52.57,52.82,51.32,51.6,168582.0
2015-08-07,51.38,53.46,51.38,52.0,333378.0
2015-08-10,52.03,53.3,51.5,51.77,248490.0
2015-08-11,51.87,52.36,50.68,51.3,185544.0
2015-08-12,50.94,52.25,50.76,51.41,236328.0
2015-08-13,52.42,53.05,50.27,50.45,244350.0
2015-08-14,50.99,50.99,49.63,50.42,188244.0
2015-08-17,50.95,52.0,50.11,50.53,170898.0
2015-08-18,51.06,51.21,49.71,50.18,240762.0
2015-08-19,49.87,50.75,49.71,50.31,199350.0
2015-08-20,50.35,50.59,49.23,49.53,162084.0
2015-08-21,49.07,49.31,48.04,49.0,123018.0
2015-08-24,47.88,47.88,45.17,45.32,310674.0
2015-08-25,45.32,46.12,43.97,45.86,318858.0
2015-08-26,45.48,47.38,44.07,46.3,113034.0
2015-08-27,46.44,47.88,46.28,47.34,105216.0
2015-08-28,47.64,48.62,47.41,47.65,198594.0
2015-08-31,48.26,48.26,47.56,47.86,94704.0
2015-09-01,48.27,48.27,46.28,47.09,180192.0
2015-09-02,47.7,47.88,47.08,47.2,132240.0
2015-09-03,56.61,57.57,55.74,57.11,134166.0
2015-09-04,56.81,56.81,54.2,54.52,103320.0
2015-09-07,55.15,55.15,54.27,54.5,98244.0
2015-09-08,54.29,54.66,52.45,52.7,233028.0
2015-09-09,53.93,54.29,52.81,53.47,82662.0
2015-09-10,52.82,53.59,52.31,52.96,115986.0
2015-09-11,53.2,54.44,53.1,53.39,201438.0
2015-09-14,54.86,54.86,53.11,53.35,173328.0
2015-09-15,53.55,54.16,52.34,53.05,210756.0
2015-09-16,53.69,53.88,53.1,53.53,65700.0
2015-09-18,54.66,54.66,53.33,54.05,48732.0
2015-09-21,54.08,55.13,53.37,53.6,113670.0
2015-09-22,53.82,54.46,53.09,53.26,66138.0
2015-09-23,53.26,55.54,52.52,55.21,185208.0
2015-09-24,55.26,57.28,55.26,55.46,271086.0
2015-09-28,56.41,56.41,54.21,54.6,42138.0
2015-09-29,54.57,54.6,53.12,53.72,67440.0
2015-09-30,54.04,54.96,53.8,54.42,69714.0
2015-10-01,54.65,54.88,53.54,53.72,48618.0
2015-10-05,53.69,55.54,53.69,54.76,116646.0
2015-10-06,54.81,56.8,54.55,56.19,156468.0
2015-10-07,55.93,56.84,55.54,56.06,106476.0
2015-10-08,56.13,56.51,55.35,55.48,44118.0
2015-10-09,56.51,56.51,54.19,54.95,105336.0
2015-10-12,54.21,55.64,54.21,54.82,95262.0
2015-10-13,55.2,55.38,54.67,54.82,67242.0
2015-10-14,54.86,55.23,54.37,54.76,202338.0
2015-10-15,55.18,56.12,54.97,55.67,85470.0
2015-10-16,55.36,55.53,54.49,54.66,130170.0
2015-10-19,54.86,54.96,54.45,54.67,62940.0
2015-10-20,54.68,55.1,54.57,54.65,123468.0
2015-10-21,54.67,54.96,54.42,54.55,125100.0
2015-10-23,54.77,54.86,53.98,54.08,54126.0
2015-10-26,54.47,56.61,54.1,55.21,510132.0
2015-10-27,55.83,56.43,55.2,56.08,97530.0
2015-10-28,56.61,57.45,56.09,57.12,203646.0
2015-10-29,57.79,58.08,56.71,57.22,125568.0
2015-10-30,57.59,57.97,56.55,56.75,84840.0
2015-11-02,56.75,57.1,56.03,56.27,63822.0
2015-11-03,56.27,57.12,55.34,55.89,142296.0
2015-11-04,56.23,56.86,55.35,55.67,76302.0
2015-11-05,56.03,56.32,55.36,55.73,19818.0
2015-11-06,56.42,56.42,54.66,54.94,59424.0
2015-11-09,54.19,56.12,53.59,55.63,99036.0
2015-11-10,55.64,56.13,54.5,55.62,54516.0
2015-11-11,55.64,56.13,54.5,55.62,54516.0
2015-11-13,56.17,56.17,54.71,55.07,52818.0
2015-11-16,55.07,55.88,54.96,55.03,47418.0
2015-11-17,55.72,55.72,54.09,54.31,90138.0
2015-11-18,54.04,55.64,54.04,54.5,44610.0
2015-11-19,54.67,55.7,54.66,55.19,56262.0
2015-11-20,55.15,55.73,54.67,54.79,55482.0
2015-11-23,55.06,55.35,54.67,54.93,24600.0
2015-11-24,54.68,55.15,54.13,54.37,59118.0
2015-11-26,54.86,55.65,54.66,54.8,77172.0
2015-11-27,54.92,57.01,54.69,55.63,144348.0
2015-11-30,56.03,59.79,55.35,59.28,418164.0
2015-12-01,59.85,60.91,59.18,59.81,350910.0
2015-12-02,59.84,62.41,58.33,62.09,691890.0
2015-12-03,62.08,62.08,60.15,60.77,202476.0
2015-12-04,60.23,61.5,60.13,60.4,113052.0
2015-12-07,60.52,60.72,58.57,58.86,92478.0
2015-12-08,58.76,59.55,57.36,57.74,115944.0
2015-12-09,57.92,57.92,55.84,56.45,113124.0
2015-12-10,55.84,56.86,55.69,56.72,68316.0
2015-12-11,56.52,57.0,55.96,56.54,75738.0
2015-12-14,58.55,59.15,55.84,58.54,238824.0
2015-12-15,58.76,59.35,57.9,58.99,128436.0
2015-12-16,59.25,60.03,57.71,58.14,68502.0
2015-12-17,58.56,59.22,57.44,58.1,92214.0
2015-12-18,58.28,59.07,58.08,58.88,97740.0
2015-12-21,58.57,60.33,58.57,59.79,125340.0
2015-12-22,59.79,60.88,59.35,60.43,121242.0
2015-12-23,60.81,61.32,60.04,60.52,127674.0
2015-12-24,60.54,61.21,60.43,60.53,65976.0
2015-12-28,60.62,61.89,60.38,60.94,111102.0
2015-12-29,60.52,61.21,59.45,59.79,100674.0
2015-12-30,60.01,60.81,59.84,60.38,145644.0
2015-12-31,60.42,61.68,59.75,60.06,197982.0
2016-01-01,60.13,61.69,60.13,61.34,280092.0
2016-01-04,61.5,62.57,60.19,60.62,230592.0
2016-01-05,61.01,61.44,60.33,61.07,180282.0
2016-01-06,61.11,62.13,60.75,61.62,154854.0
2016-01-07,61.11,61.11,59.36,59.65,92868.0
2016-01-08,60.32,61.49,59.07,61.2,215148.0
2016-01-11,60.81,61.5,59.74,60.45,87780.0
2016-01-12,60.23,60.81,59.64,59.73,42582.0
2016-01-13,60.23,61.01,56.85,57.49,182250.0
2016-01-14,57.11,58.24,56.32,57.14,61440.0
2016-01-15,57.31,58.48,55.27,55.77,52482.0
2016-01-18,54.96,56.23,53.74,54.34,70062.0
