,open,high,low,close,volume
2015-05-15,159.76,161.94,154.81,155.44,5242230.0
2015-05-18,156.46,158.21,153.69,157.24,4664516.0
2015-05-19,157.63,158.69,154.81,155.93,5172399.0
2015-05-20,156.61,157.87,154.42,155.05,6020396.0
2015-05-21,155.3,156.22,149.86,151.95,9769684.0
2015-05-22,152.58,156.95,149.57,150.83,10826845.0
2015-05-25,150.15,155.64,149.18,153.16,7072782.0
2015-05-26,153.16,155.25,152.04,154.76,4424001.0
2015-05-27,153.35,157.67,152.87,156.41,5157528.0
2015-05-28,157.24,158.01,154.62,155.39,6754062.0
2015-05-29,156.31,158.6,155.49,157.82,3062331.0
2015-06-01,158.16,160.63,158.01,160.34,2676738.0
2015-06-02,160.15,160.54,153.45,155.68,6924607.0
2015-06-03,155.68,157.33,152.97,156.51,4401831.0
2015-06-04,156.75,159.32,154.18,156.95,4143649.0
2015-06-05,156.02,159.18,153.69,155.54,3279486.0
2015-06-08,155.88,155.88,148.74,151.22,3945209.0
2015-06-09,149.62,152.87,147.24,148.65,3763411.0
2015-06-10,149.33,151.61,147.29,148.45,2524002.0
2015-06-11,150.44,150.93,142.87,144.13,5764683.0
2015-06-12,143.65,144.52,140.74,142.63,5128967.0
2015-06-15,141.71,142.0,138.31,138.8,4038893.0
2015-06-16,139.24,141.67,138.3,140.98,3402715.0
2015-06-17,142.47,142.82,138.65,139.64,4270636.0
2015-06-18,139.99,141.28,137.01,137.65,6503800.0
2015-06-19,138.99,141.62,137.6,141.08,7842982.0
2015-06-22,141.92,147.28,141.82,145.35,8289651.0
2015-06-23,147.04,151.4,146.44,149.22,7716684.0
2015-06-24,149.42,149.91,144.01,144.85,5367111.0
2015-06-25,144.01,145.5,141.87,143.96,9470741.0
2015-06-26,143.96,145.1,140.98,143.51,3873668.0
2015-06-29,139.14,143.86,136.16,143.06,7374943.0
2015-06-30,142.12,144.7,142.12,143.11,4426223.0
2015-07-01,143.61,150.61,143.01,149.22,7157760.0
2015-07-02,149.91,151.21,147.93,148.92,3767294.0
2015-07-03,148.92,150.46,148.03,149.72,2752843.0
2015-07-06,146.94,152.79,145.94,152.05,3643339.0
2015-07-07,152.05,155.62,151.11,152.55,3734468.0
2015-07-08,150.81,152.4,147.53,150.26,3619661.0
2015-07-09,150.96,153.89,149.96,151.85,3722985.0
2015-07-10,153.64,155.77,152.79,155.33,4029043.0
2015-07-13,156.42,156.77,154.04,155.23,2298645.0
2015-07-14,155.23,156.96,153.99,154.68,2326359.0
2015-07-15,154.43,156.37,152.2,155.28,3132522.0
2015-07-16,156.37,156.37,153.39,154.43,3668575.0
2015-07-17,154.88,156.22,154.18,155.13,1876316.0
2015-07-20,154.88,156.22,150.41,151.85,1947949.0
2015-07-21,151.06,152.74,149.22,149.62,1944809.0
2015-07-22,148.13,152.3,146.94,151.6,2328858.0
2015-07-23,151.9,153.24,150.76,151.65,1951047.0
2015-07-24,152.89,156.67,152.4,154.63,5482823.0
2015-07-27,153.29,154.04,150.51,151.21,4409981.0
2015-07-28,151.55,155.82,149.72,152.74,7724877.0
