,open,high,low,close,volume
2015-05-15,1047.84,1053.38,1035.54,1047.99,5452.0
2015-05-18,1052.29,1056.29,1037.52,1045.07,8259.0
2015-05-19,1045.57,1071.9,1044.58,1062.91,9217.0
2015-05-20,1061.18,1061.18,1037.61,1042.36,5782.0
2015-05-21,1047.4,1126.35,1044.48,1110.04,50022.0
2015-05-22,1102.73,1126.35,1077.09,1089.54,12234.0
2015-05-25,1092.85,1111.62,1057.03,1062.17,6911.0
2015-05-26,1089.89,1089.89,1047.5,1063.65,4462.0
2015-05-27,1057.28,1081.98,1054.31,1063.5,5487.0
2015-05-28,1067.41,1077.93,1043.15,1053.33,7004.0
2015-05-29,1055.65,1088.75,1053.62,1068.69,9197.0
2015-06-01,1085.93,1085.93,1017.75,1069.18,7964.0
2015-06-02,1081.98,1081.98,1052.54,1056.98,4571.0
2015-06-03,1059.8,1075.06,1017.75,1037.61,8522.0
2015-06-04,1042.41,1106.68,1025.66,1086.82,16696.0
2015-06-05,1083.71,1116.37,1078.03,1085.69,9466.0
2015-06-08,1081.98,1085.93,1042.46,1066.57,8895.0
2015-06-09,1055.4,1065.13,1021.51,1028.52,12308.0
2015-06-10,1037.47,1062.71,1029.81,1040.63,5801.0
2015-06-11,1055.99,1055.99,1020.72,1028.87,4792.0
2015-06-12,1028.28,1061.13,1019.73,1033.32,10295.0
2015-06-15,1050.36,1062.22,1032.62,1052.49,4832.0
2015-06-16,1057.28,1064.1,1037.27,1057.53,6590.0
2015-06-17,1058.66,1088.21,1052.53,1078.97,6472.0
2015-06-18,1089.89,1091.86,1067.16,1073.09,3542.0
2015-06-19,1088.9,1126.35,1065.18,1107.67,17829.0
2015-06-22,1126.35,1126.35,1094.83,1109.7,6140.0
2015-06-23,1122.49,1167.95,1113.4,1141.61,22345.0
2015-06-24,1156.04,1192.55,1137.36,1161.72,34460.0
2015-06-25,1177.78,1215.38,1168.93,1178.47,28697.0
2015-06-26,1170.96,1193.59,1165.97,1172.64,6672.0
2015-06-29,1143.34,1205.35,1126.54,1190.23,14524.0
2015-06-30,1185.73,1197.59,1167.95,1187.17,13663.0
2015-07-01,1232.17,1232.17,1175.85,1181.68,17321.0
2015-07-02,1200.36,1200.36,1151.15,1158.71,6176.0
2015-07-03,1160.04,1175.85,1154.21,1164.69,8577.0
2015-07-06,1178.82,1183.61,1156.58,1179.9,4495.0
2015-07-07,1179.8,1185.63,1163.06,1170.22,6523.0
2015-07-08,1162.02,1174.86,1136.33,1154.76,8867.0
2015-07-09,1173.83,1173.83,1141.27,1146.41,3540.0
2015-07-10,1163.99,1167.95,1126.3,1133.21,9712.0
2015-07-13,1155.84,1156.09,1129.41,1153.12,4134.0
2015-07-14,1159.99,1159.99,1135.19,1143.64,5614.0
2015-07-15,1156.04,1156.04,1116.56,1122.2,11660.0
2015-07-16,1112.61,1136.33,1112.61,1131.98,9758.0
2015-07-17,1146.21,1160.73,1126.45,1133.61,9919.0
2015-07-20,1146.21,1162.51,1126.45,1142.01,13108.0
2015-07-21,1153.12,1153.12,1121.51,1127.98,8795.0
2015-07-22,1127.43,1146.21,1116.56,1138.75,7928.0
2015-07-23,1154.11,1192.16,1134.4,1173.13,20840.0
2015-07-24,1174.57,1234.15,1171.9,1189.19,41455.0
2015-07-27,1193.69,1205.49,1151.25,1159.94,13257.0
2015-07-28,1164.74,1187.51,1126.45,1144.43,17066.0
