,open,high,low,close,volume
2015-05-15,510.36,517.5,505.57,507.05,222724.0
2015-05-18,506.95,513.62,504.08,509.88,301416.0
2015-05-19,513.66,536.61,506.95,532.04,619684.0
2015-05-20,538.44,542.17,523.89,526.82,475306.0
2015-05-21,528.52,540.5,524.68,536.97,378106.0
2015-05-22,539.54,543.56,533.31,536.73,471520.0
2015-05-25,536.64,539.32,528.85,533.33,303664.0
2015-05-26,533.38,535.18,508.39,514.48,458738.0
2015-05-27,512.66,512.66,492.84,497.78,808218.0
2015-05-28,503.05,510.72,488.84,504.77,1967880.0
2015-05-29,503.12,516.8,501.2,513.16,670404.0
2015-06-01,512.18,512.23,500.94,506.55,248166.0
2015-06-02,506.55,506.93,490.66,495.91,588298.0
2015-06-03,494.45,498.9,481.22,491.62,473858.0
2015-06-04,491.62,498.59,489.39,493.83,437796.0
2015-06-05,493.54,501.06,477.56,480.24,405844.0
2015-06-08,482.97,485.08,467.23,475.93,601338.0
2015-06-09,474.85,474.85,451.49,468.72,597658.0
2015-06-10,469.58,481.56,467.83,476.0,354406.0
2015-06-11,481.03,485.87,471.02,476.74,264790.0
2015-06-12,476.77,480.12,467.28,475.43,338582.0
2015-06-15,482.47,497.8,472.96,491.57,433054.0
2015-06-16,497.42,497.61,483.48,487.5,349076.0
2015-06-17,489.56,493.49,481.77,483.86,490132.0
2015-06-18,484.53,489.66,478.4,480.24,452900.0
2015-06-19,486.33,493.87,479.16,489.97,513956.0
2015-06-22,493.54,502.83,491.65,498.35,719234.0
2015-06-23,502.16,504.61,497.37,501.37,297956.0
2015-06-24,504.56,504.56,489.7,496.08,430562.0
2015-06-25,496.25,506.0,493.54,502.62,429806.0
2015-06-26,500.1,504.08,495.93,500.44,167282.0
2015-06-29,494.02,498.33,473.44,492.6,308170.0
2015-06-30,491.96,511.51,491.14,506.81,421234.0
2015-07-01,503.12,513.4,501.2,510.67,411218.0
2015-07-02,510.79,517.5,508.97,513.93,267600.0
2015-07-03,516.73,521.81,511.29,519.2,399972.0
2015-07-06,516.06,548.64,509.3,544.09,597642.0
2015-07-07,547.16,561.1,547.16,554.51,993090.0
2015-07-08,551.28,554.87,539.63,550.44,428292.0
2015-07-09,546.73,562.3,541.89,555.04,360894.0
2015-07-10,560.29,561.2,546.27,554.56,313340.0
2015-07-13,557.22,568.55,548.21,566.68,325338.0
2015-07-14,569.72,572.74,558.7,562.23,318494.0
2015-07-15,562.54,574.52,561.58,572.98,315218.0
2015-07-16,572.6,577.68,567.81,574.01,208790.0
2015-07-17,575.86,584.58,566.87,580.36,267336.0
2015-07-20,586.8,587.8,576.39,578.84,206034.0
2015-07-21,579.3,580.99,561.86,567.79,151274.0
2015-07-22,563.8,563.8,548.78,552.51,339830.0
2015-07-23,554.11,566.22,552.17,560.46,402392.0
2015-07-24,561.86,564.86,554.98,561.13,394026.0
2015-07-27,561.13,562.83,550.55,557.69,304762.0
2015-07-28,557.69,560.65,538.93,540.74,364252.0
2015-07-29,540.74,549.17,535.22,544.93,807362.0
2015-07-30,549.75,585.11,549.75,575.74,552408.0
2015-07-31,577.77,588.5,568.71,581.43,284980.0
2015-08-03,582.93,597.22,582.37,586.78,363406.0
2015-08-04,589.95,595.77,579.56,593.0,252802.0
2015-08-05,596.69,602.55,588.81,597.29,794520.0
2015-08-06,593.34,593.34,561.86,566.58,1240632.0
2015-08-07,569.13,576.39,564.77,574.24,591570.0
2015-08-10,578.81,583.61,572.52,575.37,308214.0
2015-08-11,577.8,577.8,558.52,571.98,305128.0
2015-08-12,571.06,571.06,553.63,557.16,342740.0
2015-08-13,559.05,565.95,555.32,557.74,289908.0
2015-08-14,564.28,570.09,557.5,563.34,226668.0
2015-08-17,571.6,577.65,566.7,569.59,204912.0
2015-08-18,569.71,574.94,567.19,571.21,163944.0
2015-08-19,571.06,581.72,565.73,571.4,186286.0
2015-08-20,571.55,572.59,543.99,548.2,630080.0
2015-08-21,537.64,555.56,526.45,546.05,383338.0
2015-08-24,533.28,533.82,485.38,493.81,585782.0
2015-08-25,504.2,504.2,472.28,491.34,463208.0
2015-08-26,491.63,511.49,483.88,503.91,275550.0
2015-08-27,504.8,568.64,504.32,540.67,677230.0
2015-08-28,542.0,553.14,516.81,520.59,581794.0
2015-08-31,520.69,528.44,511.78,519.53,183738.0
2015-09-01,515.85,526.99,512.21,522.63,209664.0
2015-09-02,525.53,528.51,500.95,508.97,407740.0
2015-09-03,507.13,512.26,496.71,498.48,303750.0
2015-09-04,498.48,504.2,485.33,501.48,283460.0
2015-09-07,503.64,503.64,482.42,485.55,221110.0
2015-09-08,485.33,495.21,477.58,490.49,213492.0
2015-09-09,496.47,507.61,491.75,495.38,302140.0
2015-09-10,493.08,497.32,483.42,495.89,154978.0
2015-09-11,498.41,502.7,486.78,497.2,360554.0
2015-09-14,498.17,523.11,498.05,514.27,683744.0
2015-09-15,520.69,536.04,507.64,532.65,580054.0
2015-09-16,535.22,548.15,535.22,542.03,703216.0
2015-09-18,543.45,555.95,543.45,552.46,336396.0
2015-09-21,547.33,560.84,545.32,555.59,237290.0
2015-09-22,557.5,558.95,543.45,546.94,640202.0
2015-09-23,537.64,540.79,523.11,537.57,562316.0
2015-09-24,538.61,553.63,530.67,544.28,662000.0
2015-09-28,544.91,558.11,532.8,535.95,331154.0
2015-09-29,537.3,537.3,512.45,517.37,422240.0
2015-09-30,508.58,527.03,508.58,522.26,445008.0
2015-10-01,526.6,530.38,509.89,512.5,271754.0
2015-10-05,517.13,529.84,514.83,520.96,533216.0
2015-10-06,529.41,534.25,524.1,532.29,379928.0
2015-10-07,533.57,545.05,528.92,532.56,230255.0
2015-10-08,531.78,541.81,529.41,535.51,144946.0
2015-10-09,537.64,541.32,522.48,528.0,155661.0
