,open,high,low,close,volume
2015-05-15,3610.46,3643.73,3532.19,3606.7,12586.0
2015-05-18,3577.0,3620.25,3558.8,3600.48,10285.0
2015-05-19,3600.58,3610.46,3542.02,3567.02,14235.0
2015-05-20,3610.27,3610.27,3474.46,3504.64,15314.0
2015-05-21,3506.75,3506.75,3446.08,3465.65,23976.0
2015-05-22,3454.79,3517.46,3428.47,3472.21,15764.0
2015-05-25,3512.62,3619.27,3476.95,3603.03,20622.0
2015-05-26,3603.03,3629.05,3473.48,3520.93,11773.0
2015-05-27,3493.05,3620.15,3483.26,3554.84,39982.0
2015-05-28,3715.16,3767.01,3563.79,3597.89,31043.0
2015-05-29,3649.6,3649.6,3478.27,3530.23,77731.0
2015-06-01,3571.32,3596.67,3532.19,3555.08,8037.0
2015-06-02,3590.89,3618.29,3502.83,3576.56,13508.0
2015-06-03,3634.83,3696.27,3436.54,3637.42,33950.0
2015-06-04,3723.96,3757.18,3631.21,3718.83,70672.0
2015-06-05,3722.98,3732.77,3640.01,3694.02,12974.0
2015-06-08,3639.86,3703.41,3630.08,3689.91,8461.0
2015-06-09,3693.73,3693.73,3651.61,3667.75,2983.0
2015-06-10,3634.92,3718.09,3634.92,3679.35,4984.0
2015-06-11,3679.35,3718.09,3639.82,3666.33,5232.0
2015-06-12,3713.2,3713.2,3628.86,3666.33,4570.0
2015-06-15,3666.33,3703.27,3605.57,3638.15,9943.0
2015-06-16,3663.25,3693.63,3605.57,3644.41,8002.0
2015-06-17,3625.14,3710.26,3617.95,3687.08,4808.0
2015-06-18,3693.63,3716.33,3657.77,3702.24,3970.0
2015-06-19,3694.56,3863.88,3659.38,3822.15,11382.0
2015-06-22,3840.4,3923.56,3816.87,3913.54,20194.0
2015-06-23,3943.13,3966.81,3875.08,3890.15,7287.0
2015-06-24,3864.91,3918.67,3835.65,3861.97,4592.0
2015-06-25,3864.86,3899.1,3798.37,3836.53,8483.0
2015-06-26,3836.48,3908.89,3806.15,3885.5,7221.0
2015-06-29,3743.53,3899.06,3743.53,3860.75,5690.0
2015-06-30,3822.79,3897.15,3816.91,3877.38,3442.0
2015-07-01,3911.78,4010.65,3882.52,3927.58,11087.0
2015-07-02,3932.52,3941.42,3882.47,3933.01,3589.0
2015-07-03,3977.33,3977.33,3895.29,3906.74,6153.0
2015-07-06,3874.64,3923.32,3860.94,3891.03,4725.0
2015-07-07,3911.77,3911.82,3850.18,3863.2,5216.0
2015-07-08,3903.95,3903.95,3812.46,3844.75,5679.0
2015-07-09,3874.64,3874.64,3796.37,3819.7,7024.0
2015-07-10,3855.07,3865.35,3815.89,3847.49,3673.0
2015-07-13,3889.32,3921.61,3835.55,3891.13,10794.0
2015-07-14,3903.02,3903.02,3851.26,3876.5,3041.0
2015-07-15,3874.64,3889.96,3840.4,3861.14,3209.0
2015-07-16,3864.91,3908.89,3851.65,3864.32,6683.0
2015-07-17,3866.42,3903.02,3864.91,3883.74,4199.0
2015-07-20,3889.42,3919.65,3825.72,3882.47,84252.0
2015-07-21,3894.16,3967.6,3576.71,3700.38,104746.0
2015-07-22,3742.55,3742.55,3621.23,3691.87,23398.0
2015-07-23,3718.04,3823.27,3670.15,3784.77,12167.0
2015-07-24,3791.48,3874.64,3753.32,3818.48,23709.0
2015-07-27,3850.18,3850.18,3755.27,3770.83,12346.0
2015-07-28,3794.21,3840.3,3774.84,3798.13,5742.0
2015-07-29,3803.41,3888.34,3797.83,3859.33,29371.0
2015-07-30,3865.84,3888.24,3833.16,3872.05,9196.0
2015-07-31,3874.4,3925.03,3869.75,3916.32,11377.0
2015-08-03,3916.72,3918.67,3784.19,3836.34,11268.0
2015-08-04,3882.42,3904.0,3840.4,3874.74,34029.0
2015-08-05,3874.64,3923.52,3848.76,3878.8,5172.0
2015-08-06,3886.38,3913.78,3868.09,3898.47,4866.0
2015-08-07,3899.1,3906.54,3840.54,3857.52,8649.0
2015-08-10,3938.24,3938.24,3835.55,3886.53,15278.0
2015-08-11,3886.43,3893.18,3840.49,3862.27,3704.0
2015-08-12,3893.23,3893.23,3825.72,3847.0,41024.0
2015-08-13,3856.98,3878.51,3804.98,3854.49,3926.0
2015-08-14,3855.07,3864.91,3840.4,3856.1,7953.0
2015-08-17,3851.11,3899.1,3817.06,3836.63,2789.0
2015-08-18,3893.28,3904.93,3833.55,3892.99,3052.0
2015-08-19,3894.16,3913.78,3848.13,3910.41,21122.0
2015-08-20,3910.4,3910.4,3821.81,3839.81,14230.0
2015-08-21,3839.42,3912.31,3748.52,3901.06,18164.0
2015-08-24,3748.42,3857.03,3748.42,3821.42,24500.0
2015-08-25,3803.22,3855.66,3718.09,3803.75,6635.0
2015-08-26,3769.56,3812.71,3742.55,3771.47,3273.0
2015-08-27,3912.75,3912.75,3767.99,3845.78,3285.0
2015-08-28,3851.21,3855.22,3758.26,3806.89,8493.0
2015-08-31,3799.3,3806.05,3737.86,3772.64,10097.0
2015-09-01,3733.89,3792.4,3729.93,3771.91,18018.0
2015-09-02,3739.96,3804.19,3739.96,3794.12,3389.0
2015-09-03,3813.08,3830.28,3701.64,3762.57,46484.0
2015-09-04,3686.41,3798.34,3686.41,3754.12,7821.0
2015-09-07,3754.12,3763.75,3704.98,3753.23,6155.0
2015-09-08,3759.03,3759.03,3567.84,3657.96,63030.0
2015-09-09,3657.81,3709.94,3596.49,3631.96,11681.0
2015-09-10,3601.79,3700.07,3582.28,3685.18,8458.0
2015-09-11,3685.33,3734.46,3625.38,3690.83,18621.0
2015-09-14,3608.67,3714.76,3608.67,3676.09,7516.0
2015-09-15,3722.67,3722.92,3622.48,3653.29,10009.0
2015-09-16,3670.68,3724.54,3622.43,3662.08,6192.0
2015-09-18,3685.33,3712.01,3634.17,3683.85,17361.0
2015-09-21,3675.45,3735.45,3614.57,3711.66,10652.0
2015-09-22,3715.84,3715.84,3635.75,3697.12,7699.0
2015-09-23,3697.12,3712.06,3628.33,3645.82,8856.0
2015-09-24,3649.95,3683.16,3632.26,3658.55,11185.0
2015-09-28,3647.98,3734.37,3622.43,3699.58,8728.0
2015-09-29,3733.33,3733.33,3603.41,3635.99,7577.0
2015-09-30,3680.41,3683.21,3557.52,3587.89,77338.0
2015-10-01,3626.31,3650.88,3557.52,3585.92,19075.0
2015-10-05,3587.05,3653.88,3540.12,3604.05,60010.0
2015-10-06,3636.14,3636.14,3531.67,3581.45,11856.0
2015-10-07,3624.4,3624.4,3587.1,3607.44,4370.0
2015-10-08,3635.89,3635.89,3569.41,3604.59,8153.0
2015-10-09,3616.53,3749.25,3602.33,3705.77,10562.0
2015-10-12,3705.96,3754.07,3687.29,3711.22,4328.0
2015-10-13,3748.22,3759.03,3687.29,3733.83,2710.0
2015-10-14,3735.15,3826.84,3697.17,3792.74,3276.0
2015-10-15,3774.85,3812.05,3742.62,3758.74,6476.0
2015-10-16,3758.05,3769.55,3691.22,3714.81,4527.0
2015-10-19,3719.72,3719.72,3687.78,3703.21,5509.0
2015-10-20,3709.99,3763.95,3682.38,3695.01,30461.0
2015-10-21,3634.22,3704.98,3547.49,3613.14,11378.0
2015-10-23,3636.14,3636.19,3456.3,3498.5,15020.0
2015-10-26,3533.0,3533.0,3390.5,3439.44,12158.0
2015-10-27,3442.44,3444.21,3391.53,3437.18,3801.0
2015-10-28,3476.98,3476.98,3424.75,3438.95,2563.0
2015-10-29,3439.69,3439.69,3428.78,3434.18,4237.0
2015-10-30,3434.72,3434.72,3403.52,3432.02,73991.0
2015-11-02,3485.78,3485.78,3348.24,3384.31,18154.0
2015-11-03,3410.2,3434.72,3373.74,3402.05,5538.0
2015-11-04,3401.36,3533.0,3391.43,3485.09,3210.0
2015-11-05,3474.08,3508.28,3341.36,3396.3,9117.0
2015-11-06,3389.52,3409.17,3332.52,3363.18,4407.0
2015-11-09,3362.98,3362.98,3308.14,3348.29,3661.0
2015-11-10,3348.29,3365.93,3263.72,3294.58,8457.0
2015-11-11,3348.29,3365.93,3263.72,3294.58,8457.0
2015-11-13,3303.08,3352.12,3244.36,3288.0,11212.0
2015-11-16,3291.24,3328.0,3253.06,3285.49,12007.0
2015-11-17,3285.35,3351.19,3270.65,3300.33,7327.0
2015-11-18,3310.7,3310.95,3272.57,3293.06,8016.0
2015-11-19,3297.09,3326.52,3292.22,3312.91,4226.0
2015-11-20,3323.67,3334.68,3290.26,3311.39,4630.0
2015-11-23,3341.31,3341.31,3252.72,3271.0,7190.0
2015-11-24,3291.24,3316.79,3267.66,3286.38,3584.0
2015-11-26,3286.33,3329.57,3267.7,3282.25,1923.0
2015-11-27,3294.63,3398.12,3291.73,3350.31,4171.0
2015-11-30,3370.55,3370.89,3283.38,3294.19,8091.0
2015-12-01,3307.02,3400.28,3275.52,3355.66,2399.0
2015-12-02,3361.56,3410.16,3341.36,3395.76,1090.0
2015-12-03,3395.46,3395.46,3319.74,3354.33,26254.0
2015-12-04,3354.14,3672.55,3302.05,3546.27,13221.0
2015-12-07,3546.76,3550.49,3454.38,3498.9,2346.0
2015-12-08,3458.31,3511.38,3386.57,3422.49,38655.0
2015-12-09,3453.15,3453.15,3323.67,3352.12,6160.0
2015-12-10,3351.24,3370.84,3303.03,3327.51,7230.0
2015-12-11,3327.51,3365.34,3278.71,3321.02,5811.0
2015-12-14,3334.73,3336.45,3243.09,3271.93,5905.0
2015-12-15,3272.32,3282.4,3244.36,3268.2,5307.0
2015-12-16,3312.52,3462.14,3252.91,3358.41,7123.0
2015-12-17,3341.41,3442.05,3303.03,3410.84,11371.0
2015-12-18,3410.2,3410.2,3273.6,3307.6,16899.0
2015-12-21,3346.28,3346.28,3284.51,3315.76,2550.0
2015-12-22,3311.29,3388.73,3189.04,3237.93,17926.0
2015-12-23,3282.35,3282.4,3244.12,3280.43,57825.0
2015-12-24,3292.22,3326.72,3244.12,3311.98,2603.0
2015-12-28,3311.88,3311.88,3252.87,3278.22,21997.0
2015-12-29,3292.18,3331.53,3252.91,3289.62,3682.0
2015-12-30,3292.42,3463.13,3262.84,3424.01,9600.0
2015-12-31,3423.91,3431.58,3351.19,3389.91,2872.0
2016-01-01,3390.5,3503.42,3353.65,3404.11,5640.0
2016-01-04,3403.32,3403.32,3293.26,3347.8,5885.0
2016-01-05,3419.93,3419.93,3272.57,3305.88,6040.0
2016-01-06,3281.41,3289.42,3244.07,3262.0,8929.0
2016-01-07,3242.5,3262.55,3164.47,3241.22,11489.0
2016-01-08,3262.69,3436.69,3194.93,3299.25,14775.0
2016-01-11,3339.4,3355.37,3293.21,3322.3,4962.0
2016-01-12,3336.3,3354.04,3248.98,3326.92,10700.0
2016-01-13,3392.61,3392.61,3243.14,3369.32,8287.0
2016-01-14,3321.71,3390.5,3275.52,3369.08,4311.0
2016-01-15,3374.24,3390.5,3331.29,3362.39,45930.0
2016-01-18,3362.39,3362.44,3184.12,3274.49,14265.0
2016-01-19,3253.95,3345.29,3252.87,3338.02,17170.0
2016-01-20,3307.01,3341.41,3253.9,3291.93,5093.0
2016-01-21,3331.58,3360.03,3248.0,3335.32,4056.0
2016-01-22,3293.21,3390.5,3269.42,3325.29,11225.0
2016-01-25,3400.33,3400.33,3293.21,3327.65,1826.0
2016-01-27,3311.34,3361.02,3292.13,3339.45,3264.0
2016-01-28,3292.27,3293.21,3225.59,3268.34,17593.0
2016-01-29,3252.87,3357.09,3248.0,3323.33,9316.0
2016-02-01,3352.17,3362.0,3272.62,3332.12,2121.0
2016-02-02,3356.1,3451.43,3254.0,3412.42,54799.0
2016-02-03,3248.98,3339.4,3166.43,3297.97,10397.0
2016-02-04,3302.45,3341.36,3254.88,3303.58,53468.0
2016-02-05,3302.99,3437.67,3282.4,3378.95,18267.0
2016-02-08,3363.42,3496.64,3345.1,3445.63,3469.0
2016-02-09,3434.67,3434.67,3295.71,3341.76,13680.0
2016-02-10,3389.47,3389.52,3258.42,3281.46,3693.0
2016-02-11,3272.57,3287.9,3195.91,3215.47,4606.0
2016-02-12,3233.26,3233.26,3056.36,3113.31,16687.0
2016-02-15,3164.42,3289.47,3119.11,3248.39,4234.0
2016-02-16,3320.72,3320.72,3169.23,3253.11,2707.0
2016-02-17,3253.95,3262.74,3208.69,3251.34,1786.0
2016-02-18,3252.91,3380.67,3240.14,3327.85,1955.0
2016-02-19,3339.4,3356.1,3284.61,3340.63,2965.0
2016-02-22,3317.78,3390.5,3317.78,3369.76,2729.0
2016-02-23,3336.45,3365.93,3293.31,3331.09,8777.0
2016-02-24,3298.12,3348.39,3298.12,3333.21,26845.0
2016-02-25,3314.83,3357.14,3259.6,3298.07,1859.0
2016-02-26,3285.2,3431.78,3263.72,3369.71,4228.0
2016-02-29,3410.16,3425.88,3272.57,3310.75,6029.0
2016-03-01,3311.34,3321.71,3233.36,3260.38,40661.0
2016-03-02,3327.65,3328.59,3262.74,3276.06,5155.0
2016-03-03,3329.57,3367.9,3262.79,3346.96,26652.0
2016-03-04,3326.62,3517.27,3296.3,3444.4,10094.0
2016-03-08,3444.75,3542.83,3429.81,3526.37,8091.0
2016-03-09,3508.48,3521.6,3474.72,3501.89,1172.0
2016-03-10,3497.28,3501.55,3419.98,3440.82,1921.0
2016-03-11,3447.79,3513.34,3433.84,3481.6,2099.0
2016-03-14,3469.07,3512.36,3450.55,3485.58,4545.0
2016-03-15,3470.74,3586.07,3449.47,3541.55,2526.0
2016-03-16,3506.46,3537.91,3459.29,3495.51,22906.0
2016-03-17,3495.75,3535.8,3395.76,3495.21,6510.0
2016-03-18,3440.62,3634.27,3419.98,3581.79,7724.0
2016-03-21,3555.55,3714.76,3512.26,3661.54,9135.0
2016-03-22,3647.98,3808.07,3606.21,3730.58,15367.0
2016-03-23,3697.17,4003.54,3689.26,3769.74,20102.0
2016-03-28,3734.46,3820.36,3647.0,3690.58,5801.0
2016-03-29,3674.76,3763.95,3622.43,3748.71,14144.0
2016-03-30,3751.76,3775.54,3650.93,3675.15,56110.0
2016-03-31,3686.01,3734.46,3641.4,3728.12,9989.0
2016-04-01,3636.19,3729.55,3636.19,3718.84,1130.0
2016-04-04,3656.88,3702.67,3597.86,3614.52,12865.0
2016-04-05,3615.7,3690.73,3542.88,3594.67,6963.0
2016-04-06,3547.79,3685.33,3547.74,3674.81,1848.0
2016-04-07,3674.81,3695.06,3601.3,3668.52,1531.0
2016-04-08,3670.73,3685.33,3626.46,3652.94,1749.0
2016-04-11,3606.71,3685.33,3606.71,3680.56,1055.0
2016-04-12,3680.41,3714.81,3647.0,3696.97,8373.0
2016-04-13,3730.48,3783.6,3715.84,3770.68,21911.0
2016-04-18,3783.45,3796.43,3571.03,3676.48,8939.0
2016-04-20,3685.33,3685.33,3626.36,3654.42,6401.0
2016-04-21,3679.04,3712.84,3624.4,3669.7,3130.0
2016-04-22,3674.47,3685.33,3627.49,3647.15,30971.0
