,open,high,low,close,volume
2015-05-15,417.86,427.39,416.08,418.56,93022.0
2015-05-18,418.86,431.26,418.86,426.95,79749.0
2015-05-19,427.69,441.49,424.07,429.58,105786.0
2015-05-20,434.49,438.91,426.8,428.53,58313.0
2015-05-21,427.79,432.75,421.93,423.92,39782.0
2015-05-22,430.77,478.11,430.77,463.52,956626.0
2015-05-25,468.48,474.44,458.06,466.55,234714.0
2015-05-26,469.08,491.31,465.01,482.48,481557.0
2015-05-27,478.81,501.88,473.55,493.1,265617.0
2015-05-28,501.24,550.77,500.25,520.25,1090938.0
2015-05-29,520.84,547.39,517.02,543.22,536598.0
2015-06-01,541.93,541.93,508.73,512.45,211629.0
2015-06-02,514.54,514.54,477.57,480.25,222616.0
2015-06-03,480.35,488.34,459.06,480.99,191815.0
2015-06-04,482.28,507.59,477.67,493.74,262221.0
2015-06-05,500.94,520.39,498.56,511.71,416259.0
2015-06-08,510.57,518.11,486.35,493.2,169800.0
2015-06-09,488.34,500.25,483.52,487.29,105584.0
2015-06-10,487.34,503.72,483.03,492.01,113856.0
2015-06-11,495.23,497.86,474.64,477.32,65550.0
2015-06-12,475.93,483.87,467.69,470.22,141820.0
2015-06-15,466.0,480.39,463.22,469.03,119672.0
2015-06-16,470.42,484.66,459.55,478.71,108530.0
2015-06-17,484.56,499.85,479.4,486.95,236685.0
2015-06-18,487.99,494.69,479.6,482.53,124743.0
2015-06-19,482.53,491.11,481.49,484.41,61547.0
2015-06-22,488.09,500.15,484.37,495.23,166318.0
2015-06-23,496.28,497.96,483.97,489.08,65241.0
2015-06-24,491.11,496.13,484.66,488.19,118418.0
2015-06-25,484.76,491.81,483.62,487.54,46725.0
2015-06-26,489.23,489.82,479.6,485.46,52025.0
2015-06-29,471.46,479.7,468.48,476.33,76075.0
2015-06-30,471.61,510.82,471.61,503.57,366208.0
2015-07-01,508.19,520.99,505.21,507.54,154071.0
2015-07-02,510.67,510.67,495.53,498.16,88423.0
2015-07-03,500.25,513.15,496.28,499.5,89795.0
2015-07-06,493.3,510.97,487.34,506.2,129205.0
2015-07-07,507.19,536.97,505.21,520.49,485556.0
2015-07-08,518.61,523.87,506.2,511.21,165665.0
2015-07-09,515.58,523.17,511.16,517.17,95674.0
2015-07-10,520.99,524.71,508.29,510.12,79905.0
2015-07-13,512.16,533.99,512.16,519.1,207854.0
2015-07-14,522.58,524.56,513.35,515.23,101702.0
2015-07-15,517.12,522.08,508.19,510.57,117325.0
2015-07-16,511.16,521.09,511.16,512.85,104830.0
2015-07-17,516.03,540.94,511.66,531.66,384401.0
2015-07-20,536.52,552.85,531.16,535.18,284585.0
2015-07-21,536.23,538.96,513.2,515.28,116009.0
2015-07-22,517.12,530.42,511.16,524.81,118503.0
2015-07-23,527.69,532.5,521.34,525.01,72343.0
2015-07-24,524.91,530.02,518.61,522.73,117596.0
2015-07-27,518.11,532.01,503.17,508.19,134878.0
2015-07-28,511.17,535.04,511.17,522.81,150165.0
2015-07-29,526.83,530.56,518.68,521.21,69473.0
2015-07-30,525.94,612.81,524.1,600.33,1406739.0
2015-07-31,606.64,628.82,592.22,604.75,758366.0
2015-08-03,604.65,619.57,583.77,599.48,326316.0
2015-08-04,600.57,631.4,598.69,616.69,591374.0
2015-08-05,618.58,634.19,595.7,601.32,371017.0
2015-08-06,596.99,609.43,579.09,588.54,170810.0
2015-08-07,581.78,607.64,577.3,581.73,184445.0
2015-08-10,583.37,608.63,583.37,591.13,262247.0
2015-08-11,591.23,602.61,572.83,579.29,100324.0
2015-08-12,576.81,581.78,553.93,559.75,129597.0
2015-08-13,559.9,585.66,559.9,572.23,133038.0
2015-08-14,574.77,579.24,561.94,571.64,89095.0
2015-08-17,573.82,595.5,562.39,586.8,209990.0
2015-08-18,596.7,607.64,592.72,596.55,192270.0
2015-08-19,594.41,600.57,587.25,590.58,80165.0
2015-08-20,589.24,595.7,569.84,573.77,80387.0
2015-08-21,565.87,568.65,545.28,555.03,104984.0
2015-08-24,533.05,534.84,444.54,458.26,177938.0
2015-08-25,471.84,489.29,415.7,466.91,206203.0
2015-08-26,472.19,490.29,449.06,463.63,84705.0
2015-08-27,481.24,486.31,465.57,474.77,89161.0
2015-08-28,479.35,495.26,472.38,475.62,95456.0
2015-08-31,474.42,484.32,467.91,470.0,48974.0
2015-09-01,467.31,474.17,453.54,457.82,48739.0
2015-09-02,464.38,471.59,454.09,458.06,49539.0
2015-09-03,464.53,477.26,459.56,464.48,55753.0
2015-09-04,463.43,463.43,434.59,448.62,81643.0
2015-09-07,457.12,459.41,428.63,444.39,66484.0
2015-09-08,439.57,450.75,426.09,442.55,65240.0
2015-09-09,449.51,459.01,440.76,446.43,86936.0
2015-09-10,437.73,451.2,433.85,442.85,43906.0
2015-09-11,449.51,457.47,446.43,450.31,48476.0
2015-09-14,456.47,459.51,448.77,452.25,38006.0
2015-09-15,450.11,470.4,450.11,462.44,75826.0
2015-09-16,462.64,471.39,454.48,459.8,52831.0
2015-09-18,463.48,466.32,453.54,461.69,51596.0
2015-09-21,464.43,465.17,458.46,462.29,36373.0
2015-09-22,465.37,470.4,451.3,455.28,33474.0
2015-09-23,452.54,464.43,451.6,457.07,24723.0
2015-09-24,457.32,463.63,454.24,456.07,31288.0
2015-09-28,456.47,463.24,456.47,460.85,24060.0
2015-09-29,456.47,466.91,452.44,460.35,31311.0
2015-09-30,461.4,485.31,459.46,478.6,135696.0
2015-10-01,480.34,494.26,475.62,479.74,89581.0
2015-10-05,484.77,501.08,480.34,495.06,106656.0
2015-10-06,497.25,499.63,481.73,484.92,63125.0
2015-10-07,487.2,489.29,476.36,480.29,42742.0
2015-10-08,479.4,502.17,478.85,484.92,92243.0
2015-10-09,485.71,526.09,483.42,516.44,357374.0
2015-10-12,521.02,521.51,504.21,511.82,106698.0
2015-10-13,507.19,516.84,502.22,507.99,78880.0
2015-10-14,507.19,518.73,505.45,513.76,42511.0
