,open,high,low,close,volume
2015-05-15,59.8,61.21,59.17,59.47,3496779.0
2015-05-18,59.9,60.46,59.24,59.62,2017224.0
2015-05-19,59.88,60.37,59.36,60.0,2890041.0
2015-05-20,60.56,60.75,59.71,59.9,1778337.0
2015-05-21,60.37,61.49,59.9,60.64,4018311.0
2015-05-22,60.79,60.91,59.82,60.17,1593306.0
2015-05-25,60.44,61.12,60.08,60.51,1877865.0
2015-05-26,60.5,62.49,60.5,62.13,5526807.0
2015-05-27,61.78,62.78,61.24,62.38,2758569.0
2015-05-28,62.53,63.51,62.4,62.84,2800512.0
2015-05-29,63.14,68.33,59.96,67.42,28289877.0
2015-06-01,67.52,68.84,67.08,67.96,7542579.0
2015-06-02,67.34,67.52,64.61,65.41,7730217.0
2015-06-03,65.6,65.6,59.57,61.3,8185782.0
2015-06-04,61.97,62.83,60.32,62.34,6181098.0
2015-06-05,62.12,63.95,61.25,62.58,5091900.0
2015-06-08,62.63,63.55,61.69,61.98,2686233.0
2015-06-09,61.74,62.61,60.61,60.94,2714283.0
2015-06-10,61.03,62.49,61.03,61.61,2074050.0
2015-06-11,62.06,62.4,60.06,60.4,2839848.0
2015-06-12,60.61,61.4,59.76,61.2,2991846.0
2015-06-15,61.21,62.33,60.79,61.56,2528328.0
2015-06-16,60.95,61.59,60.7,61.41,1804869.0
2015-06-17,61.76,62.84,61.28,62.2,4523640.0
2015-06-18,62.23,63.89,62.23,63.44,4205949.0
2015-06-19,63.81,64.51,63.66,64.15,3945348.0
2015-06-22,64.6,64.79,63.48,64.13,2391972.0
2015-06-23,64.12,64.85,63.57,63.93,2564859.0
2015-06-24,64.13,64.66,62.67,63.33,2529021.0
2015-06-25,63.14,63.82,62.62,63.45,2194962.0
2015-06-26,63.56,65.64,63.19,64.86,5057745.0
2015-06-29,63.78,64.0,61.68,62.78,3056922.0
2015-06-30,63.06,63.93,62.76,63.4,3792954.0
2015-07-01,63.64,64.94,63.59,64.28,3332505.0
2015-07-02,64.41,65.45,64.04,64.35,3164238.0
2015-07-03,64.5,65.06,64.05,64.38,2244759.0
2015-07-06,63.96,64.23,60.08,63.73,2756886.0
2015-07-07,63.93,66.21,63.85,65.04,4803447.0
2015-07-08,64.49,65.52,63.55,64.21,2987556.0
2015-07-09,64.6,65.26,64.19,64.56,1891131.0
2015-07-10,64.89,65.36,64.04,64.78,1511928.0
2015-07-13,64.98,65.28,64.44,64.98,1418637.0
2015-07-14,65.08,66.34,64.89,65.74,3227136.0
2015-07-15,66.21,66.87,65.92,66.36,2288682.0
2015-07-16,66.82,69.27,66.3,68.91,8220201.0
2015-07-17,69.78,70.03,68.48,68.72,4681611.0
2015-07-20,69.01,69.3,68.33,68.81,1767942.0
2015-07-21,69.12,70.16,68.04,68.29,4195719.0
2015-07-22,68.33,69.29,67.43,68.98,1709994.0
2015-07-23,69.63,71.38,69.34,70.8,6078765.0
2015-07-24,71.18,71.37,68.87,69.15,4377615.0
2015-07-27,73.63,73.98,69.03,69.34,13426512.0
2015-07-28,70.03,70.99,69.46,70.66,4331514.0
2015-07-29,71.08,74.44,70.17,74.02,9104700.0
2015-07-30,74.87,74.98,73.65,73.96,4826250.0
2015-07-31,74.2,75.62,73.71,75.06,6403749.0
