,open,high,low,close,volume
2015-05-15,898.24,916.73,890.69,894.99,178320.0
2015-05-18,902.88,933.18,896.4,909.95,292208.0
2015-05-19,917.4,928.34,901.34,913.15,138092.0
2015-05-20,922.25,922.25,906.08,915.76,87884.0
2015-05-21,915.76,921.57,894.22,904.77,89845.0
2015-05-22,909.85,928.34,907.05,915.18,133874.0
2015-05-25,910.92,920.84,905.21,909.85,78853.0
2015-05-26,911.89,923.5,895.43,917.5,104608.0
2015-05-27,911.89,940.44,902.21,914.69,185881.0
2015-05-28,911.06,957.19,910.73,946.01,199486.0
2015-05-29,952.54,1043.06,931.39,1004.0,559728.0
2015-06-01,1086.13,1115.17,1018.47,1025.2,1264401.0
2015-06-02,1026.11,1033.86,983.52,1005.11,292204.0
2015-06-03,1008.88,1038.7,953.37,1027.42,397624.0
2015-06-04,1033.86,1115.17,1002.01,1099.64,901886.0
2015-06-05,1110.33,1179.02,1100.17,1148.18,1123979.0
2015-06-08,1150.99,1167.45,1108.49,1146.1,419747.0
2015-06-09,1141.99,1205.2,1124.85,1177.08,676910.0
2015-06-10,1183.66,1214.2,1163.67,1180.27,613192.0
2015-06-11,1208.11,1223.4,1174.47,1188.45,611279.0
2015-06-12,1188.74,1207.86,1144.26,1202.25,363860.0
2015-06-15,1200.36,1212.46,1180.03,1183.9,179285.0
2015-06-16,1188.65,1205.98,1162.61,1198.57,313099.0
2015-06-17,1202.2,1233.27,1184.92,1215.12,493085.0
2015-06-18,1219.72,1227.42,1198.91,1211.06,217685.0
2015-06-19,1217.79,1222.96,1197.02,1205.83,167151.0
2015-06-22,1205.83,1233.27,1200.46,1219.53,261653.0
2015-06-23,1223.98,1247.21,1208.98,1223.16,336283.0
2015-06-24,1227.47,1235.79,1192.66,1200.75,134291.0
2015-06-25,1198.42,1209.07,1151.96,1169.48,262201.0
2015-06-26,1173.26,1192.57,1162.61,1177.85,209205.0
2015-06-29,1147.12,1168.32,1119.05,1158.25,137424.0
2015-06-30,1164.35,1182.94,1146.15,1172.29,247540.0
2015-07-01,1173.26,1207.14,1173.26,1200.8,267098.0
2015-07-02,1205.2,1277.66,1205.2,1259.36,642120.0
2015-07-03,1268.03,1301.96,1267.88,1285.84,388428.0
2015-07-06,1259.65,1295.23,1247.12,1281.0,230463.0
2015-07-07,1280.22,1321.37,1280.22,1307.18,322681.0
2015-07-08,1294.26,1304.47,1260.86,1270.25,224045.0
2015-07-09,1277.8,1291.36,1263.43,1269.58,123956.0
2015-07-10,1285.55,1295.71,1263.82,1284.0,112992.0
2015-07-13,1290.68,1313.43,1284.1,1305.01,199278.0
2015-07-14,1306.84,1324.27,1286.52,1304.28,233377.0
2015-07-15,1310.72,1321.37,1302.0,1313.62,237832.0
2015-07-16,1317.49,1405.58,1311.88,1379.16,532705.0
2015-07-17,1408.49,1449.53,1402.24,1426.98,651500.0
2015-07-20,1434.63,1469.47,1425.53,1449.19,371469.0
2015-07-21,1447.21,1560.47,1444.31,1492.32,572862.0
2015-07-22,1490.77,1500.45,1428.38,1454.91,354918.0
2015-07-23,1465.6,1485.93,1419.23,1466.62,248924.0
2015-07-24,1467.54,1472.38,1424.94,1434.53,130113.0
2015-07-27,1437.34,1461.73,1381.38,1407.71,229837.0
2015-07-28,1416.72,1452.05,1414.59,1439.42,219504.0
2015-07-29,1446.24,1461.44,1417.39,1431.29,139115.0
2015-07-30,1442.37,1477.56,1437.53,1459.55,197987.0
2015-07-31,1469.47,1498.52,1456.89,1471.02,260576.0
2015-08-03,1475.28,1509.16,1472.38,1500.35,207803.0
2015-08-04,1509.02,1519.71,1485.98,1508.68,271637.0
2015-08-05,1519.62,1536.27,1491.01,1497.35,212306.0
2015-08-06,1502.39,1504.42,1432.69,1471.36,179325.0
2015-08-07,1477.22,1477.22,1418.7,1440.0,134078.0
