,open,high,low,close,volume
2015-05-15,145.43,145.88,142.82,144.23,283210.0
2015-05-18,144.13,146.7,144.13,145.39,444607.0
2015-05-19,145.15,145.15,143.23,143.68,266162.0
2015-05-20,144.81,144.81,142.14,142.62,368205.0
2015-05-21,142.72,142.72,139.8,140.73,533594.0
2015-05-22,140.01,142.75,140.01,140.35,325612.0
2015-05-25,140.01,142.07,140.01,140.18,135280.0
2015-05-26,140.18,146.6,139.42,144.95,699878.0
2015-05-27,144.81,146.05,142.14,145.74,641716.0
2015-05-28,145.98,146.66,143.44,144.19,377434.0
2015-05-29,144.47,149.44,140.42,145.94,1229810.0
2015-06-01,144.81,146.18,143.03,143.75,301880.0
2015-06-02,144.09,144.64,139.77,140.08,239153.0
2015-06-03,140.69,141.31,135.89,137.5,369399.0
2015-06-04,137.26,141.38,135.92,139.25,290649.0
2015-06-05,139.32,139.32,137.26,138.67,187637.0
2015-06-08,138.91,139.15,134.52,135.44,148943.0
2015-06-09,135.17,135.65,132.49,134.04,308396.0
2015-06-10,133.8,135.48,132.6,133.21,220913.0
2015-06-11,134.93,134.93,128.82,130.16,130389.0
2015-06-12,128.96,130.02,120.21,124.02,1663548.0
2015-06-15,126.28,126.28,120.79,121.0,338206.0
2015-06-16,121.0,122.06,117.15,118.84,509615.0
2015-06-17,120.58,124.91,120.17,124.46,434904.0
2015-06-18,125.59,127.31,125.05,126.25,270579.0
2015-06-19,127.48,128.82,124.98,126.18,256183.0
2015-06-22,126.93,133.08,126.52,131.81,653352.0
2015-06-23,132.11,135.0,131.77,134.1,251770.0
2015-06-24,134.52,137.19,132.53,133.18,707974.0
2015-06-25,134.17,135.2,132.97,133.59,311402.0
2015-06-26,133.08,135.2,132.05,134.28,139910.0
2015-06-29,133.14,133.56,128.34,132.8,141425.0
2015-06-30,133.14,135.17,133.14,134.07,141780.0
2015-07-01,135.17,137.47,134.17,136.47,454015.0
2015-07-02,138.15,140.49,136.58,139.49,329240.0
2015-07-03,140.01,141.35,136.78,137.78,185570.0
2015-07-06,137.26,142.96,137.26,142.1,334056.0
2015-07-07,142.75,148.93,142.75,148.07,1079701.0
2015-07-08,146.01,149.72,144.95,145.6,713384.0
2015-07-09,146.84,146.87,142.07,142.68,220606.0
2015-07-10,143.03,145.22,142.17,144.43,156514.0
2015-07-13,145.84,146.63,144.19,145.33,175641.0
2015-07-14,143.51,147.56,143.51,144.81,192806.0
2015-07-15,145.81,148.04,145.63,146.42,183059.0
2015-07-16,147.42,148.9,146.39,146.97,198424.0
