,open,high,low,close,volume
2015-05-15,608.29,613.42,591.49,592.92,2200234.0
2015-05-18,595.69,604.51,591.33,602.2,1553626.0
2015-05-19,602.17,612.81,591.35,601.27,2232416.0
2015-05-20,607.8,621.23,572.76,577.59,8739096.0
2015-05-21,577.59,583.96,568.15,579.81,4065708.0
2015-05-22,584.01,584.01,564.9,571.06,2713202.0
2015-05-25,570.01,587.74,567.0,585.17,3406034.0
2015-05-26,590.0,597.09,583.94,595.46,3896440.0
2015-05-27,592.1,594.69,575.28,578.08,3495254.0
2015-05-28,579.6,580.62,561.12,564.16,4037026.0
2015-05-29,564.81,588.65,560.03,574.49,20421386.0
2015-06-01,570.71,573.3,563.08,566.35,1953940.0
2015-06-02,566.72,578.43,557.25,564.09,1768270.0
2015-06-03,564.48,568.1,549.53,555.69,1971634.0
2015-06-04,555.13,563.01,543.49,558.98,2191836.0
2015-06-05,551.84,558.7,548.86,553.33,1785542.0
2015-06-08,554.59,554.85,535.77,538.27,1703514.0
2015-06-09,535.05,536.91,468.81,510.79,7781618.0
2015-06-10,510.93,535.52,510.93,533.02,2166354.0
2015-06-11,534.12,540.95,511.21,515.11,2265876.0
2015-06-12,515.46,520.68,504.38,516.74,1576490.0
2015-06-15,520.56,525.46,502.44,505.57,1611372.0
2015-06-16,509.86,513.96,501.0,510.21,1323756.0
2015-06-17,513.59,524.76,504.73,521.68,1969292.0
2015-06-18,524.79,528.75,515.25,517.18,1329284.0
2015-06-19,521.85,529.45,515.69,526.07,1700766.0
2015-06-22,526.44,533.18,520.4,530.85,1595344.0
2015-06-23,533.18,541.11,528.98,532.39,1291734.0
2015-06-24,533.65,535.24,519.91,522.92,1477124.0
2015-06-25,517.79,532.69,515.92,528.45,1968236.0
2015-06-26,525.72,534.12,517.81,520.35,1462656.0
2015-06-29,497.03,502.16,478.98,499.43,2441282.0
2015-06-30,502.86,502.86,491.43,495.98,2630564.0
2015-07-01,495.02,520.49,493.23,517.09,1816088.0
2015-07-02,519.63,525.58,511.72,521.47,1229880.0
2015-07-03,524.69,524.69,499.18,501.25,1989068.0
2015-07-06,480.47,512.38,476.39,509.16,2601786.0
2015-07-07,510.79,512.56,496.8,500.46,1680182.0
2015-07-08,495.63,504.91,485.67,492.53,1899612.0
2015-07-09,497.73,505.52,493.53,501.07,1511718.0
2015-07-10,503.7,506.85,496.33,499.83,1668424.0
2015-07-13,502.12,525.72,496.91,524.09,2098648.0
2015-07-14,526.65,526.65,510.05,513.5,1211070.0
2015-07-15,516.83,525.67,514.24,516.41,1639222.0
2015-07-16,519.89,531.18,519.16,526.79,1609360.0
2015-07-17,528.98,533.86,523.48,527.86,1321586.0
2015-07-20,533.84,533.84,518.65,523.05,782962.0
2015-07-21,524.67,526.13,506.33,511.92,1041082.0
2015-07-22,510.66,521.14,506.59,514.96,1230010.0
2015-07-23,516.77,525.7,513.05,522.03,860970.0
2015-07-24,523.35,527.96,515.83,521.35,776228.0
2015-07-27,518.13,525.82,508.47,519.97,1264112.0
2015-07-28,520.53,524.5,511.83,515.31,1013304.0
2015-07-29,515.36,521.73,509.9,520.25,958946.0
2015-07-30,524.29,533.3,519.82,521.89,1729928.0
2015-07-31,523.35,541.69,523.35,539.74,1517054.0
2015-08-03,541.45,563.79,531.34,547.92,4859680.0
2015-08-04,551.61,561.39,543.36,553.49,2393532.0
2015-08-05,557.68,586.83,555.61,584.76,3549322.0
2015-08-06,587.49,587.49,571.45,579.26,1514564.0
2015-08-07,579.78,591.18,572.21,574.93,1420420.0
2015-08-10,576.02,581.85,566.61,571.55,995122.0
2015-08-11,573.57,575.97,563.32,564.99,1331496.0
2015-08-12,562.38,564.17,545.0,548.48,1017454.0
2015-08-13,550.2,561.74,541.1,546.32,1276774.0
2015-08-14,551.96,578.77,545.54,576.27,1495666.0
2015-08-17,577.43,589.84,567.03,586.12,1982740.0
2015-08-18,591.06,600.84,584.9,589.58,2454128.0
2015-08-19,588.33,606.11,587.77,602.25,2048096.0
2015-08-20,601.88,607.99,588.1,592.71,2008704.0
2015-08-21,582.55,587.77,568.02,573.57,1529444.0
2015-08-24,540.75,561.91,510.65,525.65,2761002.0
2015-08-25,526.08,561.44,513.71,547.52,1724430.0
2015-08-26,547.33,552.01,509.71,520.95,1416016.0
2015-08-27,538.4,562.57,531.34,554.74,1573242.0
2015-08-28,558.95,564.21,550.86,556.12,1426222.0
2015-08-31,551.56,562.38,545.97,549.17,1661026.0
2015-09-01,540.75,552.03,519.59,531.77,1401390.0
2015-09-02,535.58,540.0,520.06,523.94,1036996.0
2015-09-03,527.11,538.07,526.64,530.66,683432.0
2015-09-04,530.66,532.76,498.71,506.56,1553730.0
2015-09-07,504.07,508.05,474.92,477.53,1568046.0
2015-09-08,478.28,488.27,461.07,480.49,2832988.0
2015-09-09,489.97,505.48,489.03,495.58,1289650.0
2015-09-10,486.67,486.67,474.07,480.66,1734746.0
2015-09-11,488.08,495.61,480.56,484.65,947382.0
2015-09-14,488.08,489.73,478.68,482.51,897360.0
2015-09-15,474.92,474.92,450.04,450.68,4102364.0
2015-09-16,451.92,457.29,440.12,442.07,3439846.0
2015-09-18,446.56,449.95,433.07,435.23,4229276.0
2015-09-21,432.6,439.56,422.75,424.39,3527722.0
2015-09-22,427.9,438.19,421.83,427.97,3484792.0
2015-09-23,423.95,436.27,420.42,431.38,2101092.0
2015-09-24,434.01,434.95,423.55,424.63,3075276.0
2015-09-28,424.98,432.41,414.92,426.6,2058286.0
2015-09-29,416.14,429.33,415.67,421.62,2130838.0
2015-09-30,424.56,431.66,422.25,426.74,1710680.0
2015-10-01,430.25,440.83,427.43,435.73,3298682.0
2015-10-05,441.53,448.45,438.74,445.88,2078964.0
2015-10-06,448.12,449.64,435.33,438.22,1859244.0
2015-10-07,437.77,441.25,433.59,438.17,1577014.0
2015-10-08,438.24,443.23,436.36,437.54,1186754.0
2015-10-09,441.49,447.88,440.12,446.05,2254188.0
2015-10-12,452.35,455.08,446.94,449.67,1280692.0
2015-10-13,450.94,453.57,437.44,439.63,934470.0
