,open,high,low,close,volume
2015-05-15,137.5,139.58,135.53,137.82,2624143.0
2015-05-18,137.85,140.24,136.9,139.97,2275501.0
2015-05-19,139.64,143.19,138.69,140.33,3620634.0
2015-05-20,140.36,141.85,136.78,137.94,3444466.0
2015-05-21,137.94,139.32,135.82,138.72,3400150.0
2015-05-22,138.99,140.63,137.56,139.64,2397267.0
2015-05-25,139.08,141.64,136.84,139.73,4211997.0
2015-05-26,138.0,147.31,137.35,144.09,13087288.0
2015-05-27,143.22,150.86,142.63,149.1,10294650.0
2015-05-28,149.19,152.15,146.86,150.8,10853431.0
2015-05-29,149.49,153.97,147.67,150.18,7202971.0
2015-06-01,149.85,153.16,149.49,151.61,4051272.0
2015-06-02,152.65,153.67,148.45,149.85,5314372.0
2015-06-03,151.04,152.35,143.64,146.72,5556276.0
2015-06-04,147.34,149.01,144.48,148.0,2846427.0
2015-06-05,147.43,150.39,146.3,147.25,3302854.0
2015-06-08,146.8,147.01,143.97,145.04,2317689.0
2015-06-09,143.94,146.63,143.28,144.03,2767117.0
2015-06-10,144.95,150.68,144.72,149.94,6025344.0
2015-06-11,150.48,151.22,144.78,145.46,4344642.0
2015-06-12,145.01,148.89,144.36,148.18,3599832.0
2015-06-15,148.3,149.97,147.01,147.88,3667803.0
2015-06-16,148.0,148.0,144.66,146.57,2821882.0
2015-06-17,147.22,147.28,143.28,143.7,4538755.0
2015-06-18,144.27,146.75,144.15,145.16,2654031.0
2015-06-19,145.85,145.85,142.12,143.97,3859863.0
2015-06-22,145.04,148.6,144.72,147.19,3030334.0
2015-06-23,147.43,149.76,144.84,145.49,3785488.0
2015-06-24,145.61,153.79,145.13,151.64,10985920.0
2015-06-25,150.68,155.13,150.68,152.77,9313326.0
2015-06-26,152.09,152.29,148.0,149.76,4173817.0
2015-06-29,147.4,148.54,144.9,147.55,3218274.0
2015-06-30,147.31,149.64,146.83,147.94,3831690.0
2015-07-01,147.58,154.65,147.58,153.79,6124279.0
2015-07-02,153.67,154.92,151.61,152.65,4175061.0
2015-07-03,153.67,156.59,153.67,154.62,4249372.0
2015-07-06,151.52,155.58,150.77,155.16,2605689.0
2015-07-07,155.46,156.71,153.25,154.56,3786822.0
2015-07-08,152.77,153.37,148.36,152.59,5265988.0
2015-07-09,153.01,158.62,152.03,157.73,7772599.0
2015-07-10,159.96,161.31,158.26,160.29,6992448.0
2015-07-13,160.32,161.52,158.29,160.74,3626259.0
2015-07-14,160.77,163.93,159.81,163.01,5184459.0
2015-07-15,162.92,164.98,162.2,163.25,3965323.0
2015-07-16,163.22,168.29,162.44,167.21,5043882.0
