,open,high,low,close,volume
2015-05-15,67.99,68.49,67.3,68.21,1586976.0
2015-05-18,68.31,69.7,68.04,69.52,3623064.0
2015-05-19,69.67,70.41,68.93,69.22,3286458.0
2015-05-20,69.54,70.32,69.11,69.35,2633100.0
2015-05-21,69.53,69.53,68.33,68.97,1230282.0
2015-05-22,69.2,69.85,68.62,69.09,1533702.0
2015-05-25,69.1,69.7,68.6,69.35,1352880.0
2015-05-26,69.53,69.53,68.64,69.25,1758834.0
2015-05-27,68.93,69.84,68.66,69.51,1869522.0
2015-05-28,69.54,69.78,68.15,68.35,3656724.0
2015-05-29,68.79,69.95,68.32,69.75,2973636.0
2015-06-01,69.82,71.4,69.7,70.37,3069618.0
2015-06-02,70.56,71.85,69.54,70.2,4525632.0
2015-06-03,70.44,71.01,67.06,67.4,4847562.0
2015-06-04,67.64,67.67,66.18,67.26,2756052.0
2015-06-05,67.33,69.23,66.96,68.69,3397014.0
2015-06-08,69.08,69.08,66.95,67.21,2213634.0
2015-06-09,67.08,70.59,66.88,70.34,5290914.0
2015-06-10,70.16,70.78,69.54,69.92,2511954.0
2015-06-11,70.22,71.24,69.12,69.52,4153662.0
2015-06-12,69.36,69.68,68.27,68.98,1767966.0
2015-06-15,68.77,70.12,68.62,69.01,2381886.0
2015-06-16,70.98,71.09,69.37,70.06,7048080.0
2015-06-17,70.44,72.87,70.01,72.2,7286892.0
2015-06-18,72.7,73.55,72.08,72.25,5276544.0
2015-06-19,72.55,72.94,71.31,72.15,3310578.0
2015-06-22,72.17,73.25,71.86,72.65,3139806.0
2015-06-23,72.91,73.36,71.82,72.2,3173154.0
2015-06-24,72.33,73.95,72.25,72.63,4797780.0
2015-06-25,72.78,73.41,72.28,72.73,2706108.0
2015-06-26,72.63,73.7,70.94,71.53,3061086.0
2015-06-29,70.63,71.85,69.26,71.57,4064250.0
2015-06-30,71.81,71.99,70.8,71.26,3328542.0
2015-07-01,71.0,72.17,70.87,71.69,2144730.0
2015-07-02,71.85,72.05,71.09,71.31,1733982.0
2015-07-03,71.51,73.72,71.1,73.14,5390106.0
2015-07-06,73.1,74.41,72.64,73.88,5410722.0
2015-07-07,73.68,74.7,72.7,73.14,3853302.0
2015-07-08,72.64,73.25,71.43,72.13,2342580.0
2015-07-09,72.2,73.69,71.82,72.01,1888596.0
2015-07-10,72.34,72.94,71.74,72.12,1977672.0
2015-07-13,72.02,73.28,72.02,72.76,2510382.0
2015-07-14,72.94,74.01,72.84,73.19,2552286.0
2015-07-15,73.39,75.57,72.76,75.24,7853850.0
2015-07-16,75.9,76.38,74.39,74.74,10041090.0
2015-07-17,74.95,75.59,73.48,73.69,3937032.0
2015-07-20,73.87,74.62,72.79,73.6,3487938.0
2015-07-21,73.86,74.46,71.41,71.67,3183468.0
2015-07-22,71.46,72.12,70.86,71.19,3489120.0
2015-07-23,71.42,72.56,70.66,70.9,6301116.0
2015-07-24,73.42,73.86,71.74,71.99,16523364.0
2015-07-27,71.99,72.43,70.78,71.08,4077996.0
2015-07-28,71.09,71.54,69.39,69.68,4656534.0
2015-07-29,70.32,71.43,69.91,70.43,6893232.0
2015-07-30,71.1,71.31,70.16,70.46,4472700.0
2015-07-31,70.7,71.17,70.32,70.69,2183940.0
2015-08-03,71.06,72.02,70.91,71.43,2866422.0
2015-08-04,71.55,72.45,71.49,72.29,3584622.0
2015-08-05,72.47,73.62,72.33,72.51,3715926.0
2015-08-06,72.78,73.64,72.56,72.77,2929740.0
2015-08-07,72.9,73.31,71.9,72.33,2640966.0
2015-08-10,72.94,72.99,71.6,71.96,2260788.0
2015-08-11,72.79,73.55,71.17,71.49,8593128.0
2015-08-12,71.09,72.09,70.5,71.3,3607110.0
2015-08-13,71.4,73.24,71.08,71.53,4008066.0
2015-08-14,71.49,72.78,71.49,72.54,1981920.0
2015-08-17,72.48,74.33,71.86,74.09,3405156.0
2015-08-18,74.64,74.94,72.88,74.16,4212330.0
2015-08-19,74.03,74.94,73.49,73.81,2909874.0
2015-08-20,73.66,74.78,72.48,72.64,2980302.0
2015-08-21,71.86,72.33,71.24,71.71,1629558.0
2015-08-24,70.19,70.3,61.09,63.32,6194328.0
2015-08-25,64.88,66.44,61.13,66.0,6279048.0
2015-08-26,66.3,66.92,64.6,65.66,2689620.0
2015-08-27,66.45,68.6,66.19,67.59,6861792.0
2015-08-28,69.35,69.35,67.74,68.25,2455458.0
2015-08-31,67.69,69.75,67.57,68.59,1823976.0
2015-09-01,68.43,69.14,66.72,67.53,2633418.0
2015-09-02,67.95,68.26,66.19,67.51,2468292.0
2015-09-03,67.95,68.36,67.15,67.95,1566570.0
2015-09-04,67.84,68.0,65.22,66.18,2144142.0
2015-09-07,66.14,67.11,65.9,66.16,2102892.0
2015-09-08,66.31,67.53,64.92,67.13,2701872.0
2015-09-09,67.69,67.98,67.07,67.43,2116152.0
2015-09-10,66.92,67.49,66.39,67.21,1307220.0
2015-09-11,67.3,68.42,67.13,67.5,1104528.0
2015-09-14,67.61,69.39,67.28,69.15,1883226.0
2015-09-15,69.23,70.09,68.64,69.26,2200386.0
2015-09-16,69.78,70.12,68.45,68.74,2114958.0
2015-09-18,69.36,69.93,67.83,68.13,1766040.0
2015-09-21,67.69,68.37,67.55,68.0,1660098.0
2015-09-22,67.97,69.31,66.73,67.36,2946942.0
2015-09-23,67.07,68.28,66.76,67.91,1440012.0
2015-09-24,67.75,68.89,67.19,67.53,2559954.0
2015-09-28,67.81,69.16,67.23,68.41,1662696.0
2015-09-29,67.74,68.31,66.95,67.5,2182644.0
2015-09-30,68.14,69.06,67.52,68.71,1401714.0
2015-10-01,69.0,70.01,68.72,69.28,1594044.0
2015-10-05,70.21,70.47,69.54,69.79,1554966.0
2015-10-06,70.01,70.42,69.25,69.39,1256718.0
2015-10-07,69.39,69.98,68.62,68.82,1266222.0
2015-10-08,68.83,69.44,68.09,68.54,1319154.0
2015-10-09,68.91,69.11,68.23,68.52,1049682.0
2015-10-12,69.3,69.3,67.7,67.85,1297794.0
2015-10-13,67.84,68.21,67.32,67.67,1673340.0
2015-10-14,67.69,68.77,67.42,68.28,1112028.0
2015-10-15,68.86,68.91,67.77,68.04,1161402.0
2015-10-16,68.59,69.93,68.15,69.7,2872890.0
2015-10-19,70.01,71.06,69.47,70.74,2406960.0
2015-10-20,70.98,71.78,70.47,70.67,4100058.0
2015-10-21,71.24,71.86,69.71,69.93,9622062.0
2015-10-23,70.47,70.64,69.02,69.16,1777842.0
2015-10-26,69.16,69.66,68.51,68.89,1764648.0
2015-10-27,69.06,69.06,68.44,68.87,1151346.0
2015-10-28,68.59,70.29,68.5,69.91,2394570.0
2015-10-29,69.96,70.18,69.42,69.81,3418188.0
2015-10-30,69.88,70.75,69.47,70.31,1590780.0
2015-11-02,70.44,70.76,69.27,69.77,1594854.0
2015-11-03,69.87,70.63,69.64,69.98,1412574.0
2015-11-04,70.18,70.53,69.33,69.64,1133106.0
2015-11-05,69.53,69.78,67.69,68.28,1342494.0
2015-11-06,68.15,68.46,67.4,68.28,981954.0
2015-11-09,67.38,70.75,67.05,70.29,1502766.0
2015-11-10,69.79,70.08,67.52,67.67,1050342.0
2015-11-11,69.79,70.08,67.52,67.67,1050342.0
2015-11-13,67.69,68.93,67.42,68.56,1382520.0
2015-11-16,68.55,69.23,68.04,68.7,1072296.0
