,open,high,low,close,volume
2015-05-15,386.47,390.78,381.69,383.82,9458.0
2015-05-18,383.63,387.89,381.26,382.68,3957.0
2015-05-19,402.57,402.57,380.83,382.44,13856.0
2015-05-20,381.36,387.42,381.36,382.82,8220.0
2015-05-21,383.68,384.62,377.0,383.39,11307.0
2015-05-22,388.36,389.31,378.89,384.72,3332.0
2015-05-25,402.57,402.57,378.89,386.28,143516.0
2015-05-26,390.26,390.26,377.95,379.37,2642.0
2015-05-27,369.42,384.48,369.42,381.69,3974.0
2015-05-28,367.05,387.7,367.05,379.6,5873.0
2015-05-29,378.42,393.1,374.16,385.48,3869.0
2015-06-01,386.52,399.31,386.52,392.2,7791.0
2015-06-02,387.51,394.81,387.46,390.35,3549.0
2015-06-03,382.68,388.27,377.42,384.15,3582.0
2015-06-04,383.63,394.05,372.55,380.5,4195.0
2015-06-05,385.52,390.73,379.08,385.71,1303.0
2015-06-08,379.41,385.95,376.05,383.3,2590.0
2015-06-09,383.15,383.15,376.05,376.9,1299.0
2015-06-10,378.94,393.1,376.15,389.36,3072.0
2015-06-11,384.62,387.46,378.89,382.16,4861.0
2015-06-12,388.03,388.03,375.1,380.31,1566.0
2015-06-15,386.23,393.1,374.2,389.03,4828.0
2015-06-16,387.89,387.89,379.84,383.72,5932.0
2015-06-17,382.87,387.42,382.11,385.14,562.0
2015-06-18,387.84,392.15,386.47,388.55,4775.0
2015-06-19,389.37,397.01,389.32,390.67,1548.0
2015-06-22,386.97,397.97,382.83,394.27,1519.0
2015-06-23,392.16,408.55,387.54,401.68,4833.0
2015-06-24,393.17,402.4,393.17,400.95,3830.0
2015-06-25,397.01,403.55,394.13,401.44,1451.0
2015-06-26,395.57,406.24,395.14,402.25,2793.0
2015-06-29,384.8,398.41,384.8,388.55,4797.0
2015-06-30,393.12,401.72,388.36,396.73,1524.0
2015-07-01,397.3,409.99,394.42,407.44,6192.0
2015-07-02,408.55,417.68,403.98,409.03,103541.0
2015-07-03,405.76,414.32,397.97,405.71,7737.0
2015-07-06,398.94,411.14,393.17,408.74,3233.0
2015-07-07,417.2,419.08,407.54,415.28,4471.0
2015-07-08,400.81,411.91,399.9,403.89,4139.0
2015-07-09,403.6,410.81,400.86,404.99,3646.0
2015-07-10,404.99,412.39,403.84,409.75,2701.0
2015-07-13,409.51,426.09,408.6,422.58,7872.0
2015-07-14,421.96,429.22,421.96,425.66,4712.0
2015-07-15,432.44,434.12,426.0,431.96,6347.0
2015-07-16,432.39,436.43,426.38,434.79,5757.0
2015-07-17,437.72,437.77,430.95,433.01,2841.0
2015-07-20,427.92,432.0,425.9,430.61,5199.0
2015-07-21,433.01,437.39,428.11,432.53,7834.0
2015-07-22,432.53,435.95,432.53,432.68,2326.0
2015-07-23,435.42,455.65,432.63,443.06,12885.0
2015-07-24,446.33,458.54,445.03,452.48,10483.0
2015-07-27,453.73,460.84,434.07,436.91,4855.0
2015-07-28,436.43,442.19,426.19,429.46,1959.0
2015-07-29,431.19,432.58,427.58,430.08,621.0
2015-07-30,432.1,437.29,424.89,425.23,2290.0
2015-07-31,433.69,458.54,425.23,428.16,3310.0
2015-08-03,423.26,432.53,423.26,430.03,1224.0
2015-08-04,432.58,432.63,428.26,432.53,830.0
2015-08-05,430.66,445.61,427.77,433.35,5310.0
