,open,high,low,close,volume
2015-05-15,61.84,62.41,61.46,61.84,293320.0
2015-05-18,62.22,63.93,61.55,63.59,557845.0
2015-05-19,64.5,67.3,64.26,65.54,1813639.0
2015-05-20,65.16,67.35,65.16,66.63,827175.0
2015-05-21,66.92,68.2,66.35,67.49,779835.0
2015-05-22,67.49,68.11,66.11,67.54,629068.0
2015-05-25,66.97,68.87,66.97,67.73,715858.0
2015-05-26,68.25,69.82,67.01,67.63,922066.0
2015-05-27,67.16,67.16,63.64,63.97,551588.0
2015-05-28,63.97,65.45,63.88,64.45,432382.0
2015-05-29,64.02,64.88,62.69,63.88,525974.0
2015-06-01,64.31,65.16,63.78,64.21,316734.0
2015-06-02,63.97,64.5,62.79,63.55,356974.0
2015-06-03,63.4,63.78,57.94,59.6,477488.0
2015-06-04,59.03,60.51,57.85,59.13,384452.0
2015-06-05,59.18,60.46,58.46,59.22,231954.0
2015-06-08,61.08,62.5,59.13,59.32,902586.0
2015-06-09,59.41,59.6,58.08,58.37,287847.0
2015-06-10,58.37,59.6,58.13,59.18,392686.0
2015-06-11,59.51,59.75,57.09,57.28,278083.0
2015-06-12,57.28,57.47,55.66,56.14,279410.0
2015-06-15,56.38,58.27,55.62,57.61,465780.0
2015-06-16,57.71,58.99,57.04,58.27,517994.0
2015-06-17,58.7,60.22,58.18,58.94,658026.0
2015-06-18,59.41,60.27,58.99,59.41,558737.0
2015-06-19,59.6,60.98,59.22,59.79,518731.0
2015-06-22,59.94,62.6,59.65,62.26,843965.0
2015-06-23,62.45,64.59,62.45,63.88,1069473.0
2015-06-24,63.26,68.2,62.93,66.78,2109899.0
2015-06-25,66.78,70.1,65.92,68.3,1603647.0
2015-06-26,68.11,69.06,66.3,66.92,906978.0
2015-06-29,65.4,67.92,63.74,66.49,874594.0
2015-06-30,66.06,70.48,66.06,69.82,1941388.0
2015-07-01,69.82,71.15,68.49,69.34,1224715.0
2015-07-02,69.44,72.19,69.44,71.57,2090370.0
2015-07-03,72.0,72.57,70.01,70.43,1176800.0
2015-07-06,68.49,77.65,68.11,76.75,5522183.0
2015-07-07,77.27,78.27,74.19,74.85,2102168.0
2015-07-08,73.09,75.04,70.48,71.62,1664234.0
2015-07-09,71.67,74.09,71.05,71.91,1116846.0
2015-07-10,72.76,74.8,72.76,73.66,1120417.0
2015-07-13,73.85,75.52,72.67,73.38,1496004.0
2015-07-14,73.9,74.14,71.76,72.14,827215.0
2015-07-15,72.81,74.0,71.24,72.0,882607.0
2015-07-16,72.24,73.9,72.0,72.9,706790.0
2015-07-17,73.0,73.62,71.38,72.67,1499815.0
2015-07-20,73.38,73.38,71.43,71.81,1430662.0
2015-07-21,71.91,72.67,68.87,69.25,861390.0
2015-07-22,69.25,70.96,68.72,70.15,681247.0
2015-07-23,70.24,70.81,68.96,69.34,480736.0
2015-07-24,69.44,74.19,69.34,72.76,3070718.0
2015-07-27,72.29,74.09,69.82,70.62,1434908.0
2015-07-28,70.96,71.1,69.01,69.34,734246.0
2015-07-29,69.72,74.14,68.87,73.9,2090873.0
2015-07-30,75.05,81.91,74.52,80.38,6554476.0
2015-07-31,80.95,88.06,80.62,83.98,8219184.0
2015-08-03,83.98,85.71,82.06,83.26,2648703.0
2015-08-04,83.5,88.73,81.91,87.96,6304427.0
2015-08-05,88.68,90.22,85.61,87.43,3942075.0
2015-08-06,87.62,87.77,82.54,83.21,2081924.0
2015-08-07,79.56,81.1,77.07,77.5,2626043.0
2015-08-10,77.36,79.9,75.77,76.59,1985137.0
2015-08-11,77.02,77.21,73.32,74.38,1023395.0
2015-08-12,74.38,74.38,69.58,71.12,1439242.0
2015-08-13,71.6,72.56,68.86,69.39,818663.0
2015-08-14,70.06,71.79,69.58,71.17,871482.0
2015-08-17,71.02,75.0,69.29,74.04,2050591.0
2015-08-18,74.52,76.01,73.37,75.15,1712027.0
2015-08-19,75.24,76.3,73.18,73.52,969538.0
2015-08-20,73.52,73.85,70.59,71.21,616185.0
2015-08-21,70.54,70.54,66.94,67.81,1151709.0
2015-08-24,65.26,65.26,55.04,57.58,1414101.0
2015-08-25,60.22,60.66,54.71,59.65,1261406.0
2015-08-26,59.89,61.52,57.82,59.02,1304149.0
2015-08-27,60.75,62.72,60.08,61.95,3157298.0
2015-08-28,62.38,63.73,60.18,60.94,905925.0
2015-08-31,60.94,62.05,60.27,60.56,600290.0
2015-09-01,59.98,60.99,57.87,58.59,585076.0
2015-09-02,59.12,60.27,58.02,58.26,440430.0
2015-09-03,58.98,60.75,58.83,59.26,616397.0
2015-09-04,58.78,58.93,56.43,57.44,690098.0
2015-09-07,57.87,58.74,56.72,57.34,485716.0
2015-09-08,57.87,58.64,56.77,57.73,557376.0
2015-09-09,58.54,59.41,57.97,58.5,565526.0
2015-09-10,57.92,58.4,56.96,58.06,441164.0
2015-09-11,58.83,60.27,58.54,59.02,585296.0
2015-09-14,59.46,61.62,58.83,60.66,961874.0
2015-09-15,60.8,61.09,59.17,59.46,389780.0
2015-09-16,59.7,60.46,58.54,58.78,307787.0
2015-09-18,59.12,60.85,59.12,59.74,355574.0
2015-09-21,58.93,62.19,58.88,61.52,790334.0
2015-09-22,63.44,63.92,59.98,60.42,1233735.0
2015-09-23,59.6,60.94,59.02,60.18,424528.0
2015-09-24,59.7,61.23,59.7,60.13,379993.0
2015-09-28,60.37,61.28,59.7,59.84,448301.0
2015-09-29,59.02,60.75,58.35,59.79,455993.0
2015-09-30,60.32,60.94,60.03,60.7,437941.0
2015-10-01,61.18,62.77,60.56,61.81,1065030.0
2015-10-05,62.48,63.68,62.19,62.96,791720.0
2015-10-06,63.54,65.89,62.96,65.6,1307403.0
2015-10-07,65.89,68.14,64.69,66.94,2113062.0
2015-10-08,66.7,67.04,64.69,65.45,835573.0
2015-10-09,65.74,67.9,64.78,65.93,1013459.0
2015-10-12,66.22,66.7,64.97,65.55,503805.0
2015-10-13,65.55,67.47,65.07,65.65,886702.0
2015-10-14,65.89,69.44,65.55,67.95,2065080.0
2015-10-15,68.14,69.44,67.66,68.24,979592.0
2015-10-16,68.91,68.91,65.74,66.51,1052274.0
2015-10-19,66.7,67.66,65.74,66.46,587693.0
2015-10-20,66.89,67.9,65.74,66.46,727699.0
2015-10-21,66.99,68.33,65.84,66.56,1329385.0
2015-10-23,66.99,67.28,65.36,65.65,577985.0
2015-10-26,66.13,66.99,65.6,66.27,471091.0
2015-10-27,65.79,65.93,64.88,65.21,342438.0
2015-10-28,65.26,66.17,64.3,64.88,404437.0
2015-10-29,65.21,65.21,63.82,64.02,349523.0
2015-10-30,64.25,64.73,62.91,63.39,325581.0
2015-11-02,63.63,63.92,61.62,62.34,345289.0
2015-11-03,62.67,63.54,61.71,62.0,503500.0
2015-11-04,61.9,61.9,60.08,60.37,590228.0
2015-11-05,59.98,60.51,58.59,58.74,296130.0
