,open,high,low,close,volume
2015-05-15,22260.83,22517.69,22150.89,22249.84,24846.0
2015-05-18,22377.59,22522.56,22048.35,22361.83,16022.0
2015-05-19,22367.86,22824.17,22192.73,22557.39,21741.0
2015-05-20,22764.82,22791.87,22523.53,22626.85,13008.0
2015-05-21,22708.39,22912.71,22572.57,22743.9,20691.0
2015-05-22,22667.72,22766.76,22367.76,22519.73,10461.0
2015-05-25,21993.47,23133.95,21993.47,22827.67,16485.0
2015-05-26,22956.29,22956.29,22426.33,22509.71,13637.0
2015-05-27,22451.34,22621.31,22231.65,22410.57,25168.0
2015-05-28,22658.77,22770.75,22241.47,22469.63,93071.0
2015-05-29,22665.19,23253.23,21823.99,23028.29,121011.0
2015-06-01,23155.94,23214.32,22539.1,22700.8,22837.0
2015-06-02,22766.76,22864.06,21969.93,22128.61,21635.0
2015-06-03,22374.76,22374.76,20932.77,21126.0,25922.0
2015-06-04,21356.0,21676.98,21117.63,21583.48,20950.0
2015-06-05,21599.24,21643.02,21093.31,21382.57,21029.0
2015-06-08,21297.63,21406.11,20555.86,20840.64,14957.0
2015-06-09,20629.22,20721.65,20062.09,20229.15,27494.0
2015-06-10,20256.58,20752.78,20256.58,20672.22,20152.0
2015-06-11,20869.34,20908.26,19703.08,19879.28,36148.0
2015-06-12,19847.46,19964.7,19094.02,19734.99,31912.0
2015-06-15,19872.27,19972.78,19615.42,19788.99,18007.0
2015-06-16,19788.99,19886.86,19361.48,19756.78,23702.0
2015-06-17,19800.28,20606.84,19616.98,20284.12,35862.0
2015-06-18,20285.77,20577.66,20000.9,20525.12,33109.0
2015-06-19,20577.65,20676.31,20285.67,20536.98,31099.0
2015-06-22,20713.86,21268.44,19945.24,21156.94,28398.0
2015-06-23,21307.35,21620.64,21156.94,21465.85,32494.0
2015-06-24,21599.24,21737.39,21210.16,21395.6,26969.0
2015-06-25,21356.0,21566.94,21189.82,21321.07,29926.0
2015-06-26,21321.95,21453.3,21116.47,21214.93,15572.0
2015-06-29,20910.4,21258.71,20431.81,21111.12,18876.0
2015-06-30,21346.28,21466.92,21113.84,21260.95,25525.0
2015-07-01,21307.36,21635.24,20989.2,21442.89,22630.0
2015-07-02,21317.19,22542.89,21317.19,22391.99,46739.0
2015-07-03,22508.93,22864.06,22096.02,22366.21,37195.0
2015-07-06,21892.09,22664.6,21821.84,22576.26,16953.0
2015-07-07,22524.5,22650.01,22139.22,22307.05,21211.0
2015-07-08,22202.46,22258.01,21891.12,22015.26,18203.0
2015-07-09,22037.45,22426.24,22037.45,22229.41,16725.0
2015-07-10,22281.27,22523.53,22144.08,22448.22,19807.0
2015-07-13,22473.91,22961.35,22311.33,22861.33,22801.0
2015-07-14,22863.09,23078.11,22599.61,22907.06,17659.0
2015-07-15,22920.49,23010.0,22765.79,22814.83,13060.0
2015-07-16,22742.44,23165.67,22742.44,23074.02,15503.0
2015-07-17,23025.57,23189.99,22995.6,23115.37,10971.0
2015-07-20,23233.48,23331.07,23073.34,23215.19,10767.0
2015-07-21,23228.81,23439.94,22679.2,22891.3,11500.0
2015-07-22,22844.41,23278.73,22766.67,23217.04,11510.0
2015-07-23,23301.88,23301.88,22913.19,22985.97,14114.0
2015-07-24,22985.97,23038.22,22480.14,22625.79,17305.0
2015-07-27,22648.55,22930.22,22134.35,22472.84,14799.0
2015-07-28,22519.83,22679.2,22236.42,22379.92,19211.0
2015-07-29,22377.59,23544.14,22333.9,23420.77,30550.0
2015-07-30,23562.63,23798.08,23186.78,23445.68,29941.0
2015-07-31,23641.44,24234.05,23545.11,24002.1,19232.0
2015-08-03,24002.1,24751.07,24002.1,24624.3,18788.0
2015-08-04,24808.96,25390.68,24155.73,25262.74,34570.0
2015-08-05,25296.4,25807.2,25106.68,25587.7,26942.0
2015-08-06,25427.75,25976.49,25394.87,25683.34,17831.0
2015-08-07,25782.88,25782.88,25179.85,25331.82,14809.0
2015-08-10,25364.51,25636.74,25111.74,25322.97,10858.0
2015-08-11,25244.84,25996.82,24697.95,25861.0,74201.0
2015-08-12,25795.52,25821.79,24634.81,24801.47,25847.0
