,open,high,low,close,volume
2015-05-15,93.19,94.73,91.54,93.9,172449.0
2015-05-18,94.73,98.9,94.39,98.13,292908.0
2015-05-19,98.96,101.53,97.49,100.34,198319.0
2015-05-20,99.32,102.3,95.74,97.58,180262.0
2015-05-21,93.81,93.81,90.25,92.18,332851.0
2015-05-22,91.35,94.11,90.74,91.08,61126.0
2015-05-25,89.51,91.38,88.35,88.87,32325.0
2015-05-26,88.9,89.45,86.51,87.4,40404.0
2015-05-27,86.51,88.84,86.42,87.74,32794.0
2015-05-28,88.17,88.9,87.12,88.26,23467.0
2015-05-29,86.48,90.31,86.48,88.93,50274.0
2015-06-01,88.9,89.97,88.9,89.61,39294.0
2015-06-02,88.9,89.97,88.26,88.87,102652.0
2015-06-03,88.32,88.84,81.76,84.86,60831.0
2015-06-04,84.33,87.31,82.77,85.74,60933.0
2015-06-05,85.56,86.48,84.15,84.61,27247.0
2015-06-08,88.01,88.01,82.77,84.3,35521.0
2015-06-09,84.3,86.94,84.3,86.23,28680.0
2015-06-10,86.27,87.06,84.3,85.9,21655.0
2015-06-11,85.9,87.06,84.33,85.07,45484.0
2015-06-12,84.64,85.9,84.3,84.61,20683.0
2015-06-15,84.92,85.84,82.77,85.35,39079.0
2015-06-16,84.18,85.84,84.18,84.73,37917.0
2015-06-17,84.61,86.45,84.06,84.95,55492.0
2015-06-18,85.81,85.84,84.73,85.28,10257.0
2015-06-19,85.53,86.42,84.67,84.79,17391.0
2015-06-22,84.15,88.29,84.15,86.33,19779.0
2015-06-23,86.57,87.25,85.22,85.77,16461.0
2015-06-24,85.53,86.76,85.1,85.56,21592.0
2015-06-25,86.39,87.4,85.32,85.99,13888.0
2015-06-26,87.68,87.68,83.44,84.09,43014.0
2015-06-29,83.38,84.0,81.15,83.11,38248.0
2015-06-30,87.49,98.1,85.84,91.97,986370.0
2015-07-01,90.25,92.52,88.35,89.61,118672.0
2015-07-02,90.68,91.84,87.49,88.35,54735.0
2015-07-03,87.83,90.01,86.45,87.06,33768.0
2015-07-06,86.45,88.69,84.92,87.55,40059.0
2015-07-07,88.9,89.51,85.9,88.29,511659.0
2015-07-08,89.21,91.29,86.6,89.12,162192.0
2015-07-09,89.21,91.84,87.68,89.05,52897.0
2015-07-10,90.59,90.62,87.83,87.98,14862.0
2015-07-13,86.14,90.71,86.14,89.88,33256.0
2015-07-14,90.13,90.65,89.33,89.88,18673.0
2015-07-15,89.82,91.84,88.9,89.82,37381.0
2015-07-16,91.66,91.66,88.99,90.22,18463.0
2015-07-17,89.67,91.66,88.29,91.02,36915.0
2015-07-20,89.09,91.84,88.96,90.8,59403.0
2015-07-21,90.43,91.29,90.43,90.71,74727.0
2015-07-22,90.43,91.6,88.41,89.33,138676.0
2015-07-23,88.9,91.02,88.29,90.19,36745.0
2015-07-24,90.43,91.23,89.05,90.4,38925.0
2015-07-27,89.82,90.74,88.04,89.85,39411.0
2015-07-28,88.84,91.2,88.84,90.16,15778.0
2015-07-29,91.32,91.32,87.06,87.61,39807.0
2015-07-30,88.84,89.21,84.61,85.5,58410.0
2015-07-31,84.09,88.29,84.09,87.74,61744.0
