,open,high,low,close,volume
2015-05-15,1061.63,1073.3,1050.46,1056.45,191820.0
2015-05-18,1061.16,1073.3,1054.84,1070.43,105844.0
2015-05-19,1073.76,1091.47,1071.43,1084.85,157598.0
2015-05-20,1090.1,1102.74,1082.7,1088.26,514710.0
2015-05-21,1099.36,1109.37,1060.23,1067.63,326320.0
2015-05-22,1118.56,1192.12,1108.3,1134.36,1571302.0
2015-05-25,1143.18,1180.11,1138.63,1169.89,489642.0
2015-05-26,1171.76,1189.49,1161.96,1172.99,260620.0
2015-05-27,1175.96,1212.36,1166.63,1203.38,564436.0
2015-05-28,1208.63,1245.02,1207.69,1240.0,978656.0
2015-05-29,1245.49,1253.42,1175.96,1187.49,907876.0
2015-06-01,1194.63,1215.63,1168.82,1198.31,375124.0
2015-06-02,1199.76,1211.66,1167.14,1170.87,237394.0
2015-06-03,1173.63,1181.56,1131.16,1172.04,370034.0
2015-06-04,1181.56,1210.87,1171.29,1204.15,441296.0
2015-06-05,1208.81,1271.62,1206.29,1264.36,932490.0
2015-06-08,1275.87,1280.49,1226.82,1233.8,471082.0
2015-06-09,1243.58,1267.28,1202.37,1212.17,605606.0
2015-06-10,1217.49,1235.22,1204.19,1212.06,330546.0
2015-06-11,1226.82,1237.51,1206.62,1214.52,446172.0
2015-06-12,1216.42,1227.29,1210.87,1215.86,303638.0
2015-06-15,1227.18,1233.36,1205.29,1224.09,251662.0
2015-06-16,1224.02,1230.96,1207.97,1218.72,305576.0
2015-06-17,1222.62,1298.18,1218.89,1287.21,790966.0
2015-06-18,1284.22,1294.82,1245.96,1252.63,442232.0
2015-06-19,1259.96,1281.45,1251.28,1262.5,334980.0
2015-06-22,1278.62,1305.58,1260.31,1299.02,426056.0
2015-06-23,1306.67,1311.29,1273.96,1278.02,354754.0
2015-06-24,1282.33,1284.11,1250.62,1256.52,306668.0
2015-06-25,1251.56,1263.97,1245.96,1256.97,262836.0
2015-06-26,1259.02,1284.22,1244.62,1280.44,284940.0
2015-06-29,1273.35,1273.35,1236.62,1260.12,242540.0
2015-06-30,1262.29,1298.99,1262.29,1289.33,444210.0
2015-07-01,1287.96,1302.89,1269.29,1274.68,395924.0
2015-07-02,1283.29,1293.09,1274.89,1281.53,302944.0
2015-07-03,1292.16,1301.77,1282.82,1292.95,315626.0
2015-07-06,1269.76,1319.22,1269.76,1299.92,553796.0
2015-07-07,1303.82,1320.43,1292.16,1300.79,311292.0
2015-07-08,1296.82,1310.59,1290.29,1302.84,309242.0
2015-07-09,1308.49,1320.62,1303.08,1317.78,304796.0
2015-07-10,1321.32,1332.29,1318.55,1324.85,289170.0
2015-07-13,1324.82,1336.95,1319.69,1327.9,209016.0
2015-07-14,1327.62,1333.22,1315.72,1321.23,189856.0
2015-07-15,1325.75,1330.42,1317.4,1321.97,139626.0
2015-07-16,1329.95,1332.75,1321.55,1326.27,212830.0
2015-07-17,1331.59,1364.49,1323.8,1343.23,318050.0
2015-07-20,1343.23,1353.29,1341.15,1344.84,417282.0
2015-07-21,1351.89,1351.89,1328.51,1341.69,453338.0
2015-07-22,1337.89,1342.93,1329.93,1333.17,347626.0
2015-07-23,1338.21,1351.89,1326.08,1329.98,209390.0
2015-07-24,1341.62,1359.68,1314.6,1351.0,299886.0
2015-07-27,1367.0,1395.31,1356.17,1383.51,494314.0
2015-07-28,1391.53,1417.44,1387.85,1404.3,472496.0
2015-07-29,1406.63,1419.85,1392.95,1400.61,256804.0
2015-07-30,1400.5,1455.66,1397.31,1446.65,412304.0
2015-07-31,1457.12,1531.44,1453.35,1488.1,897048.0
2015-08-03,1498.65,1502.33,1450.99,1480.18,370352.0
2015-08-04,1487.32,1526.49,1478.36,1498.48,1781684.0
2015-08-05,1518.87,1523.28,1485.11,1489.35,654644.0
2015-08-06,1502.89,1502.89,1460.9,1481.55,449868.0
2015-08-07,1484.26,1523.01,1484.26,1511.25,673756.0
2015-08-10,1514.46,1578.39,1513.72,1563.79,1294372.0
2015-08-11,1578.39,1597.27,1561.88,1588.73,888330.0
2015-08-12,1588.77,1596.98,1557.16,1567.0,613022.0
2015-08-13,1576.03,1620.48,1571.36,1603.81,720138.0
2015-08-14,1578.39,1595.9,1543.9,1577.81,705272.0
2015-08-17,1574.57,1574.57,1550.19,1555.38,365490.0
2015-08-18,1566.55,1575.94,1555.27,1564.94,186526.0
2015-08-19,1568.96,1580.0,1550.69,1554.12,206312.0
2015-08-20,1543.95,1558.72,1517.05,1521.49,276582.0
2015-08-21,1514.69,1517.95,1474.58,1509.67,327224.0
2015-08-24,1485.91,1485.91,1388.23,1416.66,818782.0
2015-08-25,1418.43,1438.69,1316.51,1404.7,833038.0
2015-08-26,1403.85,1431.71,1349.58,1359.31,525866.0
2015-08-27,1382.57,1415.13,1363.93,1388.37,659924.0
2015-08-28,1399.56,1439.19,1392.01,1403.24,501436.0
2015-08-31,1405.69,1407.2,1369.59,1382.54,247434.0
2015-09-01,1368.41,1401.44,1358.98,1378.27,438396.0
2015-09-02,1391.06,1422.68,1380.62,1407.69,434290.0
2015-09-03,1434.0,1454.48,1413.71,1419.4,560862.0
2015-09-04,1417.01,1423.57,1387.65,1410.05,289078.0
