,open,high,low,close,volume
2015-05-15,56.98,58.03,56.57,57.48,2066155.0
2015-05-18,57.45,58.77,56.93,58.36,1509053.0
2015-05-19,58.14,62.74,58.03,61.64,3844652.0
2015-05-20,61.94,63.1,60.4,60.62,1768023.0
2015-05-21,60.62,61.33,59.46,60.45,875564.0
2015-05-22,60.4,61.66,59.46,59.85,829873.0
2015-05-25,60.01,60.01,57.81,58.06,888324.0
2015-05-26,58.06,58.83,56.71,57.15,809723.0
2015-05-27,56.87,57.81,55.75,57.01,588946.0
2015-05-28,57.64,57.78,56.74,57.23,465276.0
2015-05-29,57.26,57.67,56.52,57.2,943355.0
2015-06-01,57.78,58.91,57.09,58.11,848849.0
2015-06-02,58.28,58.31,55.64,56.16,940498.0
2015-06-03,56.52,56.71,52.47,53.74,1666019.0
2015-06-04,54.07,56.13,53.74,55.64,1121293.0
2015-06-05,55.61,56.98,54.81,56.02,854407.0
2015-06-08,56.6,57.12,55.75,56.68,1102763.0
2015-06-09,56.41,57.67,56.19,57.09,649833.0
2015-06-10,56.98,57.87,56.49,57.29,737540.0
2015-06-11,57.48,58.25,55.72,56.13,711170.0
2015-06-12,56.1,56.38,54.84,55.58,417885.0
2015-06-15,56.16,56.65,55.19,55.33,1085581.0
2015-06-16,55.19,56.49,54.95,55.14,572340.0
2015-06-17,55.33,56.21,54.78,55.03,667300.0
2015-06-18,55.44,55.8,54.84,55.08,419061.0
2015-06-19,55.44,56.27,54.73,54.84,957067.0
2015-06-22,55.28,55.55,54.89,55.0,1066533.0
2015-06-23,55.06,55.44,53.98,54.59,848270.0
2015-06-24,54.78,56.13,54.34,54.7,2198090.0
2015-06-25,53.68,53.68,46.83,49.5,21172258.0
2015-06-26,49.06,51.7,48.18,51.29,15430105.0
2015-06-29,50.43,53.54,49.28,51.86,4781507.0
2015-06-30,51.95,52.74,51.18,51.29,1556105.0
2015-07-01,52.03,53.13,51.26,51.89,1586786.0
2015-07-02,52.58,52.69,51.26,51.62,1202332.0
2015-07-03,51.62,51.97,51.23,51.53,1364576.0
2015-07-06,51.26,52.61,50.93,52.17,1011683.0
2015-07-07,52.41,53.41,52.28,52.88,1375275.0
2015-07-08,52.74,52.74,50.85,51.7,2023309.0
2015-07-09,51.62,52.41,51.2,51.26,520806.0
2015-07-10,51.62,52.19,51.12,51.56,655809.0
2015-07-13,51.97,52.19,51.31,51.53,255588.0
2015-07-14,51.75,55.77,51.53,55.19,3914810.0
2015-07-15,55.61,60.45,55.33,59.08,7059561.0
2015-07-16,59.63,60.29,58.09,59.13,2420515.0
2015-07-17,59.46,62.21,58.42,61.14,3295627.0
2015-07-20,61.58,62.54,60.37,61.47,1696035.0
2015-07-21,61.72,62.1,57.92,58.33,1569641.0
2015-07-22,57.81,60.54,57.26,58.66,1368948.0
2015-07-23,61.66,66.51,60.7,61.72,11397686.0
2015-07-24,62.52,64.31,61.94,62.71,2820500.0
2015-07-27,62.21,62.43,59.74,60.89,1509578.0
2015-07-28,61.36,61.99,59.65,60.04,1143470.0
2015-07-29,60.43,60.78,57.87,58.75,1254018.0
2015-07-30,59.19,59.96,56.46,57.48,1717825.0
2015-07-31,58.0,61.61,57.89,60.78,2282986.0
2015-08-03,61.5,67.89,61.11,66.67,5287427.0
2015-08-04,67.72,70.91,67.72,69.7,7985519.0
2015-08-05,70.47,72.68,69.92,71.13,3958752.0
2015-08-06,71.63,73.28,69.04,72.81,4496562.0
2015-08-07,72.07,74.27,70.75,71.74,3020710.0
2015-08-10,71.02,72.29,69.34,71.02,1628352.0
2015-08-11,70.92,71.62,66.99,67.85,1410403.0
2015-08-12,67.52,69.69,65.37,66.6,1489883.0
2015-08-13,67.57,68.05,62.8,63.41,870121.0
2015-08-14,64.03,67.55,64.03,66.07,776818.0
2015-08-17,67.04,69.72,64.81,69.19,1278912.0
2015-08-18,69.78,71.15,69.3,70.48,1007141.0
2015-08-19,70.81,71.01,67.85,69.0,1162995.0
2015-08-20,69.16,70.06,64.87,65.34,1198167.0
2015-08-21,64.2,67.15,63.36,66.4,1864133.0
2015-08-24,63.64,63.64,58.28,60.2,1566034.0
2015-08-25,61.07,61.91,54.71,59.03,2732023.0
2015-08-26,60.79,60.79,57.36,57.89,1421596.0
2015-08-27,59.45,61.68,58.64,58.92,1822806.0
2015-08-28,60.12,61.32,58.75,59.0,1299754.0
2015-08-31,59.12,59.62,56.88,57.25,1225056.0
2015-09-01,56.88,58.47,55.82,56.07,1034388.0
2015-09-02,56.24,57.78,56.24,57.02,869099.0
2015-09-03,57.55,58.45,57.11,57.44,603545.0
2015-09-04,56.94,57.5,54.82,55.93,1044668.0
2015-09-07,56.46,56.72,54.79,55.71,635914.0
2015-09-08,56.1,57.47,55.26,55.99,709273.0
2015-09-09,57.5,58.33,55.91,56.13,550891.0
2015-09-10,55.77,56.6,55.26,55.85,542737.0
2015-09-11,55.93,57.44,55.54,56.05,511284.0
2015-09-14,56.38,57.41,55.68,56.6,783268.0
2015-09-15,56.94,56.94,56.02,56.21,359087.0
2015-09-16,56.97,56.97,56.19,56.52,302896.0
2015-09-18,56.88,61.35,56.88,60.37,1323432.0
2015-09-21,60.29,63.47,59.51,61.63,1280648.0
2015-09-22,61.96,64.14,60.29,60.87,896890.0
2015-09-23,60.68,61.8,58.67,61.15,380384.0
2015-09-24,61.32,62.97,60.85,61.54,477547.0
2015-09-28,61.8,62.19,59.79,60.15,464091.0
2015-09-29,59.73,59.73,58.14,58.87,491281.0
2015-09-30,59.73,60.18,58.95,59.62,328412.0
2015-10-01,60.29,61.07,58.92,59.37,349573.0
2015-10-05,59.51,62.47,59.51,61.35,891326.0
2015-10-06,61.96,63.33,61.52,62.3,670520.0
2015-10-07,62.3,64.14,61.71,62.61,892954.0
2015-10-08,62.63,63.02,62.08,62.35,231585.0
2015-10-09,62.88,64.87,62.83,64.2,1094284.0
2015-10-12,64.59,68.86,63.47,66.74,1953276.0
2015-10-13,66.65,68.1,65.34,65.82,654663.0
2015-10-14,65.93,66.93,64.75,65.26,433261.0
2015-10-15,65.76,66.09,64.89,65.15,467167.0
2015-10-16,65.31,66.76,64.62,65.59,603258.0
2015-10-19,66.15,67.41,65.51,66.9,684783.0
2015-10-20,67.21,69.64,67.07,68.63,1700630.0
2015-10-21,69.47,70.73,67.27,69.08,1280635.0
2015-10-23,77.04,80.66,74.16,75.39,11374773.0
2015-10-26,75.92,78.1,74.91,76.87,4499857.0
2015-10-27,76.7,76.76,75.03,76.45,1225130.0
2015-10-28,76.62,78.93,75.97,76.92,1631853.0
2015-10-29,76.78,78.35,76.11,76.87,1422306.0
2015-10-30,76.0,76.95,75.67,76.37,961395.0
2015-11-02,76.59,79.55,76.2,78.15,3710343.0
2015-11-03,78.96,81.86,78.24,80.16,3559090.0
2015-11-04,80.66,81.5,79.74,80.64,2172267.0
2015-11-05,80.64,80.78,77.09,77.98,2119723.0
2015-11-06,77.87,80.78,77.65,80.58,1170897.0
2015-11-09,77.59,85.46,77.04,85.05,4261127.0
2015-11-10,84.4,85.58,83.29,83.62,1270867.0
2015-11-11,84.4,85.58,83.29,83.62,1270867.0
2015-11-13,81.5,86.47,80.16,86.05,1687302.0
2015-11-16,85.74,88.12,84.35,86.69,1295782.0
2015-11-17,87.42,87.59,85.16,85.94,666759.0
2015-11-18,85.44,87.31,84.85,86.72,878223.0
2015-11-19,87.53,90.71,87.08,89.76,1883280.0
