,open,high,low,close,volume
2015-05-15,347.2,348.79,335.97,338.16,2431274.0
2015-05-18,339.15,340.93,328.9,331.01,2537897.0
2015-05-19,330.35,334.56,327.92,329.46,2321742.0
2015-05-20,331.29,332.78,327.54,329.13,1281816.0
2015-05-21,329.41,333.16,325.67,331.24,1619044.0
2015-05-22,331.94,338.96,329.51,330.54,2621605.0
2015-05-25,333.25,336.71,312.8,318.46,6511684.0
2015-05-26,311.96,316.31,310.42,314.72,3197208.0
2015-05-27,312.71,321.55,311.63,319.49,2503434.0
2015-05-28,320.52,324.55,315.89,319.59,2911763.0
2015-05-29,320.43,324.69,316.92,321.32,1360531.0
2015-06-01,320.48,324.5,319.63,320.76,1023677.0
2015-06-02,321.97,322.49,303.54,304.94,3090246.0
2015-06-03,302.09,307.42,296.19,302.84,2827958.0
2015-06-04,304.15,305.74,293.34,297.27,2706744.0
2015-06-05,294.79,298.06,287.4,289.45,2415808.0
2015-06-08,290.02,290.02,275.89,276.63,2862660.0
2015-06-09,276.07,280.28,271.49,274.06,2712510.0
2015-06-10,275.14,277.94,272.05,273.83,1540624.0
2015-06-11,276.07,278.69,266.01,274.39,6235258.0
2015-06-12,270.64,278.88,270.55,275.79,2339029.0
2015-06-15,274.95,276.68,272.05,274.29,1139920.0
2015-06-16,274.11,283.93,271.39,281.78,2390493.0
2015-06-17,283.28,285.1,279.67,282.34,1421547.0
2015-06-18,282.34,286.18,280.89,281.5,1458871.0
2015-06-19,282.44,284.96,280.84,283.04,1434498.0
2015-06-22,284.49,293.38,283.56,289.64,1998793.0
2015-06-23,291.84,296.89,290.72,292.59,2142391.0
2015-06-24,294.79,295.35,285.43,287.49,2976528.0
2015-06-25,286.22,289.47,284.19,284.91,2806819.0
2015-06-26,284.19,285.35,278.85,281.33,2209365.0
2015-06-29,274.29,276.86,269.3,275.85,2310877.0
2015-06-30,271.68,275.46,266.24,269.49,3363626.0
2015-07-01,270.61,279.43,268.72,278.71,2472869.0
2015-07-02,280.21,282.3,275.26,276.48,1846661.0
2015-07-03,276.48,279.77,272.89,278.61,1891490.0
2015-07-06,272.55,286.13,271.68,284.72,2160760.0
2015-07-07,286.13,287.73,279.63,282.78,1686958.0
2015-07-08,277.93,280.31,273.66,275.46,2032136.0
2015-07-09,277.35,282.25,275.55,278.85,1572996.0
2015-07-10,281.28,284.87,279.63,284.14,1713416.0
2015-07-13,286.61,289.62,282.97,288.84,1385341.0
2015-07-14,289.04,293.79,285.25,290.25,2021380.0
2015-07-15,291.12,293.5,286.37,287.1,1641282.0
2015-07-16,287.73,290.59,287.19,289.18,946982.0
2015-07-17,289.52,292.72,287.34,288.45,1146066.0
2015-07-20,288.45,290.15,278.56,279.82,1401686.0
2015-07-21,281.08,283.9,272.94,273.91,1712053.0
2015-07-22,271.58,276.72,271.58,275.99,1153878.0
2015-07-23,277.4,279.24,274.1,276.09,1017082.0
2015-07-24,275.94,277.3,270.03,270.85,1165666.0
2015-07-27,270.61,270.7,258.97,259.74,1417478.0
2015-07-28,258.1,261.49,252.18,252.66,2622039.0
2015-07-29,254.12,255.23,246.36,248.49,2101324.0
2015-07-30,251.21,256.25,248.49,255.19,3374958.0
2015-07-31,257.9,276.14,256.25,268.28,4672547.0
2015-08-03,267.7,284.91,266.73,282.73,4544057.0
2015-08-04,285.11,301.65,281.86,299.8,8775647.0
2015-08-05,302.03,304.56,291.65,294.47,8358627.0
2015-08-06,290.01,305.09,286.51,302.13,5975490.0
2015-08-07,302.61,305.52,297.81,299.37,2600709.0
2015-08-10,297.81,304.99,297.38,300.05,2289176.0
2015-08-11,300.19,309.4,294.08,301.5,3304916.0
2015-08-12,297.77,298.69,282.25,284.14,3423687.0
2015-08-13,287.97,294.61,276.43,279.77,2730958.0
2015-08-14,282.54,297.38,279.34,296.46,3713957.0
2015-08-17,300.19,338.99,300.19,336.27,12232915.0
2015-08-18,334.33,349.61,328.32,340.35,9708112.0
2015-08-19,338.21,339.38,326.38,331.76,3722381.0
2015-08-20,328.22,340.44,314.25,316.53,4846243.0
2015-08-21,304.65,321.82,301.16,317.84,4231184.0
2015-08-24,300.58,306.35,262.85,275.36,5136800.0
2015-08-25,282.25,284.48,258.1,279.05,5431878.0
2015-08-26,278.22,281.66,266.97,270.22,3748517.0
2015-08-27,278.37,281.52,268.77,279.82,5323099.0
2015-08-28,284.43,290.78,270.56,272.06,5378882.0
2015-08-31,271.58,281.28,268.96,277.54,3571083.0
2015-09-01,274.68,275.36,258.53,260.08,4771957.0
2015-09-02,262.85,264.3,250.72,252.81,4414086.0
2015-09-03,255.91,262.65,252.57,258.14,3060183.0
2015-09-04,256.45,256.45,243.06,248.93,3470960.0
2015-09-07,249.85,253.63,243.98,245.0,2202655.0
2015-09-08,247.23,256.93,244.71,252.86,3468651.0
2015-09-09,258.48,260.71,252.71,257.13,3148032.0
2015-09-10,252.18,252.18,246.17,249.71,3718603.0
2015-09-11,252.81,256.79,249.08,251.6,2748204.0
2015-09-14,253.63,260.13,250.63,259.11,2715885.0
2015-09-15,259.84,260.81,252.95,253.15,2643444.0
2015-09-16,257.81,263.09,255.23,259.79,3457992.0
2015-09-18,263.72,273.52,262.85,268.72,4021210.0
2015-09-21,265.76,276.86,264.01,275.65,3107213.0
