,open,high,low,close,volume
2015-05-15,123.25,125.21,122.59,123.43,198285.0
2015-05-18,123.87,132.63,121.68,127.21,834810.0
2015-05-19,127.33,130.15,126.98,127.29,256705.0
2015-05-20,127.33,128.64,126.98,127.24,153220.0
2015-05-21,128.16,128.16,125.22,125.74,98680.0
2015-05-22,126.7,127.52,124.31,124.88,97425.0
2015-05-25,125.57,125.57,120.74,121.41,133240.0
2015-05-26,123.24,123.28,116.4,121.35,112995.0
2015-05-27,119.22,121.69,119.16,120.92,105270.0
2015-05-28,122.83,123.8,120.45,121.49,82625.0
2015-05-29,121.75,122.86,118.8,120.19,132200.0
2015-06-01,120.98,123.44,119.92,120.22,151075.0
2015-06-02,120.19,123.1,113.84,115.21,205675.0
2015-06-03,115.35,120.63,112.96,117.38,403540.0
2015-06-04,118.5,120.45,113.33,116.94,153805.0
2015-06-05,115.88,119.75,114.62,118.49,109845.0
2015-06-08,119.45,119.45,115.52,116.46,71590.0
2015-06-09,115.93,116.23,113.43,113.85,90505.0
2015-06-10,113.28,118.16,113.28,117.15,148735.0
2015-06-11,117.8,119.04,114.63,116.03,111620.0
2015-06-12,114.63,117.79,114.28,115.47,83660.0
2015-06-15,116.4,120.53,115.35,118.19,310625.0
2015-06-16,118.49,120.33,116.41,119.62,137460.0
2015-06-17,119.4,125.58,119.4,123.73,911970.0
2015-06-18,125.67,126.98,124.53,125.01,299790.0
2015-06-19,125.2,126.34,123.17,123.82,124065.0
2015-06-22,125.02,126.63,123.8,125.96,186210.0
2015-06-23,126.1,127.67,124.35,124.95,187440.0
2015-06-24,130.33,131.71,129.13,130.03,105785.0
2015-06-25,128.41,133.41,128.41,132.25,196145.0
2015-06-26,130.31,141.87,130.24,138.27,1185835.0
2015-06-29,135.43,138.27,132.66,136.62,371955.0
2015-06-30,138.03,144.34,136.77,143.17,707535.0
2015-07-01,143.87,146.59,141.18,142.98,476690.0
2015-07-02,142.22,146.34,139.96,142.02,330490.0
2015-07-03,142.02,145.08,140.07,140.87,131175.0
2015-07-06,139.33,144.15,138.77,141.19,188505.0
2015-07-07,143.58,144.32,140.47,141.11,191985.0
