,open,high,low,close,volume
2015-05-15,162.83,163.88,161.07,162.93,7670.0
2015-05-18,161.07,163.45,161.07,162.31,7647.0
2015-05-19,163.36,164.55,162.88,163.88,6444.0
2015-05-20,163.02,166.74,163.02,165.31,16693.0
2015-05-21,165.26,165.26,161.93,162.97,7786.0
2015-05-22,162.02,164.88,159.16,160.97,19768.0
2015-05-25,160.97,161.31,158.21,158.73,57033.0
2015-05-26,157.59,160.5,157.45,158.11,25123.0
2015-05-27,157.35,159.4,157.3,157.78,14999.0
2015-05-28,157.35,159.11,155.68,155.92,13940.0
2015-05-29,156.3,157.26,152.49,153.63,15193.0
2015-06-01,154.4,157.02,153.44,154.59,19313.0
2015-06-02,152.87,155.83,151.54,152.3,14241.0
2015-06-03,151.58,152.44,145.91,147.44,20380.0
2015-06-04,148.96,151.44,143.15,145.25,22019.0
2015-06-05,145.82,151.92,143.06,148.82,32316.0
2015-06-08,147.34,152.49,146.39,152.4,30777.0
2015-06-09,152.01,154.4,145.96,154.06,55925.0
2015-06-10,152.49,163.93,151.78,153.21,496496.0
2015-06-11,153.21,157.26,152.54,156.59,24700.0
2015-06-12,156.59,158.02,153.54,156.3,25223.0
2015-06-15,156.78,159.97,151.16,153.11,12366.0
2015-06-16,153.11,158.21,152.49,154.49,9171.0
2015-06-17,153.44,158.11,152.54,157.26,9899.0
2015-06-18,156.35,162.78,154.4,160.78,18333.0
2015-06-19,159.64,160.16,152.68,154.54,17136.0
2015-06-22,154.54,158.54,154.49,156.25,9787.0
2015-06-23,157.26,158.21,153.25,154.06,7163.0
2015-06-24,154.02,156.73,153.44,156.3,30520.0
2015-06-25,155.44,157.64,153.25,154.87,23934.0
2015-06-26,154.44,159.54,153.73,158.26,21776.0
2015-06-29,157.26,157.26,154.25,154.78,9641.0
2015-06-30,155.83,166.21,154.35,160.21,33029.0
2015-07-01,160.11,166.5,157.3,164.36,27043.0
2015-07-02,163.02,163.93,157.88,160.73,16407.0
2015-07-03,159.16,164.78,159.16,160.26,10070.0
2015-07-06,160.26,161.07,158.26,159.59,4858.0
2015-07-07,159.59,162.02,157.4,158.3,14742.0
2015-07-08,158.3,160.07,154.11,157.26,10600.0
2015-07-09,159.07,162.31,155.87,160.69,11194.0
2015-07-10,160.69,160.69,156.3,157.78,5730.0
2015-07-13,157.78,162.59,153.54,156.35,17182.0
2015-07-14,157.64,161.07,157.64,159.78,13147.0
2015-07-15,160.16,161.26,157.26,160.88,9287.0
2015-07-16,158.21,163.74,158.21,163.12,27431.0
2015-07-17,163.12,163.12,160.11,161.4,19864.0
2015-07-20,161.4,163.93,161.12,163.12,17593.0
2015-07-21,162.69,164.31,160.78,161.54,25244.0
2015-07-22,161.06,164.17,161.06,163.31,8796.0
2015-07-23,162.07,169.57,162.07,166.89,9789.0
2015-07-24,166.46,171.1,163.93,167.04,21857.0
2015-07-27,167.27,167.27,164.89,165.32,22063.0
2015-07-28,164.41,167.18,162.5,162.59,6557.0
2015-07-29,164.93,165.27,162.5,164.41,14587.0
2015-07-30,163.45,174.4,162.73,172.58,24531.0
2015-07-31,172.77,178.27,172.77,175.73,58402.0
2015-08-03,176.79,184.29,172.2,174.16,251790.0
2015-08-04,179.7,179.7,172.39,174.92,62363.0
2015-08-05,176.79,183.05,173.97,179.46,110921.0
2015-08-06,181.37,186.87,178.75,185.44,80082.0
2015-08-07,186.3,186.3,178.75,180.75,33168.0
2015-08-10,182.52,182.52,176.93,179.27,24894.0
2015-08-11,178.79,179.7,169.28,170.62,20768.0
2015-08-12,170.62,173.97,166.41,168.14,21213.0
2015-08-13,171.91,174.25,165.55,166.84,12166.0
2015-08-14,168.66,168.66,160.97,164.84,22822.0
2015-08-17,165.36,167.04,159.68,165.46,6698.0
2015-08-18,165.36,167.27,163.45,165.84,12429.0
2015-08-19,166.8,167.18,163.02,164.17,8239.0
2015-08-20,164.41,166.03,162.64,165.7,14400.0
2015-08-21,163.45,165.36,156.76,163.74,17728.0
2015-08-24,159.63,167.28,151.93,161.25,58858.0
2015-08-25,159.63,186.58,158.67,162.3,44180.0
2015-08-26,162.5,167.18,158.67,161.78,22838.0
2015-08-27,162.64,166.27,161.54,163.98,10287.0
2015-08-28,162.54,168.18,162.5,163.16,10619.0
2015-08-31,166.13,166.13,161.54,162.64,4641.0
2015-09-01,161.54,162.45,157.38,160.58,17356.0
2015-09-02,160.58,161.54,158.86,160.87,14894.0
2015-09-03,160.87,163.45,160.58,161.59,23004.0
2015-09-04,161.06,162.4,160.54,160.82,7200.0
2015-09-07,159.68,162.02,154.37,157.43,3873.0
2015-09-08,158.58,159.53,153.89,156.76,9236.0
2015-09-09,156.43,160.39,155.8,156.9,7932.0
2015-09-10,156.9,157.72,155.14,155.71,2386.0
2015-09-11,155.8,161.44,155.8,157.38,5904.0
2015-09-14,159.34,159.58,155.61,158.77,7955.0
2015-09-15,157.72,159.48,156.04,156.28,2405.0
2015-09-16,156.66,159.39,156.66,158.34,11492.0
2015-09-18,159.1,160.58,156.76,159.39,6877.0
2015-09-21,159.34,159.34,156.81,157.96,6089.0
2015-09-22,159.29,159.29,153.32,155.47,10671.0
2015-09-23,158.91,158.91,151.98,154.32,26831.0
2015-09-24,156.66,156.66,153.94,154.71,7174.0
2015-09-28,154.85,156.28,149.4,149.93,14854.0
2015-09-29,149.16,163.45,149.11,153.94,17190.0
2015-09-30,156.76,157.62,152.08,152.55,15418.0
2015-10-01,154.75,154.75,148.3,150.93,11184.0
2015-10-05,151.93,154.32,150.55,153.32,14609.0
2015-10-06,153.89,154.18,149.26,151.6,18799.0
2015-10-07,152.03,153.89,150.4,152.22,106661.0
2015-10-08,153.8,157.43,151.26,153.7,18451.0
2015-10-09,155.09,157.62,154.04,155.37,20959.0
2015-10-12,155.47,165.79,154.85,163.69,72486.0
2015-10-13,166.32,171.82,165.46,170.91,52385.0
2015-10-14,170.91,172.05,166.32,167.66,25533.0
2015-10-15,170.14,171.91,165.36,166.61,17455.0
2015-10-16,169.19,170.52,166.22,166.32,9058.0
2015-10-19,166.65,170.05,162.21,164.26,16732.0
2015-10-20,164.46,166.27,162.02,164.6,19338.0
2015-10-21,167.27,169.66,164.41,167.27,84362.0
2015-10-23,168.23,169.19,165.89,168.76,74199.0
2015-10-26,169.19,172.96,167.27,168.23,31415.0
2015-10-27,167.28,169.43,166.7,167.08,9512.0
2015-10-28,167.28,170.14,167.28,167.99,4846.0
2015-10-29,167.42,168.95,167.37,168.23,50074.0
2015-10-30,168.23,168.85,163.79,167.75,5982.0
2015-11-02,172.53,176.79,170.14,171.43,52537.0
2015-11-03,171.43,173.54,168.61,170.48,22845.0
2015-11-04,172.05,172.05,168.23,168.85,23223.0
2015-11-05,168.85,171.1,166.51,169.71,110119.0
2015-11-06,168.23,169.19,165.94,167.51,5024.0
2015-11-09,166.32,170.14,160.78,167.37,23129.0
2015-11-10,167.28,169.19,165.84,167.8,11120.0
2015-11-11,167.28,169.19,165.84,167.8,11120.0
2015-11-13,165.89,168.23,165.36,167.04,4856.0
2015-11-16,168.23,169.66,165.84,168.04,17032.0
2015-11-17,167.32,167.75,167.27,167.37,32254.0
2015-11-18,166.32,169.43,165.84,167.94,13237.0
2015-11-19,167.9,168.23,167.28,167.32,8121.0
2015-11-20,167.28,169.19,163.93,167.32,8159.0
2015-11-23,167.28,168.71,166.32,168.28,29780.0
2015-11-24,167.32,169.14,167.27,167.27,17018.0
2015-11-26,167.04,170.09,167.04,167.32,22993.0
2015-11-27,170.14,170.62,167.27,167.37,9525.0
2015-11-30,168.47,169.62,167.27,169.19,6707.0
2015-12-01,169.19,176.74,169.14,174.64,103491.0
2015-12-02,174.64,180.51,172.68,176.07,18922.0
2015-12-03,173.01,174.92,168.71,169.57,25636.0
2015-12-04,169.43,173.01,168.71,169.23,11274.0
