,open,high,low,close,volume
2015-05-15,186.58,186.58,177.57,178.77,438334.0
2015-05-18,178.77,180.37,177.84,179.52,120266.0
2015-05-19,179.58,181.2,176.92,177.21,150948.0
2015-05-20,177.63,178.77,176.19,176.59,89672.0
2015-05-21,176.76,178.44,175.82,176.53,108654.0
2015-05-22,177.32,178.42,174.26,174.66,153644.0
2015-05-25,175.42,177.3,174.26,175.18,113606.0
2015-05-26,175.8,176.88,174.01,175.86,103028.0
2015-05-27,174.9,181.2,174.76,180.72,282570.0
2015-05-28,181.93,183.13,180.14,181.76,292038.0
2015-05-29,182.37,189.49,182.37,185.81,871976.0
2015-06-01,185.44,185.81,181.43,182.03,280102.0
2015-06-02,181.78,182.84,175.96,177.44,251022.0
2015-06-03,177.69,177.69,170.4,171.91,383246.0
2015-06-04,173.04,173.82,168.09,169.79,256646.0
2015-06-05,169.59,170.98,168.67,169.3,188248.0
2015-06-08,169.3,170.38,164.62,165.28,246648.0
2015-06-09,165.2,169.44,164.02,167.96,205220.0
2015-06-10,167.78,171.46,167.7,168.92,236416.0
2015-06-11,169.94,170.37,164.14,164.74,298140.0
2015-06-12,164.64,166.55,163.12,164.56,234698.0
2015-06-15,164.52,167.32,164.18,166.59,258956.0
2015-06-16,166.49,166.59,164.66,166.16,620870.0
2015-06-17,167.63,171.17,166.18,169.94,257718.0
2015-06-18,169.84,175.01,169.84,173.78,325582.0
2015-06-19,174.78,174.95,170.54,171.48,267180.0
2015-06-22,171.56,174.12,171.56,173.2,228430.0
2015-06-23,173.2,176.38,173.1,173.35,519944.0
2015-06-24,173.82,173.82,168.51,170.56,1012670.0
2015-06-25,170.02,172.04,169.42,170.54,1139310.0
2015-06-26,170.73,170.73,166.74,167.28,258752.0
2015-06-29,165.55,165.55,160.13,165.01,197070.0
2015-06-30,165.33,168.42,163.41,167.18,465910.0
2015-07-01,168.38,168.59,165.78,167.7,457178.0
2015-07-02,168.07,169.63,165.82,166.63,430030.0
2015-07-03,166.55,169.25,166.55,167.51,215040.0
2015-07-06,167.63,171.48,164.68,170.37,596980.0
2015-07-07,170.9,178.62,170.9,176.26,880314.0
2015-07-08,176.15,180.2,174.05,177.23,814152.0
2015-07-09,178.06,178.83,173.99,174.51,343336.0
2015-07-10,175.69,176.15,172.62,175.67,272278.0
2015-07-13,176.9,179.66,175.82,178.56,480022.0
2015-07-14,180.37,182.51,179.1,180.47,632856.0
2015-07-15,180.2,183.88,180.2,181.91,376404.0
2015-07-16,183.09,188.87,183.01,185.57,1398022.0
2015-07-17,187.14,188.14,185.05,185.55,410330.0
2015-07-20,186.5,190.8,184.76,187.68,786544.0
2015-07-21,188.1,192.38,187.0,187.87,845058.0
2015-07-22,188.52,192.76,187.37,191.38,1063482.0
2015-07-23,192.15,195.66,191.11,192.03,1324176.0
2015-07-24,193.09,194.31,188.72,189.28,606198.0
2015-07-27,188.89,191.03,184.03,187.39,427026.0
2015-07-28,188.06,190.86,187.75,189.08,487834.0
2015-07-29,190.8,195.66,189.12,194.79,2147350.0
2015-07-30,196.6,198.08,191.9,193.34,1289642.0
2015-07-31,195.02,195.94,188.91,189.35,663948.0
2015-08-03,190.07,192.76,189.29,191.67,618262.0
2015-08-04,191.32,193.92,189.68,190.53,842720.0
2015-08-05,191.26,193.38,190.45,191.09,527574.0
2015-08-06,193.97,194.87,190.34,192.05,343584.0
2015-08-07,193.79,195.87,192.03,193.54,563002.0
2015-08-10,193.54,199.32,191.71,193.42,1521384.0
2015-08-11,195.01,195.91,190.91,192.36,473996.0
2015-08-12,192.01,192.71,185.95,186.46,692122.0
2015-08-13,187.83,189.66,184.64,187.95,569166.0
2015-08-14,188.87,191.81,188.09,191.01,472816.0
2015-08-17,192.34,193.5,189.66,192.24,285728.0
2015-08-18,192.46,193.5,186.33,187.19,423812.0
2015-08-19,187.58,189.27,185.37,187.95,204100.0
2015-08-20,189.07,191.95,184.84,185.31,508054.0
2015-08-21,184.64,186.52,182.19,186.03,549322.0
2015-08-24,181.98,183.39,168.5,171.53,763678.0
2015-08-25,172.61,179.86,170.46,178.51,1058092.0
2015-08-26,176.73,178.65,172.96,173.67,383696.0
2015-08-27,176.26,177.43,173.3,174.81,1036952.0
2015-08-28,175.94,176.33,172.02,173.28,542958.0
2015-08-31,175.32,175.32,168.16,168.61,569236.0
2015-09-01,168.5,168.5,162.62,163.42,558892.0
2015-09-02,165.56,166.75,162.85,163.79,513874.0
2015-09-03,164.87,168.81,164.01,168.01,438008.0
2015-09-04,169.63,169.71,164.6,166.75,455526.0
2015-09-07,167.71,168.26,164.46,165.7,297126.0
2015-09-08,165.7,168.11,164.11,166.89,396632.0
2015-09-09,167.71,173.2,167.38,171.59,572754.0
2015-09-10,171.44,171.44,166.89,170.48,378818.0
2015-09-11,172.18,172.18,169.99,171.18,202840.0
2015-09-14,171.4,172.42,170.46,171.32,118340.0
2015-09-15,172.36,172.36,169.75,170.83,375270.0
2015-09-16,171.24,171.81,168.61,169.42,355978.0
2015-09-18,169.63,172.77,169.54,171.73,328380.0
2015-09-21,170.46,171.81,169.3,171.26,230748.0
2015-09-22,172.02,174.3,170.61,172.89,590354.0
2015-09-23,171.04,174.71,171.04,173.32,266410.0
2015-09-24,173.92,174.3,170.46,171.73,607486.0
2015-09-28,171.59,172.02,169.08,171.55,236658.0
2015-09-29,170.85,171.04,168.89,170.57,248250.0
2015-09-30,171.18,175.26,170.93,173.41,408742.0
2015-10-01,173.63,177.51,173.63,176.35,231014.0
2015-10-05,176.82,178.08,175.75,176.37,190676.0
2015-10-06,176.82,177.88,175.35,176.69,161074.0
2015-10-07,176.53,179.39,175.67,178.53,270960.0
2015-10-08,178.29,179.39,175.39,176.35,185628.0
2015-10-09,177.2,178.1,172.98,174.16,307850.0
2015-10-12,175.88,175.94,170.87,171.69,237354.0
2015-10-13,171.89,172.06,169.73,170.24,361658.0
2015-10-14,169.85,171.63,169.48,170.3,191378.0
2015-10-15,171.18,172.36,170.03,170.87,292762.0
2015-10-16,171.61,171.83,169.75,170.95,273616.0
2015-10-19,171.55,172.22,170.1,171.4,225884.0
2015-10-20,171.79,176.69,171.79,175.1,672640.0
2015-10-21,175.16,185.15,174.84,184.25,1654296.0
