,open,high,low,close,volume
2015-05-15,687.96,697.24,682.06,684.34,132070.0
2015-05-18,687.77,752.67,687.5,736.84,1056941.0
2015-05-19,739.02,761.07,730.71,742.18,620676.0
2015-05-20,746.45,754.71,738.23,743.85,267544.0
2015-05-21,747.1,747.1,720.45,731.74,225604.0
2015-05-22,735.77,749.24,707.27,712.38,463926.0
2015-05-25,740.88,752.02,722.5,726.35,744707.0
2015-05-26,725.28,726.03,705.69,707.78,179325.0
2015-05-27,703.74,715.16,693.02,704.76,189475.0
2015-05-28,710.24,714.84,696.32,700.59,129574.0
2015-05-29,706.48,737.07,703.74,720.87,617367.0
2015-06-01,722.31,744.55,713.21,729.88,421832.0
2015-06-02,731.6,735.96,691.67,697.71,206460.0
2015-06-03,696.32,696.32,664.75,678.44,211992.0
2015-06-04,678.12,681.83,634.11,651.19,640779.0
2015-06-05,640.61,646.18,624.83,632.26,647286.0
2015-06-08,633.55,637.78,605.89,610.62,302598.0
2015-06-09,606.82,618.33,552.6,569.86,655912.0
2015-06-10,567.92,589.36,565.46,583.51,753581.0
2015-06-11,588.62,598.83,574.83,588.9,664579.0
2015-06-12,593.17,594.19,573.07,579.66,375222.0
2015-06-15,575.44,583.88,567.03,577.99,282920.0
2015-06-16,582.03,593.73,571.21,589.36,450047.0
2015-06-17,595.12,614.61,585.88,606.21,565418.0
2015-06-18,609.88,620.05,606.35,612.29,298798.0
2015-06-19,617.31,623.71,609.6,611.18,233924.0
2015-06-22,614.57,626.68,612.8,624.73,309538.0
2015-06-23,626.55,638.75,623.34,626.78,276006.0
2015-06-24,628.45,632.63,608.77,615.96,196320.0
2015-06-25,620.65,631.33,608.53,627.84,220472.0
2015-06-26,629.47,629.47,612.76,621.9,199577.0
2015-06-29,612.76,614.61,586.39,591.5,333812.0
2015-06-30,589.55,623.34,585.0,614.8,471046.0
2015-07-01,610.25,668.14,604.4,657.28,1693349.0
2015-07-02,661.78,680.72,651.47,672.22,1302319.0
2015-07-03,668.46,677.65,654.35,657.93,534641.0
2015-07-06,649.89,653.61,640.61,648.27,972817.0
2015-07-07,657.04,671.62,646.18,650.5,964528.0
2015-07-08,647.57,656.21,633.46,640.29,689426.0
2015-07-09,649.9,650.64,639.82,642.98,736038.0
2015-07-10,648.97,655.47,635.88,640.8,585809.0
2015-07-13,645.9,660.85,642.93,654.72,727876.0
2015-07-14,660.2,675.75,656.72,665.63,1051127.0
2015-07-15,667.07,670.65,661.27,665.21,351149.0
2015-07-16,668.28,685.17,667.53,676.77,1027478.0
2015-07-17,681.46,696.13,681.18,691.53,604321.0
2015-07-20,695.39,718.37,691.81,714.79,606059.0
2015-07-21,715.81,731.46,688.01,701.28,685832.0
2015-07-22,705.28,726.03,702.03,723.01,798485.0
2015-07-23,775.23,778.9,742.83,747.98,2288758.0
2015-07-24,746.45,747.89,724.03,726.77,515109.0
2015-07-27,726.03,749.14,716.0,734.29,675032.0
