,open,high,low,close,volume
2015-05-15,108.47,110.26,107.72,108.37,583364.0
2015-05-18,108.52,108.81,106.48,107.47,1309785.0
2015-05-19,107.97,111.15,107.87,108.86,570684.0
2015-05-20,109.36,112.45,108.57,111.75,1824763.0
2015-05-21,112.45,113.39,110.01,111.5,624773.0
2015-05-22,110.66,112.8,107.77,109.41,1477287.0
2015-05-25,109.86,109.96,104.59,108.37,1191830.0
2015-05-26,109.41,109.46,106.68,108.62,1260000.0
2015-05-27,107.92,108.37,106.48,107.12,438375.0
2015-05-28,107.52,108.22,105.83,106.33,417893.0
2015-05-29,106.48,107.27,104.98,105.38,377037.0
2015-06-01,105.38,106.48,103.89,105.08,1220822.0
2015-06-02,104.73,105.48,102.5,102.99,519298.0
2015-06-03,103.19,103.49,97.67,99.31,887767.0
2015-06-04,99.41,103.19,99.11,101.95,1088944.0
2015-06-05,100.85,101.45,99.01,99.61,823957.0
2015-06-08,99.01,99.81,97.52,98.12,728411.0
2015-06-09,98.02,99.26,97.32,98.91,201905.0
2015-06-10,98.91,99.91,98.27,98.86,323311.0
2015-06-11,99.01,99.41,95.88,97.42,348994.0
2015-06-12,97.37,99.46,94.63,98.61,1087411.0
2015-06-15,98.61,100.61,98.07,99.11,722636.0
2015-06-16,98.76,99.46,97.72,99.11,478966.0
2015-06-17,98.81,99.16,97.32,98.27,310738.0
2015-06-18,98.27,98.76,97.12,98.02,547780.0
2015-06-19,98.32,101.1,97.77,100.36,537948.0
2015-06-22,100.41,102.25,100.06,101.65,506381.0
2015-06-23,102.3,103.2,101.5,102.45,434596.0
2015-06-24,102.95,105.0,101.5,104.1,770894.0
2015-06-25,104.0,104.6,101.65,104.3,542702.0
2015-06-26,103.7,105.6,103.3,105.1,492695.0
2015-06-29,103.5,103.5,101.0,103.05,451972.0
2015-06-30,102.3,104.35,102.15,102.75,878816.0
2015-07-01,103.0,104.35,101.7,102.65,443923.0
2015-07-02,102.5,102.9,99.2,99.9,572397.0
2015-07-03,100.2,102.25,100.1,101.9,780247.0
2015-07-06,100.9,104.4,92.7,103.8,562191.0
2015-07-07,103.5,104.9,103.2,103.9,490571.0
2015-07-08,103.0,104.45,102.6,104.25,3265190.0
2015-07-09,104.25,104.45,103.3,104.3,503798.0
2015-07-10,104.35,105.15,103.5,104.7,190432.0
2015-07-13,104.5,112.7,104.5,110.65,2170957.0
2015-07-14,111.2,113.65,108.1,109.05,981618.0
2015-07-15,108.5,111.95,108.35,110.85,948589.0
2015-07-16,110.0,110.65,108.75,109.15,530725.0
2015-07-17,109.0,109.75,106.15,106.95,465580.0
2015-07-20,107.0,108.3,107.0,107.5,230411.0
2015-07-21,107.5,108.55,105.4,105.9,317514.0
2015-07-22,105.85,106.5,105.25,105.95,762906.0
2015-07-23,106.25,106.75,104.65,104.95,399342.0
2015-07-24,104.6,106.3,104.3,104.95,543647.0
2015-07-27,104.95,104.95,103.7,104.0,103387.0
2015-07-28,104.0,105.0,103.05,103.5,410654.0
2015-07-29,103.5,104.4,102.35,103.25,199711.0
2015-07-30,103.4,104.65,102.0,103.3,381030.0
2015-07-31,103.6,107.5,103.45,105.6,216989.0
2015-08-03,105.9,108.4,105.8,106.8,375065.0
2015-08-04,107.35,107.4,105.05,105.55,173904.0
2015-08-05,105.85,107.8,105.8,106.7,1566297.0
2015-08-06,106.7,108.25,105.45,106.1,308235.0
2015-08-07,105.2,107.3,105.2,106.05,583270.0
2015-08-10,106.0,106.4,103.75,105.55,677960.0
2015-08-11,105.4,105.8,104.1,104.4,205027.0
2015-08-12,104.5,104.8,101.65,102.85,328061.0
2015-08-13,103.0,104.75,102.6,103.2,396534.0
2015-08-14,103.9,104.05,102.75,103.55,496294.0
2015-08-17,104.4,106.9,103.4,104.7,360618.0
2015-08-18,104.35,105.4,103.7,104.2,551047.0
2015-08-19,104.15,105.9,103.7,105.45,389800.0
2015-08-20,105.45,110.95,84.4,87.7,2875008.0
2015-08-21,77.5,85.45,77.5,80.7,2897577.0
2015-08-24,78.0,79.0,65.25,69.8,1595407.0
2015-08-25,71.0,72.0,62.85,62.95,2679246.0
2015-08-26,62.9,65.8,60.1,63.85,1009604.0
2015-08-27,65.1,67.35,63.7,66.5,1067239.0
2015-08-28,68.0,68.35,66.5,67.5,607732.0
2015-08-31,67.4,68.5,66.7,67.85,296243.0
2015-09-01,67.0,67.75,63.6,66.85,668647.0
2015-09-02,67.25,67.7,65.1,66.95,322574.0
2015-09-03,67.0,70.25,67.0,69.65,396351.0
2015-09-04,69.25,70.75,67.1,69.95,403635.0
2015-09-07,69.1,70.95,69.0,70.6,270886.0
2015-09-08,70.5,72.85,69.25,72.7,470606.0
2015-09-09,72.7,75.5,72.7,75.25,340285.0
2015-09-10,74.75,75.9,73.1,75.65,225275.0
2015-09-11,75.6,76.95,75.6,76.25,256112.0
2015-09-14,76.3,77.9,75.6,77.4,165748.0
2015-09-15,77.25,77.8,75.5,76.3,229172.0
2015-09-16,77.0,77.9,76.1,77.45,220548.0
2015-09-18,77.5,80.0,77.5,79.6,789455.0
2015-09-21,78.7,81.5,78.7,80.85,175552.0
2015-09-22,81.2,81.9,79.1,80.25,195515.0
2015-09-23,79.0,81.35,78.5,81.05,239677.0
2015-09-24,81.25,82.3,80.5,81.7,150682.0
2015-09-28,82.35,83.2,80.1,81.1,175791.0
2015-09-29,80.2,83.8,79.9,83.15,405789.0
2015-09-30,83.05,84.0,81.15,83.05,197662.0
2015-10-01,83.5,84.15,82.5,83.75,104752.0
2015-10-05,84.9,85.9,84.4,85.0,264301.0
2015-10-06,85.4,86.0,84.0,85.7,177326.0
2015-10-07,85.1,85.95,85.1,85.85,252945.0
2015-10-08,85.0,86.7,85.0,86.3,218456.0
2015-10-09,86.05,87.85,86.05,87.55,204715.0
2015-10-12,87.1,88.2,87.0,87.65,246893.0
2015-10-13,87.75,87.75,86.5,87.25,103402.0
2015-10-14,87.05,87.15,84.8,85.6,341995.0
2015-10-15,85.9,86.7,85.15,86.5,320428.0
2015-10-16,86.1,87.5,85.75,86.95,182777.0
2015-10-19,87.25,87.7,86.5,87.2,212954.0
2015-10-20,87.4,87.4,86.75,87.2,146899.0
2015-10-21,87.15,87.25,85.65,86.4,79714.0
2015-10-23,86.85,87.0,86.0,86.4,144824.0
2015-10-26,86.9,87.2,85.05,85.75,181076.0
2015-10-27,85.25,85.95,84.65,85.65,133600.0
2015-10-28,85.65,85.7,84.7,85.1,153671.0
2015-10-29,84.9,85.4,84.0,84.45,167135.0
2015-10-30,84.9,85.9,81.05,83.55,319954.0
2015-11-02,83.9,84.4,66.85,69.4,2876051.0
2015-11-03,70.9,72.0,69.5,69.95,808388.0
2015-11-04,70.4,71.0,68.5,68.95,349514.0
2015-11-05,69.2,69.7,67.5,68.15,412600.0
2015-11-06,68.5,72.2,68.5,69.3,981388.0
2015-11-09,68.25,69.8,65.7,67.55,920262.0
2015-11-10,67.0,69.9,66.3,67.5,585232.0
2015-11-11,67.0,69.9,66.3,67.5,585232.0
2015-11-13,67.9,67.9,66.55,66.9,161473.0
2015-11-16,66.9,68.5,65.9,68.25,346059.0
2015-11-17,68.9,69.4,68.1,69.1,231633.0
2015-11-18,69.0,69.5,68.15,68.5,179782.0
2015-11-19,68.6,69.75,68.5,69.2,200737.0
2015-11-20,68.6,70.35,68.5,69.9,887365.0
2015-11-23,69.8,70.6,69.05,69.9,123828.0
2015-11-24,69.2,70.4,69.2,69.95,128263.0
2015-11-26,70.3,70.35,69.25,69.9,204264.0
2015-11-27,69.6,72.35,69.6,71.55,324242.0
2015-11-30,71.4,72.5,70.7,71.2,206122.0
2015-12-01,71.4,72.0,70.15,70.75,196719.0
2015-12-02,70.9,71.4,69.55,70.7,152183.0
2015-12-03,70.35,70.85,69.9,70.45,184714.0
2015-12-04,70.05,70.5,69.0,70.1,119985.0
2015-12-07,70.5,71.75,70.35,71.45,146322.0
2015-12-08,71.4,72.9,70.8,71.6,239523.0
2015-12-09,71.6,71.6,69.2,69.5,127499.0
2015-12-10,69.9,71.25,69.15,69.95,133705.0
2015-12-11,70.4,70.7,69.3,69.7,463179.0
2015-12-14,69.65,70.0,68.65,69.85,89006.0
2015-12-15,69.7,70.35,69.1,69.65,64577.0
2015-12-16,68.65,69.85,68.65,69.6,67961.0
2015-12-17,69.65,70.5,69.5,69.75,217156.0
2015-12-18,69.75,70.45,66.5,69.4,279180.0
2015-12-21,68.5,71.4,68.5,69.3,209684.0
2015-12-22,70.9,71.9,70.05,70.3,366262.0
2015-12-23,70.5,70.85,69.5,69.95,261339.0
2015-12-24,70.3,70.4,69.6,70.1,203411.0
2015-12-28,70.1,70.5,69.5,69.9,95289.0
2015-12-29,69.7,70.05,68.6,69.15,187140.0
2015-12-30,68.5,71.0,67.9,70.65,477727.0
2015-12-31,70.65,71.55,70.2,71.1,194177.0
2016-01-01,71.4,71.95,70.65,71.8,165871.0
2016-01-04,71.1,71.25,69.65,70.0,79168.0
2016-01-05,70.0,70.85,69.0,69.45,206179.0
2016-01-06,69.2,69.8,68.5,69.1,248630.0
2016-01-07,68.9,68.9,67.3,67.85,209068.0
2016-01-08,68.0,68.8,67.2,67.65,116860.0
2016-01-11,67.5,67.95,66.3,67.55,366613.0
2016-01-12,67.0,67.3,66.3,66.35,222203.0
2016-01-13,67.0,67.25,63.5,64.9,185030.0
2016-01-14,63.75,64.85,63.5,64.1,141368.0
2016-01-15,64.4,64.5,62.15,63.35,160142.0
2016-01-18,63.0,63.8,60.15,61.25,141700.0
2016-01-19,61.25,64.5,61.1,62.4,120403.0
2016-01-20,62.4,62.5,60.6,61.65,255626.0
2016-01-21,61.9,63.4,60.8,62.45,121973.0
2016-01-22,63.0,64.85,62.2,63.55,132505.0
