,open,high,low,close,volume
2015-05-15,164.6,173.36,164.6,166.5,825853.0
2015-05-18,168.26,187.79,166.26,183.93,1556024.0
2015-05-19,184.22,190.41,178.12,183.98,1019557.0
2015-05-20,185.55,192.41,185.36,189.27,1597461.0
2015-05-21,190.12,197.98,188.41,196.46,1082083.0
2015-05-22,197.46,203.27,197.17,200.79,850599.0
2015-05-25,201.55,201.65,193.41,195.03,326841.0
2015-05-26,196.22,196.79,192.51,195.03,277650.0
2015-05-27,191.93,195.22,188.7,194.17,121404.0
2015-05-28,194.32,196.12,190.51,192.46,276136.0
2015-05-29,191.46,203.84,186.03,199.36,1064054.0
2015-06-01,204.7,206.89,196.32,197.7,685758.0
2015-06-02,197.98,198.41,190.55,191.93,244120.0
2015-06-03,190.98,191.93,178.07,182.36,251830.0
2015-06-04,182.84,185.08,174.22,180.12,247470.0
2015-06-05,180.93,190.27,177.65,185.6,364995.0
2015-06-08,187.65,188.31,172.6,174.93,423202.0
2015-06-09,173.65,174.74,171.45,172.17,187531.0
2015-06-10,171.45,180.12,171.45,178.27,205527.0
2015-06-11,179.93,180.98,165.93,167.79,316244.0
2015-06-12,167.55,173.26,161.07,162.41,546459.0
2015-06-15,163.93,172.31,163.83,168.64,499063.0
2015-06-16,169.03,177.65,168.74,176.88,574699.0
2015-06-17,178.93,180.69,172.65,173.84,423932.0
2015-06-18,174.55,183.36,174.55,178.98,520074.0
2015-06-19,180.12,199.74,180.12,192.98,1247480.0
2015-06-22,195.12,198.55,185.93,188.7,853915.0
2015-06-23,188.89,189.89,183.84,186.55,356277.0
2015-06-24,186.69,191.84,181.08,184.41,411241.0
2015-06-25,183.84,187.89,179.65,183.36,256885.0
2015-06-26,182.88,187.55,180.98,182.93,294849.0
2015-06-29,173.84,178.98,172.41,175.93,209051.0
2015-06-30,174.31,190.31,174.31,186.93,742257.0
2015-07-01,188.41,188.89,184.84,186.79,223152.0
2015-07-02,187.12,194.55,183.22,188.36,596224.0
2015-07-03,188.36,190.7,184.79,185.93,221522.0
2015-07-06,181.84,190.22,178.22,188.93,347790.0
2015-07-07,190.51,193.08,186.41,187.41,345696.0
2015-07-08,186.69,190.03,182.46,183.84,277204.0
2015-07-09,184.79,190.51,184.79,187.22,334812.0
2015-07-10,188.31,189.36,186.31,188.08,168475.0
2015-07-13,188.12,190.51,185.93,189.46,286398.0
2015-07-14,189.55,191.93,179.98,181.31,877657.0
2015-07-15,183.84,188.03,181.79,182.55,468261.0
2015-07-16,183.46,185.74,183.12,184.46,223653.0
2015-07-17,185.69,186.6,182.88,183.84,233986.0
2015-07-20,184.79,188.98,183.12,187.84,367163.0
2015-07-21,188.79,192.31,181.84,186.84,1997218.0
2015-07-22,182.31,185.17,179.17,181.5,479534.0
2015-07-23,182.5,183.22,176.36,179.6,1957872.0
2015-07-24,180.41,190.41,179.07,185.5,2826859.0
2015-07-27,184.31,189.93,181.6,184.79,559500.0
2015-07-28,185.69,186.5,182.98,183.65,247889.0
2015-07-29,184.5,199.36,183.17,196.27,4543186.0
2015-07-30,199.55,205.65,198.13,204.46,1726014.0
