,open,high,low,close,volume
2015-05-15,2027.02,2083.67,2021.21,2042.86,3899.0
2015-05-18,2057.75,2074.07,2017.42,2047.13,4076.0
2015-05-19,2066.39,2093.27,2037.58,2074.07,5250.0
2015-05-20,2126.78,2150.89,2098.07,2118.72,6585.0
2015-05-21,2126.16,2158.47,2093.27,2104.51,4969.0
2015-05-22,2112.48,2158.95,2107.73,2152.04,4461.0
2015-05-25,2152.09,2152.09,2106.48,2108.35,2690.0
2015-05-26,2126.83,2154.73,2087.03,2143.83,37929.0
2015-05-27,2115.79,2132.93,2095.67,2124.38,1253.0
2015-05-28,2137.54,2145.56,2127.84,2131.68,1620.0
2015-05-29,2125.2,2265.15,2115.36,2252.81,49202.0
2015-06-01,2256.51,2303.27,2220.02,2247.0,4201.0
2015-06-02,2217.0,2256.75,2133.12,2181.37,2681.0
2015-06-03,2170.09,2170.09,2064.47,2130.58,5255.0
2015-06-04,2120.16,2155.5,2012.62,2060.39,5876.0
2015-06-05,2055.25,2111.61,2055.25,2075.61,2615.0
2015-06-08,2123.62,2123.62,2030.86,2042.19,2462.0
2015-06-09,2042.77,2064.47,1907.52,1932.25,23612.0
2015-06-10,1966.53,1985.73,1920.43,1925.57,7291.0
2015-06-11,1956.83,2009.73,1891.63,1912.66,17334.0
2015-06-12,1919.47,1939.64,1866.66,1875.3,7418.0
2015-06-15,1886.83,1901.23,1850.34,1886.25,3561.0
2015-06-16,1910.78,1910.83,1863.54,1896.62,5580.0
2015-06-17,1919.47,1930.04,1882.27,1892.73,5931.0
2015-06-18,1896.43,1977.38,1881.07,1969.93,7484.0
2015-06-19,1949.34,2013.48,1920.43,1935.46,7339.0
2015-06-22,1982.85,1982.85,1925.72,1936.57,22568.0
2015-06-23,1968.35,1978.0,1925.24,1966.0,6264.0
2015-06-24,1982.85,1982.85,1910.83,1933.4,5998.0
2015-06-25,1931.96,1957.88,1913.71,1947.32,5285.0
2015-06-26,1935.94,1948.28,1916.69,1923.17,2434.0
2015-06-29,1920.24,1920.24,1872.42,1876.07,6795.0
2015-06-30,1872.42,1891.63,1858.02,1878.81,3498.0
2015-07-01,1891.58,1939.64,1882.07,1927.88,6562.0
2015-07-02,1913.62,1920.43,1886.83,1892.49,11768.0
2015-07-03,1918.99,1918.99,1872.42,1881.21,4117.0
2015-07-06,1858.02,1881.98,1829.26,1843.57,25285.0
2015-07-07,1869.54,1869.54,1762.0,1769.68,45500.0
2015-07-08,1767.9,1780.24,1668.86,1687.82,63080.0
2015-07-09,1688.01,1707.27,1670.78,1678.8,19248.0
2015-07-10,1705.35,1705.35,1637.17,1657.1,14100.0
2015-07-13,1656.37,1899.12,1656.37,1740.92,23613.0
2015-07-14,1756.24,1823.36,1756.05,1802.57,28088.0
2015-07-15,1830.51,2125.32,1787.15,2069.63,357132.0
2015-07-16,2136.35,2136.35,2013.59,2034.22,70020.0
2015-07-17,2072.58,2072.58,1915.27,1960.54,28682.0
2015-07-20,1965.32,2027.07,1960.49,1996.63,10089.0
2015-07-21,1990.45,1996.39,1917.98,1923.63,10086.0
2015-07-22,1896.72,1973.05,1896.72,1960.44,8792.0
2015-07-23,1959.58,1975.76,1922.81,1933.44,16243.0
2015-07-24,1951.85,1951.85,1932.47,1936.24,4370.0
2015-07-27,1960.98,1960.98,1885.13,1899.91,4291.0
2015-07-28,1864.84,1931.46,1850.34,1866.43,7547.0
2015-07-29,1874.5,1960.54,1849.38,1938.22,8893.0
2015-07-30,1940.15,1973.05,1874.5,1910.73,6218.0
2015-07-31,1932.52,1942.09,1895.18,1927.69,4984.0
2015-08-03,1932.47,1980.4,1932.47,1946.14,10487.0
2015-08-04,1971.12,1971.12,1917.98,1957.4,6935.0
2015-08-05,1956.63,1961.46,1927.64,1935.71,6600.0
2015-08-06,1945.37,1972.09,1927.64,1936.19,5956.0
2015-08-07,1941.89,1956.63,1930.54,1945.56,10105.0
2015-08-10,1956.43,1956.48,1930.1,1932.86,4994.0
2015-08-11,1957.01,1957.01,1914.64,1932.86,7268.0
2015-08-12,1933.44,1947.06,1918.94,1928.85,4734.0
2015-08-13,1932.47,1961.46,1922.81,1939.19,6623.0
2015-08-14,1942.18,1951.6,1923.78,1940.97,5114.0
2015-08-17,1966.29,1966.29,1932.47,1939.43,4608.0
2015-08-18,1953.63,2014.46,1926.63,1974.75,6559.0
2015-08-19,1973.97,2033.93,1961.46,2010.83,8849.0
2015-08-20,2033.93,2053.25,1977.88,2007.6,10043.0
2015-08-21,1986.1,1999.82,1933.44,1957.01,7241.0
2015-08-24,1942.13,1942.13,1768.79,1794.3,32668.0
2015-08-25,1797.2,1908.27,1763.38,1794.4,15565.0
2015-08-26,1869.67,1883.19,1790.0,1829.23,6428.0
2015-08-27,1878.51,1935.37,1857.11,1925.85,5596.0
2015-08-28,1961.41,1964.31,1874.59,1938.7,8163.0
2015-08-31,1951.8,2014.55,1886.62,1991.56,8705.0
2015-09-01,2004.94,2004.94,1832.27,1928.66,5010.0
2015-09-02,1937.26,1961.46,1927.64,1949.57,4737.0
2015-09-03,1980.78,1983.68,1951.89,1965.52,4032.0
2015-09-04,1966.29,1966.29,1884.16,1901.31,10661.0
2015-09-07,1901.55,1932.38,1787.54,1799.28,13173.0
2015-09-08,1788.55,1821.31,1762.41,1781.16,15634.0
2015-09-09,1810.05,1852.27,1806.86,1829.08,3747.0
2015-09-10,1826.09,1873.44,1787.54,1826.62,2687.0
2015-09-11,1831.45,1870.58,1831.45,1856.28,2317.0
2015-09-14,1856.28,1879.33,1843.58,1852.52,1866.0
2015-09-15,1851.26,1884.16,1851.26,1864.84,1816.0
2015-09-16,1860.05,1927.64,1860.05,1901.31,3411.0
2015-09-18,1923.92,1948.9,1893.82,1920.1,2151.0
2015-09-21,1919.91,1977.79,1892.86,1954.94,2786.0
2015-09-22,1999.14,1999.14,1892.86,1910.78,2622.0
2015-09-23,1896.77,1925.71,1884.16,1906.19,1664.0
2015-09-24,1906.19,1913.15,1884.11,1908.8,1773.0
2015-09-28,1905.66,1908.32,1824.93,1834.35,5292.0
2015-09-29,1883.53,1932.47,1833.48,1923.29,4315.0
2015-09-30,1966.29,1966.29,1850.83,1952.43,4203.0
2015-10-01,1950.83,1958.56,1882.23,1886.53,3762.0
2015-10-05,1911.17,1915.85,1876.82,1899.67,2300.0
2015-10-06,1929.53,1953.25,1889.18,1950.54,4181.0
2015-10-07,1908.32,1971.12,1908.32,1957.01,2743.0
2015-10-08,1975.95,1975.95,1932.47,1955.71,1892.0
2015-10-09,1955.71,1969.19,1937.3,1962.52,2725.0
2015-10-12,1980.78,1995.18,1933.63,1950.49,3045.0
2015-10-13,1937.54,1956.72,1922.81,1938.32,2358.0
2015-10-14,1924.79,1947.01,1908.7,1934.55,1221.0
2015-10-15,1943.44,1974.5,1924.6,1972.38,2250.0
2015-10-16,1972.09,2075.48,1961.41,2061.95,51170.0
2015-10-19,2046.39,2120.89,2038.76,2075.23,8717.0
2015-10-20,2114.12,2135.28,2077.41,2124.17,8634.0
2015-10-21,2126.69,2207.8,2126.69,2169.06,44417.0
2015-10-23,2188.57,2222.34,1788.36,1926.96,164200.0
2015-10-26,1918.94,1966.29,1913.05,1918.22,14205.0
2015-10-27,1885.13,1932.28,1884.21,1897.78,5695.0
2015-10-28,1897.69,1927.59,1888.03,1907.2,4507.0
2015-10-29,1913.15,1924.74,1884.16,1895.42,5192.0
2015-10-30,1955.66,1955.66,1835.85,1841.79,5070.0
2015-11-02,1841.65,1926.48,1823.87,1915.03,7703.0
2015-11-03,1880.3,1932.47,1865.85,1906.43,3256.0
2015-11-04,1867.25,1913.15,1851.31,1857.11,5868.0
2015-11-05,1857.11,1878.31,1826.19,1836.09,3101.0
