,open,high,low,close,volume
2015-05-15,428.31,456.36,428.12,452.71,1345200.0
2015-05-18,460.01,470.18,457.63,460.57,852225.0
2015-05-19,460.81,467.48,454.65,459.86,568023.0
2015-05-20,460.81,470.15,458.43,468.56,484883.0
2015-05-21,469.55,480.27,452.9,466.41,3068460.0
2015-05-22,467.17,468.64,441.74,445.08,1238378.0
2015-05-25,446.47,451.91,440.15,444.48,430441.0
2015-05-26,448.1,448.1,443.25,446.19,253641.0
2015-05-27,446.47,446.47,430.98,432.45,307623.0
2015-05-28,434.59,439.28,426.65,435.07,730371.0
2015-05-29,436.5,438.72,429.23,435.54,497997.0
2015-06-01,436.18,439.08,427.92,434.31,325444.0
2015-06-02,437.73,437.73,425.06,427.24,318185.0
2015-06-03,425.06,425.81,401.22,416.95,494379.0
2015-06-04,416.95,420.53,407.1,415.21,446628.0
2015-06-05,409.96,422.43,409.41,412.42,463540.0
2015-06-08,413.14,415.4,402.81,407.5,228459.0
2015-06-09,408.29,417.91,405.39,416.04,538608.0
2015-06-10,417.11,424.22,415.25,420.73,283618.0
2015-06-11,425.85,427.56,408.17,410.72,308161.0
2015-06-12,405.99,420.85,405.99,419.38,241007.0
2015-06-15,419.5,425.69,417.15,419.65,283500.0
2015-06-16,419.1,423.59,415.92,420.85,227217.0
2015-06-17,422.51,427.36,419.89,423.79,260614.0
2015-06-18,427.04,436.97,424.94,436.02,331472.0
2015-06-19,440.95,446.47,431.13,436.66,367484.0
2015-06-22,437.21,443.17,435.46,441.11,180250.0
2015-06-23,441.38,445.4,433.16,439.08,311824.0
2015-06-24,440.15,444.92,437.13,439.83,348304.0
2015-06-25,437.37,452.39,431.81,449.57,362692.0
2015-06-26,450.12,454.77,438.6,440.35,298440.0
2015-06-29,433.0,442.3,422.28,440.43,253139.0
2015-06-30,439.2,447.14,438.25,443.93,260727.0
2015-07-01,444.13,452.86,442.1,446.95,215347.0
2015-07-02,447.3,448.57,440.95,442.46,209146.0
2015-07-03,440.95,446.67,437.37,438.36,135020.0
2015-07-06,430.62,451.67,425.85,449.85,262189.0
2015-07-07,451.28,460.01,447.14,457.71,359768.0
2015-07-08,453.5,460.69,446.31,450.36,338743.0
2015-07-09,448.49,458.43,448.49,450.64,135356.0
2015-07-10,456.84,456.84,441.74,445.12,111432.0
2015-07-13,448.77,448.77,438.01,442.34,308220.0
2015-07-14,440.95,455.96,438.17,453.34,337008.0
2015-07-15,452.86,456.4,448.1,451.08,146730.0
2015-07-16,451.08,463.55,449.92,455.29,343179.0
2015-07-17,458.43,475.71,454.06,470.66,423420.0
2015-07-20,480.67,496.01,480.67,490.88,915433.0
2015-07-21,488.18,488.18,465.97,469.07,369082.0
