,open,high,low,close,volume
2015-05-15,55.93,56.95,55.32,55.54,173157.0
2015-05-18,55.58,56.11,53.69,54.0,351295.0
2015-05-19,54.75,55.19,54.13,54.7,154362.0
2015-05-20,54.7,55.45,53.91,54.09,219888.0
2015-05-21,53.91,54.97,53.78,54.31,194928.0
2015-05-22,54.04,55.27,53.69,54.92,204201.0
2015-05-25,54.04,56.55,54.04,55.71,220836.0
2015-05-26,57.12,57.12,54.79,55.14,285037.0
2015-05-27,54.75,56.07,54.48,55.98,135488.0
2015-05-28,55.98,55.98,54.57,54.97,77269.0
2015-05-29,55.8,56.15,54.0,54.35,196795.0
2015-06-01,54.39,55.41,53.91,54.39,96687.0
2015-06-02,54.39,54.57,53.25,53.6,79178.0
2015-06-03,53.25,54.39,50.87,53.47,204338.0
2015-06-04,55.19,55.19,51.67,52.37,257730.0
2015-06-05,52.5,53.69,51.97,52.81,113652.0
2015-06-08,52.41,53.65,51.4,51.58,100038.0
2015-06-09,52.33,53.21,51.05,52.55,148771.0
2015-06-10,54.09,54.35,52.81,53.69,583020.0
2015-06-11,53.82,54.31,51.97,52.33,160125.0
2015-06-12,52.63,54.13,51.14,51.49,144384.0
2015-06-15,53.21,53.21,50.87,51.4,304974.0
2015-06-16,51.71,54.0,51.62,52.33,442415.0
2015-06-17,52.77,54.13,51.93,52.06,260642.0
2015-06-18,52.19,52.81,51.93,52.02,137152.0
2015-06-19,52.41,52.99,51.27,51.58,179369.0
2015-06-22,52.02,52.63,51.84,52.41,152419.0
2015-06-23,52.72,53.56,52.02,52.24,212462.0
2015-06-24,53.16,53.38,52.02,52.33,352524.0
2015-06-25,52.72,52.85,51.93,52.06,179476.0
2015-06-26,52.41,52.63,51.67,52.24,231232.0
2015-06-29,51.31,51.62,50.79,50.96,171234.0
2015-06-30,51.18,51.53,50.43,50.74,172688.0
2015-07-01,51.31,52.5,51.18,51.36,422386.0
2015-07-02,51.49,52.46,51.23,51.97,748531.0
2015-07-03,52.28,52.68,51.93,52.24,384689.0
2015-07-06,51.71,52.11,51.14,51.53,162877.0
2015-07-07,51.93,52.15,51.23,51.58,208109.0
2015-07-08,51.09,52.72,50.87,51.09,338549.0
2015-07-09,51.62,51.84,51.14,51.36,143544.0
2015-07-10,51.75,51.84,50.83,51.01,157503.0
2015-07-13,51.31,52.24,51.01,51.58,246191.0
2015-07-14,51.58,52.24,51.23,51.67,207320.0
2015-07-15,52.41,52.81,51.67,52.11,379629.0
2015-07-16,52.63,54.22,51.93,54.0,723890.0
2015-07-17,54.57,55.58,54.35,55.23,838791.0
2015-07-20,55.54,56.29,54.35,56.11,324269.0
2015-07-21,56.33,56.64,55.45,56.33,236839.0
2015-07-22,56.29,57.87,55.45,56.86,347441.0
2015-07-23,57.21,58.0,54.88,55.05,296245.0
2015-07-24,55.05,55.71,54.13,54.35,110249.0
2015-07-27,54.13,55.01,52.55,52.9,146175.0
2015-07-28,53.16,54.13,51.49,51.8,168003.0
2015-07-29,51.93,52.72,51.84,52.19,82069.0
2015-07-30,52.5,53.34,52.46,52.85,192600.0
2015-07-31,53.03,53.6,52.94,53.12,95866.0
2015-08-03,53.43,54.26,53.07,53.47,102229.0
2015-08-04,53.25,54.44,53.25,54.22,156861.0
2015-08-05,54.39,56.24,54.31,55.32,249221.0
2015-08-06,55.45,56.77,55.1,55.54,196483.0
2015-08-07,55.45,56.11,55.19,55.27,144045.0
2015-08-10,55.54,63.99,55.54,61.04,5396290.0
2015-08-11,61.48,62.27,59.06,59.46,809435.0
2015-08-12,59.24,61.44,58.18,59.28,623485.0
2015-08-13,59.46,60.07,57.56,57.91,284347.0
2015-08-14,58.31,58.31,56.81,57.21,192868.0
2015-08-17,58.09,59.06,56.55,57.87,197889.0
2015-08-18,58.18,59.41,57.69,58.84,164116.0
2015-08-19,58.84,58.88,57.83,58.05,174082.0
2015-08-20,58.35,58.4,57.25,57.39,141338.0
2015-08-21,57.3,57.3,55.93,56.24,142045.0
2015-08-24,55.01,55.01,49.99,51.23,496096.0
