,open,high,low,close,volume
2015-05-15,101.52,103.56,101.51,102.41,397000.0
2015-05-18,103.28,105.75,101.91,104.44,71575.0
2015-05-19,102.93,105.75,102.93,104.96,35940.0
2015-05-20,105.05,109.07,103.56,107.12,111270.0
2015-05-21,108.14,109.5,106.81,107.55,48795.0
2015-05-22,106.17,106.98,103.29,105.17,68540.0
2015-05-25,104.34,105.17,101.58,102.03,31570.0
2015-05-26,101.16,103.64,101.16,102.33,16355.0
2015-05-27,102.42,103.72,101.57,102.87,28215.0
2015-05-28,102.66,103.81,102.14,103.04,255110.0
2015-05-29,102.93,103.28,101.54,102.23,57015.0
2015-06-01,102.23,106.81,102.02,104.47,111590.0
2015-06-02,105.93,108.58,103.11,105.83,149925.0
2015-06-03,105.05,107.87,102.93,104.38,203855.0
2015-06-04,105.58,108.23,104.2,105.19,109700.0
2015-06-05,104.52,107.52,104.17,106.1,16800.0
2015-06-08,106.53,106.53,102.4,102.77,23875.0
2015-06-09,102.82,105.45,101.87,102.43,328140.0
2015-06-10,103.11,107.25,103.11,106.29,60150.0
2015-06-11,107.31,111.2,106.28,107.67,84335.0
2015-06-12,106.85,108.58,103.99,104.47,99265.0
2015-06-15,104.17,106.28,102.4,103.06,42230.0
2015-06-16,103.28,105.4,102.59,104.69,25135.0
2015-06-17,103.66,106.81,103.66,105.8,41170.0
2015-06-18,107.52,108.4,102.44,107.58,98295.0
2015-06-19,107.78,109.11,105.27,105.93,44135.0
2015-06-22,108.5,110.24,105.4,109.4,112230.0
2015-06-23,110.87,117.74,108.23,112.55,317605.0
2015-06-24,113.88,114.01,110.94,111.6,61515.0
2015-06-25,111.58,114.03,110.34,110.71,51000.0
2015-06-26,111.23,113.52,109.11,112.95,62435.0
2015-06-29,109.64,112.82,108.08,109.59,115980.0
2015-06-30,111.23,112.98,108.93,110.49,48500.0
2015-07-01,109.81,115.64,109.81,113.46,107315.0
2015-07-02,112.3,113.62,112.3,113.23,50575.0
2015-07-03,113.88,118.04,113.14,116.92,155255.0
2015-07-06,114.76,123.2,113.69,121.97,207565.0
2015-07-07,121.97,131.35,121.97,127.09,413925.0
2015-07-08,127.12,127.12,119.18,122.88,181475.0
2015-07-09,124.8,125.35,121.48,122.54,108415.0
2015-07-10,124.47,128.53,121.96,127.37,189425.0
2015-07-13,128.18,129.91,122.41,123.9,191055.0
