,open,high,low,close,volume
2015-05-15,669.26,671.07,657.34,667.8,1187367.0
2015-05-18,667.75,674.3,662.62,669.95,864835.0
2015-05-19,667.94,678.11,663.45,667.16,848057.0
2015-05-20,668.33,674.98,665.6,672.88,884919.0
2015-05-21,672.78,672.78,654.16,659.0,1596030.0
2015-05-22,660.61,665.01,652.7,658.56,1181691.0
2015-05-25,661.0,662.08,642.24,645.17,1333330.0
2015-05-26,646.93,650.35,637.26,644.05,989654.0
2015-05-27,642.83,654.41,638.14,646.05,1529286.0
2015-05-28,649.86,650.84,625.24,629.34,2667994.0
2015-05-29,632.13,644.98,626.61,635.65,3757040.0
2015-06-01,630.81,657.44,630.81,647.03,2655528.0
2015-06-02,650.84,652.6,624.8,626.7,1725187.0
2015-06-03,627.58,628.9,616.74,620.69,1140795.0
2015-06-04,624.16,629.24,611.07,616.1,965314.0
2015-06-05,615.56,622.4,605.89,608.48,1161230.0
2015-06-08,605.79,607.55,595.14,600.71,1535540.0
2015-06-09,594.16,596.12,574.32,578.48,1880172.0
2015-06-10,576.57,586.34,572.47,579.26,1518836.0
2015-06-11,581.46,585.37,558.25,561.28,2025695.0
2015-06-12,561.03,572.66,558.79,568.41,1768081.0
2015-06-15,568.46,579.11,558.59,572.37,1358401.0
2015-06-16,569.73,578.53,562.6,576.91,1586626.0
2015-06-17,578.53,603.64,577.65,598.95,3226832.0
2015-06-18,604.32,608.43,588.4,593.23,2134429.0
2015-06-19,593.18,600.71,585.37,592.84,2017997.0
2015-06-22,598.07,603.45,593.18,599.54,1609442.0
2015-06-23,604.42,617.13,598.56,616.0,1700335.0
2015-06-24,617.62,619.77,602.32,607.6,1350706.0
2015-06-25,603.93,605.89,586.34,596.85,1916121.0
2015-06-26,598.07,607.6,598.07,605.2,2088582.0
2015-06-29,596.12,599.93,586.44,597.04,1359591.0
2015-06-30,593.38,603.93,592.74,601.39,2352929.0
2015-07-01,604.91,622.7,602.71,620.45,1789439.0
2015-07-02,620.45,622.35,610.87,612.09,1018273.0
2015-07-03,612.0,624.41,611.75,617.18,1062854.0
2015-07-06,612.73,641.02,609.16,638.82,2193898.0
2015-07-07,639.99,643.66,629.44,631.79,1151563.0
2015-07-08,628.37,640.82,617.32,631.49,1553260.0
2015-07-09,632.27,639.99,622.84,626.56,1165623.0
2015-07-10,628.66,635.69,619.57,633.25,1329511.0
2015-07-13,638.14,649.77,637.11,646.2,1334312.0
2015-07-14,648.64,656.36,645.22,650.79,966237.0
2015-07-15,651.82,657.68,648.01,655.34,790552.0
2015-07-16,656.85,666.48,650.4,664.33,1342722.0
2015-07-17,664.57,672.05,663.11,669.6,1180811.0
2015-07-20,669.95,675.71,664.52,667.55,756355.0
2015-07-21,667.45,673.07,645.08,647.42,1019824.0
2015-07-22,648.89,664.52,648.4,659.25,1412682.0
2015-07-23,659.64,661.49,648.15,657.88,759001.0
2015-07-24,659.64,670.19,656.46,662.67,1177924.0
2015-07-27,661.35,673.07,657.68,659.98,807908.0
2015-07-28,661.54,664.52,649.96,656.61,832236.0
2015-07-29,659.54,668.19,651.82,664.08,1183157.0
2015-07-30,669.51,698.43,669.51,694.87,2842736.0
2015-07-31,703.51,707.52,689.93,692.91,2031688.0
2015-08-03,697.55,700.63,688.95,696.09,916688.0
2015-08-04,701.61,701.61,687.1,693.5,1237267.0
2015-08-05,694.77,705.47,692.86,702.24,1274983.0
2015-08-06,703.86,714.46,701.71,706.94,1374485.0
2015-08-07,708.21,712.26,697.26,698.87,980254.0
2015-08-10,701.07,707.03,694.57,698.97,914543.0
2015-08-11,704.61,714.41,699.66,704.8,1636795.0
2015-08-12,704.07,709.8,682.8,693.48,2149755.0
2015-08-13,697.55,715.39,696.28,710.98,2079678.0
2015-08-14,720.29,726.9,715.63,724.79,3238561.0
2015-08-17,730.04,730.08,686.97,689.07,7582133.0
2015-08-18,694.81,695.2,667.17,670.11,5972184.0
2015-08-19,673.25,689.32,673.15,682.16,2593642.0
2015-08-20,683.54,693.83,674.62,677.75,2267326.0
2015-08-21,666.39,686.92,657.66,683.44,2011811.0
2015-08-24,661.49,668.25,613.47,623.12,4568527.0
2015-08-25,636.01,640.91,593.57,632.48,4891926.0
2015-08-26,635.03,636.01,620.82,624.69,2031606.0
2015-08-27,638.95,654.43,627.19,647.72,3929856.0
2015-08-28,661.49,666.09,641.89,646.64,2111583.0
2015-08-31,646.59,671.29,641.98,668.49,2172057.0
2015-09-01,668.35,674.62,643.85,649.87,2567389.0
2015-09-02,651.69,656.34,631.2,635.32,2734383.0
2015-09-03,645.81,650.46,638.75,642.52,3366027.0
2015-09-04,662.71,666.19,633.56,636.55,4428049.0
2015-09-07,642.87,648.75,634.29,636.55,1844881.0
2015-09-08,638.95,641.0,611.02,636.99,2197872.0
2015-09-09,649.58,654.63,637.08,643.31,1561345.0
2015-09-10,636.01,644.34,627.87,640.61,1254979.0
2015-09-11,646.79,649.48,635.91,640.07,1179996.0
2015-09-14,641.64,649.73,637.48,647.47,796196.0
2015-09-15,652.62,653.65,640.42,645.12,921666.0
2015-09-16,646.98,652.37,643.85,648.35,1038816.0
2015-09-18,653.65,655.61,634.1,638.95,2152655.0
2015-09-21,635.03,638.95,626.79,636.25,1001552.0
2015-09-22,639.93,640.22,629.24,631.25,1673424.0
2015-09-23,626.01,631.11,620.82,629.29,1098608.0
2015-09-24,627.19,637.77,626.21,630.22,2130588.0
2015-09-28,635.03,640.76,626.26,629.05,2002727.0
2015-09-29,624.05,631.89,615.92,623.76,1385234.0
2015-09-30,625.23,627.14,618.56,623.32,3135198.0
2015-10-01,630.03,636.01,618.81,620.87,2945165.0
2015-10-05,626.84,629.15,620.96,627.29,2469393.0
2015-10-06,631.01,653.11,628.51,650.71,2513511.0
2015-10-07,655.51,669.91,647.37,667.17,2160153.0
2015-10-08,674.23,675.7,658.6,666.63,2304302.0
2015-10-09,670.7,678.05,665.65,675.74,1867010.0
2015-10-12,678.15,678.93,661.49,662.81,980356.0
2015-10-13,662.71,667.37,660.02,665.46,1215291.0
2015-10-14,659.53,666.58,646.79,665.6,1219164.0
2015-10-15,670.06,670.26,656.0,657.52,1232379.0
2015-10-16,660.9,666.88,655.61,665.85,1925227.0
2015-10-19,665.9,675.89,663.45,674.67,2154963.0
2015-10-20,675.84,675.84,645.41,660.11,5642920.0
2015-10-21,660.11,668.25,658.55,664.43,2005358.0
2015-10-23,668.44,672.27,665.7,668.54,1705211.0
2015-10-26,669.72,670.31,659.92,667.61,1217235.0
2015-10-27,662.47,674.23,658.79,670.99,1610215.0
2015-10-28,668.59,688.19,662.27,682.11,1537365.0
2015-10-29,685.01,690.79,675.7,677.7,2975896.0
2015-10-30,685.01,689.81,674.28,676.63,1885373.0
2015-11-02,675.16,675.16,660.9,666.63,766804.0
2015-11-03,672.32,672.32,657.66,661.88,1048233.0
2015-11-04,666.39,667.32,654.72,657.27,1321427.0
2015-11-05,661.49,661.88,642.08,644.88,1833741.0
2015-11-06,641.89,659.23,637.97,644.97,1715887.0
2015-11-09,631.2,636.69,625.82,634.63,1192556.0
2015-11-10,634.05,635.52,624.74,629.05,1166182.0
2015-11-11,634.05,635.52,624.74,629.05,1166182.0
2015-11-13,622.29,623.22,602.79,605.53,2193410.0
2015-11-16,605.48,618.51,600.87,613.27,1127051.0
2015-11-17,616.36,626.11,615.43,623.02,808720.0
2015-11-18,622.09,629.15,614.84,617.14,1026565.0
2015-11-19,622.29,624.64,617.24,622.92,523990.0
2015-11-20,623.17,635.91,618.47,633.9,1070873.0
2015-11-23,634.63,635.03,620.82,628.61,878175.0
2015-11-24,627.19,633.85,622.29,624.54,909556.0
2015-11-26,626.99,629.05,620.43,621.85,1319195.0
2015-11-27,624.64,632.77,622.83,630.76,1110713.0
2015-11-30,630.13,638.46,626.21,630.76,2146672.0
2015-12-01,632.58,636.99,632.09,635.57,670534.0
2015-12-02,635.61,648.16,635.52,645.22,1610659.0
2015-12-03,639.68,642.87,629.39,638.16,1484709.0
2015-12-04,636.64,641.89,630.71,632.87,1127553.0
