,open,high,low,close,volume
2015-05-15,261.62,261.87,257.15,258.77,2370660.0
2015-05-18,259.44,260.14,256.86,258.2,1902932.0
2015-05-19,258.13,258.42,255.88,256.48,3367308.0
2015-05-20,256.79,257.57,253.48,254.85,3619042.0
2015-05-21,256.37,264.41,256.37,263.56,3494856.0
2015-05-22,265.5,265.57,260.39,264.31,1724948.0
2015-05-25,263.78,265.61,258.56,260.88,1558758.0
2015-05-26,260.25,265.47,259.44,264.48,1825840.0
2015-05-27,263.71,270.83,262.37,270.16,2478570.0
2015-05-28,270.09,273.65,266.17,270.37,3353352.0
2015-05-29,269.38,277.71,268.68,275.8,6003508.0
2015-06-01,276.47,279.61,275.06,276.33,2859251.0
2015-06-02,276.47,277.49,269.77,270.48,2191899.0
2015-06-03,269.42,276.96,269.0,273.12,4210717.0
2015-06-04,272.94,275.7,270.3,274.04,2843287.0
2015-06-05,276.51,288.99,276.51,285.89,9218970.0
2015-06-08,286.59,291.95,281.69,282.78,6610246.0
2015-06-09,281.37,284.93,278.69,283.03,3662673.0
2015-06-10,283.31,286.91,283.0,285.57,4448352.0
2015-06-11,286.56,288.46,281.41,282.18,3080462.0
2015-06-12,282.18,282.82,277.6,279.36,3609449.0
2015-06-15,280.6,281.41,276.44,278.09,4389850.0
2015-06-16,278.59,281.06,277.46,280.24,5719136.0
2015-06-17,281.41,284.02,279.82,280.77,4690179.0
2015-06-18,283.74,283.74,276.89,278.27,2862686.0
2015-06-19,280.0,281.62,276.19,277.63,2788874.0
2015-06-22,278.97,284.79,278.97,281.9,3765670.0
2015-06-23,282.4,296.04,281.9,292.97,6294096.0
2015-06-24,295.44,297.28,288.28,290.79,5522329.0
2015-06-25,289.8,292.06,288.5,290.12,6149596.0
2015-06-26,290.15,293.4,287.76,290.15,2521061.0
2015-06-29,288.28,292.16,281.69,287.54,2017827.0
2015-06-30,289.03,298.05,288.78,297.1,9240034.0
2015-07-01,298.02,302.78,297.63,300.1,7247029.0
2015-07-02,300.77,301.47,295.87,299.08,4018078.0
2015-07-03,299.08,299.39,292.69,294.46,2469598.0
2015-07-06,292.69,298.05,291.78,296.04,4931673.0
2015-07-07,296.75,303.77,295.65,302.5,5529091.0
2015-07-08,301.33,301.72,292.34,294.21,5123404.0
2015-07-09,296.22,298.12,293.72,294.21,2934615.0
2015-07-10,296.92,299.75,295.3,296.18,3748152.0
2015-07-13,297.59,297.63,293.47,296.18,2023481.0
2015-07-14,297.21,307.12,296.29,306.2,6061876.0
2015-07-15,309.62,310.89,307.22,307.96,3890009.0
2015-07-16,309.2,311.17,308.21,309.13,2685433.0
2015-07-17,309.2,309.23,302.57,303.38,1939162.0
2015-07-20,304.68,304.68,298.97,300.06,3351240.0
2015-07-21,302.39,305.04,299.22,302.32,3572121.0
2015-07-22,300.63,305.85,300.63,304.93,3028536.0
2015-07-23,306.52,308.21,303.41,304.33,3970346.0
2015-07-24,303.62,306.66,299.75,300.49,4240548.0
2015-07-27,300.77,300.91,296.04,298.76,6244014.0
2015-07-28,299.71,301.47,294.46,296.82,4224368.0
2015-07-29,297.14,299.04,294.95,296.32,5348695.0
2015-07-30,297.38,299.04,294.24,296.47,7044484.0
2015-07-31,300.1,312.3,299.18,309.65,5559406.0
2015-08-03,311.03,312.05,302.28,304.47,2794167.0
2015-08-04,306.8,313.5,304.12,312.72,4990892.0
2015-08-05,313.85,315.33,307.93,309.27,3410332.0
2015-08-06,308.24,310.25,303.59,304.26,4162278.0
2015-08-07,303.84,306.16,290.68,292.48,7480783.0
2015-08-10,294.74,294.84,286.17,287.72,5571855.0
2015-08-11,288.81,289.17,275.31,276.96,8619915.0
2015-08-12,278.45,278.45,255.45,261.94,14392544.0
2015-08-13,262.3,267.23,257.43,265.93,7986914.0
2015-08-14,265.89,269.35,263.42,266.28,2980717.0
2015-08-17,267.97,269.28,264.06,267.9,2719119.0
2015-08-18,268.43,270.55,253.62,256.83,7856857.0
2015-08-19,256.44,257.71,250.02,250.83,4342672.0
2015-08-20,251.12,254.82,245.62,246.74,4973865.0
2015-08-21,245.37,249.0,243.68,245.9,3733692.0
2015-08-24,239.8,242.55,234.47,237.4,9826523.0
2015-08-25,240.57,250.38,240.18,249.39,8086602.0
2015-08-26,248.75,255.84,246.64,252.6,4958051.0
2015-08-27,255.95,258.42,250.27,255.21,11449981.0
2015-08-28,258.84,258.84,250.16,252.17,4320791.0
2015-08-31,251.05,259.51,247.77,258.38,4502846.0
2015-09-01,255.31,257.78,244.2,250.16,3454778.0
2015-09-02,251.79,253.34,241.24,242.86,4050972.0
2015-09-03,244.2,247.87,239.51,243.53,3216240.0
2015-09-04,243.32,246.36,238.39,245.09,3506413.0
2015-09-07,248.19,248.19,236.98,238.0,3456022.0
2015-09-08,238.39,240.15,236.27,237.93,5328867.0
2015-09-09,242.48,242.48,238.03,239.06,6479310.0
2015-09-10,237.54,240.15,235.64,238.63,3799294.0
2015-09-11,239.8,240.29,234.86,235.46,1813830.0
2015-09-14,236.27,240.11,233.48,239.3,2800185.0
2015-09-15,239.8,240.29,237.08,238.42,3505826.0
2015-09-16,239.73,240.22,237.12,238.0,8157111.0
2015-09-18,240.5,243.32,238.67,242.16,6337365.0
2015-09-21,241.21,242.26,238.74,241.35,3328761.0
2015-09-22,242.62,243.15,227.28,228.23,3776365.0
2015-09-23,226.4,232.74,224.0,231.19,3327509.0
2015-09-24,230.84,231.4,222.87,224.56,5936377.0
2015-09-28,226.75,226.75,216.91,217.83,7962444.0
2015-09-29,216.42,223.72,212.15,222.45,7414233.0
2015-09-30,224.28,232.11,223.01,231.05,7806132.0
2015-10-01,232.43,232.99,228.86,231.58,2815897.0
