,open,high,low,close,volume
2015-05-15,488.75,489.46,481.28,484.23,903265.0
2015-05-18,487.86,490.61,477.17,479.39,611934.0
2015-05-19,479.34,483.04,475.84,478.97,348178.0
2015-05-20,485.42,498.59,481.84,483.5,866784.0
2015-05-21,483.5,489.26,476.07,477.01,659531.0
2015-05-22,478.25,485.64,474.16,476.99,865000.0
2015-05-25,472.94,479.82,472.94,475.5,1419046.0
2015-05-26,482.1,497.45,477.72,479.64,2520893.0
2015-05-27,479.64,486.53,471.96,475.98,1383353.0
2015-05-28,475.05,478.02,451.82,462.69,1487987.0
2015-05-29,473.33,512.25,457.09,500.47,20149453.0
2015-06-01,488.0,533.82,470.55,486.46,2626940.0
2015-06-02,487.86,496.08,470.04,474.11,633912.0
2015-06-03,471.72,476.8,467.58,468.95,260809.0
2015-06-04,470.32,493.07,469.26,478.69,411878.0
2015-06-05,474.43,477.31,469.36,474.11,379118.0
2015-06-08,471.7,474.62,463.55,467.29,168878.0
2015-06-09,464.95,475.53,457.71,466.04,235196.0
2015-06-10,469.74,470.04,461.07,465.91,582384.0
2015-06-11,468.69,471.36,454.97,461.25,421768.0
2015-06-12,461.69,488.96,455.11,478.31,294812.0
2015-06-15,479.91,481.31,471.57,474.32,158765.0
2015-06-16,474.17,476.18,458.79,462.59,382828.0
2015-06-17,467.4,471.14,456.48,458.45,575565.0
2015-06-18,460.45,463.74,454.98,458.86,153990.0
2015-06-19,460.45,465.66,452.23,456.07,290531.0
2015-06-22,457.18,473.88,453.12,470.36,546612.0
2015-06-23,474.16,475.72,457.71,459.2,224831.0
2015-06-24,462.1,462.1,453.05,457.37,340259.0
2015-06-25,457.44,465.23,457.44,463.21,388284.0
2015-06-26,462.37,467.47,456.66,458.18,72390.0
2015-06-29,445.67,461.27,445.43,459.94,281431.0
2015-06-30,462.92,464.84,457.71,459.89,457818.0
2015-07-01,459.9,478.95,459.88,471.06,479931.0
2015-07-02,473.88,487.23,472.79,477.6,339290.0
2015-07-03,478.54,485.12,474.44,477.35,160962.0
2015-07-06,473.59,484.71,471.4,482.09,184946.0
2015-07-07,482.1,498.33,481.83,491.71,547087.0
2015-07-08,482.39,491.86,482.39,488.09,738303.0
2015-07-09,491.15,497.9,484.19,493.42,501062.0
2015-07-10,493.34,493.34,459.1,470.99,250400.0
2015-07-13,473.31,476.9,469.02,472.61,87128.0
2015-07-14,473.33,496.63,473.33,482.69,255696.0
2015-07-15,487.86,494.68,483.89,486.76,158453.0
2015-07-16,487.85,519.1,487.53,514.65,1595181.0
2015-07-17,519.93,519.93,502.92,505.61,153931.0
2015-07-20,508.7,518.01,507.1,509.2,94915.0
2015-07-21,514.72,514.72,487.86,488.59,201437.0
2015-07-22,488.97,497.3,471.96,477.91,325009.0
2015-07-23,459.63,468.67,449.49,453.52,1104309.0
2015-07-24,453.6,463.93,444.47,446.24,675431.0
2015-07-27,451.96,451.96,434.36,436.61,606537.0
