,open,high,low,close,volume
2015-05-15,233.26,236.56,232.2,232.2,464557.0
2015-05-18,232.2,235.87,229.17,234.13,171153.0
2015-05-19,232.2,232.2,225.87,227.48,67400.0
2015-05-20,227.61,228.53,220.73,221.97,69052.0
2015-05-21,223.25,223.25,218.44,220.13,160957.0
2015-05-22,217.98,219.35,215.73,217.33,97499.0
2015-05-25,216.6,216.69,209.35,210.18,66279.0
2015-05-26,213.62,213.62,208.66,211.09,783566.0
2015-05-27,213.57,213.57,208.34,211.14,58419.0
2015-05-28,209.35,213.02,209.35,211.37,33920.0
2015-05-29,215.18,223.48,208.62,218.07,66319.0
2015-06-01,217.98,229.91,217.98,226.7,149121.0
2015-06-02,227.61,229.31,217.52,218.67,41325.0
2015-06-03,217.06,224.45,207.01,220.68,64423.0
2015-06-04,220.73,222.98,219.31,221.42,40128.0
2015-06-05,223.67,223.67,216.92,218.53,11029.0
2015-06-08,213.85,222.84,211.14,213.39,21702.0
2015-06-09,219.26,220.18,212.98,217.11,40519.0
2015-06-10,214.86,221.65,214.77,219.72,29597.0
2015-06-11,216.74,223.76,211.37,215.5,49942.0
2015-06-12,213.85,217.52,211.55,215.04,451969.0
2015-06-15,221.74,221.74,211.42,216.78,133634.0
2015-06-16,218.71,218.94,211.28,213.53,124391.0
2015-06-17,214.99,217.52,214.77,216.65,57616.0
2015-06-18,217.52,224.82,216.6,220.46,133530.0
2015-06-19,216.83,227.8,216.83,226.97,254188.0
2015-06-22,227.61,228.07,222.47,227.25,146382.0
2015-06-23,227.61,228.35,224.17,224.91,197231.0
2015-06-24,225.6,234.08,220.27,230.09,209548.0
2015-06-25,230.32,232.71,224.86,228.81,64363.0
2015-06-26,226.01,229.22,225.04,226.28,21642.0
2015-06-29,218.48,234.91,218.48,233.67,111518.0
2015-06-30,229.45,233.12,226.74,229.36,702361.0
2015-07-01,232.02,233.12,225.32,232.66,32731.0
2015-07-02,230.37,232.52,226.97,230.6,230381.0
2015-07-03,227.06,229.22,226.79,227.84,71638.0
2015-07-06,227.61,227.61,223.21,224.77,43123.0
2015-07-07,224.86,227.43,224.68,225.09,179788.0
2015-07-08,223.03,227.16,222.57,224.54,33709.0
2015-07-09,223.03,225.73,215.32,218.71,69984.0
2015-07-10,216.74,222.47,215.04,219.4,36200.0
2015-07-13,221.19,226.01,220.27,224.4,36691.0
2015-07-14,224.4,226.6,222.11,224.45,29416.0
2015-07-15,223.94,226.47,222.93,224.4,198393.0
2015-07-16,226.26,230.15,224.59,228.85,51569.0
2015-07-17,227.32,230.43,226.35,228.53,68401.0
2015-07-20,228.11,228.62,225.75,226.91,22865.0
2015-07-21,227.18,229.13,225.33,226.02,29274.0
2015-07-22,225.33,228.95,224.73,228.48,33911.0
2015-07-23,229.97,229.97,226.3,228.85,55290.0
2015-07-24,228.62,229.22,227.6,228.06,48364.0
2015-07-27,228.11,228.11,216.38,218.24,487168.0
2015-07-28,216.98,220.65,210.35,211.93,118309.0
2015-07-29,212.44,218.75,210.72,217.03,224713.0
2015-07-30,217.91,222.55,217.49,221.39,122822.0
2015-07-31,222.64,227.18,220.69,225.65,266886.0
2015-08-03,228.11,233.44,213.55,218.98,90721.0
2015-08-04,222.27,229.04,218.42,219.3,111741.0
2015-08-05,221.57,223.89,219.02,221.06,573781.0
2015-08-06,221.76,221.76,215.13,216.33,58674.0
2015-08-07,216.38,219.63,213.51,213.88,44172.0
2015-08-10,214.2,217.73,209.57,210.91,85600.0
2015-08-11,210.49,213.09,202.29,204.19,71277.0
2015-08-12,202.15,207.99,199.69,203.35,63106.0
2015-08-13,213.23,213.23,195.66,198.11,52348.0
2015-08-14,205.58,205.58,197.56,201.59,30309.0
2015-08-17,204.0,209.47,204.0,208.55,57977.0
2015-08-18,208.73,212.25,205.02,205.86,64868.0
2015-08-19,205.86,205.9,200.29,204.74,56504.0
2015-08-20,205.39,205.39,198.44,201.92,104345.0
2015-08-21,200.29,202.15,195.66,198.9,55122.0
2015-08-24,197.51,202.05,177.99,184.81,128668.0
2015-08-25,185.46,191.07,173.12,174.47,428105.0
2015-08-26,176.18,177.67,170.02,172.52,116840.0
2015-08-27,176.18,177.11,173.12,174.1,224482.0
2015-08-28,177.11,177.48,172.15,174.61,882485.0
2015-08-31,176.0,176.0,172.71,174.61,245186.0
2015-09-01,173.12,174.79,169.69,170.94,53101.0
2015-09-02,174.93,174.93,170.53,172.89,45905.0
2015-09-03,179.71,179.71,168.77,171.13,35849.0
2015-09-04,170.67,170.81,161.44,162.74,622809.0
2015-09-07,161.81,164.92,159.72,160.7,23317.0
2015-09-08,163.2,163.2,158.84,160.61,39990.0
2015-09-09,160.93,164.59,158.66,159.91,244830.0
2015-09-10,159.49,159.49,155.78,156.71,53719.0
2015-09-11,157.64,157.68,154.86,155.74,76353.0
2015-09-14,154.86,160.23,154.35,157.82,795694.0
2015-09-15,157.64,162.18,157.08,158.47,127696.0
2015-09-16,160.23,160.56,156.99,157.82,90601.0
2015-09-18,162.27,162.27,150.59,152.26,222718.0
2015-09-21,155.74,155.74,151.33,152.4,202584.0
2015-09-22,153.79,153.79,150.22,150.78,88391.0
2015-09-23,150.22,150.45,148.36,149.57,180412.0
2015-09-24,147.48,150.22,146.83,149.38,45262.0
2015-09-28,148.41,151.15,146.51,147.85,104944.0
2015-09-29,147.3,149.76,140.67,142.66,489456.0
2015-09-30,142.2,144.19,140.81,143.54,774829.0
2015-10-01,144.66,155.83,143.26,147.72,545971.0
2015-10-05,150.13,151.61,145.21,146.05,1148955.0
2015-10-06,148.32,152.31,146.51,148.6,460061.0
2015-10-07,148.6,151.89,147.02,149.06,79234.0
2015-10-08,151.89,152.12,149.29,150.87,190303.0
