,open,high,low,close,volume
2015-05-15,1910.1,1955.58,1865.53,1885.17,26871.0
2015-05-18,1891.91,1923.33,1891.81,1903.14,11400.0
2015-05-19,1910.1,1932.38,1890.09,1916.55,14907.0
2015-05-20,1914.64,1931.93,1865.71,1881.63,15664.0
2015-05-21,1910.05,1910.05,1852.43,1873.9,12427.0
2015-05-22,1896.45,1919.19,1856.52,1904.18,27254.0
2015-05-25,1875.08,1910.1,1859.93,1881.67,18080.0
2015-05-26,1901.0,1907.23,1869.8,1892.86,16583.0
2015-05-27,1910.1,1910.1,1869.26,1901.82,15264.0
2015-05-28,1884.22,1910.1,1841.88,1855.7,11859.0
2015-05-29,1871.99,1962.81,1860.98,1911.1,204988.0
2015-06-01,1873.71,1904.37,1837.33,1862.21,36650.0
2015-06-02,1879.03,1879.03,1844.47,1858.48,9590.0
2015-06-03,1878.26,1878.26,1821.0,1843.97,13302.0
2015-06-04,1843.65,1860.07,1800.95,1827.14,10343.0
2015-06-05,1817.32,1828.78,1791.85,1803.36,10722.0
2015-06-08,1807.32,1823.73,1788.76,1817.32,12451.0
2015-06-09,1817.32,1817.32,1777.25,1787.8,11310.0
2015-06-10,1789.12,1810.04,1764.57,1770.07,68717.0
2015-06-11,1773.66,1780.94,1729.09,1735.69,14748.0
2015-06-12,1728.18,1756.2,1719.09,1750.88,7331.0
2015-06-15,1790.94,1790.94,1723.68,1737.1,45729.0
2015-06-16,1750.92,1771.84,1717.4,1733.32,10444.0
2015-06-17,1750.65,1759.2,1728.18,1737.46,36249.0
2015-06-18,1746.19,1755.47,1728.18,1745.87,18321.0
2015-06-19,1755.47,1764.52,1714.54,1725.73,14212.0
2015-06-22,1779.12,1816.41,1756.38,1776.8,81382.0
2015-06-23,1780.94,1800.77,1771.84,1795.72,15248.0
2015-06-24,1796.35,1808.22,1787.3,1804.77,7704.0
2015-06-25,1808.18,1808.18,1782.76,1791.22,3053.0
2015-06-26,1786.62,1837.33,1784.58,1826.37,14055.0
2015-06-29,1810.04,1810.04,1769.48,1777.34,9087.0
2015-06-30,1765.52,1799.08,1750.92,1760.52,9242.0
2015-07-01,1782.67,1819.14,1773.75,1809.59,11406.0
2015-07-02,1809.13,1820.96,1800.95,1809.86,6142.0
2015-07-03,1810.0,1832.83,1810.0,1820.96,234330.0
2015-07-06,1810.04,1820.05,1803.13,1811.77,7862.0
2015-07-07,1820.05,1837.33,1810.04,1819.41,18515.0
2015-07-08,1810.04,1819.14,1797.31,1809.59,27679.0
2015-07-09,1818.82,1818.82,1785.39,1791.72,156418.0
2015-07-10,1802.49,1804.63,1769.11,1783.62,14432.0
2015-07-13,1783.89,1791.85,1774.57,1777.98,4653.0
2015-07-14,1787.3,1805.5,1781.57,1793.99,6480.0
2015-07-15,1805.45,1839.15,1795.49,1823.73,16394.0
2015-07-16,1818.23,1838.24,1746.37,1794.58,16988.0
2015-07-17,1790.03,1818.23,1789.99,1794.63,18772.0
2015-07-20,1819.14,1837.33,1802.04,1820.46,31060.0
2015-07-21,1811.86,1828.24,1774.3,1813.55,15479.0
2015-07-22,1814.59,1823.69,1795.49,1821.46,5244.0
2015-07-23,1824.6,1830.03,1781.77,1790.79,7433.0
2015-07-24,1789.97,1799.81,1777.3,1780.63,11099.0
2015-07-27,1780.86,1813.67,1737.11,1792.57,23066.0
2015-07-28,1792.61,1794.16,1749.96,1776.8,10342.0
2015-07-29,1776.85,1810.93,1768.1,1802.18,11701.0
2015-07-30,1810.89,1821.87,1800.0,1808.61,7908.0
2015-07-31,1817.31,1876.1,1817.27,1860.42,31889.0
2015-08-03,1787.33,1869.31,1787.33,1822.73,36200.0
2015-08-04,1831.62,1831.89,1783.27,1810.02,19304.0
2015-08-05,1822.78,1866.53,1813.71,1826.56,22624.0
2015-08-06,1825.51,1845.57,1815.54,1832.53,43614.0
2015-08-07,1845.52,1845.52,1740.76,1753.92,36534.0
2015-08-10,1777.21,1781.77,1714.33,1747.5,25240.0
2015-08-11,1775.34,1776.34,1749.87,1752.79,7349.0
2015-08-12,1758.98,1758.98,1732.55,1738.89,7760.0
2015-08-13,1771.56,1771.56,1718.97,1739.02,46514.0
2015-08-14,1758.07,1800.0,1736.2,1765.45,31783.0
2015-08-17,1795.39,1795.39,1727.13,1756.34,13076.0
2015-08-18,1756.25,1771.74,1742.35,1766.23,60717.0
2015-08-19,1765.36,1780.86,1741.67,1753.79,6378.0
2015-08-20,1753.56,1811.8,1749.87,1803.78,14434.0
2015-08-21,1804.51,1813.67,1777.21,1809.02,9387.0
2015-08-24,1733.01,1786.33,1605.0,1649.43,31173.0
2015-08-25,1657.82,1768.1,1640.5,1730.91,30708.0
2015-08-26,1704.3,1758.8,1634.81,1670.03,18101.0
2015-08-27,1686.07,1754.43,1686.07,1718.06,12138.0
2015-08-28,1704.3,1740.76,1696.1,1714.01,10057.0
2015-08-31,1740.66,1814.08,1701.38,1764.22,15328.0
2015-09-01,1799.49,1799.49,1667.84,1694.78,30056.0
2015-09-02,1722.48,1727.22,1682.43,1701.93,24873.0
2015-09-03,1749.87,1749.87,1677.23,1707.49,15615.0
2015-09-04,1731.37,1731.41,1656.91,1670.08,25224.0
2015-09-07,1695.09,1699.79,1613.16,1629.52,21486.0
2015-09-08,1665.93,1666.8,1631.39,1636.95,10289.0
2015-09-09,1664.2,1690.58,1622.0,1656.54,16128.0
2015-09-10,1656.0,1671.9,1619.54,1626.92,22593.0
2015-09-11,1671.49,1684.25,1636.86,1670.81,11159.0
2015-09-14,1667.84,1735.24,1656.95,1725.63,22806.0
2015-09-15,1725.26,1765.64,1662.38,1672.4,18097.0
2015-09-16,1699.52,1699.52,1630.48,1636.08,17766.0
2015-09-18,1639.59,1852.86,1639.59,1752.65,527631.0
2015-09-21,1703.39,1703.39,1672.36,1679.37,44631.0
2015-09-22,1699.74,1699.74,1658.64,1666.48,18597.0
2015-09-23,1666.93,1676.05,1639.59,1646.93,16935.0
2015-09-24,1665.79,1666.84,1631.84,1651.12,19788.0
2015-09-28,1667.57,1667.57,1631.34,1638.22,16760.0
2015-09-29,1635.03,1663.29,1618.67,1656.45,37365.0
2015-09-30,1665.98,1695.19,1654.17,1670.81,20152.0
2015-10-01,1699.74,1704.53,1668.76,1697.83,8150.0
2015-10-05,1708.86,1745.31,1697.87,1734.65,15113.0
2015-10-06,1748.96,1758.98,1694.27,1730.96,58915.0
2015-10-07,1753.51,1804.55,1710.32,1800.31,29281.0
2015-10-08,1813.67,1813.67,1761.22,1800.63,5560.0
2015-10-09,1804.51,1809.93,1764.73,1796.44,6269.0
2015-10-12,1796.44,1817.31,1777.17,1803.23,5875.0
2015-10-13,1800.91,1822.42,1800.91,1809.43,7521.0
2015-10-14,1809.38,1822.78,1795.44,1810.89,7090.0
2015-10-15,1822.73,1822.73,1794.53,1810.61,5469.0
2015-10-16,1821.82,1836.45,1784.5,1808.2,14675.0
2015-10-19,1832.81,1840.92,1813.67,1825.51,16671.0
2015-10-20,1830.94,1845.57,1804.87,1824.56,12338.0
2015-10-21,1827.34,1863.89,1809.57,1852.56,18622.0
2015-10-23,1854.71,1863.8,1822.78,1827.8,28956.0
2015-10-26,1827.3,1835.57,1818.21,1828.17,3048.0
2015-10-27,1795.46,1836.48,1795.46,1834.43,7588.0
2015-10-28,1826.29,1826.61,1784.4,1788.15,8257.0
2015-10-29,1804.46,1813.64,1759.73,1801.17,22312.0
2015-10-30,1817.25,1826.43,1774.44,1792.17,6646.0
2015-11-02,1791.71,1809.03,1754.25,1765.99,8258.0
2015-11-03,1775.26,1775.26,1740.55,1755.3,8357.0
2015-11-04,1755.21,1766.13,1746.94,1760.05,120269.0
2015-11-05,1750.6,1755.35,1735.98,1742.1,4950.0
