,open,high,low,close,volume
2015-05-15,80.26,80.26,78.91,79.35,236490.0
2015-05-18,79.07,79.67,78.28,78.87,225604.0
2015-05-19,79.27,79.51,78.32,78.55,245481.0
2015-05-20,78.83,79.43,78.51,79.31,293910.0
2015-05-21,78.91,79.71,78.51,78.95,188594.0
2015-05-22,79.35,80.54,78.95,79.15,464283.0
2015-05-25,81.06,82.65,81.02,81.69,1668045.0
2015-05-26,81.85,81.85,78.95,79.27,537408.0
2015-05-27,79.07,80.58,78.59,80.02,348310.0
2015-05-28,80.42,80.98,78.99,80.34,919255.0
2015-05-29,80.34,82.25,79.67,81.65,400032.0
2015-06-01,81.26,82.53,80.66,81.89,489540.0
2015-06-02,81.85,82.05,80.3,81.45,484448.0
2015-06-03,80.66,81.77,78.43,80.78,326984.0
2015-06-04,80.42,81.81,80.42,81.41,315454.0
2015-06-05,81.06,81.81,80.58,81.53,490958.0
2015-06-08,81.93,81.93,79.47,79.86,250186.0
2015-06-09,79.86,80.94,79.31,80.62,492024.0
2015-06-10,80.46,82.57,80.22,82.21,1027201.0
2015-06-11,82.57,83.88,79.47,79.94,777312.0
2015-06-12,79.63,80.98,78.24,78.99,5022290.0
2015-06-15,79.79,81.02,76.81,78.04,775504.0
2015-06-16,78.28,80.26,77.96,80.02,488771.0
2015-06-17,79.71,81.45,78.95,80.58,620011.0
2015-06-18,81.02,81.85,80.66,81.69,503186.0
2015-06-19,81.85,81.85,80.42,80.78,147505.0
2015-06-22,80.38,81.85,80.38,80.9,343208.0
2015-06-23,81.85,82.21,80.34,81.02,720217.0
2015-06-24,80.7,81.14,79.07,79.43,482624.0
2015-06-25,79.07,80.86,79.07,80.66,385377.0
2015-06-26,80.26,80.74,79.63,80.46,230996.0
2015-06-29,79.39,80.66,79.19,80.42,364334.0
2015-06-30,80.54,80.98,79.63,80.22,1410860.0
2015-07-01,80.34,81.22,80.22,80.62,445650.0
2015-07-02,81.26,81.73,80.74,81.22,790816.0
2015-07-03,81.61,82.88,81.06,81.37,922857.0
2015-07-06,79.67,80.66,79.51,80.3,690456.0
2015-07-07,80.82,81.1,79.55,79.79,537992.0
2015-07-08,80.98,80.98,79.75,80.5,900607.0
2015-07-09,81.06,81.06,79.94,80.22,891413.0
2015-07-10,80.62,80.82,79.43,80.1,408929.0
2015-07-13,80.5,81.45,80.06,81.1,689677.0
2015-07-14,81.81,81.81,79.86,81.18,1004163.0
2015-07-15,81.45,81.45,80.06,80.78,1240594.0
2015-07-16,80.78,81.06,80.46,80.9,317860.0
2015-07-17,80.7,81.06,80.1,80.46,373967.0
2015-07-20,80.26,80.82,79.51,80.1,494255.0
2015-07-21,80.22,80.82,79.39,79.67,511019.0
2015-07-22,79.86,80.22,79.47,79.79,269140.0
2015-07-23,79.82,79.86,79.35,79.63,711891.0
2015-07-24,79.75,79.82,77.64,77.96,379949.0
2015-07-27,78.35,80.74,77.76,79.47,375879.0
2015-07-28,78.79,81.14,78.67,80.46,753521.0
2015-07-29,80.78,80.78,79.35,80.14,355807.0
2015-07-30,80.18,80.66,79.15,80.5,341981.0
2015-07-31,80.1,80.82,79.71,80.34,301137.0
2015-08-03,80.02,80.3,79.39,79.71,317132.0
2015-08-04,79.67,80.9,79.15,79.9,399727.0
2015-08-05,80.26,80.38,79.27,79.94,447184.0
2015-08-06,80.3,80.3,79.51,80.06,392240.0
2015-08-07,79.86,80.02,79.31,79.43,252171.0
2015-08-10,79.79,80.26,79.47,79.9,411171.0
2015-08-11,80.22,80.38,79.07,79.31,182347.0
2015-08-12,79.39,80.34,77.96,79.47,1589326.0
2015-08-13,80.34,80.34,78.2,78.47,227804.0
2015-08-14,79.34,81.12,79.02,80.84,318269.0
2015-08-17,80.84,80.96,79.43,80.07,206480.0
2015-08-18,80.43,80.63,78.78,78.94,268646.0
2015-08-19,79.3,80.15,78.66,79.75,608859.0
2015-08-20,79.34,80.55,79.06,80.35,1260567.0
2015-08-21,79.55,79.59,77.41,78.42,309417.0
2015-08-24,77.33,77.33,72.5,73.02,521667.0
2015-08-25,73.38,76.04,72.58,75.04,774840.0
2015-08-26,75.32,77.81,74.55,77.17,1003721.0
2015-08-27,78.46,78.46,76.53,78.1,388661.0
2015-08-28,78.54,78.86,76.53,77.81,259404.0
2015-08-31,77.33,77.94,76.81,77.21,355183.0
2015-09-01,75.84,76.61,75.32,75.76,259099.0
2015-09-02,75.72,76.4,74.27,74.79,569017.0
2015-09-03,75.2,75.72,74.27,75.36,492281.0
2015-09-04,75.76,75.76,73.63,74.39,360296.0
2015-09-07,74.11,75.68,74.11,74.79,448631.0
2015-09-08,75.2,76.53,74.11,76.28,642909.0
2015-09-09,76.53,77.65,76.2,77.01,551841.0
2015-09-10,76.61,76.61,75.12,75.52,319800.0
2015-09-11,75.92,75.92,75.12,75.44,591961.0
2015-09-14,75.72,75.8,75.04,75.2,360137.0
2015-09-15,75.6,75.6,74.51,74.79,1564031.0
2015-09-16,75.12,75.12,74.11,74.39,595793.0
2015-09-18,74.79,74.91,68.75,70.93,2148818.0
2015-09-21,71.01,74.15,71.01,74.03,2384543.0
2015-09-22,74.11,74.27,73.14,73.5,1714856.0
2015-09-23,73.3,74.27,73.06,74.07,497236.0
2015-09-24,74.19,74.51,73.71,74.03,367683.0
2015-09-28,74.03,74.31,73.79,74.07,1039100.0
2015-09-29,73.67,74.31,72.5,73.46,4284789.0
2015-09-30,73.87,74.11,73.67,74.07,331268.0
2015-10-01,74.11,74.47,73.54,73.95,699456.0
2015-10-05,74.31,74.35,73.71,74.03,1170765.0
2015-10-06,74.11,74.27,73.79,74.03,442114.0
2015-10-07,74.03,74.11,72.5,72.7,367813.0
2015-10-08,73.1,73.1,72.14,72.42,733805.0
2015-10-09,72.42,73.91,71.85,73.34,468387.0
2015-10-12,73.3,74.11,72.9,73.5,229524.0
2015-10-13,73.91,73.91,72.62,72.86,263276.0
2015-10-14,72.5,73.26,71.85,72.09,240203.0
2015-10-15,72.5,72.5,71.29,71.41,225979.0
2015-10-16,71.61,72.62,71.21,72.42,288686.0
2015-10-19,72.42,72.5,72.01,72.3,666797.0
2015-10-20,72.5,72.5,70.97,71.61,379037.0
2015-10-21,71.21,71.61,68.87,69.28,542968.0
2015-10-23,69.68,71.69,69.4,71.61,598259.0
2015-10-26,72.01,72.42,70.89,71.09,209758.0
2015-10-27,71.09,71.21,69.88,70.85,662793.0
2015-10-28,70.89,71.01,69.92,70.69,510577.0
2015-10-29,71.09,71.09,69.36,69.96,1616054.0
2015-10-30,69.96,73.14,69.96,72.42,984137.0
2015-11-02,72.09,72.74,71.21,72.38,392227.0
2015-11-03,72.54,72.54,70.48,71.33,651470.0
2015-11-04,71.01,71.69,69.88,70.04,669226.0
2015-11-05,69.64,70.44,69.36,69.84,569843.0
2015-11-06,70.2,70.2,68.15,68.67,1525605.0
2015-11-09,68.27,70.48,68.19,69.36,390035.0
2015-11-10,69.68,70.0,69.03,69.68,320255.0
