,open,high,low,close,volume
2015-05-15,774.16,774.16,757.83,764.36,52990.0
2015-05-18,768.57,779.39,764.09,772.95,56289.0
2015-05-19,771.21,774.74,769.51,772.37,66266.0
2015-05-20,771.39,773.85,764.99,770.49,601584.0
2015-05-21,773.94,773.94,761.41,769.64,507318.0
2015-05-22,773.94,773.94,761.95,765.48,48798.0
2015-05-25,764.99,766.6,755.15,756.89,42354.0
2015-05-26,757.2,760.56,748.3,751.25,653453.0
2015-05-27,756.0,764.09,749.02,759.49,384422.0
2015-05-28,760.25,764.9,747.09,760.74,191165.0
2015-05-29,763.2,836.57,763.2,821.67,571193.0
2015-06-01,813.12,834.06,798.99,821.0,206170.0
2015-06-02,820.46,820.46,790.35,803.91,260628.0
2015-06-03,803.91,805.25,781.09,801.27,112443.0
2015-06-04,809.72,823.14,798.14,806.23,153406.0
2015-06-05,807.93,813.53,791.83,798.45,102595.0
2015-06-08,802.39,822.43,793.66,817.42,130233.0
2015-06-09,816.88,816.88,800.78,806.82,121791.0
2015-06-10,810.62,816.57,798.99,804.67,118520.0
2015-06-11,807.13,815.09,789.37,792.81,60298.0
2015-06-12,730.9,812.77,730.9,800.78,262492.0
2015-06-15,800.78,801.58,784.67,789.82,38277.0
2015-06-16,784.72,794.51,774.83,784.14,45489.0
2015-06-17,791.83,807.04,779.3,798.36,117970.0
2015-06-18,800.78,814.2,794.56,809.59,103955.0
2015-06-19,813.97,819.03,797.33,801.63,106315.0
2015-06-22,807.04,807.04,795.72,801.72,243685.0
2015-06-23,807.93,812.41,796.35,801.63,248899.0
2015-06-24,805.21,809.72,797.29,804.85,541894.0
2015-06-25,807.04,807.04,797.2,805.47,294884.0
2015-06-26,805.25,814.2,799.97,809.99,249336.0
2015-06-29,808.74,808.83,792.72,805.3,103948.0
2015-06-30,809.72,811.51,792.72,802.16,367715.0
2015-07-01,800.78,845.51,797.2,831.56,402351.0
2015-07-02,832.09,843.54,819.79,823.86,191933.0
2015-07-03,827.62,840.14,824.71,827.71,73181.0
2015-07-06,822.25,832.32,800.78,830.48,63290.0
2015-07-07,836.48,871.82,834.96,865.64,313249.0
2015-07-08,862.51,880.77,854.37,869.72,180955.0
2015-07-09,870.61,884.61,841.93,847.53,89553.0
2015-07-10,849.99,866.09,846.41,849.76,70302.0
2015-07-13,852.27,870.16,848.2,863.27,130925.0
2015-07-14,856.43,866.99,854.5,861.35,82622.0
2015-07-15,863.36,880.45,857.23,877.9,139316.0
2015-07-16,879.51,893.2,874.32,879.6,144106.0
2015-07-17,879.33,879.51,859.92,866.76,137139.0
2015-07-20,866.99,887.56,866.99,881.88,128979.0
2015-07-21,887.57,887.57,865.38,882.06,255322.0
2015-07-22,881.3,899.2,877.28,884.84,124151.0
2015-07-23,894.72,896.51,880.5,883.49,68414.0
2015-07-24,885.78,906.76,876.83,889.04,136382.0
2015-07-27,876.83,892.04,868.78,872.44,62465.0
2015-07-28,879.51,879.51,850.75,854.33,181808.0
2015-07-29,854.73,906.8,854.73,899.91,214995.0
2015-07-30,906.41,914.54,892.46,901.67,262564.0
2015-07-31,902.8,909.12,889.26,901.13,263768.0
2015-08-03,901.9,920.9,892.33,916.66,267810.0
2015-08-04,920.86,925.37,913.14,920.59,194625.0
2015-08-05,925.37,944.6,920.86,925.1,117479.0
