,open,high,low,close,volume
2015-05-15,445.57,451.73,445.57,446.97,4685.0
2015-05-18,448.81,458.64,447.19,455.88,101353.0
2015-05-19,454.35,460.47,450.86,454.05,11174.0
2015-05-20,458.16,469.08,453.7,467.94,20309.0
2015-05-21,475.32,489.04,466.59,480.65,51242.0
2015-05-22,480.57,481.44,469.65,479.96,21714.0
2015-05-25,479.96,481.44,465.32,480.09,82243.0
2015-05-26,477.12,481.44,474.1,480.7,91808.0
2015-05-27,477.12,497.91,473.93,485.98,38703.0
2015-05-28,492.36,492.54,476.2,480.22,120169.0
2015-05-29,477.9,492.8,474.1,487.95,35737.0
2015-06-01,480.57,495.12,470.48,483.01,50547.0
2015-06-02,480.57,480.57,463.09,466.54,51058.0
2015-06-03,466.63,471.79,437.84,468.68,34186.0
2015-06-04,471.79,476.11,459.6,464.32,11188.0
2015-06-05,468.38,474.67,463.09,464.4,21766.0
2015-06-08,464.53,464.8,456.1,460.08,12264.0
2015-06-09,454.62,462.87,453.92,459.77,22370.0
2015-06-10,450.03,470.96,450.03,461.08,21581.0
2015-06-11,462.66,468.86,458.85,462.22,8335.0
2015-06-12,460.03,473.1,458.85,469.21,6827.0
2015-06-15,469.21,480.48,467.46,469.08,15044.0
2015-06-16,470.3,472.62,463.18,468.51,10318.0
2015-06-17,468.99,484.85,467.46,480.35,24271.0
2015-06-18,477.9,520.76,477.9,503.37,170681.0
2015-06-19,508.09,524.26,502.41,504.38,207291.0
2015-06-22,508.88,519.93,500.58,516.09,80199.0
2015-06-23,518.1,534.3,512.02,528.49,85070.0
2015-06-24,532.95,537.36,518.23,524.17,581590.0
2015-06-25,526.88,529.5,501.58,506.74,61426.0
2015-06-26,511.02,523.38,511.02,520.1,66413.0
2015-06-29,505.91,518.1,502.41,506.65,20970.0
2015-06-30,505.56,511.15,492.58,505.12,50836.0
2015-07-01,498.09,502.8,484.94,487.51,38926.0
2015-07-02,493.67,493.72,483.14,486.2,13533.0
2015-07-03,483.14,494.37,482.01,484.02,14476.0
2015-07-06,489.22,492.01,474.98,488.56,371166.0
2015-07-07,492.76,494.59,480.74,483.06,24446.0
2015-07-08,482.05,488.87,471.83,479.04,17859.0
2015-07-09,483.93,493.81,478.77,489.13,15778.0
2015-07-10,492.66,499.06,490.37,494.78,19160.0
2015-07-13,497.34,501.39,494.6,497.47,27359.0
2015-07-14,498.22,499.1,492.04,495.84,13871.0
2015-07-15,499.8,501.74,488.78,492.4,59514.0
2015-07-16,489.4,500.86,465.59,469.07,552499.0
2015-07-17,471.76,480.58,467.35,470.13,84772.0
2015-07-20,473.53,473.53,467.35,471.63,28154.0
2015-07-21,471.63,484.55,467.8,476.53,50981.0
2015-07-22,476.61,484.99,467.35,468.85,81351.0
2015-07-23,470.26,475.03,458.32,461.4,45946.0
2015-07-24,461.4,472.95,461.09,465.02,259325.0
2015-07-27,467.35,467.35,460.56,462.81,10731.0
2015-07-28,462.11,465.06,437.55,454.22,166732.0
2015-07-29,449.76,479.7,449.76,477.58,44212.0
2015-07-30,476.17,479.44,470.0,471.94,15708.0
2015-07-31,478.77,483.09,470.88,480.67,26554.0
2015-08-03,482.35,486.75,472.2,481.02,17042.0
2015-08-04,486.71,487.59,473.53,477.76,7967.0
2015-08-05,484.11,484.11,476.17,480.63,113905.0
2015-08-06,484.06,484.99,476.17,478.29,140239.0
2015-08-07,478.95,480.93,473.53,477.32,6219.0
2015-08-10,479.66,484.9,476.17,482.39,10376.0
2015-08-11,488.52,499.1,480.58,484.86,37288.0
2015-08-12,489.4,489.4,463.83,466.43,20272.0
2015-08-13,471.72,480.85,471.72,475.33,87731.0
2015-08-14,473.04,481.29,466.47,469.29,9644.0
2015-08-17,469.12,476.17,469.12,473.13,31716.0
2015-08-18,477.01,479.35,471.94,474.98,10235.0
2015-08-19,475.29,499.01,473.04,494.87,53095.0
2015-08-20,494.65,507.92,493.1,500.73,66503.0
2015-08-21,499.98,500.07,483.58,496.59,24378.0
2015-08-24,467.88,495.57,467.88,493.32,47249.0
2015-08-25,491.38,498.22,469.12,490.37,45683.0
2015-08-26,498.17,511.31,491.03,498.39,25221.0
2015-08-27,500.47,507.83,486.53,494.43,53227.0
2015-08-28,504.39,504.39,481.73,487.72,13663.0
2015-08-31,493.81,533.27,480.58,513.16,62659.0
2015-09-01,511.97,529.96,507.21,512.94,36507.0
2015-09-02,511.44,542.26,511.44,524.54,168963.0
2015-09-03,514.27,529.92,514.27,528.15,69591.0
2015-09-04,535.25,535.25,517.44,518.98,70174.0
2015-09-07,518.98,526.39,518.98,523.83,132867.0
2015-09-08,528.9,528.9,510.92,522.91,82879.0
2015-09-09,531.73,531.73,519.65,521.19,79662.0
2015-09-10,528.64,528.64,517.62,524.32,116668.0
2015-09-11,528.82,528.82,512.68,518.63,27507.0
2015-09-14,520.26,528.64,516.65,523.75,53222.0
2015-09-15,522.25,525.51,511.89,514.4,7828.0
2015-09-16,511.58,517.62,511.58,515.1,9550.0
2015-09-18,515.02,528.2,489.93,519.34,1175951.0
2015-09-21,507.52,514.22,501.13,504.35,110372.0
2015-09-22,504.43,510.92,485.87,492.13,42745.0
2015-09-23,485.12,505.27,473.22,498.53,23127.0
2015-09-24,493.46,519.29,493.46,512.19,32534.0
2015-09-28,518.19,519.12,497.69,503.33,47487.0
2015-09-29,499.1,513.16,493.85,499.01,22902.0
2015-09-30,507.04,507.04,489.66,492.62,31186.0
2015-10-01,504.39,504.39,481.33,483.45,25840.0
2015-10-05,486.75,495.57,482.52,483.84,25252.0
2015-10-06,490.63,495.75,483.58,488.74,33298.0
2015-10-07,499.98,499.98,488.52,493.5,16185.0
2015-10-08,493.81,505.54,491.69,502.49,59006.0
2015-10-09,506.15,527.32,501.7,522.51,46456.0
2015-10-12,528.99,533.49,513.43,521.72,29812.0
2015-10-13,513.78,524.67,513.43,519.29,14979.0
2015-10-14,519.69,524.05,513.25,515.81,39614.0
2015-10-15,523.79,566.78,507.04,551.7,550791.0
2015-10-16,544.95,544.95,464.53,487.42,1076892.0
2015-10-19,490.24,497.95,476.22,483.67,111076.0
2015-10-20,486.71,491.16,483.27,484.99,74841.0
2015-10-21,487.64,488.52,478.6,481.07,47086.0
2015-10-23,482.35,485.7,475.29,478.82,405980.0
2015-10-26,477.58,482.21,470.35,473.62,29105.0
2015-10-27,474.41,492.55,469.58,481.55,240588.0
2015-10-28,480.62,484.17,474.59,475.83,21556.0
2015-10-29,475.34,480.13,467.01,469.09,22295.0
2015-10-30,472.68,483.41,465.68,476.14,63565.0
2015-11-02,478.8,478.8,466.48,468.29,22267.0
2015-11-03,473.48,475.12,461.2,465.06,29747.0
2015-11-04,465.55,465.55,457.96,459.69,23329.0
2015-11-05,460.23,469.98,450.65,458.67,77561.0
2015-11-06,459.38,467.32,452.24,465.46,54234.0
2015-11-09,452.24,466.43,452.24,458.32,164865.0
2015-11-10,452.78,463.42,447.81,451.05,18502.0
2015-11-11,452.78,463.42,447.81,451.05,18502.0
2015-11-13,456.5,456.5,444.26,448.03,129587.0
2015-11-16,452.2,455.35,441.91,450.56,23424.0
2015-11-17,448.39,456.5,444.71,446.7,11463.0
2015-11-18,448.03,451.09,430.08,434.33,20014.0
2015-11-19,440.85,446.3,435.4,437.57,35964.0
2015-11-20,438.94,443.38,434.51,437.66,19505.0
2015-11-23,437.17,442.14,430.08,435.8,14759.0
2015-11-24,436.28,453.49,434.51,442.27,52773.0
2015-11-26,446.04,446.92,435.4,436.77,26375.0
2015-11-27,438.23,440.72,435.31,435.8,31896.0
2015-11-30,436.28,437.57,425.64,429.19,47924.0
2015-12-01,428.3,440.72,428.3,436.77,16835.0
2015-12-02,438.94,445.06,435.4,442.27,42764.0
2015-12-03,443.38,443.38,430.96,432.96,17526.0
2015-12-04,431.85,434.47,424.76,427.33,15970.0
2015-12-07,433.62,437.83,415.0,417.26,33091.0
2015-12-08,425.29,425.29,409.68,414.38,39922.0
2015-12-09,415.89,432.56,413.89,425.15,77427.0
2015-12-10,426.53,441.6,421.7,437.97,114453.0
2015-12-11,438.99,444.26,427.42,429.94,24557.0
2015-12-14,425.69,438.94,422.09,434.02,22475.0
2015-12-15,438.54,438.54,418.99,430.83,34809.0
2015-12-16,438.1,438.1,422.49,423.47,26769.0
2015-12-17,426.22,431.85,421.21,423.34,48415.0
2015-12-18,423.07,426.22,416.86,420.94,36417.0
2015-12-21,422.98,425.64,417.84,421.87,28543.0
2015-12-22,429.1,429.1,413.23,415.89,46163.0
2015-12-23,422.01,424.22,415.44,416.42,24159.0
2015-12-24,419.43,419.43,413.23,416.15,19920.0
2015-12-28,421.16,422.09,412.34,414.82,15757.0
2015-12-29,412.43,418.64,409.72,414.42,45815.0
2015-12-30,412.78,420.68,409.77,418.77,26438.0
2015-12-31,420.32,426.53,415.98,425.42,50153.0
2016-01-01,425.6,438.94,423.2,437.66,85632.0
2016-01-04,437.66,441.29,435.4,438.28,21855.0
2016-01-05,441.6,444.26,429.28,432.56,23648.0
2016-01-06,434.47,443.38,434.47,440.18,36199.0
2016-01-07,434.51,442.49,424.58,426.84,14726.0
2016-01-08,428.39,485.94,428.39,457.52,199542.0
2016-01-11,457.56,468.83,444.57,452.38,70780.0
2016-01-12,458.45,460.93,436.28,440.98,29553.0
2016-01-13,449.23,451.36,416.77,431.01,41731.0
2016-01-14,426.53,469.98,404.94,415.31,404337.0
2016-01-15,414.11,415.62,381.22,391.15,83541.0
2016-01-18,386.62,407.91,374.21,384.72,60891.0
2016-01-19,384.85,393.19,379.53,381.97,28303.0
2016-01-20,380.86,389.68,360.02,369.78,78435.0
2016-01-21,372.44,390.17,364.06,384.01,73936.0
2016-01-22,389.28,389.46,374.21,377.23,41305.0
2016-01-25,386.67,395.94,377.05,378.87,21677.0
2016-01-27,382.19,383.96,375.1,381.35,26026.0
2016-01-28,383.52,390.17,378.2,382.86,16392.0
2016-01-29,386.62,391.95,382.19,388.58,30350.0
2016-02-01,390.17,393.72,382.28,390.53,18005.0
2016-02-02,390.17,390.17,381.79,383.43,59499.0
2016-02-03,377.76,383.43,360.38,365.52,273575.0
2016-02-04,369.2,372.7,346.72,350.18,44027.0
2016-02-05,356.48,362.55,341.4,355.77,106398.0
2016-02-08,361.75,361.75,345.97,349.74,17855.0
2016-02-09,358.2,358.2,347.65,350.98,23032.0
2016-02-10,352.04,353.81,345.83,348.45,13627.0
2016-02-11,348.49,350.22,340.96,344.15,19986.0
2016-02-12,342.55,343.66,327.43,333.15,100902.0
2016-02-15,342.29,361.31,332.53,354.52,18967.0
2016-02-16,363.57,381.3,353.81,356.52,41023.0
2016-02-17,361.8,381.3,346.85,375.85,26566.0
2016-02-18,376.69,384.85,371.64,372.97,15602.0
2016-02-19,368.0,377.76,367.78,374.08,4586.0
2016-02-22,373.72,375.98,359.14,362.51,9406.0
2016-02-23,363.61,372.61,363.57,367.12,8892.0
2016-02-24,371.55,375.81,360.47,369.2,11134.0
2016-02-25,363.61,372.44,360.02,365.17,9674.0
2016-02-26,363.92,368.0,357.81,364.59,8805.0
2016-02-29,367.78,375.54,357.36,374.34,12666.0
2016-03-01,374.34,381.3,365.96,380.24,240425.0
2016-03-02,383.08,383.92,368.09,372.17,18756.0
2016-03-03,371.95,380.42,368.0,379.04,8412.0
2016-03-04,376.87,376.87,361.0,370.53,79379.0
2016-03-08,369.78,369.78,360.69,365.74,24619.0
2016-03-09,365.34,365.34,358.65,362.37,12120.0
2016-03-10,372.26,372.26,363.79,370.57,11477.0
2016-03-11,370.57,370.57,356.48,358.78,49757.0
2016-03-14,360.38,370.66,360.38,368.36,16425.0
2016-03-15,369.16,369.16,357.36,360.6,14706.0
2016-03-16,359.31,372.26,351.15,367.91,115693.0
2016-03-17,368.76,375.76,365.83,373.37,69575.0
2016-03-18,366.23,379.53,366.23,377.4,442279.0
2016-03-21,377.71,390.08,369.87,386.98,34938.0
2016-03-22,387.51,390.08,383.12,384.45,14012.0
2016-03-23,390.17,390.17,375.72,380.51,11408.0
2016-03-28,390.26,390.26,371.47,373.26,13783.0
2016-03-29,381.36,391.16,376.84,387.26,84471.0
2016-03-30,391.11,391.61,378.94,390.84,12213.0
2016-03-31,380.42,390.84,379.61,381.94,42622.0
2016-04-01,384.85,416.22,384.8,407.45,220231.0
2016-04-04,407.49,418.91,396.62,414.92,31706.0
2016-04-05,413.49,414.39,406.46,407.31,25786.0
2016-04-06,407.22,417.25,407.22,414.56,26257.0
2016-04-07,419.71,419.71,400.29,405.84,13629.0
2016-04-08,405.08,412.46,398.32,409.06,7754.0
2016-04-11,411.74,414.88,402.79,407.67,13487.0
2016-04-12,405.52,416.22,405.52,413.98,14680.0
2016-04-13,413.71,418.01,405.26,407.72,10316.0
2016-04-18,438.42,443.97,420.7,432.87,158760.0
2016-04-20,445.67,463.21,443.07,450.73,207796.0
2016-04-21,455.6,456.5,424.32,432.51,478865.0
2016-04-22,418.95,419.8,402.97,406.82,288800.0
2016-04-25,411.74,414.88,408.25,411.57,51798.0
2016-04-26,411.74,415.06,407.27,408.93,91865.0
2016-04-27,410.85,414.92,409.1,411.34,28216.0
2016-04-28,414.43,414.43,408.84,413.49,32373.0
2016-04-29,410.04,413.98,405.48,411.3,98543.0
2016-05-02,412.64,414.07,407.27,409.73,12917.0
2016-05-03,410.85,416.35,408.16,415.15,25039.0
2016-05-04,416.4,423.83,412.28,416.89,25043.0
2016-05-05,429.29,429.29,413.27,419.22,47197.0
2016-05-06,417.12,425.17,417.12,422.53,52334.0
2016-05-09,433.23,433.23,425.17,427.05,12766.0
2016-05-10,425.26,428.75,419.44,425.26,19505.0
2016-05-11,425.17,431.84,422.49,430.45,10640.0
2016-05-12,434.12,434.12,426.2,428.26,6098.0
2016-05-13,426.07,433.23,422.49,427.32,60632.0
2016-05-16,429.65,434.84,428.39,433.27,33107.0
2016-05-17,434.12,438.6,429.38,430.18,15732.0
2016-05-18,431.21,433.81,425.17,426.38,7621.0
2016-05-19,431.44,431.88,416.67,420.47,8820.0
2016-05-20,420.7,429.2,407.27,407.94,22150.0
2016-05-23,408.7,419.8,407.05,408.48,10157.0
2016-05-24,407.31,420.7,407.31,417.61,5864.0
2016-05-25,426.87,426.87,416.4,420.07,93357.0
2016-05-26,418.46,421.5,410.4,416.31,12470.0
2016-05-27,415.77,424.1,411.79,415.91,13670.0
2016-05-30,412.82,422.98,412.82,416.4,7877.0
2016-05-31,417.56,438.6,414.43,432.29,57231.0
2016-06-01,426.2,438.51,425.17,427.99,7695.0
2016-06-02,429.2,434.88,425.17,432.33,13282.0
2016-06-03,425.35,432.74,425.35,428.71,7903.0
2016-06-06,435.02,435.02,419.0,423.52,9785.0
2016-06-07,418.01,436.81,415.41,435.78,1023888.0
2016-06-08,434.12,451.93,434.12,443.52,43945.0
2016-06-09,441.06,451.13,441.06,447.55,570253.0
2016-06-10,449.34,449.34,443.07,445.67,31631.0
2016-06-13,447.28,447.33,429.65,434.12,438053.0
2016-06-14,432.6,435.06,427.14,429.74,17780.0
2016-06-15,427.14,443.07,427.1,442.31,29652.0
2016-06-16,442.27,442.27,432.33,437.08,10661.0
2016-06-17,438.73,443.07,432.02,442.4,37497.0
