,open,high,low,close,volume
2015-05-15,254.08,256.1,252.36,254.04,654285.0
2015-05-18,254.95,255.62,251.78,254.85,611396.0
2015-05-19,254.95,254.95,252.45,253.89,388069.0
2015-05-20,254.18,256.19,252.69,253.32,327602.0
2015-05-21,252.84,253.7,247.56,248.47,1200444.0
2015-05-22,249.38,255.04,247.13,254.42,1209831.0
2015-05-25,255.38,258.59,253.22,257.44,769674.0
2015-05-26,259.45,261.61,254.42,259.6,2286721.0
2015-05-27,255.43,259.84,254.75,258.35,1071111.0
2015-05-28,259.45,261.95,255.23,260.61,1156685.0
2015-05-29,260.89,264.01,257.58,258.83,2726402.0
2015-06-01,258.98,263.24,256.34,261.56,830901.0
2015-06-02,261.56,262.38,254.8,255.86,783535.0
2015-06-03,257.3,257.3,246.6,250.82,528323.0
2015-06-04,249.67,251.3,242.67,245.31,670834.0
2015-06-05,247.37,249.77,242.77,247.27,777601.0
2015-06-08,248.33,249.1,239.79,241.23,651661.0
2015-06-09,240.75,244.54,238.69,243.39,626390.0
2015-06-10,245.02,245.45,240.99,243.05,880066.0
2015-06-11,244.4,246.99,240.56,241.13,856895.0
2015-06-12,241.9,243.39,239.79,241.71,516031.0
2015-06-15,243.1,247.99,241.57,245.83,543540.0
2015-06-16,245.55,247.37,242.53,246.07,507671.0
2015-06-17,246.55,264.68,246.51,254.61,3092463.0
2015-06-18,255.19,257.54,252.5,256.77,1735985.0
2015-06-19,257.2,261.09,255.86,258.3,1046888.0
2015-06-22,259.93,262.43,258.35,259.17,901263.0
2015-06-23,259.93,260.99,257.68,258.74,380642.0
2015-06-24,258.69,264.3,257.34,262.33,1726985.0
2015-06-25,262.81,269.29,262.14,265.45,2277126.0
2015-06-26,265.45,267.8,260.89,264.44,1399841.0
2015-06-29,262.86,267.66,258.24,265.36,1527665.0
2015-06-30,267.66,270.79,264.59,269.4,2917308.0
2015-07-01,270.93,273.53,270.74,271.7,1617534.0
2015-07-02,272.23,272.33,266.56,267.62,1481635.0
