,open,high,low,close,volume
2015-05-15,327.81,327.81,311.29,314.52,27644.0
2015-05-18,321.34,321.39,310.7,313.08,5932.0
2015-05-19,313.49,315.19,308.41,310.97,19817.0
2015-05-20,311.64,316.14,310.97,312.36,1283.0
2015-05-21,312.41,317.03,311.64,314.47,1629.0
2015-05-22,317.62,318.83,309.26,317.57,1809.0
2015-05-25,316.13,321.52,313.08,318.87,7202.0
2015-05-26,321.43,321.52,318.69,318.87,1084.0
2015-05-27,316.45,326.78,311.91,325.25,6782.0
2015-05-28,323.95,329.61,322.15,327.18,5367.0
2015-05-29,323.36,331.31,320.63,323.5,29344.0
2015-06-01,327.5,327.5,305.31,310.57,29291.0
2015-06-02,310.52,311.46,298.17,303.47,17846.0
2015-06-03,305.36,311.64,292.34,305.18,12668.0
2015-06-04,305.45,308.5,305.36,307.02,878.0
2015-06-05,302.84,312.9,302.8,307.6,2283.0
2015-06-08,313.44,313.44,298.58,303.2,1878.0
2015-06-09,301.23,305.36,296.69,301.86,4755.0
2015-06-10,307.11,307.15,298.67,302.08,1008.0
2015-06-11,302.12,306.21,297.27,301.14,2418.0
2015-06-12,297.27,304.46,297.27,300.91,2651.0
2015-06-15,303.56,305.4,297.32,300.91,5375.0
2015-06-16,303.56,303.56,292.29,301.05,2133.0
2015-06-17,302.08,307.15,298.17,304.73,2168.0
2015-06-18,306.7,306.7,301.77,303.07,4310.0
2015-06-19,304.59,306.26,299.97,302.84,2579.0
2015-06-22,300.87,305.36,300.82,303.83,3211.0
2015-06-23,304.5,311.64,303.65,307.65,5533.0
2015-06-24,308.68,313.44,303.56,303.92,2060.0
2015-06-25,301.81,312.99,299.97,301.0,13229.0
2015-06-26,305.36,308.05,301.77,302.8,4138.0
2015-06-29,302.62,304.28,296.38,301.32,4711.0
2015-06-30,301.09,306.48,299.97,301.27,15707.0
2015-07-01,303.02,304.01,296.65,300.1,1596.0
2015-07-02,300.6,304.15,295.48,296.83,106567.0
2015-07-03,300.82,302.3,293.28,294.72,5687.0
2015-07-06,294.72,302.93,292.83,298.89,2603.0
2015-07-07,299.12,309.31,298.26,299.12,5666.0
2015-07-08,305.36,305.36,296.38,297.68,5066.0
2015-07-09,294.89,301.45,294.89,298.13,1751.0
2015-07-10,297.32,301.41,292.42,293.64,6302.0
2015-07-13,293.68,296.38,291.93,295.07,4963.0
2015-07-14,296.06,299.07,291.08,293.59,8756.0
2015-07-15,296.2,300.87,285.82,287.31,33657.0
2015-07-16,294.58,295.03,274.82,281.29,197987.0
2015-07-17,282.9,286.5,281.33,282.55,20708.0
2015-07-20,282.55,282.9,278.55,282.28,8719.0
2015-07-21,288.29,292.56,283.8,288.43,45622.0
2015-07-22,292.42,292.42,283.8,287.22,34518.0
2015-07-23,289.45,295.77,287.72,294.09,16101.0
2015-07-24,293.09,294.91,287.85,290.4,13914.0
2015-07-27,295.73,295.73,287.9,290.72,876742.0
2015-07-28,291.45,296.04,291.27,292.31,108445.0
2015-07-29,295.68,297.64,293.13,295.73,10846.0
2015-07-30,299.46,299.46,296.36,298.27,6622.0
2015-07-31,299.41,303.1,295.45,298.09,25951.0
2015-08-03,300.1,301.46,293.22,300.14,5037.0
2015-08-04,300.32,300.32,290.36,299.5,11003.0
2015-08-05,299.41,304.87,296.36,299.73,199839.0
2015-08-06,299.14,302.14,294.91,298.32,628564.0
2015-08-07,295.04,299.46,294.5,298.27,5861.0
2015-08-10,297.14,300.28,295.91,297.09,55585.0
2015-08-11,301.23,301.23,285.21,297.41,69364.0
2015-08-12,294.13,303.1,292.63,296.55,9845.0
2015-08-13,295.86,299.32,294.0,296.45,3382.0
2015-08-14,292.63,307.7,287.67,292.04,45618.0
2015-08-17,292.81,299.19,288.04,294.36,114683.0
2015-08-18,295.86,300.0,289.63,290.63,16141.0
2015-08-19,293.91,293.91,288.26,289.26,51341.0
2015-08-20,289.9,305.33,289.67,297.09,31344.0
2015-08-21,296.64,298.5,285.03,291.08,38363.0
2015-08-24,286.85,294.5,277.48,283.94,30724.0
2015-08-25,284.94,296.64,258.13,277.52,35535.0
2015-08-26,278.11,282.12,272.33,276.93,11082.0
2015-08-27,280.48,280.8,271.24,273.7,46025.0
2015-08-28,273.7,284.58,273.7,282.3,17078.0
2015-08-31,278.34,286.72,278.3,282.89,101879.0
2015-09-01,280.98,284.26,275.79,279.34,117259.0
2015-09-02,276.57,283.67,275.79,279.07,363770.0
2015-09-03,284.85,285.81,276.7,282.21,7454.0
2015-09-04,279.48,285.76,277.34,280.48,8932.0
2015-09-07,277.75,281.21,269.42,274.88,12324.0
2015-09-08,281.25,282.16,272.2,280.07,9872.0
2015-09-09,281.21,283.07,272.15,275.61,168574.0
2015-09-10,272.15,275.93,269.74,273.02,14566.0
2015-09-11,277.2,279.43,271.24,275.2,10992.0
2015-09-14,273.15,282.16,272.61,278.66,8109.0
2015-09-15,283.48,287.44,279.43,286.67,6473.0
2015-09-16,288.49,288.49,280.43,287.17,4753.0
2015-09-18,291.4,335.59,286.03,288.13,10022.0
2015-09-21,282.21,293.31,282.21,290.58,7581.0
2015-09-22,292.68,294.73,284.89,285.53,19938.0
2015-09-23,282.21,295.82,282.16,287.12,8272.0
2015-09-24,291.13,291.13,285.81,286.81,1904.0
2015-09-28,286.72,291.22,283.62,289.67,6346.0
2015-09-29,289.45,291.08,284.08,288.31,4661.0
2015-09-30,285.81,297.64,284.53,294.36,6890.0
2015-10-01,299.32,299.32,290.36,294.73,3016.0
2015-10-05,295.68,295.82,291.31,294.09,2066.0
2015-10-06,292.31,295.73,285.81,291.18,23825.0
2015-10-07,298.41,298.41,284.71,285.67,15078.0
2015-10-08,285.4,289.4,282.16,285.94,24736.0
2015-10-09,284.3,286.44,279.48,280.34,37099.0
2015-10-12,280.34,284.03,279.3,279.8,15522.0
2015-10-13,291.22,296.04,277.75,279.43,148249.0
2015-10-14,281.71,282.21,280.25,280.66,42132.0
2015-10-15,281.3,281.71,267.6,278.07,319628.0
2015-10-16,282.16,282.16,271.29,280.39,67010.0
2015-10-19,284.44,286.72,276.75,285.35,15610.0
2015-10-20,286.4,290.17,281.48,289.08,23287.0
2015-10-21,289.08,293.5,283.98,291.04,13334.0
2015-10-23,292.09,297.18,290.36,291.86,545872.0
2015-10-26,294.86,294.86,285.44,292.31,108087.0
2015-10-27,291.58,294.36,283.98,292.77,3645.0
2015-10-28,292.54,294.91,291.27,291.63,8389.0
2015-10-29,294.86,303.1,292.18,296.18,19084.0
2015-10-30,296.04,297.68,292.72,297.46,7243.0
2015-11-02,292.54,298.46,288.26,293.41,14299.0
2015-11-03,290.58,300.37,287.72,289.22,7569.0
2015-11-04,291.13,292.81,287.63,288.08,1527.0
2015-11-05,286.76,290.31,281.66,284.44,10345.0
2015-11-06,285.4,292.54,278.84,290.67,4719.0
2015-11-09,276.07,296.73,276.07,295.77,9193.0
2015-11-10,309.02,309.02,291.27,297.32,33840.0
2015-11-11,309.02,309.02,291.27,297.32,33840.0
2015-11-13,302.05,302.23,292.86,293.31,1896.0
2015-11-16,294.0,296.68,286.72,294.95,3650.0
2015-11-17,294.04,296.23,289.9,295.04,3094.0
2015-11-18,299.19,300.37,291.27,295.68,5252.0
2015-11-19,291.13,300.19,291.13,293.59,317314.0
2015-11-20,293.68,294.95,289.45,291.45,1492.0
2015-11-23,293.41,298.55,292.36,293.09,65779.0
2015-11-24,294.04,296.27,289.45,295.86,10124.0
2015-11-26,291.4,299.09,291.27,292.95,970.0
2015-11-27,297.59,304.87,292.59,297.73,127179.0
2015-11-30,295.95,303.65,295.95,296.73,2978.0
2015-12-01,296.73,302.19,294.45,298.91,2922.0
2015-12-02,299.19,302.19,296.77,300.46,259375.0
2015-12-03,301.23,304.01,298.55,302.83,4160.0
2015-12-04,303.92,308.56,298.55,300.28,7788.0
2015-12-07,300.28,313.11,297.68,305.65,3739.0
2015-12-08,306.6,306.65,299.46,301.01,3498.0
2015-12-09,297.64,301.78,295.13,298.87,2101.0
2015-12-10,296.77,302.19,295.23,297.23,27410.0
2015-12-11,294.91,300.1,288.17,295.04,2480.0
2015-12-14,298.96,303.05,295.09,299.55,3546.0
2015-12-15,297.68,302.6,293.45,296.68,7154.0
2015-12-16,300.32,321.94,293.63,296.32,7612.0
2015-12-17,303.05,305.83,300.46,302.87,3514.0
2015-12-18,307.19,312.2,297.59,298.78,18235.0
2015-12-21,306.15,309.38,293.45,300.32,50828.0
2015-12-22,300.37,300.37,298.55,299.64,4273.0
2015-12-23,302.87,302.92,297.59,300.28,5459.0
2015-12-24,299.41,299.46,296.96,297.87,1642.0
2015-12-28,298.14,300.37,295.82,296.82,6852.0
2015-12-29,297.0,300.91,297.0,299.69,4252.0
2015-12-30,297.14,300.37,295.27,298.05,7065.0
2015-12-31,298.5,299.46,292.18,298.59,11214.0
2016-01-01,298.41,299.46,296.0,298.37,8150.0
2016-01-04,293.31,299.32,293.31,296.04,5277.0
2016-01-05,299.28,299.28,295.91,296.77,1902.0
2016-01-06,295.95,297.18,293.09,294.09,2722.0
2016-01-07,292.22,296.73,286.72,294.59,3716.0
2016-01-08,300.28,300.28,293.63,295.41,3598.0
2016-01-11,288.13,299.46,288.13,294.32,2319.0
2016-01-12,298.73,299.41,294.91,297.46,6356.0
2016-01-13,300.32,300.37,288.03,295.0,14130.0
2016-01-14,292.68,293.0,281.8,289.54,4904.0
2016-01-15,288.81,291.22,285.81,287.35,7255.0
2016-01-18,282.21,285.81,276.11,277.98,4639.0
2016-01-19,275.84,288.26,275.79,283.21,6138.0
2016-01-20,281.3,284.89,268.51,274.11,22402.0
2016-01-21,280.39,284.89,260.64,268.1,21390.0
2016-01-22,272.15,299.46,264.05,289.72,113265.0
2016-01-25,296.64,296.73,284.08,285.71,6440.0
2016-01-27,286.99,289.49,282.3,284.99,6465.0
2016-01-28,279.62,291.27,278.16,287.12,3528.0
2016-01-29,288.4,290.63,282.16,289.54,4050.0
2016-02-01,291.27,295.64,289.45,290.08,3991.0
2016-02-02,294.91,294.91,285.44,290.13,7493.0
2016-02-03,287.14,292.66,285.48,292.29,1775.0
2016-02-04,288.98,298.14,288.98,294.5,3719.0
2016-02-05,298.18,298.96,290.91,295.47,17191.0
2016-02-08,292.66,297.26,289.07,295.51,2455.0
2016-02-09,289.9,294.5,286.22,292.98,896.0
2016-02-10,289.9,298.18,281.85,296.02,7190.0
2016-02-11,292.66,296.34,288.98,290.27,4792.0
2016-02-12,285.3,289.9,278.3,287.6,11414.0
2016-02-15,281.75,294.5,281.62,288.43,4021.0
2016-02-16,289.9,297.17,283.46,286.22,4516.0
2016-02-17,285.3,289.9,278.9,280.88,4710.0
2016-02-18,284.38,285.3,277.93,282.03,14738.0
2016-02-19,282.03,284.38,279.87,282.95,643.0
2016-02-22,280.83,285.11,277.52,284.24,401.0
2016-02-23,280.83,284.24,277.11,282.63,1860.0
2016-02-24,279.77,283.46,277.01,281.62,4132.0
2016-02-25,281.66,285.3,281.62,284.7,760.0
2016-02-26,282.17,295.24,280.24,282.4,6356.0
2016-02-29,280.83,288.7,280.19,282.81,5073.0
2016-03-01,285.11,285.3,280.24,284.61,2239.0
2016-03-02,288.98,294.32,286.22,292.29,4833.0
