,open,high,low,close,volume
2015-05-15,123.13,127.48,122.14,123.97,3776039.0
2015-05-18,123.97,126.29,123.33,124.07,1331081.0
2015-05-19,124.07,128.77,123.72,127.38,3675610.0
2015-05-20,128.57,129.56,127.88,128.96,2167871.0
2015-05-21,130.25,133.41,129.26,132.48,3254476.0
2015-05-22,133.12,135.44,131.19,134.9,2490554.0
2015-05-25,134.7,134.9,129.95,132.03,1182840.0
2015-05-26,131.54,131.83,128.17,129.51,1001461.0
2015-05-27,128.52,135.15,127.33,129.8,1903813.0
2015-05-28,130.84,132.33,130.05,131.29,836566.0
2015-05-29,131.98,132.52,130.05,131.73,937910.0
2015-06-01,131.14,132.92,130.79,131.39,740316.0
2015-06-02,131.54,131.88,124.61,125.21,1266405.0
2015-06-03,125.01,126.29,118.68,122.59,1306390.0
2015-06-04,122.78,126.49,121.5,125.75,837065.0
2015-06-05,125.6,128.47,125.6,126.29,945849.0
2015-06-08,126.29,127.04,123.97,125.26,503199.0
2015-06-09,124.61,125.21,119.47,120.95,1627833.0
2015-06-10,120.85,125.01,120.66,123.72,1011739.0
2015-06-11,124.81,125.5,120.31,122.54,1113511.0
2015-06-12,120.85,122.44,119.47,120.95,703063.0
2015-06-15,122.19,124.51,121.25,123.67,776402.0
2015-06-16,123.62,127.48,121.5,126.94,1140703.0
2015-06-17,128.52,130.55,126.39,127.63,1822844.0
2015-06-18,128.07,132.03,128.07,130.79,2122538.0
2015-06-19,130.55,130.55,127.18,128.87,1166518.0
2015-06-22,129.85,131.24,126.89,129.46,1898612.0
2015-06-23,130.45,131.54,129.66,130.3,1002947.0
2015-06-24,130.55,130.65,126.74,127.53,640463.0
2015-06-25,127.48,129.46,126.69,128.67,573483.0
2015-06-26,127.58,130.2,126.29,128.62,772833.0
2015-06-29,125.7,129.76,120.26,128.77,1269914.0
2015-06-30,129.56,130.05,127.48,128.87,670424.0
2015-07-01,128.57,130.79,128.07,128.91,1072876.0
2015-07-02,129.56,130.5,128.91,129.76,1123829.0
2015-07-03,129.8,131.54,128.96,129.76,985684.0
2015-07-06,127.09,133.02,126.69,130.79,1288546.0
2015-07-07,131.44,132.23,129.51,130.4,1020625.0
2015-07-08,128.57,130.55,127.83,129.71,1211353.0
2015-07-09,130.45,135.99,129.61,133.76,3670681.0
2015-07-10,134.95,136.93,134.3,136.38,2991619.0
2015-07-13,137.47,146.37,136.48,145.43,5734839.0
2015-07-14,146.37,149.24,135.59,139.55,8812620.0
2015-07-15,133.51,136.43,130.74,131.63,4909443.0
2015-07-16,131.54,134.9,131.39,133.07,1934103.0
2015-07-17,133.46,133.51,130.55,130.74,1220797.0
2015-07-20,130.45,132.43,129.66,130.69,1124097.0
2015-07-21,130.65,133.32,129.56,130.2,1121939.0
2015-07-22,130.5,130.94,129.56,129.9,725080.0
2015-07-23,130.05,133.46,130.05,132.57,1022875.0
2015-07-24,133.51,135.69,131.93,132.48,1469147.0
2015-07-27,134.5,135.15,131.78,132.43,1131532.0
2015-07-28,133.32,133.51,130.79,131.09,573598.0
2015-07-29,131.34,131.98,130.05,130.5,444087.0
2015-07-30,131.54,133.27,129.66,130.25,695763.0
2015-07-31,130.55,133.32,130.05,130.89,858196.0
2015-08-03,130.79,135.1,129.76,134.65,1431955.0
2015-08-04,135.99,137.96,133.17,137.37,2060100.0
2015-08-05,138.46,139.3,135.64,137.77,1346421.0
2015-08-06,137.96,138.36,135.24,135.54,491657.0
2015-08-07,135.99,139.35,132.62,133.07,1268159.0
2015-08-10,134.45,139.84,134.26,137.96,1577118.0
2015-08-11,138.46,139.05,135.49,136.58,686196.0
2015-08-12,135.49,135.99,133.56,134.45,627097.0
2015-08-13,135.49,136.08,131.83,132.23,744481.0
2015-08-14,132.52,136.33,130.65,135.54,805840.0
