,open,high,low,close,volume
2015-05-15,94.33,94.33,92.36,93.52,23275.0
2015-05-18,93.79,101.98,93.79,99.74,34850.0
2015-05-19,102.69,102.69,98.62,100.19,21693.0
2015-05-20,101.08,103.05,100.81,102.07,18994.0
2015-05-21,101.17,106.59,99.78,105.51,18220.0
2015-05-22,107.12,107.44,102.92,104.53,357853.0
2015-05-25,103.86,104.53,100.46,101.84,10761.0
2015-05-26,101.17,101.17,99.43,100.72,6872.0
2015-05-27,100.28,101.26,98.53,99.87,10724.0
2015-05-28,99.38,102.74,98.44,101.31,18362.0
2015-05-29,103.05,103.36,100.14,101.66,285803.0
2015-06-01,102.56,103.63,101.44,102.92,9404.0
2015-06-02,102.83,103.81,96.2,98.58,15784.0
2015-06-03,98.04,100.86,96.2,96.79,29795.0
2015-06-04,95.76,101.04,94.91,98.53,164387.0
2015-06-05,100.54,104.04,97.99,99.61,19014.0
2015-06-08,98.89,101.98,98.44,99.02,3380.0
2015-06-09,99.02,102.92,98.44,98.67,6083.0
2015-06-10,98.98,101.13,98.89,99.83,7942.0
2015-06-11,101.31,101.35,97.55,97.64,5518.0
2015-06-12,96.7,98.35,94.95,95.76,3793.0
2015-06-15,98.4,98.4,94.46,97.46,4775.0
2015-06-16,101.26,101.26,95.13,96.07,6815.0
2015-06-17,95.26,98.44,95.26,95.89,19376.0
2015-06-18,95.26,99.11,94.41,95.09,12531.0
2015-06-19,97.41,97.55,93.34,93.65,14310.0
2015-06-22,93.65,107.26,93.65,102.29,126869.0
2015-06-23,102.29,103.18,98.98,100.01,22906.0
2015-06-24,99.34,106.05,99.34,103.5,78489.0
2015-06-25,103.05,103.95,101.13,102.78,19848.0
2015-06-26,102.47,102.56,99.56,100.14,10858.0
2015-06-29,99.38,99.38,95.53,96.92,14167.0
2015-06-30,96.52,104.3,96.52,99.78,27831.0
2015-07-01,101.08,102.47,99.34,99.83,18384.0
2015-07-02,100.5,101.31,98.89,99.2,10630.0
2015-07-03,99.02,104.71,98.44,99.2,34569.0
2015-07-06,98.93,101.75,96.83,101.17,72673.0
2015-07-07,101.08,110.97,100.95,103.05,149378.0
2015-07-08,102.96,104.3,100.23,102.42,137265.0
2015-07-09,100.54,102.42,99.69,100.32,20885.0
2015-07-10,99.83,102.74,99.69,101.53,16682.0
2015-07-13,102.92,109.85,99.56,104.53,812064.0
2015-07-14,105.42,109.63,102.02,106.81,199159.0
2015-07-15,106.76,117.24,106.5,112.27,582589.0
2015-07-16,114.95,116.12,110.57,111.55,234273.0
2015-07-17,112.49,113.03,110.17,112.0,81641.0
2015-07-20,111.91,111.91,109.18,111.15,38312.0
2015-07-21,110.97,112.27,105.6,106.09,49907.0
2015-07-22,106.63,109.55,105.96,108.88,31818.0
2015-07-23,109.82,109.82,107.71,108.88,45615.0
2015-07-24,107.98,114.04,107.98,111.17,58372.0
2015-07-27,110.0,112.96,107.8,111.75,62956.0
2015-07-28,112.87,116.73,110.22,112.56,155763.0
2015-07-29,112.92,116.42,111.66,112.51,56564.0
2015-07-30,112.38,113.59,109.69,112.11,37449.0
2015-07-31,112.29,115.84,110.4,112.15,180430.0
2015-08-03,112.47,114.35,104.16,106.81,302131.0
2015-08-04,106.14,108.38,104.48,106.27,91469.0
2015-08-05,107.66,108.65,106.86,107.89,61566.0
2015-08-06,107.75,116.73,107.17,111.89,295013.0
2015-08-07,112.65,114.94,107.13,108.29,80377.0
2015-08-10,108.29,111.89,107.22,108.92,101598.0
2015-08-11,109.55,110.9,107.35,107.98,96384.0
2015-08-12,107.8,109.69,103.8,105.06,129327.0
2015-08-13,106.9,112.15,101.65,106.18,827985.0
2015-08-14,110.18,111.89,105.55,111.17,69606.0
2015-08-17,112.15,114.94,108.29,111.44,51862.0
2015-08-18,113.05,113.05,109.64,110.63,32653.0
2015-08-19,110.45,113.05,109.82,111.08,37146.0
2015-08-20,112.02,112.02,107.08,107.98,34562.0
2015-08-21,106.9,107.44,104.39,106.77,48345.0
2015-08-24,105.96,105.96,95.77,99.72,111379.0
2015-08-25,103.44,103.49,96.66,101.65,73814.0
2015-08-26,100.62,105.96,99.4,104.21,27035.0
2015-08-27,107.75,108.2,103.62,107.26,19819.0
2015-08-28,111.66,111.66,105.2,106.36,75888.0
2015-08-31,105.96,107.53,103.31,106.32,20819.0
2015-09-01,105.96,105.96,98.86,99.67,399475.0
2015-09-02,100.12,104.16,99.31,101.69,67829.0
2015-09-03,102.41,104.16,101.56,103.85,24156.0
2015-09-04,103.09,103.22,95.77,97.02,140129.0
2015-09-07,99.67,99.72,92.18,97.92,62975.0
2015-09-08,95.18,103.22,95.18,97.47,20860.0
2015-09-09,100.98,101.42,97.65,100.21,56328.0
2015-09-10,99.72,99.72,95.63,96.89,13446.0
2015-09-11,97.97,98.78,95.27,97.34,14348.0
2015-09-14,98.06,98.42,96.89,97.65,10531.0
2015-09-15,100.3,100.3,96.8,96.8,11366.0
2015-09-16,97.16,97.25,95.63,95.9,11541.0
2015-09-18,94.29,98.78,91.95,94.06,32584.0
2015-09-21,92.49,95.54,92.49,94.78,17178.0
2015-09-22,94.29,98.33,94.29,95.86,15803.0
2015-09-23,94.29,96.49,94.29,95.9,6804.0
2015-09-24,95.18,97.74,94.29,96.26,20967.0
2015-09-28,94.29,98.24,94.29,97.02,66289.0
2015-09-29,96.08,96.75,94.29,95.86,14214.0
2015-09-30,96.08,97.88,95.18,96.26,46400.0
2015-10-01,97.38,97.65,93.97,94.73,20690.0
2015-10-05,95.5,96.98,94.29,95.54,38185.0
2015-10-06,96.62,100.48,95.59,99.63,44861.0
2015-10-07,100.57,105.6,100.57,102.95,136866.0
2015-10-08,103.71,103.71,100.62,101.78,28191.0
2015-10-09,103.49,108.56,101.47,105.64,97572.0
2015-10-12,105.06,106.81,102.46,103.44,18287.0
2015-10-13,104.12,104.61,102.37,103.09,37556.0
2015-10-14,101.65,105.06,101.65,102.14,34876.0
2015-10-15,101.96,107.62,101.47,104.16,156447.0
2015-10-16,104.93,104.97,102.5,102.91,27156.0
2015-10-19,103.26,103.71,100.8,101.42,47696.0
2015-10-20,101.78,106.68,101.29,103.0,89178.0
2015-10-21,103.18,107.49,102.64,103.49,118299.0
2015-10-23,104.16,105.51,101.83,102.37,96554.0
2015-10-26,103.09,103.26,101.11,101.65,25859.0
2015-10-27,100.93,111.3,100.93,107.89,219247.0
2015-10-28,108.65,112.15,108.29,110.94,339199.0
2015-10-29,108.83,124.05,108.83,117.14,980536.0
2015-10-30,116.29,121.04,113.64,115.79,167363.0
2015-11-02,116.29,119.34,112.24,116.6,156110.0
2015-11-03,121.13,122.57,117.14,120.95,379787.0
2015-11-04,120.42,129.26,119.43,124.82,428263.0
2015-11-05,124.77,125.58,116.2,117.45,146885.0
2015-11-06,117.32,121.67,116.82,118.13,46546.0
2015-11-09,114.85,123.83,111.12,121.45,80531.0
2015-11-10,121.22,121.63,117.77,118.44,36941.0
2015-11-11,121.22,121.63,117.77,118.44,36941.0
2015-11-13,119.75,137.83,117.85,131.99,327033.0
2015-11-16,132.4,134.12,128.77,129.81,193216.0
2015-11-17,131.35,139.28,129.59,133.57,354476.0
2015-11-18,132.4,136.2,127.23,130.31,112503.0
2015-11-19,130.99,135.02,128.23,131.04,88052.0
2015-11-20,130.49,132.71,125.96,128.45,61050.0
2015-11-23,130.45,131.85,127.05,128.32,54463.0
2015-11-24,131.4,131.4,127.32,128.18,78968.0
2015-11-26,129.0,129.59,122.88,124.69,53707.0
2015-11-27,124.15,129.59,123.06,124.69,149582.0
2015-11-30,124.69,130.76,124.69,127.5,65227.0
2015-12-01,127.73,132.21,127.59,128.86,53459.0
2015-12-02,130.45,135.02,129.77,133.48,138293.0
2015-12-03,133.39,137.38,130.04,134.16,120348.0
2015-12-04,133.26,135.02,130.04,130.95,78267.0
2015-12-07,133.8,133.8,127.59,128.36,51876.0
2015-12-08,125.1,129.9,125.1,127.68,35167.0
2015-12-09,127.32,128.68,120.84,121.93,50476.0
2015-12-10,123.88,127.46,122.43,126.23,19895.0
2015-12-11,125.55,129.5,122.16,126.28,29517.0
2015-12-14,125.51,126.87,122.88,125.01,47793.0
2015-12-15,125.28,125.28,119.98,121.29,63555.0
2015-12-16,121.02,124.15,120.25,121.29,50282.0
2015-12-17,122.29,122.79,118.85,121.79,44402.0
2015-12-18,121.43,123.56,120.16,121.66,40543.0
2015-12-21,122.88,126.37,122.52,124.87,40307.0
2015-12-22,124.6,126.32,121.16,121.79,30385.0
2015-12-23,124.1,125.06,120.71,121.34,29110.0
2015-12-24,122.16,123.06,119.17,120.34,25764.0
2015-12-28,120.89,123.24,119.44,119.98,26464.0
2015-12-29,120.48,124.24,119.66,120.43,37109.0
2015-12-30,122.84,123.15,120.21,120.75,13210.0
2015-12-31,123.29,130.31,123.29,126.28,356433.0
2016-01-01,125.87,129.86,123.7,126.82,142685.0
2016-01-04,126.28,131.4,125.06,126.73,111364.0
2016-01-05,127.14,129.5,126.41,128.68,63756.0
2016-01-06,130.13,133.21,128.77,132.12,201487.0
2016-01-07,131.67,131.67,122.97,124.6,104141.0
2016-01-08,126.1,133.21,125.96,131.72,131970.0
2016-01-11,130.49,135.84,129.68,132.94,129980.0
2016-01-12,132.8,134.84,128.32,131.53,62568.0
2016-01-13,132.35,134.98,121.29,125.33,129441.0
2016-01-14,124.15,126.41,120.57,124.06,41806.0
2016-01-15,124.15,126.87,111.46,115.59,38890.0
2016-01-18,116.04,116.72,102.85,104.67,110949.0
2016-01-19,109.65,115.99,106.03,114.5,43639.0
2016-01-20,113.32,113.32,106.21,108.52,26948.0
2016-01-21,111.24,114.18,107.84,109.7,40001.0
2016-01-22,112.05,116.17,109.97,111.15,24638.0
2016-01-25,113.41,115.99,111.46,112.14,24923.0
2016-01-27,113.55,115.45,109.88,114.5,34149.0
2016-01-28,114.14,115.81,113.28,113.64,9518.0
2016-01-29,113.46,115.99,111.55,114.68,22964.0
2016-02-01,116.81,120.89,114.72,118.85,31439.0
2016-02-02,118.3,128.59,117.85,119.12,429928.0
2016-02-03,118.71,122.7,113.91,114.72,98783.0
2016-02-04,115.99,120.89,110.6,112.28,38623.0
2016-02-05,113.77,117.17,110.74,113.18,31378.0
2016-02-08,113.41,115.09,111.05,111.73,44715.0
2016-02-09,111.51,113.28,107.97,109.38,23522.0
2016-02-10,109.65,113.05,108.61,110.15,30584.0
2016-02-11,109.7,111.05,102.67,104.03,26453.0
2016-02-12,105.07,105.12,96.65,99.55,87620.0
2016-02-15,102.72,109.11,100.59,107.66,35035.0
2016-02-16,108.94,110.22,102.26,103.35,15731.0
2016-02-17,103.08,106.37,103.08,105.83,60150.0
2016-02-18,107.75,110.59,105.32,106.7,50155.0
2016-02-19,105.87,108.25,103.63,106.97,8833.0
2016-02-22,108.02,114.16,107.15,109.85,66046.0
2016-02-23,109.44,109.44,105.28,107.47,29582.0
2016-02-24,104.45,107.47,103.99,104.54,33144.0
2016-02-25,103.45,107.02,102.58,105.23,25031.0
2016-02-26,104.64,106.01,102.16,103.17,20084.0
2016-02-29,103.35,106.47,100.24,105.83,11277.0
2016-03-01,106.01,108.85,104.82,107.84,14502.0
2016-03-02,109.85,112.6,108.3,109.85,124968.0
2016-03-03,117.22,123.13,112.83,117.18,96379.0
2016-03-04,119.88,119.92,115.35,116.12,142388.0
2016-03-08,115.35,120.66,114.43,116.12,132593.0
2016-03-09,116.4,120.84,114.57,116.31,225227.0
2016-03-10,117.82,117.82,114.11,114.39,34314.0
2016-03-11,113.74,114.98,110.45,112.69,23656.0
2016-03-14,114.43,119.47,113.19,114.02,151836.0
2016-03-15,114.61,121.48,112.87,119.33,415320.0
2016-03-16,121.21,123.59,120.2,121.48,195376.0
2016-03-17,123.26,125.42,121.07,121.8,66908.0
2016-03-18,122.4,124.41,121.57,123.54,43418.0
2016-03-21,124.5,125.42,120.84,123.68,39622.0
2016-03-22,124.59,125.42,121.75,124.45,25163.0
2016-03-23,124.82,127.98,123.26,127.11,36279.0
2016-03-28,125.46,128.16,121.43,122.21,32359.0
2016-03-29,122.21,124.13,119.24,120.56,24986.0
2016-03-30,121.11,130.45,121.11,129.58,156878.0
2016-03-31,129.81,133.38,126.01,127.25,49341.0
2016-04-01,126.33,134.34,126.33,130.63,96966.0
2016-04-04,131.37,136.86,130.86,131.73,101518.0
2016-04-05,131.55,131.55,127.29,127.98,48880.0
2016-04-06,128.21,137.32,128.16,134.39,257127.0
2016-04-07,133.66,135.49,129.9,131.92,171152.0
2016-04-08,132.74,135.49,130.73,134.07,85382.0
2016-04-11,134.62,158.14,134.62,150.41,1634751.0
2016-04-12,149.36,156.54,146.61,151.14,541904.0
2016-04-13,154.71,159.2,152.19,154.53,394492.0
2016-04-18,152.88,156.91,152.42,155.44,218358.0
2016-04-20,155.72,158.19,152.88,154.53,193300.0
2016-04-21,154.8,156.18,148.26,151.55,101122.0
2016-04-22,152.24,152.24,144.27,150.68,95666.0
2016-04-25,150.18,152.88,148.99,150.68,36437.0
2016-04-26,150.91,151.78,148.3,151.0,148491.0
2016-04-27,151.37,152.15,146.84,148.21,54924.0
2016-04-28,148.62,149.03,143.13,144.55,52255.0
2016-04-29,145.01,146.52,140.06,144.41,83967.0
