,open,high,low,close,volume
2015-05-15,64.71,66.03,62.16,63.24,28283.0
2015-05-18,63.29,64.23,62.06,62.34,23510.0
2015-05-19,62.53,66.41,61.97,66.03,35018.0
2015-05-20,66.78,67.73,64.33,64.85,11247.0
2015-05-21,65.18,65.65,62.82,64.61,4897.0
2015-05-22,64.23,64.99,62.49,63.34,13265.0
2015-05-25,63.53,64.75,62.82,63.76,20807.0
2015-05-26,63.9,64.28,63.15,63.71,9822.0
2015-05-27,63.76,64.14,61.4,62.2,21015.0
2015-05-28,63.86,64.71,62.49,62.86,10460.0
2015-05-29,63.29,63.67,61.87,63.34,9978.0
2015-06-01,64.23,66.36,63.34,65.74,35902.0
2015-06-02,66.12,67.82,64.8,65.74,19953.0
2015-06-03,66.97,67.07,62.49,63.05,19970.0
2015-06-04,63.29,67.45,62.86,64.0,9931.0
2015-06-05,64.23,64.23,60.46,61.92,20372.0
2015-06-08,61.87,63.29,60.17,60.93,32514.0
2015-06-09,62.77,62.77,58.47,59.46,31861.0
2015-06-10,58.57,61.97,58.38,59.09,19689.0
2015-06-11,59.04,60.93,59.04,60.12,8348.0
2015-06-12,61.31,63.19,60.12,60.5,6383.0
2015-06-15,61.4,62.34,59.98,60.6,7988.0
2015-06-16,60.93,61.31,59.79,59.98,6903.0
2015-06-17,62.34,63.29,59.27,59.46,17806.0
2015-06-18,60.17,60.46,59.32,59.51,14679.0
2015-06-19,59.51,60.31,59.51,59.84,8457.0
2015-06-22,59.6,63.19,59.6,61.16,15091.0
2015-06-23,62.72,63.19,60.12,62.39,12745.0
2015-06-24,62.91,63.15,61.49,61.54,2237.0
2015-06-25,61.78,61.78,60.5,60.93,5602.0
2015-06-26,61.4,61.4,58.66,59.42,11500.0
2015-06-29,58.94,59.94,57.39,59.46,8488.0
2015-06-30,59.94,59.94,57.67,58.66,18650.0
2015-07-01,59.46,61.4,59.13,60.64,19686.0
2015-07-02,60.74,62.53,58.66,61.02,20101.0
2015-07-03,61.07,61.87,60.93,61.54,8066.0
2015-07-06,61.21,62.82,59.32,61.82,8447.0
2015-07-07,62.06,65.51,62.06,62.72,737113.0
2015-07-08,62.82,64.52,61.45,62.34,480575.0
2015-07-09,63.19,65.13,62.34,64.23,43864.0
2015-07-10,65.08,70.85,64.04,67.87,134860.0
2015-07-13,67.07,69.19,66.12,67.26,46413.0
2015-07-14,68.01,70.47,67.07,68.25,81708.0
2015-07-15,69.29,70.28,67.4,68.01,43720.0
2015-07-16,68.01,69.9,67.63,68.53,268219.0
2015-07-17,69.0,70.75,68.3,68.77,99337.0
2015-07-20,69.81,69.81,68.48,68.63,14241.0
2015-07-21,68.2,75.14,68.2,72.26,221983.0
2015-07-22,72.26,74.81,71.88,73.68,109471.0
2015-07-23,74.44,74.91,66.74,71.51,103481.0
2015-07-24,72.45,72.5,69.52,70.7,35255.0
2015-07-27,74.15,74.58,67.54,68.3,288923.0
2015-07-28,67.11,68.91,65.18,66.41,59275.0
2015-07-29,66.03,68.96,64.47,67.11,70977.0
2015-07-30,68.84,71.47,67.55,68.79,183010.0
2015-07-31,69.46,69.94,68.02,68.31,47414.0
2015-08-03,69.46,70.66,65.2,65.92,89847.0
2015-08-04,66.49,68.5,64.82,67.07,57212.0
2015-08-05,67.31,68.5,66.11,67.88,51809.0
2015-08-06,68.65,68.65,66.68,67.16,43157.0
2015-08-07,67.35,67.98,64.67,65.77,130808.0
2015-08-10,66.16,68.93,66.11,67.31,87999.0
2015-08-11,68.31,68.41,66.59,66.64,30428.0
2015-08-12,66.16,67.45,65.15,65.34,23147.0
2015-08-13,65.49,65.63,63.71,64.77,24607.0
2015-08-14,65.58,65.58,62.76,64.82,14329.0
2015-08-17,64.48,67.07,64.43,65.44,22431.0
2015-08-18,65.29,65.82,64.24,65.15,20534.0
2015-08-19,64.91,65.63,64.29,64.72,20757.0
2015-08-20,64.38,65.92,64.1,64.14,27316.0
2015-08-21,63.43,64.67,62.28,63.52,12640.0
2015-08-24,63.52,64.0,56.62,58.2,55436.0
2015-08-25,57.96,59.4,54.61,58.78,26533.0
2015-08-26,58.49,59.02,57.49,57.68,12952.0
2015-08-27,62.18,62.18,58.44,60.46,21792.0
2015-08-28,61.41,61.41,57.53,57.96,29284.0
2015-08-31,57.49,59.98,57.49,58.78,5835.0
2015-09-01,58.44,58.92,57.1,57.34,19866.0
2015-09-02,57.34,58.97,56.53,57.53,19373.0
2015-09-03,57.53,59.02,57.1,57.39,26039.0
2015-09-04,58.83,58.83,56.05,56.53,29142.0
2015-09-07,56.24,57.34,55.28,55.57,11225.0
2015-09-08,55.33,55.57,52.17,53.7,50165.0
2015-09-09,53.7,55.9,53.7,55.14,11944.0
2015-09-10,54.61,55.9,53.32,53.99,10598.0
2015-09-11,54.18,55.67,53.75,54.32,19112.0
2015-09-14,55.57,55.76,54.13,55.23,11777.0
2015-09-15,58.11,58.11,54.61,54.61,10200.0
2015-09-16,55.57,57.34,53.41,53.61,27875.0
2015-09-18,53.84,56.29,53.8,55.67,13520.0
2015-09-21,57.49,61.13,57.44,59.4,162039.0
2015-09-22,60.6,62.23,59.55,60.02,31639.0
2015-09-23,59.55,62.23,59.55,60.98,55915.0
2015-09-24,61.85,62.08,59.11,61.56,32433.0
2015-09-28,62.18,62.28,59.59,60.26,20296.0
2015-09-29,59.88,61.27,58.92,60.55,16768.0
2015-09-30,60.55,61.32,59.74,60.46,7112.0
2015-10-01,60.6,61.8,58.11,59.79,26903.0
2015-10-05,59.59,63.14,58.78,62.04,52585.0
2015-10-06,60.89,64.19,57.68,62.32,36630.0
2015-10-07,62.37,62.47,59.93,61.56,17676.0
2015-10-08,62.28,62.28,60.7,60.89,8552.0
2015-10-09,62.76,62.76,60.6,60.79,12530.0
2015-10-12,59.07,62.56,59.07,61.03,12585.0
2015-10-13,60.79,61.94,59.88,60.46,17712.0
2015-10-14,61.8,64.43,60.41,63.23,53015.0
2015-10-15,63.23,64.67,61.41,62.71,25334.0
2015-10-16,62.42,64.19,62.42,62.8,13530.0
2015-10-19,64.96,64.96,62.28,62.85,21095.0
2015-10-20,63.62,64.24,62.8,63.14,49094.0
2015-10-21,63.95,64.0,60.6,61.17,33058.0
2015-10-23,61.51,62.99,61.08,61.65,14290.0
2015-10-26,61.46,62.32,60.6,60.79,7141.0
2015-10-27,60.6,61.41,59.88,60.12,22427.0
2015-10-28,64.19,66.88,63.38,64.91,468482.0
2015-10-29,65.1,65.1,60.98,63.52,117916.0
2015-10-30,64.14,64.19,61.56,62.37,29941.0
2015-11-02,62.28,63.71,61.56,62.61,26714.0
2015-11-03,62.95,65.05,62.76,64.67,32409.0
2015-11-04,64.58,66.59,61.94,64.19,30785.0
2015-11-05,63.81,64.14,61.61,62.04,26067.0
2015-11-06,61.85,63.9,61.61,62.37,35577.0
2015-11-09,61.37,62.18,60.41,61.41,13757.0
2015-11-10,61.41,62.76,60.55,61.32,7757.0
2015-11-11,61.41,62.76,60.55,61.32,7757.0
2015-11-13,63.23,63.23,60.5,60.7,10929.0
2015-11-16,60.46,62.23,60.26,60.74,21190.0
2015-11-17,60.6,61.99,60.36,61.27,17912.0
2015-11-18,61.46,61.65,60.22,61.13,9699.0
2015-11-19,61.56,61.8,59.93,60.98,14190.0
2015-11-20,60.41,63.62,60.36,63.33,49554.0
2015-11-23,63.28,63.76,62.32,62.71,9960.0
2015-11-24,61.85,68.12,61.32,65.39,182666.0
2015-11-26,64.29,68.89,64.29,67.35,105622.0
2015-11-27,66.78,69.89,66.78,67.5,101668.0
2015-11-30,68.65,68.7,66.88,68.41,35565.0
2015-12-01,68.02,69.27,66.2,66.97,42225.0
2015-12-02,66.97,67.55,65.25,65.82,26141.0
2015-12-03,66.54,66.54,64.91,65.1,23852.0
2015-12-04,65.01,65.77,64.14,64.67,12084.0
2015-12-07,65.1,66.59,63.38,63.76,12991.0
2015-12-08,63.81,65.63,63.76,64.91,13596.0
2015-12-09,64.24,64.24,60.89,61.22,26461.0
2015-12-10,61.22,62.95,60.74,62.04,14467.0
2015-12-11,62.47,62.9,60.74,61.13,13277.0
2015-12-14,60.55,62.18,60.55,60.84,14061.0
2015-12-15,61.94,61.94,60.89,61.13,8626.0
2015-12-16,60.5,63.04,60.46,61.41,17499.0
2015-12-17,61.99,67.55,61.61,66.2,68734.0
2015-12-18,65.15,67.88,64.1,67.02,76176.0
2015-12-21,64.62,69.61,64.62,69.13,93076.0
2015-12-22,69.13,76.12,69.13,74.44,572623.0
2015-12-23,75.26,76.65,73.92,74.3,119146.0
2015-12-24,74.59,74.73,72.34,73.77,94980.0
2015-12-28,73.77,75.07,71.86,72.77,62217.0
2015-12-29,71.86,72.77,69.94,70.52,113227.0
2015-12-30,70.9,72.05,69.94,70.52,54309.0
2015-12-31,70.66,71.86,69.94,70.47,40849.0
2016-01-01,70.85,71.81,69.94,70.37,63550.0
2016-01-04,70.71,72.34,70.13,71.47,63442.0
2016-01-05,71.81,72.48,70.61,71.28,34549.0
2016-01-06,71.23,71.86,70.9,70.99,31711.0
2016-01-07,71.71,71.71,69.17,70.13,45735.0
2016-01-08,70.76,70.8,69.22,69.85,41122.0
2016-01-11,69.94,69.94,67.07,67.64,36748.0
2016-01-12,68.26,68.98,66.59,68.41,52134.0
2016-01-13,68.98,69.27,61.41,65.01,55355.0
2016-01-14,63.86,66.11,61.13,63.9,38600.0
2016-01-15,65.1,65.1,62.47,63.19,32305.0
2016-01-18,65.01,65.01,56.24,59.88,219833.0
2016-01-19,59.4,60.6,58.44,59.83,235357.0
2016-01-20,58.64,59.55,56.67,57.49,65982.0
2016-01-21,59.16,60.36,57.73,58.87,43626.0
2016-01-22,59.59,60.36,59.59,59.83,35836.0
2016-01-25,59.88,62.08,59.88,61.8,40462.0
2016-01-27,61.8,64.19,61.32,62.76,34052.0
2016-01-28,62.18,64.0,61.8,62.8,6967.0
2016-01-29,62.32,64.53,61.89,63.14,20019.0
2016-02-01,63.09,63.33,62.42,62.61,4450.0
2016-02-02,62.28,63.23,59.59,61.41,24263.0
2016-02-03,60.46,61.32,60.36,60.79,6233.0
2016-02-04,60.46,63.71,60.46,63.28,47011.0
2016-02-05,63.76,64.67,63.52,64.38,48817.0
2016-02-08,65.73,65.73,61.41,61.99,15403.0
2016-02-09,61.51,62.37,58.78,59.07,36227.0
2016-02-10,61.27,61.27,58.06,59.16,9080.0
2016-02-11,58.64,59.07,54.13,55.43,61035.0
2016-02-12,55.52,57.29,53.65,54.32,87182.0
2016-02-15,56.48,60.74,53.84,59.93,70263.0
2016-02-16,58.64,60.65,58.25,59.69,28166.0
2016-02-17,58.54,60.84,56.05,60.6,52683.0
2016-02-18,61.32,62.08,59.45,60.46,52529.0
2016-02-19,60.36,65.92,59.98,60.89,13465.0
2016-02-22,62.18,62.18,59.07,60.84,45198.0
2016-02-23,59.88,61.13,59.16,60.41,96942.0
2016-02-24,59.4,60.84,58.44,60.74,6228.0
2016-02-25,59.88,61.22,56.77,58.11,118638.0
2016-02-26,59.21,62.28,56.62,57.39,14933.0
2016-02-29,57.92,59.4,56.77,57.15,42030.0
2016-03-01,59.83,59.83,55.23,57.68,37175.0
