,open,high,low,close,volume
2015-05-15,71.4,73.53,71.4,71.78,974468.0
2015-05-18,71.88,80.04,71.83,79.17,3440268.0
2015-05-19,79.02,79.31,76.16,76.5,1462080.0
2015-05-20,76.74,78.39,74.31,75.38,1377531.0
2015-05-21,75.72,75.72,73.34,74.7,889876.0
2015-05-22,75.09,76.35,74.46,75.09,1147276.0
2015-05-25,75.18,75.72,74.21,74.89,477266.0
2015-05-26,74.8,75.23,73.39,73.73,457266.0
2015-05-27,73.29,74.6,73.1,74.02,492445.0
2015-05-28,74.16,76.01,73.63,74.8,604898.0
2015-05-29,74.8,75.96,73.73,74.94,711678.0
2015-06-01,75.23,77.32,74.99,75.91,684747.0
2015-06-02,75.57,76.16,73.39,73.68,519169.0
2015-06-03,72.9,73.58,65.71,70.23,1196740.0
2015-06-04,69.94,71.2,68.24,69.6,766782.0
2015-06-05,70.23,71.59,69.5,70.52,840112.0
2015-06-08,70.62,70.91,65.86,69.11,783964.0
2015-06-09,68.97,69.65,67.22,68.73,546257.0
2015-06-10,69.6,76.06,69.41,74.75,2372775.0
2015-06-11,74.75,75.14,69.65,69.89,1103615.0
2015-06-12,69.45,71.4,68.58,69.74,786761.0
2015-06-15,69.94,71.01,69.16,69.65,688900.0
2015-06-16,69.07,69.7,66.73,67.51,1570608.0
2015-06-17,68.09,72.17,68.0,69.45,3034783.0
2015-06-18,69.94,72.66,69.94,70.86,1706675.0
2015-06-19,71.4,71.59,69.36,70.04,951979.0
2015-06-22,70.42,71.88,70.42,71.1,822012.0
2015-06-23,71.4,73.14,71.01,71.69,1810907.0
2015-06-24,71.98,72.8,70.42,70.67,1378080.0
2015-06-25,70.72,71.1,69.74,70.28,531864.0
2015-06-26,70.13,71.69,68.48,70.62,1400992.0
2015-06-29,68.97,68.97,67.56,68.58,830600.0
2015-06-30,68.43,71.1,68.34,70.28,1073430.0
2015-07-01,70.86,72.61,70.57,71.78,1434699.0
2015-07-02,72.12,72.37,70.72,71.06,696332.0
2015-07-03,71.25,73.48,70.23,71.4,1836697.0
2015-07-06,70.23,72.61,70.04,72.12,1359554.0
2015-07-07,72.85,75.14,72.56,73.14,2401337.0
2015-07-08,71.49,75.14,71.2,73.24,2707136.0
2015-07-09,73.87,74.55,72.46,73.0,791324.0
2015-07-10,73.78,74.7,72.85,73.1,920835.0
2015-07-13,73.34,76.69,73.34,76.35,2623521.0
2015-07-14,76.74,78.44,74.89,77.66,2595243.0
2015-07-15,77.52,78.39,76.06,76.5,1604340.0
2015-07-16,76.84,78.29,75.43,75.86,1823167.0
2015-07-17,82.18,82.91,78.88,79.41,7991662.0
2015-07-20,80.09,82.96,79.17,81.26,3770878.0
2015-07-21,81.26,82.62,78.88,79.26,1396925.0
2015-07-22,78.68,80.62,78.0,79.85,1403285.0
2015-07-23,80.19,81.4,79.17,79.51,890127.0
2015-07-24,79.26,80.14,76.59,77.08,854823.0
2015-07-27,76.64,76.74,72.95,73.24,1338062.0
2015-07-28,73.63,74.31,72.37,73.05,846877.0
2015-07-29,73.44,73.97,72.08,72.27,845730.0
2015-07-30,72.66,74.7,72.66,74.12,987069.0
2015-07-31,74.55,74.99,73.24,73.58,784649.0
2015-08-03,73.78,74.99,73.14,73.73,1161792.0
2015-08-04,74.12,74.6,72.9,73.39,1638274.0
2015-08-05,73.73,77.42,73.63,76.01,2195432.0
2015-08-06,76.06,76.5,73.53,73.73,938139.0
2015-08-07,73.34,75.38,73.34,74.41,1202338.0
2015-08-10,74.6,75.04,73.1,73.34,631551.0
2015-08-11,73.63,74.02,71.01,71.49,651977.0
2015-08-12,70.96,71.4,65.76,66.49,1483307.0
2015-08-13,66.98,68.34,63.14,63.43,1697612.0
2015-08-14,65.08,66.93,64.65,66.54,1105024.0
2015-08-17,67.03,67.22,64.79,65.81,592474.0
2015-08-18,66.44,67.85,65.81,66.01,836115.0
2015-08-19,66.05,68.87,65.76,67.37,1151120.0
2015-08-20,67.61,76.5,67.32,73.14,24304805.0
2015-08-21,72.85,78.2,70.47,76.59,10370618.0
2015-08-24,71.3,75.62,67.22,68.24,3861717.0
2015-08-25,70.81,77.66,68.05,76.88,8327212.0
2015-08-26,76.59,81.3,75.04,77.27,5597407.0
2015-08-27,80.24,81.06,77.9,78.58,2359492.0
2015-08-28,79.26,82.32,77.56,81.35,5343970.0
2015-08-31,80.58,82.96,77.81,78.63,3473156.0
2015-09-01,77.42,78.29,73.82,74.8,1897300.0
2015-09-02,76.06,76.98,74.36,75.28,1793107.0
2015-09-03,75.77,77.86,75.77,76.16,1571378.0
2015-09-04,75.52,75.67,71.88,72.56,1350634.0
2015-09-07,72.37,73.44,67.85,68.43,1093604.0
2015-09-08,68.82,71.3,67.41,70.42,1610525.0
2015-09-09,71.83,72.37,70.76,71.25,1022708.0
2015-09-10,69.45,72.56,68.48,71.64,1013061.0
2015-09-11,71.93,72.51,70.42,70.96,695139.0
2015-09-14,71.4,73.19,70.81,72.61,946882.0
2015-09-15,72.46,78.1,71.4,76.4,3508314.0
2015-09-16,77.23,78.59,74.55,75.33,2214457.0
2015-09-18,76.35,78.54,75.47,76.5,1218595.0
2015-09-21,75.86,78.78,74.89,77.91,1625231.0
2015-09-22,78.3,79.9,76.06,76.59,2215660.0
2015-09-23,75.13,77.81,74.45,75.72,1249580.0
2015-09-24,75.82,77.57,72.95,75.09,1106033.0
2015-09-28,75.13,76.06,73.58,74.02,538159.0
2015-09-29,72.95,76.59,71.78,74.84,1661711.0
2015-09-30,75.18,76.64,73.92,74.79,946544.0
2015-10-01,75.47,78.15,75.04,77.61,1971715.0
2015-10-05,79.17,81.12,78.59,79.37,3100372.0
2015-10-06,79.66,80.73,77.47,79.61,2039533.0
2015-10-07,79.17,81.51,78.59,80.78,1828915.0
2015-10-08,81.31,81.7,78.88,79.61,1668656.0
2015-10-09,79.85,80.63,77.81,78.3,1015596.0
2015-10-12,78.68,79.17,76.64,77.13,709414.0
2015-10-13,76.84,80.24,76.84,79.66,1949272.0
2015-10-14,80.19,87.05,79.41,83.74,8837011.0
2015-10-15,84.57,85.59,81.99,83.16,2523205.0
2015-10-16,83.64,83.79,80.97,82.33,1551124.0
2015-10-19,82.72,86.32,81.21,85.01,3372877.0
2015-10-20,85.35,87.78,83.55,85.78,5401142.0
2015-10-21,86.08,90.65,85.3,88.07,7609288.0
2015-10-23,90.36,90.75,85.15,85.64,5230945.0
2015-10-26,86.27,86.47,81.41,82.62,1739461.0
2015-10-27,82.48,85.1,81.21,84.67,1585968.0
2015-10-28,85.01,87.19,83.74,84.52,2049943.0
2015-10-29,85.06,85.88,84.23,84.71,967544.0
2015-10-30,84.62,85.54,81.7,82.14,980769.0
2015-11-02,82.62,82.62,80.14,81.41,1221293.0
2015-11-03,81.8,83.94,81.41,81.99,1160250.0
2015-11-04,82.62,83.55,80.14,80.48,677166.0
2015-11-05,80.24,81.85,79.32,79.71,775624.0
2015-11-06,80.53,80.92,78.83,79.22,631170.0
2015-11-09,76.64,80.44,75.86,80.09,674082.0
2015-11-10,79.9,81.41,77.08,77.96,759838.0
2015-11-11,79.9,81.41,77.08,77.96,759838.0
2015-11-13,78.59,84.57,78.1,82.43,1860130.0
2015-11-16,81.7,83.16,81.02,81.8,1331081.0
2015-11-17,82.48,83.06,80.78,81.36,960504.0
2015-11-18,81.26,83.99,79.32,79.71,2221466.0
2015-11-19,80.39,82.09,80.05,81.16,1022189.0
2015-11-20,81.02,83.5,80.58,81.55,1609299.0
2015-11-23,81.89,82.28,78.93,79.32,1233767.0
2015-11-24,79.75,80.68,78.0,78.98,1004707.0
2015-11-26,79.22,81.12,79.22,80.09,804909.0
2015-11-27,80.39,82.19,79.22,80.87,1364956.0
2015-11-30,82.67,88.22,82.19,87.15,6230305.0
2015-12-01,88.12,88.36,84.71,86.13,3673306.0
2015-12-02,90.45,90.94,83.84,84.42,10062748.0
2015-12-03,84.33,84.86,83.16,83.6,1902190.0
2015-12-04,82.87,84.28,81.75,82.04,1870833.0
2015-12-07,82.43,83.89,81.07,81.36,1595799.0
2015-12-08,80.87,81.46,78.0,78.49,1389163.0
2015-12-09,78.39,78.78,74.41,75.04,1733109.0
2015-12-10,75.91,77.52,75.13,77.18,1424681.0
2015-12-11,77.61,77.91,74.7,75.33,992544.0
2015-12-14,74.7,76.16,74.06,74.84,938759.0
2015-12-15,75.72,76.69,75.38,76.06,1280452.0
2015-12-16,76.79,77.81,74.31,74.94,1438842.0
2015-12-17,75.96,77.81,75.52,77.57,1872671.0
2015-12-18,77.81,78.54,76.54,76.79,1528774.0
2015-12-21,76.74,78.78,76.64,78.3,1612447.0
2015-12-22,78.44,78.93,76.2,76.89,1121844.0
2015-12-23,77.71,78.39,76.89,77.23,780742.0
2015-12-24,78.2,79.51,77.81,78.93,2404048.0
2015-12-28,79.17,79.27,77.13,77.32,1431329.0
2015-12-29,77.76,78.0,75.67,75.96,1491971.0
2015-12-30,76.35,78.2,75.91,76.64,1582225.0
2015-12-31,76.89,78.25,76.45,78.05,1520485.0
2016-01-01,78.25,78.78,77.08,77.86,925799.0
2016-01-04,77.81,81.89,77.03,80.73,5356605.0
2016-01-05,81.7,84.03,80.29,82.09,5420514.0
2016-01-06,82.58,83.74,79.37,80.29,2669252.0
2016-01-07,78.78,78.88,76.25,76.45,1839096.0
2016-01-08,77.32,78.39,76.93,77.57,1366732.0
2016-01-11,76.35,76.64,73.04,75.28,2188280.0
2016-01-12,75.67,76.84,74.75,75.82,1380889.0
2016-01-13,76.5,76.54,69.54,72.9,2505475.0
2016-01-14,70.03,73.92,70.03,72.12,1440057.0
2016-01-15,72.65,72.8,68.72,69.25,1314426.0
2016-01-18,66.62,69.79,66.14,66.53,1039722.0
2016-01-19,70.56,70.81,67.6,69.79,3186605.0
2016-01-20,67.99,68.52,65.21,66.62,1388855.0
2016-01-21,67.79,68.42,65.8,66.38,844049.0
2016-01-22,67.11,69.15,66.82,67.94,1121528.0
2016-01-25,68.52,69.4,68.18,68.76,471975.0
2016-01-27,69.4,69.59,68.23,68.52,492183.0
2016-01-28,68.42,69.3,67.89,68.33,647029.0
2016-01-29,68.57,72.95,67.84,72.36,1736009.0
2016-02-01,72.9,72.9,71.24,71.54,514432.0
2016-02-02,71.54,72.65,69.25,69.79,702270.0
2016-02-03,69.15,69.3,66.87,67.21,579966.0
2016-02-04,68.03,68.47,65.31,66.24,540915.0
2016-02-05,66.77,67.69,65.65,66.77,645166.0
2016-02-08,66.67,68.23,65.7,65.89,730081.0
2016-02-09,65.17,65.85,64.39,64.78,636035.0
2016-02-10,64.39,64.82,62.34,63.66,654264.0
2016-02-11,63.66,63.66,57.97,58.55,795490.0
2016-02-12,59.33,59.33,49.36,53.98,1826481.0
2016-02-15,55.63,57.87,55.05,56.75,667727.0
2016-02-16,58.16,60.3,55.58,56.02,1022061.0
2016-02-17,56.12,56.22,52.67,54.81,687164.0
2016-02-18,56.22,56.85,54.47,54.95,515411.0
2016-02-19,54.76,55.93,53.69,55.0,491787.0
2016-02-22,55.05,56.07,54.56,54.81,351908.0
2016-02-23,55.15,55.15,53.74,54.08,316215.0
2016-02-24,53.98,54.47,53.06,53.3,548260.0
2016-02-25,53.49,53.74,50.67,50.92,923655.0
2016-02-26,51.55,52.42,49.7,50.14,664639.0
2016-02-29,50.28,50.58,47.8,48.34,803080.0
2016-03-01,48.73,51.69,48.73,51.45,1210719.0
2016-03-02,52.42,56.07,52.42,55.0,1100814.0
2016-03-03,55.44,63.9,55.44,62.15,3291450.0
2016-03-04,61.96,62.05,59.18,60.06,1376269.0
2016-03-08,59.72,63.41,58.84,60.25,1882936.0
2016-03-09,59.33,61.27,59.09,60.89,797836.0
2016-03-10,61.13,61.86,59.38,59.72,1385159.0
2016-03-11,59.91,61.32,59.38,60.89,1703856.0
2016-03-14,62.05,63.61,61.32,61.76,1840840.0
2016-03-15,62.25,62.98,60.06,60.74,1187268.0
2016-03-16,61.18,61.62,58.65,60.69,915021.0
2016-03-17,61.47,61.76,60.01,60.2,615698.0
2016-03-18,60.69,61.37,59.67,60.2,826679.0
2016-03-21,60.35,62.25,59.86,61.71,1416542.0
2016-03-22,62.05,62.1,60.55,61.03,799291.0
2016-03-23,61.13,61.96,60.69,61.52,626400.0
2016-03-28,61.81,67.4,61.52,65.85,6825243.0
2016-03-29,66.14,68.91,64.29,66.77,2899601.0
2016-03-30,67.3,67.65,63.85,64.39,1273308.0
2016-03-31,64.1,65.89,63.8,64.19,1224488.0
2016-04-01,66.14,68.62,64.19,66.48,3633761.0
2016-04-04,66.67,68.33,65.55,67.69,2079286.0
2016-04-05,67.4,69.98,66.72,67.89,2309714.0
2016-04-06,68.42,73.43,68.37,72.36,3532467.0
2016-04-07,72.56,81.21,71.54,77.66,9020521.0
2016-04-08,76.84,80.14,76.25,78.73,2962641.0
2016-04-11,78.98,82.14,78.98,80.44,3367431.0
2016-04-12,80.87,82.48,79.46,80.78,2604927.0
2016-04-13,81.55,82.38,80.24,80.58,1689557.0
2016-04-18,80.48,83.94,78.73,83.45,2906103.0
2016-04-20,83.26,85.01,82.67,84.18,1704605.0
2016-04-21,84.86,84.91,80.82,81.12,1309306.0
2016-04-22,80.73,84.52,80.39,83.79,1861439.0
